Orthogroup	Prae	Prax
OG0000000	Prae.g_01361	Prax.g_01870
OG0000000	Prae.g_00652	Prax.g_00964
OG0000001	Prae.g_01222	Prax.g_01609
OG0000001	Prae.g_01579	Prax.g_00259
OG0000001	Prae.g_01300	Prax.g_01920
OG0000002	Prae.g_01353	Prax.g_01878
OG0000002	Prae.g_01236	Prax.g_00522
OG0000003	Prae.g_01308	Prax.g_01919
OG0000003	Prae.g_01581	Prax.g_01606
OG0000004	Prae.g_00735	Prax.g_00444
OG0000004	Prae.g_00742	Prax.g_00437
OG0000004	Prae.g_01297	Prax.g_01924
OG0000005	Prae.g_01580	Prax.g_01608
OG0000006	Prae.g_00471	Prax.g_00704
OG0000006	Prae.g_01623	Prax.g_01559
OG0000007	Prae.g_00646	Prax.g_00970
OG0000008	Prae.g_00383	Prax.g_00791
OG0000008	Prae.g_00997	Prax.g_01162
OG0000008	Prae.g_01264	Prax.g_01958
OG0000009	Prae.g_00786	Prax.g_00393
OG0000009	Prae.g_00252	Prax.g_00926
OG0000010	Prae.g_01110	Prax.g_00141
OG0000010	Prae.g_01283	Prax.g_01936
OG0000011	Prae.g_00331	Prax.g_00843
OG0000012	Prae.g_00572	Prax.g_00057
OG0000013	Prae.g_01235	Prax.g_00523
OG0000014	Prae.g_01311	Prax.g_01916
OG0000015	Prae.g_00381	Prax.g_00793
OG0000016	Prae.g_01364	Prax.g_01867
OG0000017	Prae.g_01479	Prax.g_01708
OG0000018	Prae.g_00244	Prax.g_01972
OG0000019	Prae.g_01600	Prax.g_01587
OG0000019	Prae.g_00364	Prax.g_00808
OG0000020	Prae.g_00374	Prax.g_00799
OG0000021	Prae.g_00788	Prax.g_00391
OG0000022	Prae.g_01310	Prax.g_01917
OG0000023	Prae.g_01270	Prax.g_01950
OG0000023	Prae.g_01572	Prax.g_01617
OG0000024	Prae.g_00307	Prax.g_00869
OG0000025	Prae.g_01077	Prax.g_01240
OG0000026	Prae.g_00033	Prax.g_00280
OG0000027	Prae.g_01546	Prax.g_01641
OG0000027	Prae.g_00738	Prax.g_00441
