Orthogroup	Syaj	Syai
OG0000001	Syaj.g_02674	Syai.g_01716
OG0000001	Syaj.g_01949	Syai.g_01197, Syai.g_02594
OG0000001	Syaj.g_01950	Syai.g_02595
OG0000001	Syaj.g_02660	Syai.g_01729
OG0000002	Syaj.g_02667	Syai.g_01728
OG0000004	Syaj.g_00441	Syai.g_01994
OG0000004	Syaj.g_01314	Syai.g_01062
OG0000004	Syaj.g_02853	Syai.g_00530
OG0000005	Syaj.g_01736	Syai.g_02393
OG0000005	Syaj.g_01698	Syai.g_02356
OG0000005	Syaj.g_01155	Syai.g_02068, Syai.g_01611
OG0000006	Syaj.g_02635	Syai.g_00317, Syai.g_00547
OG0000007	Syaj.g_00091	Syai.g_00657
OG0000007	Syaj.g_01721	Syai.g_02378
OG0000008	Syaj.g_00496	Syai.g_01956
OG0000008	Syaj.g_00497	Syai.g_01955
OG0000009	Syaj.g_01069	Syai.g_01626
OG0000009	Syaj.g_01885	Syai.g_02541
OG0000010	Syaj.g_01445	Syai.g_00864
OG0000011	Syaj.g_01133	Syai.g_01894, Syai.g_00582
OG0000012	Syaj.g_00172	Syai.g_01987, Syai.g_01529, Syai.g_01650
OG0000012	Syaj.g_01306	Syai.g_01068
OG0000013	Syaj.g_02782	Syai.g_00450
OG0000013	Syaj.g_02769	Syai.g_00436
OG0000013	Syaj.g_02774	Syai.g_00442
OG0000014	Syaj.g_02522	Syai.g_00220
OG0000015	Syaj.g_00725	Syai.g_01246
OG0000015	Syaj.g_02659	Syai.g_01245
OG0000016	Syaj.g_02276	Syai.g_00014
OG0000016	Syaj.g_00590	Syai.g_01785
OG0000016	Syaj.g_01191	Syai.g_01632
OG0000017	Syaj.g_00255	Syai.g_00808
OG0000017	Syaj.g_00248	Syai.g_00801
OG0000018	Syaj.g_01413	Syai.g_00915
OG0000019	Syaj.g_02613	Syai.g_00304
OG0000021	Syaj.g_00042	Syai.g_00556
OG0000022	Syaj.g_01220	Syai.g_01159
OG0000023	Syaj.g_01791	Syai.g_02318
OG0000024	Syaj.g_00500	Syai.g_01951
OG0000025	Syaj.g_00383	Syai.g_02044
OG0000026	Syaj.g_02298	Syai.g_00038
OG0000027	Syaj.g_00396	Syai.g_01654
OG0000028	Syaj.g_02506	Syai.g_00205
OG0000029	Syaj.g_01229	Syai.g_01035, Syai.g_01584
OG0000030	Syaj.g_02396	Syai.g_00096
OG0000030	Syaj.g_02395	Syai.g_00095
OG0000031	Syaj.g_02501	Syai.g_00197
OG0000032	Syaj.g_01432	Syai.g_00895
OG0000033	Syaj.g_01990	Syai.g_02634
OG0000034	Syaj.g_01959	Syai.g_02192, Syai.g_02604
OG0000035	Syaj.g_01378	Syai.g_00955
OG0000037	Syaj.g_01891	Syai.g_02544
OG0000037	Syaj.g_02902	Syai.g_02815
OG0000038	Syaj.g_02115	Syai.g_02780
OG0000039	Syaj.g_00392	Syai.g_02034
OG0000040	Syaj.g_02208	Syai.g_02876
OG0000041	Syaj.g_01602	Syai.g_02265
OG0000041	Syaj.g_00418	Syai.g_02016
OG0000042	Syaj.g_02399	Syai.g_00099
OG0000043	Syaj.g_01247	Syai.g_01599
OG0000044	Syaj.g_01344	Syai.g_00833
OG0000046	Syaj.g_02775	Syai.g_00443
OG0000046	Syaj.g_02781	Syai.g_00449
OG0000047	Syaj.g_02799	Syai.g_00462
OG0000048	Syaj.g_02578	Syai.g_00272
OG0000050	Syaj.g_01584	Syai.g_01332
OG0000051	Syaj.g_02898	Syai.g_01773
OG0000052	Syaj.g_02476	Syai.g_00176
OG0000053	Syaj.g_01409	Syai.g_00930
OG0000054	Syaj.g_01341	Syai.g_01040
OG0000055	Syaj.g_00394	Syai.g_02029
OG0000057	Syaj.g_00438	Syai.g_01997
OG0000058	Syaj.g_02495	Syai.g_00195
OG0000059	Syaj.g_02686	Syai.g_00351
OG0000060	Syaj.g_00067	Syai.g_00635
OG0000060	Syaj.g_00635	Syai.g_01758
OG0000061	Syaj.g_00302	Syai.g_02144
OG0000062	Syaj.g_01700	Syai.g_02358
