Orthogroup	Syaj	Syar
OG0000001	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952	Syar.g_00069
OG0000001	Syaj.g_01950	Syar.g_00070
OG0000004	Syaj.g_00441	Syar.g_02051
OG0000004	Syaj.g_01314	Syar.g_02225
OG0000004	Syaj.g_02853	Syar.g_00842
OG0000005	Syaj.g_01736	Syar.g_02952
OG0000005	Syaj.g_01698	Syar.g_02909
OG0000005	Syaj.g_01155	Syar.g_01752
OG0000006	Syaj.g_02635	Syar.g_00151, Syar.g_02056, Syar.g_03013
OG0000007	Syaj.g_00091	Syar.g_01491
OG0000007	Syaj.g_01721	Syar.g_02929
OG0000008	Syaj.g_00496	Syar.g_02097
OG0000008	Syaj.g_00497	Syar.g_02098
OG0000009	Syaj.g_01885	Syar.g_03116
OG0000010	Syaj.g_01445	Syar.g_01272
OG0000013	Syaj.g_02769	Syar.g_02032, Syar.g_01103, Syar.g_01106
OG0000014	Syaj.g_02522	Syar.g_00825
OG0000014	Syaj.g_02344	Syar.g_02736
OG0000015	Syaj.g_02242	Syar.g_00451
OG0000016	Syaj.g_02276, Syaj.g_00590, Syaj.g_01191	Syar.g_02859
OG0000017	Syaj.g_00255	Syar.g_02180
OG0000017	Syaj.g_00248	Syar.g_02188
OG0000018	Syaj.g_01413	Syar.g_01409
OG0000019	Syaj.g_02613	Syar.g_00163
OG0000022	Syaj.g_01220	Syar.g_00835
OG0000025	Syaj.g_00383	Syar.g_01811
OG0000026	Syaj.g_02298	Syar.g_00505
OG0000027	Syaj.g_00396	Syar.g_02055
OG0000028	Syaj.g_02506	Syar.g_00718
OG0000031	Syaj.g_02501	Syar.g_00714
OG0000032	Syaj.g_01432	Syar.g_01390
OG0000033	Syaj.g_01990	Syar.g_00105
OG0000034	Syaj.g_01959	Syar.g_00074, Syar.g_02790
OG0000035	Syaj.g_01378	Syar.g_02809
OG0000037	Syaj.g_02902	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856
OG0000038	Syaj.g_02115	Syar.g_00334
OG0000039	Syaj.g_00392	Syar.g_00007
OG0000039	Syaj.g_00275	Syar.g_02151
OG0000040	Syaj.g_02208	Syar.g_00858
OG0000042	Syaj.g_02399	Syar.g_00595, Syar.g_01970
