Orthogroup	Syaj	Prbh
OG0000001	Syaj.g_02674	Prbh.g_00001, Prbh.g_00863
OG0000002	Syaj.g_02667	Prbh.g_01016, Prbh.g_01022, Prbh.g_01313, Prbh.g_00006, Prbh.g_01311, Prbh.g_01317, Prbh.g_00199, Prbh.g_00912
OG0000004	Syaj.g_00441	Prbh.g_00933
OG0000004	Syaj.g_01314, Syaj.g_02853	Prbh.g_00548
OG0000005	Syaj.g_01698	Prbh.g_00182
OG0000006	Syaj.g_02635	Prbh.g_00538
OG0000007	Syaj.g_00091	Prbh.g_00334
OG0000007	Syaj.g_01721	Prbh.g_01782
OG0000008	Syaj.g_00496	Prbh.g_01406
OG0000008	Syaj.g_00497	Prbh.g_01405
OG0000009	Syaj.g_01069	Prbh.g_00377, Prbh.g_00193, Prbh.g_01841
OG0000010	Syaj.g_01445	Prbh.g_00848, Prbh.g_01143, Prbh.g_00357
OG0000012	Syaj.g_01306	Prbh.g_01460
OG0000013	Syaj.g_02782, Syaj.g_02769, Syaj.g_02774	Prbh.g_00452
OG0000014	Syaj.g_02522	Prbh.g_00472
OG0000015	Syaj.g_00725, Syaj.g_02659	Prbh.g_00840, Prbh.g_01869
OG0000016	Syaj.g_00590, Syaj.g_01191	Prbh.g_01336
OG0000017	Syaj.g_00255	Prbh.g_00225
OG0000017	Syaj.g_00248	Prbh.g_00232
OG0000018	Syaj.g_01413	Prbh.g_01305, Prbh.g_00981
OG0000019	Syaj.g_02613	Prbh.g_00530, Prbh.g_01307
OG0000021	Syaj.g_00982	Prbh.g_00203
OG0000021	Syaj.g_00042	Prbh.g_00938
OG0000022	Syaj.g_01220	Prbh.g_00190
OG0000023	Syaj.g_00829, Syaj.g_01791	Prbh.g_00833
OG0000024	Syaj.g_00500	Prbh.g_01147, Prbh.g_00909
OG0000025	Syaj.g_00383	Prbh.g_00988
OG0000026	Syaj.g_02298	Prbh.g_00749
OG0000028	Syaj.g_02506	Prbh.g_00459, Prbh.g_00404
OG0000029	Syaj.g_01229	Prbh.g_01691, Prbh.g_01885
OG0000030	Syaj.g_02396, Syaj.g_02395	Prbh.g_01570
OG0000031	Syaj.g_02501	Prbh.g_00064
OG0000032	Syaj.g_01432	Prbh.g_00138
OG0000033	Syaj.g_01990	Prbh.g_00613
OG0000034	Syaj.g_01959	Prbh.g_01383
OG0000035	Syaj.g_01378	Prbh.g_00099, Prbh.g_00096
OG0000037	Syaj.g_01891, Syaj.g_02902	Prbh.g_00674
OG0000038	Syaj.g_02115	Prbh.g_01530
OG0000039	Syaj.g_00392, Syaj.g_00275	Prbh.g_00921
OG0000041	Syaj.g_01602	Prbh.g_01734
OG0000042	Syaj.g_02399	Prbh.g_01573
OG0000043	Syaj.g_01247	Prbh.g_01304
OG0000044	Syaj.g_01344	Prbh.g_01794
OG0000046	Syaj.g_02768, Syaj.g_02775, Syaj.g_02781	Prbh.g_00451
OG0000047	Syaj.g_02799	Prbh.g_00408
OG0000048	Syaj.g_02578	Prbh.g_00508
OG0000050	Syaj.g_01242	Prbh.g_00850
OG0000052	Syaj.g_02476	Prbh.g_00041
OG0000053	Syaj.g_01409	Prbh.g_01834, Prbh.g_00120
OG0000054	Syaj.g_01341	Prbh.g_00223
OG0000055	Syaj.g_00394	Prbh.g_01332
OG0000056	Syaj.g_00985, Syaj.g_02864, Syaj.g_01794	Prbh.g_01803
OG0000056	Syaj.g_01081, Syaj.g_00880, Syaj.g_01082, Syaj.g_00533, Syaj.g_01676, Syaj.g_00546, Syaj.g_00879, Syaj.g_00462, Syaj.g_01088, Syaj.g_00360, Syaj.g_01093, Syaj.g_00962	Prbh.g_01417
OG0000057	Syaj.g_00438	Prbh.g_00936
OG0000058	Syaj.g_02495	Prbh.g_00030
OG0000059	Syaj.g_02686	Prbh.g_01695
OG0000061	Syaj.g_00302	Prbh.g_01283
OG0000062	Syaj.g_01700	Prbh.g_00184
OG0000063	Syaj.g_02302	Prbh.g_01401
OG0000064	Syaj.g_00041, Syaj.g_01253	Prbh.g_00715
OG0000065	Syaj.g_00007, Syaj.g_01887	Prbh.g_00676
OG0000066	Syaj.g_00157	Prbh.g_01856
OG0000067	Syaj.g_01023	Prbh.g_00953
OG0000068	Syaj.g_00059	Prbh.g_00009
OG0000070	Syaj.g_01529	Prbh.g_00382
OG0000071	Syaj.g_01511	Prbh.g_01373
OG0000072	Syaj.g_01992	Prbh.g_00611
OG0000073	Syaj.g_00093	Prbh.g_00330
OG0000075	Syaj.g_02457	Prbh.g_01607
OG0000076	Syaj.g_02417	Prbh.g_01581
OG0000077	Syaj.g_01831	Prbh.g_00704
OG0000078	Syaj.g_02880	Prbh.g_00540
OG0000079	Syaj.g_02609	Prbh.g_00527
OG0000081	Syaj.g_02888	Prbh.g_00298
OG0000082	Syaj.g_00229	Prbh.g_01855
OG0000084	Syaj.g_01375	Prbh.g_00093
OG0000085	Syaj.g_01707	Prbh.g_01408
OG0000086	Syaj.g_01848	Prbh.g_00695
OG0000087	Syaj.g_01945	Prbh.g_00642
OG0000088	Syaj.g_01986	Prbh.g_00616
OG0000089	Syaj.g_02829, Syaj.g_01915	Prbh.g_00415
OG0000090	Syaj.g_00144	Prbh.g_00296
OG0000091	Syaj.g_01275	Prbh.g_01211
OG0000092	Syaj.g_00339	Prbh.g_00883
OG0000097	Syaj.g_00589	Prbh.g_01236
OG0000098	Syaj.g_02671	Prbh.g_01935
OG0000099	Syaj.g_02503	Prbh.g_00032
OG0000100	Syaj.g_00987	Prbh.g_00179
OG0000101	Syaj.g_02738	Prbh.g_01644
OG0000102	Syaj.g_02411	Prbh.g_01576
OG0000103	Syaj.g_02243	Prbh.g_01489
OG0000104	Syaj.g_02258	Prbh.g_01480
OG0000105	Syaj.g_02573	Prbh.g_00505
OG0000106	Syaj.g_01130	Prbh.g_00821
OG0000107	Syaj.g_02637	Prbh.g_01718
OG0000108	Syaj.g_00072	Prbh.g_00351
OG0000109	Syaj.g_00087	Prbh.g_00337
OG0000110	Syaj.g_00215	Prbh.g_00254
OG0000111	Syaj.g_00437	Prbh.g_00937
OG0000112	Syaj.g_00907	Prbh.g_01078
OG0000113	Syaj.g_00992	Prbh.g_00976
OG0000114	Syaj.g_00741	Prbh.g_00878
OG0000115	Syaj.g_01402	Prbh.g_01344
OG0000116	Syaj.g_00289	Prbh.g_01294
OG0000117	Syaj.g_00637	Prbh.g_01255
OG0000118	Syaj.g_00267	Prbh.g_01385
OG0000119	Syaj.g_00317	Prbh.g_01333, Prbh.g_00194
OG0000120	Syaj.g_02502	Prbh.g_00031
OG0000121	Syaj.g_01383	Prbh.g_00101
OG0000122	Syaj.g_01250	Prbh.g_01347, Prbh.g_00143
OG0000123	Syaj.g_02745	Prbh.g_01637
OG0000124	Syaj.g_02388	Prbh.g_01564
OG0000125	Syaj.g_02117	Prbh.g_01528
OG0000126	Syaj.g_02256	Prbh.g_01481
OG0000127	Syaj.g_00036	Prbh.g_01938
OG0000128	Syaj.g_02274	Prbh.g_01953
OG0000129	Syaj.g_02106	Prbh.g_00738
OG0000130	Syaj.g_01818	Prbh.g_00713
OG0000131	Syaj.g_01964	Prbh.g_00637
OG0000132	Syaj.g_01984, Syaj.g_00688	Prbh.g_00618
OG0000133	Syaj.g_00902	Prbh.g_00457
OG0000134	Syaj.g_02832	Prbh.g_00413
OG0000135	Syaj.g_02167	Prbh.g_01825
OG0000136	Syaj.g_01550	Prbh.g_00391
OG0000137	Syaj.g_01444	Prbh.g_00356
OG0000138	Syaj.g_00088	Prbh.g_00336
OG0000139	Syaj.g_00150	Prbh.g_00292
OG0000140	Syaj.g_00153	Prbh.g_00291
OG0000141	Syaj.g_01340	Prbh.g_00222
OG0000142	Syaj.g_01283	Prbh.g_01218
OG0000143	Syaj.g_01279	Prbh.g_01215
OG0000144	Syaj.g_01151	Prbh.g_01201
OG0000145	Syaj.g_00094	Prbh.g_01880
OG0000146	Syaj.g_00908	Prbh.g_01077
OG0000147	Syaj.g_00909	Prbh.g_01076
OG0000148	Syaj.g_01003	Prbh.g_00970
OG0000149	Syaj.g_00369	Prbh.g_01002
OG0000150	Syaj.g_01339, Syaj.g_00154	Prbh.g_01012
OG0000151	Syaj.g_01074	Prbh.g_00888
OG0000152	Syaj.g_00898	Prbh.g_01086
OG0000153	Syaj.g_00842	Prbh.g_01104
OG0000154	Syaj.g_00814	Prbh.g_01121
OG0000155	Syaj.g_00338	Prbh.g_01261
OG0000156	Syaj.g_00282	Prbh.g_01362
OG0000157	Syaj.g_00281	Prbh.g_01363
OG0000158	Syaj.g_02445	Prbh.g_01599
OG0000160	Syaj.g_01382	Prbh.g_00100
OG0000161	Syaj.g_01389	Prbh.g_01288, Prbh.g_00106
OG0000162	Syaj.g_01395	Prbh.g_00112
OG0000163	Syaj.g_01639	Prbh.g_00151
OG0000164	Syaj.g_01758	Prbh.g_01758
OG0000165	Syaj.g_01582	Prbh.g_01750
OG0000166	Syaj.g_02698	Prbh.g_01681
OG0000167	Syaj.g_02460	Prbh.g_01609
OG0000168	Syaj.g_02444	Prbh.g_01598
OG0000169	Syaj.g_02431, Syaj.g_02429	Prbh.g_01588
OG0000170	Syaj.g_02422	Prbh.g_01585
OG0000171	Syaj.g_02389	Prbh.g_01565
OG0000172	Syaj.g_02365	Prbh.g_01558
OG0000173	Syaj.g_02321	Prbh.g_01543
OG0000174	Syaj.g_02169	Prbh.g_01512
OG0000175	Syaj.g_02229	Prbh.g_01500
OG0000176	Syaj.g_02266	Prbh.g_01472
OG0000177	Syaj.g_02267	Prbh.g_01471
OG0000178	Syaj.g_02268	Prbh.g_01470
OG0000179	Syaj.g_02283	Prbh.g_00764
OG0000180	Syaj.g_02284	Prbh.g_00763
OG0000181	Syaj.g_02285	Prbh.g_00762
OG0000182	Syaj.g_02286	Prbh.g_00761
OG0000183	Syaj.g_02290	Prbh.g_00757
OG0000184	Syaj.g_02098	Prbh.g_00734
OG0000185	Syaj.g_02087	Prbh.g_00731
OG0000186	Syaj.g_01812	Prbh.g_00719
OG0000187	Syaj.g_01814	Prbh.g_00718
OG0000188	Syaj.g_01837	Prbh.g_00701
