Orthogroup	Syaj	Praq
OG0000001	Syaj.g_02674	Praq.g_00160, Praq.g_01394, Praq.g_01393
OG0000002	Syaj.g_02667	Praq.g_00168, Praq.g_00807
OG0000004	Syaj.g_00441	Praq.g_00824
OG0000004	Syaj.g_01314, Syaj.g_02853	Praq.g_01770
OG0000005	Syaj.g_01736	Praq.g_00484
OG0000005	Syaj.g_01698	Praq.g_00370
OG0000006	Syaj.g_02635	Praq.g_01761
OG0000007	Syaj.g_00091	Praq.g_01105
OG0000007	Syaj.g_01721	Praq.g_00497
OG0000008	Syaj.g_00496	Praq.g_00071
OG0000009	Syaj.g_01069	Praq.g_00017
OG0000009	Syaj.g_01885	Praq.g_01898
OG0000010	Syaj.g_01445	Praq.g_00552, Praq.g_01626, Praq.g_00525
OG0000011	Syaj.g_01133	Praq.g_00110
OG0000012	Syaj.g_00003, Syaj.g_01793, Syaj.g_00831, Syaj.g_00172, Syaj.g_01306	Praq.g_00979
OG0000013	Syaj.g_02782, Syaj.g_02769, Syaj.g_02774	Praq.g_01675
OG0000014	Syaj.g_02522	Praq.g_01696
OG0000015	Syaj.g_00725, Syaj.g_02659	Praq.g_00065
OG0000017	Syaj.g_00248	Praq.g_01004
OG0000018	Syaj.g_01413	Praq.g_01314, Praq.g_01425
OG0000019	Syaj.g_02613	Praq.g_01753, Praq.g_00649
OG0000021	Syaj.g_00982	Praq.g_01179
OG0000022	Syaj.g_01220	Praq.g_00635, Praq.g_01296
OG0000023	Syaj.g_00829, Syaj.g_01791	Praq.g_01184
OG0000024	Syaj.g_00500	Praq.g_00618, Praq.g_00804
OG0000025	Syaj.g_00383	Praq.g_01432, Praq.g_01671
OG0000026	Syaj.g_02298	Praq.g_01234, Praq.g_01633
OG0000027	Syaj.g_00396	Praq.g_00521
OG0000028	Syaj.g_02506	Praq.g_01682, Praq.g_00103
OG0000029	Syaj.g_01229	Praq.g_01168, Praq.g_00627
OG0000030	Syaj.g_02396, Syaj.g_02395	Praq.g_00772
OG0000033	Syaj.g_01990	Praq.g_01833
OG0000034	Syaj.g_01959	Praq.g_00143
OG0000035	Syaj.g_01378	Praq.g_00294
OG0000037	Syaj.g_01891, Syaj.g_02902	Praq.g_01894
OG0000038	Syaj.g_02115	Praq.g_00716
OG0000039	Syaj.g_00392, Syaj.g_00275	Praq.g_00815
OG0000041	Syaj.g_01602	Praq.g_00451
OG0000042	Syaj.g_02399	Praq.g_00770
OG0000043	Syaj.g_01247	Praq.g_01469
OG0000044	Syaj.g_01344	Praq.g_00058
OG0000045	Syaj.g_00132	Praq.g_00567
OG0000047	Syaj.g_02799	Praq.g_01137, Praq.g_01672
OG0000048	Syaj.g_02578	Praq.g_01169
OG0000053	Syaj.g_01409	Praq.g_01246, Praq.g_00314
OG0000054	Syaj.g_01341	Praq.g_00996
OG0000055	Syaj.g_00394	Praq.g_00650
OG0000057	Syaj.g_00438	Praq.g_00827
OG0000058	Syaj.g_02495	Praq.g_00218, Praq.g_00271
