Orthogroup	Syaj	Syam
OG0000001	Syaj.g_02674	Syam.g_00946
OG0000001	Syaj.g_01949, Syaj.g_01952	Syam.g_02177
OG0000001	Syaj.g_02660	Syam.g_00929
OG0000002	Syaj.g_02667	Syam.g_00931
OG0000004	Syaj.g_00441	Syam.g_00787
OG0000004	Syaj.g_01314	Syam.g_01499
OG0000004	Syaj.g_02853	Syam.g_00501
OG0000005	Syaj.g_01736	Syam.g_02004
OG0000005	Syaj.g_01698	Syam.g_01970
OG0000005	Syaj.g_01155	Syam.g_00715, Syam.g_01029
OG0000006	Syaj.g_02635	Syam.g_00286, Syam.g_00518
OG0000007	Syaj.g_00091	Syam.g_00602
OG0000007	Syaj.g_01721	Syam.g_01990
OG0000008	Syaj.g_00496	Syam.g_00810
OG0000008	Syaj.g_00497	Syam.g_00811
OG0000009	Syaj.g_01885	Syam.g_02119
OG0000010	Syaj.g_01445	Syam.g_01669
OG0000012	Syaj.g_00172	Syam.g_00794, Syam.g_00994
OG0000012	Syaj.g_01306	Syam.g_01492
OG0000013	Syaj.g_02782	Syam.g_00421
OG0000013	Syaj.g_02769	Syam.g_00404
OG0000013	Syaj.g_02774	Syam.g_00409
OG0000014	Syaj.g_02522	Syam.g_00191
OG0000015	Syaj.g_00725	Syam.g_01218
OG0000015	Syaj.g_02659	Syam.g_01362
OG0000016	Syaj.g_02276	Syam.g_00014
OG0000016	Syaj.g_00590	Syam.g_00876
OG0000016	Syaj.g_01191	Syam.g_01011
OG0000017	Syaj.g_00255	Syam.g_01708
OG0000017	Syaj.g_00248	Syam.g_01715
OG0000018	Syaj.g_01413	Syam.g_01640
OG0000019	Syaj.g_02613	Syam.g_00274
OG0000021	Syaj.g_00042	Syam.g_00523
OG0000022	Syaj.g_01220	Syam.g_01418
OG0000023	Syaj.g_01791	Syam.g_01943
OG0000024	Syaj.g_00500	Syam.g_00815
OG0000025	Syaj.g_00383	Syam.g_00740
OG0000026	Syaj.g_02298	Syam.g_00035
OG0000027	Syaj.g_00396	Syam.g_00989
OG0000028	Syaj.g_02506	Syam.g_00176
OG0000029	Syaj.g_01229	Syam.g_01390, Syam.g_01055
OG0000030	Syaj.g_02396	Syam.g_00104
OG0000030	Syaj.g_02395	Syam.g_00103
OG0000031	Syaj.g_02501	Syam.g_00171
OG0000032	Syaj.g_01432	Syam.g_01660
OG0000033	Syaj.g_01990	Syam.g_02217
OG0000034	Syaj.g_01959	Syam.g_02185, Syam.g_01843, Syam.g_02187
OG0000035	Syaj.g_01378	Syam.g_01612
OG0000037	Syaj.g_01891	Syam.g_02125
OG0000038	Syaj.g_02115	Syam.g_02317
OG0000039	Syaj.g_00392	Syam.g_00749
OG0000040	Syaj.g_02208	Syam.g_02390
OG0000041	Syaj.g_01602	Syam.g_01899
OG0000041	Syaj.g_00418	Syam.g_00765
OG0000042	Syaj.g_02399	Syam.g_00107
OG0000043	Syaj.g_01247	Syam.g_01041
OG0000044	Syaj.g_01344	Syam.g_01562
OG0000046	Syaj.g_02775	Syam.g_00410
OG0000046	Syaj.g_02781	Syam.g_00420
OG0000047	Syaj.g_02799	Syam.g_00434
OG0000048	Syaj.g_02578	Syam.g_00243
OG0000052	Syaj.g_02476	Syam.g_00161
OG0000053	Syaj.g_01409	Syam.g_01636
OG0000054	Syaj.g_01341	Syam.g_01515
OG0000055	Syaj.g_00394	Syam.g_00754
OG0000057	Syaj.g_00438	Syam.g_00784
OG0000058	Syaj.g_02495	Syam.g_00169
OG0000059	Syaj.g_02686	Syam.g_00320
OG0000060	Syaj.g_00635	Syam.g_00902
OG0000061	Syaj.g_00302	Syam.g_01795
OG0000062	Syaj.g_01700	Syam.g_01972
OG0000063	Syaj.g_02302	Syam.g_00039
