Orthogroup	Syaj	Prbi
OG0000001	Syaj.g_02674	Prbi.g_01424, Prbi.g_01542, Prbi.g_01763, Prbi.g_01270
OG0000002	Syaj.g_02667	Prbi.g_01432, Prbi.g_00681
OG0000004	Syaj.g_00441	Prbi.g_00698
OG0000004	Syaj.g_01314, Syaj.g_02853	Prbi.g_00256
OG0000005	Syaj.g_01736	Prbi.g_01800
OG0000005	Syaj.g_01698	Prbi.g_01666
OG0000006	Syaj.g_02635	Prbi.g_00265
OG0000007	Syaj.g_00091	Prbi.g_00500
OG0000007	Syaj.g_01721	Prbi.g_01787
OG0000008	Syaj.g_00496	Prbi.g_01764
OG0000008	Syaj.g_00497	Prbi.g_01540, Prbi.g_01765, Prbi.g_01539
OG0000009	Syaj.g_01069	Prbi.g_01338, Prbi.g_01701
OG0000009	Syaj.g_01885	Prbi.g_00112
OG0000010	Syaj.g_01445	Prbi.g_01094, Prbi.g_00477
OG0000011	Syaj.g_01133	Prbi.g_01361
OG0000011	Syaj.g_01780	Prbi.g_00426
OG0000012	Syaj.g_00003, Syaj.g_01793, Syaj.g_00831, Syaj.g_00172, Syaj.g_01306	Prbi.g_00625
OG0000013	Syaj.g_02782, Syaj.g_02769, Syaj.g_02774	Prbi.g_00351
OG0000014	Syaj.g_02522	Prbi.g_00330
OG0000014	Syaj.g_02344	Prbi.g_01475
OG0000015	Syaj.g_00725, Syaj.g_02659	Prbi.g_00810, Prbi.g_01304
OG0000016	Syaj.g_02276	Prbi.g_00013
OG0000017	Syaj.g_00248	Prbi.g_00600
OG0000018	Syaj.g_01413	Prbi.g_01188, Prbi.g_00874
OG0000019	Syaj.g_02613	Prbi.g_00273, Prbi.g_00827
OG0000021	Syaj.g_00982	Prbi.g_01742, Prbi.g_00389
OG0000022	Syaj.g_01220	Prbi.g_00805, Prbi.g_01170
OG0000023	Syaj.g_00829, Syaj.g_01791	Prbi.g_00384
OG0000024	Syaj.g_00500	Prbi.g_00788, Prbi.g_00678
OG0000025	Syaj.g_00383	Prbi.g_00882, Prbi.g_00355
OG0000026	Syaj.g_02298	Prbi.g_00031, Prbi.g_01101
OG0000027	Syaj.g_00396	Prbi.g_00472, Prbi.g_01374
OG0000028	Syaj.g_02506	Prbi.g_00344, Prbi.g_01319, Prbi.g_01768
OG0000029	Syaj.g_01229	Prbi.g_00399, Prbi.g_00796
OG0000030	Syaj.g_02396, Syaj.g_02395	Prbi.g_02004
OG0000033	Syaj.g_01990	Prbi.g_00193
OG0000034	Syaj.g_01959	Prbi.g_01401
OG0000035	Syaj.g_01378	Prbi.g_01589, Prbi.g_01591
OG0000037	Syaj.g_01891, Syaj.g_02902	Prbi.g_00116
OG0000038	Syaj.g_02115	Prbi.g_02057
OG0000039	Syaj.g_00392, Syaj.g_00275	Prbi.g_00689
OG0000041	Syaj.g_01602	Prbi.g_01833
OG0000042	Syaj.g_02399	Prbi.g_02001
OG0000043	Syaj.g_01247	Prbi.g_00918, Prbi.g_01334
OG0000044	Syaj.g_01344	Prbi.g_01744, Prbi.g_01760
OG0000047	Syaj.g_02799	Prbi.g_00354
OG0000048	Syaj.g_02578	Prbi.g_00398
OG0000051	Syaj.g_02898	Prbi.g_01364
OG0000052	Syaj.g_02476	Prbi.g_01478
OG0000053	Syaj.g_01409	Prbi.g_01611
OG0000054	Syaj.g_01341	Prbi.g_00608
OG0000055	Syaj.g_00394	Prbi.g_00828
OG0000056	Syaj.g_00985, Syaj.g_02864, Syaj.g_01794, Syaj.g_01081, Syaj.g_00880, Syaj.g_01082, Syaj.g_00533, Syaj.g_01676, Syaj.g_00546, Syaj.g_00879, Syaj.g_00462, Syaj.g_01088, Syaj.g_00360, Syaj.g_01093, Syaj.g_00962	Prbi.g_01276
OG0000057	Syaj.g_00438	Prbi.g_00702
OG0000058	Syaj.g_02495	Prbi.g_01461
OG0000059	Syaj.g_02686	Prbi.g_01873, Prbi.g_01717
OG0000061	Syaj.g_00302	Prbi.g_01207
OG0000063	Syaj.g_02302	Prbi.g_00033
OG0000065	Syaj.g_00007, Syaj.g_01887	Prbi.g_00114
OG0000066	Syaj.g_00157	Prbi.g_00542
OG0000067	Syaj.g_01023	Prbi.g_00847
OG0000068	Syaj.g_00059	Prbi.g_01439
OG0000070	Syaj.g_01529	Prbi.g_00451
OG0000071	Syaj.g_01511	Prbi.g_01391
OG0000072	Syaj.g_01992	Prbi.g_00195
OG0000073	Syaj.g_00093	Prbi.g_00502
OG0000075	Syaj.g_02457	Prbi.g_01970
OG0000076	Syaj.g_02417	Prbi.g_01994
OG0000077	Syaj.g_01831	Prbi.g_00085
OG0000078	Syaj.g_02880	Prbi.g_00263
OG0000079	Syaj.g_02609	Prbi.g_00276
OG0000081	Syaj.g_02888	Prbi.g_00534
OG0000082	Syaj.g_00229	Prbi.g_00587
OG0000084	Syaj.g_01375	Prbi.g_01585
OG0000085	Syaj.g_01707	Prbi.g_01780
OG0000086	Syaj.g_01848	Prbi.g_00095
OG0000087	Syaj.g_01945	Prbi.g_00147
OG0000088	Syaj.g_01986	Prbi.g_00190
OG0000089	Syaj.g_02829, Syaj.g_01915	Prbi.g_00380
OG0000090	Syaj.g_00144	Prbi.g_00536
OG0000091	Syaj.g_01275	Prbi.g_00645
OG0000092	Syaj.g_00339	Prbi.g_00956
OG0000094	Syaj.g_00804	Prbi.g_01067
OG0000097	Syaj.g_00589	Prbi.g_01248
OG0000098	Syaj.g_02671	Prbi.g_01421
OG0000099	Syaj.g_02503	Prbi.g_01462
OG0000100	Syaj.g_00987	Prbi.g_01664
OG0000101	Syaj.g_02738	Prbi.g_01938
OG0000102	Syaj.g_02411	Prbi.g_01999
OG0000103	Syaj.g_02243	Prbi.g_02091
OG0000104	Syaj.g_02258	Prbi.g_02099
OG0000105	Syaj.g_02573	Prbi.g_00298
OG0000106	Syaj.g_01130	Prbi.g_00394
OG0000107	Syaj.g_02637	Prbi.g_00409
OG0000108	Syaj.g_00072	Prbi.g_00483
OG0000109	Syaj.g_00087	Prbi.g_00497
OG0000110	Syaj.g_00215	Prbi.g_00577
OG0000111	Syaj.g_00437	Prbi.g_00703
OG0000112	Syaj.g_00907	Prbi.g_00811
OG0000113	Syaj.g_00992	Prbi.g_00869
OG0000114	Syaj.g_00741	Prbi.g_00951
OG0000115	Syaj.g_01402	Prbi.g_01148
OG0000116	Syaj.g_00289	Prbi.g_01197
OG0000117	Syaj.g_00637	Prbi.g_01330
OG0000118	Syaj.g_00267	Prbi.g_01403
OG0000119	Syaj.g_00317	Prbi.g_01435
OG0000120	Syaj.g_02502	Prbi.g_01460
OG0000121	Syaj.g_01383	Prbi.g_01593
OG0000122	Syaj.g_01250	Prbi.g_01630
OG0000123	Syaj.g_02745	Prbi.g_01945
OG0000124	Syaj.g_02388	Prbi.g_02010
OG0000125	Syaj.g_02117	Prbi.g_02059
OG0000126	Syaj.g_02256	Prbi.g_02098
OG0000128	Syaj.g_02274	Prbi.g_00011
OG0000129	Syaj.g_02106	Prbi.g_00053
OG0000130	Syaj.g_01818	Prbi.g_00076
OG0000131	Syaj.g_01964	Prbi.g_00169
OG0000132	Syaj.g_01984	Prbi.g_00188
OG0000133	Syaj.g_00902	Prbi.g_00346
OG0000134	Syaj.g_02832	Prbi.g_00381
OG0000135	Syaj.g_02167	Prbi.g_00407
OG0000136	Syaj.g_01550	Prbi.g_00442
OG0000137	Syaj.g_01444	Prbi.g_00478
OG0000138	Syaj.g_00088	Prbi.g_00498
OG0000139	Syaj.g_00150	Prbi.g_00540
OG0000140	Syaj.g_00153	Prbi.g_00541
OG0000141	Syaj.g_01340	Prbi.g_00609
OG0000142	Syaj.g_01283	Prbi.g_00638
OG0000143	Syaj.g_01279	Prbi.g_00642
OG0000144	Syaj.g_01151	Prbi.g_00655
OG0000145	Syaj.g_00094	Prbi.g_00807
OG0000146	Syaj.g_00908	Prbi.g_00812
OG0000147	Syaj.g_00909	Prbi.g_00813
OG0000148	Syaj.g_01003	Prbi.g_00863
OG0000149	Syaj.g_00369	Prbi.g_00894
OG0000150	Syaj.g_01339, Syaj.g_00154	Prbi.g_00902
OG0000151	Syaj.g_01074	Prbi.g_00961
OG0000152	Syaj.g_00898	Prbi.g_01009
OG0000153	Syaj.g_00842	Prbi.g_01028
OG0000154	Syaj.g_00814	Prbi.g_01060
OG0000155	Syaj.g_00338	Prbi.g_01227
OG0000156	Syaj.g_00282	Prbi.g_01380
OG0000157	Syaj.g_00281	Prbi.g_01381
OG0000158	Syaj.g_02445	Prbi.g_01489
OG0000160	Syaj.g_01382	Prbi.g_01592
OG0000161	Syaj.g_01389	Prbi.g_01598
OG0000162	Syaj.g_01395	Prbi.g_01604
OG0000163	Syaj.g_01639	Prbi.g_01637
OG0000164	Syaj.g_01758	Prbi.g_01811
OG0000165	Syaj.g_01582	Prbi.g_01818
OG0000166	Syaj.g_02698	Prbi.g_01902
OG0000167	Syaj.g_02460	Prbi.g_01968
OG0000168	Syaj.g_02444	Prbi.g_01978
OG0000169	Syaj.g_02431, Syaj.g_02429	Prbi.g_01988
OG0000170	Syaj.g_02422	Prbi.g_01990
OG0000171	Syaj.g_02389	Prbi.g_02009
OG0000172	Syaj.g_02365	Prbi.g_02030
OG0000173	Syaj.g_02321	Prbi.g_02045
OG0000174	Syaj.g_02169	Prbi.g_02073
OG0000175	Syaj.g_02229	Prbi.g_02083
OG0000176	Syaj.g_02266	Prbi.g_00004
OG0000177	Syaj.g_02267	Prbi.g_00005
OG0000178	Syaj.g_02268	Prbi.g_00006
OG0000179	Syaj.g_02283	Prbi.g_00016
OG0000180	Syaj.g_02284	Prbi.g_00017
OG0000181	Syaj.g_02285	Prbi.g_00018
OG0000182	Syaj.g_02286	Prbi.g_00019
OG0000183	Syaj.g_02290	Prbi.g_00023
OG0000184	Syaj.g_02098	Prbi.g_00057
OG0000185	Syaj.g_02087	Prbi.g_00060
OG0000186	Syaj.g_01812	Prbi.g_00071
OG0000187	Syaj.g_01814	Prbi.g_00072
OG0000188	Syaj.g_01837	Prbi.g_00089
OG0000189	Syaj.g_01874	Prbi.g_00103
OG0000190	Syaj.g_01876	Prbi.g_00104
OG0000191	Syaj.g_01910	Prbi.g_00125
OG0000192	Syaj.g_01919	Prbi.g_00129
OG0000193	Syaj.g_01965	Prbi.g_00170
OG0000194	Syaj.g_01968	Prbi.g_00173
OG0000195	Syaj.g_01971	Prbi.g_00175
OG0000196	Syaj.g_01981	Prbi.g_00185
OG0000197	Syaj.g_01982	Prbi.g_00186
OG0000198	Syaj.g_01983	Prbi.g_00187
OG0000199	Syaj.g_01991	Prbi.g_00194
OG0000200	Syaj.g_02008	Prbi.g_00208
OG0000201	Syaj.g_02024	Prbi.g_00216
OG0000202	Syaj.g_02025	Prbi.g_00217
OG0000203	Syaj.g_02026	Prbi.g_00218
OG0000204	Syaj.g_02027	Prbi.g_00219
OG0000205	Syaj.g_02035	Prbi.g_00226
OG0000206	Syaj.g_02043	Prbi.g_00231
OG0000207	Syaj.g_02045	Prbi.g_00233
OG0000208	Syaj.g_02046	Prbi.g_00234
OG0000209	Syaj.g_02070	Prbi.g_00243
OG0000210	Syaj.g_02071	Prbi.g_00244
OG0000212	Syaj.g_02881	Prbi.g_00264
OG0000213	Syaj.g_02601	Prbi.g_00281
OG0000214	Syaj.g_02582	Prbi.g_00291
OG0000215	Syaj.g_02551	Prbi.g_00316
OG0000216	Syaj.g_02547	Prbi.g_00318
OG0000217	Syaj.g_02543	Prbi.g_00321
OG0000218	Syaj.g_02541	Prbi.g_00323
OG0000219	Syaj.g_02540	Prbi.g_00324
OG0000220	Syaj.g_02539	Prbi.g_00325
OG0000221	Syaj.g_02530	Prbi.g_00326
OG0000222	Syaj.g_02516	Prbi.g_00334
OG0000223	Syaj.g_02494	Prbi.g_00347
OG0000224	Syaj.g_02487	Prbi.g_00349
OG0000225	Syaj.g_02821	Prbi.g_00370
OG0000226	Syaj.g_02825	Prbi.g_00374
OG0000227	Syaj.g_02827	Prbi.g_00376
OG0000228	Syaj.g_02828	Prbi.g_00379
OG0000229	Syaj.g_01555	Prbi.g_00437
OG0000230	Syaj.g_01553	Prbi.g_00439
OG0000231	Syaj.g_01541	Prbi.g_00450
OG0000232	Syaj.g_01497	Prbi.g_00459
OG0000233	Syaj.g_01481	Prbi.g_00465
OG0000234	Syaj.g_01442	Prbi.g_00479
OG0000235	Syaj.g_00071	Prbi.g_00482
OG0000236	Syaj.g_00086	Prbi.g_00496
OG0000237	Syaj.g_00103	Prbi.g_00509
OG0000238	Syaj.g_00108	Prbi.g_00515
OG0000239	Syaj.g_00125	Prbi.g_00528
OG0000240	Syaj.g_00126	Prbi.g_00529
OG0000241	Syaj.g_01291	Prbi.g_00533
OG0000242	Syaj.g_00142	Prbi.g_00535
OG0000243	Syaj.g_00164	Prbi.g_00546
OG0000244	Syaj.g_00180	Prbi.g_00549
OG0000245	Syaj.g_00182	Prbi.g_00551
OG0000246	Syaj.g_00186	Prbi.g_00555
OG0000247	Syaj.g_00197	Prbi.g_00565
OG0000248	Syaj.g_00200	Prbi.g_00567
OG0000249	Syaj.g_00202	Prbi.g_00569
OG0000250	Syaj.g_00211	Prbi.g_00574
OG0000251	Syaj.g_00237	Prbi.g_00593
OG0000252	Syaj.g_00243	Prbi.g_00596
OG0000253	Syaj.g_00245	Prbi.g_00597
OG0000254	Syaj.g_01335	Prbi.g_00613
OG0000255	Syaj.g_01315	Prbi.g_00619
OG0000256	Syaj.g_01297	Prbi.g_00629
OG0000257	Syaj.g_01292	Prbi.g_00632
OG0000258	Syaj.g_01274	Prbi.g_00646
OG0000259	Syaj.g_00707	Prbi.g_00663
OG0000260	Syaj.g_00712	Prbi.g_00666
OG0000261	Syaj.g_00715	Prbi.g_00668
OG0000262	Syaj.g_00720	Prbi.g_00672
OG0000263	Syaj.g_00605	Prbi.g_00684
OG0000264	Syaj.g_00485	Prbi.g_00694
OG0000265	Syaj.g_00510	Prbi.g_00745
OG0000266	Syaj.g_00946	Prbi.g_00755
OG0000267	Syaj.g_00770	Prbi.g_00766
OG0000268	Syaj.g_00771	Prbi.g_00767
OG0000269	Syaj.g_01031	Prbi.g_00842
OG0000270	Syaj.g_01025	Prbi.g_00845
OG0000271	Syaj.g_01017	Prbi.g_00853
OG0000272	Syaj.g_01016	Prbi.g_00854
OG0000273	Syaj.g_00389	Prbi.g_00877
OG0000274	Syaj.g_00388	Prbi.g_00878
OG0000275	Syaj.g_00384	Prbi.g_00881
OG0000276	Syaj.g_00377	Prbi.g_00886
OG0000277	Syaj.g_00376	Prbi.g_00887
OG0000278	Syaj.g_00373	Prbi.g_00890
OG0000279	Syaj.g_00357	Prbi.g_00897
OG0000280	Syaj.g_00348	Prbi.g_00898
OG0000281	Syaj.g_02670	Prbi.g_00903
OG0000282	Syaj.g_00743	Prbi.g_00953
OG0000283	Syaj.g_00790	Prbi.g_00986
OG0000284	Syaj.g_00930	Prbi.g_00991
OG0000285	Syaj.g_00917	Prbi.g_00996
OG0000286	Syaj.g_00899	Prbi.g_01008
OG0000288	Syaj.g_00815	Prbi.g_01059
OG0000289	Syaj.g_00800	Prbi.g_01070
OG0000290	Syaj.g_00424	Prbi.g_01083
OG0000291	Syaj.g_00426	Prbi.g_01085
OG0000292	Syaj.g_02255	Prbi.g_01136
OG0000293	Syaj.g_00290	Prbi.g_01198
OG0000294	Syaj.g_00291	Prbi.g_01199
OG0000295	Syaj.g_00330	Prbi.g_01219
OG0000296	Syaj.g_00332	Prbi.g_01221
OG0000297	Syaj.g_00639	Prbi.g_01229
OG0000298	Syaj.g_00638	Prbi.g_01230
OG0000299	Syaj.g_00592	Prbi.g_01247
OG0000300	Syaj.g_00586	Prbi.g_01250
OG0000301	Syaj.g_00585	Prbi.g_01251
OG0000302	Syaj.g_00582	Prbi.g_01253
OG0000303	Syaj.g_00572	Prbi.g_01260
OG0000304	Syaj.g_00566	Prbi.g_01264
OG0000305	Syaj.g_00429	Prbi.g_01431
OG0000306	Syaj.g_01126	Prbi.g_01434
OG0000307	Syaj.g_00051	Prbi.g_01448
OG0000308	Syaj.g_00049	Prbi.g_01449
OG0000309	Syaj.g_00044	Prbi.g_01453
OG0000310	Syaj.g_01358	Prbi.g_01574
OG0000311	Syaj.g_01362	Prbi.g_01576
OG0000312	Syaj.g_01368	Prbi.g_01579
OG0000313	Syaj.g_01386	Prbi.g_01595
OG0000314	Syaj.g_01420	Prbi.g_01617
OG0000315	Syaj.g_01430	Prbi.g_01627
OG0000316	Syaj.g_01664	Prbi.g_01647
OG0000317	Syaj.g_01715	Prbi.g_01785
OG0000318	Syaj.g_01722	Prbi.g_01788
OG0000319	Syaj.g_01741	Prbi.g_01801
OG0000320	Syaj.g_01743	Prbi.g_01803
OG0000321	Syaj.g_01744	Prbi.g_01804
OG0000322	Syaj.g_01745	Prbi.g_01805
OG0000323	Syaj.g_01760	Prbi.g_01814
OG0000324	Syaj.g_01609	Prbi.g_01840
OG0000325	Syaj.g_02638	Prbi.g_01849
OG0000326	Syaj.g_02645	Prbi.g_01855
OG0000327	Syaj.g_02693	Prbi.g_01897
OG0000328	Syaj.g_02694	Prbi.g_01898
OG0000329	Syaj.g_02712	Prbi.g_01915
OG0000330	Syaj.g_02713	Prbi.g_01916
OG0000331	Syaj.g_02714	Prbi.g_01917
OG0000332	Syaj.g_02729	Prbi.g_01931
OG0000333	Syaj.g_02732	Prbi.g_01933
OG0000334	Syaj.g_02741	Prbi.g_01941
OG0000335	Syaj.g_02746	Prbi.g_01946
OG0000336	Syaj.g_02750	Prbi.g_01950
OG0000337	Syaj.g_02466	Prbi.g_01966
OG0000338	Syaj.g_02462	Prbi.g_01967
OG0000339	Syaj.g_02455	Prbi.g_01971
OG0000340	Syaj.g_02443	Prbi.g_01979
OG0000341	Syaj.g_02441	Prbi.g_01981
OG0000342	Syaj.g_02440	Prbi.g_01982
OG0000343	Syaj.g_02437	Prbi.g_01983
OG0000344	Syaj.g_02433	Prbi.g_01986
OG0000345	Syaj.g_02421	Prbi.g_01991
OG0000346	Syaj.g_02416	Prbi.g_01995
OG0000347	Syaj.g_02383	Prbi.g_02011
OG0000348	Syaj.g_02333	Prbi.g_02033
OG0000349	Syaj.g_02314	Prbi.g_02050
OG0000350	Syaj.g_02652	Prbi.g_02069
OG0000351	Syaj.g_02234	Prbi.g_02086
OG0000352	Syaj.g_02235	Prbi.g_02087
OG0000353	Syaj.g_02261	Prbi.g_02102
OG0000355	Syaj.g_02263	Prbi.g_00001
OG0000356	Syaj.g_02264	Prbi.g_00002
OG0000357	Syaj.g_02265	Prbi.g_00003
OG0000358	Syaj.g_02269	Prbi.g_00007
OG0000359	Syaj.g_02271	Prbi.g_00008
OG0000360	Syaj.g_02272	Prbi.g_00009
OG0000361	Syaj.g_02273	Prbi.g_00010
OG0000362	Syaj.g_02275	Prbi.g_00012
OG0000363	Syaj.g_02277	Prbi.g_00014
OG0000364	Syaj.g_02278	Prbi.g_00015
OG0000365	Syaj.g_02287	Prbi.g_00020
OG0000366	Syaj.g_02288	Prbi.g_00021
OG0000367	Syaj.g_02289	Prbi.g_00022
OG0000368	Syaj.g_02291	Prbi.g_00024
OG0000369	Syaj.g_02292	Prbi.g_00025
OG0000370	Syaj.g_02293	Prbi.g_00026
OG0000371	Syaj.g_02301	Prbi.g_00032
OG0000372	Syaj.g_02307	Prbi.g_00035
OG0000373	Syaj.g_02308	Prbi.g_00036
OG0000374	Syaj.g_02309	Prbi.g_00037
OG0000375	Syaj.g_02310	Prbi.g_00049
OG0000376	Syaj.g_02312	Prbi.g_00051
OG0000377	Syaj.g_02105	Prbi.g_00056
OG0000378	Syaj.g_02091	Prbi.g_00058
OG0000379	Syaj.g_02086	Prbi.g_00061
OG0000380	Syaj.g_01815	Prbi.g_00073
OG0000381	Syaj.g_01819	Prbi.g_00077
OG0000382	Syaj.g_01836	Prbi.g_00088
OG0000383	Syaj.g_01839	Prbi.g_00090
OG0000384	Syaj.g_01840	Prbi.g_00091
OG0000385	Syaj.g_01841	Prbi.g_00092
OG0000386	Syaj.g_01842	Prbi.g_00093
OG0000387	Syaj.g_01878	Prbi.g_00106
OG0000388	Syaj.g_01882	Prbi.g_00109
OG0000389	Syaj.g_01886	Prbi.g_00113
OG0000390	Syaj.g_01904	Prbi.g_00120
OG0000391	Syaj.g_01909	Prbi.g_00124
