Orthogroup	Syaj	Prae
OG0000001	Syaj.g_02674	Prae.g_01353, Prae.g_01236, Prae.g_01223, Prae.g_01224
OG0000002	Syaj.g_02667	Prae.g_01361, Prae.g_00652
OG0000004	Syaj.g_00441	Prae.g_00669
OG0000004	Syaj.g_01314, Syaj.g_02853	Prae.g_00235
OG0000005	Syaj.g_01736	Prae.g_01636
OG0000005	Syaj.g_01698	Prae.g_01535
OG0000006	Syaj.g_02635	Prae.g_00244
OG0000007	Syaj.g_00091	Prae.g_00471
OG0000007	Syaj.g_01721	Prae.g_01623
OG0000009	Syaj.g_01069	Prae.g_01270, Prae.g_01572
OG0000010	Syaj.g_01445	Prae.g_01048, Prae.g_00448
OG0000011	Syaj.g_01133	Prae.g_01291
OG0000011	Syaj.g_01780	Prae.g_00398
OG0000012	Syaj.g_00003, Syaj.g_01793, Syaj.g_00831, Syaj.g_00172, Syaj.g_01306	Prae.g_00597
OG0000013	Syaj.g_02782, Syaj.g_02769, Syaj.g_02774	Prae.g_00328
OG0000014	Syaj.g_02522	Prae.g_00307
OG0000014	Syaj.g_02344	Prae.g_01401
OG0000015	Syaj.g_00725, Syaj.g_02659	Prae.g_00769, Prae.g_01235
OG0000016	Syaj.g_02276	Prae.g_00013
OG0000017	Syaj.g_00248	Prae.g_00572
OG0000018	Syaj.g_01413	Prae.g_01144, Prae.g_00833
OG0000019	Syaj.g_02613	Prae.g_00252, Prae.g_00786
OG0000021	Syaj.g_00982	Prae.g_01600, Prae.g_00364
OG0000022	Syaj.g_01220	Prae.g_00764, Prae.g_01125
OG0000023	Syaj.g_00829, Syaj.g_01791	Prae.g_00359
OG0000024	Syaj.g_00500	Prae.g_00748, Prae.g_00649
OG0000025	Syaj.g_00383	Prae.g_00840, Prae.g_00332
OG0000026	Syaj.g_02298	Prae.g_00031, Prae.g_01056
OG0000027	Syaj.g_00396	Prae.g_00444, Prae.g_01311
OG0000028	Syaj.g_02506	Prae.g_00321
OG0000029	Syaj.g_01229	Prae.g_00375, Prae.g_00755
OG0000030	Syaj.g_02396, Syaj.g_02395	Prae.g_01825
OG0000033	Syaj.g_01990	Prae.g_00172
OG0000034	Syaj.g_01959	Prae.g_01339
OG0000035	Syaj.g_01378	Prae.g_01459
OG0000037	Syaj.g_01891, Syaj.g_02902	Prae.g_00108
OG0000038	Syaj.g_02115	Prae.g_01865
OG0000039	Syaj.g_00392, Syaj.g_00275	Prae.g_00660
OG0000041	Syaj.g_01602	Prae.g_01669
OG0000042	Syaj.g_02399	Prae.g_01822
OG0000043	Syaj.g_01247	Prae.g_00876
OG0000047	Syaj.g_02799	Prae.g_00331
OG0000048	Syaj.g_02578	Prae.g_00374
OG0000051	Syaj.g_02898	Prae.g_01294
OG0000052	Syaj.g_02476	Prae.g_01416
OG0000053	Syaj.g_01409	Prae.g_01479
OG0000054	Syaj.g_01341	Prae.g_00580
OG0000055	Syaj.g_00394	Prae.g_00787
OG0000057	Syaj.g_00438	Prae.g_00672
OG0000058	Syaj.g_02495	Prae.g_01417, Prae.g_01406
OG0000059	Syaj.g_02686	Prae.g_01710
OG0000060	Syaj.g_00635	Prae.g_01238
OG0000061	Syaj.g_00302	Prae.g_01422, Prae.g_01163
OG0000063	Syaj.g_02302	Prae.g_00033
OG0000065	Syaj.g_00007, Syaj.g_01887	Prae.g_00106
OG0000066	Syaj.g_00157	Prae.g_00514
OG0000067	Syaj.g_01023	Prae.g_00806
OG0000068	Syaj.g_00059	Prae.g_01368
OG0000070	Syaj.g_01529	Prae.g_00424
OG0000071	Syaj.g_01511	Prae.g_01329
OG0000072	Syaj.g_01992	Prae.g_00174
OG0000073	Syaj.g_00093	Prae.g_00473
OG0000075	Syaj.g_02457	Prae.g_01791
OG0000076	Syaj.g_02417	Prae.g_01815
OG0000077	Syaj.g_01831	Prae.g_00078
OG0000078	Syaj.g_02880	Prae.g_00242
OG0000079	Syaj.g_02609	Prae.g_00255
OG0000081	Syaj.g_02888	Prae.g_00505
OG0000082	Syaj.g_00229	Prae.g_00559
OG0000084	Syaj.g_01375	Prae.g_01455
OG0000085	Syaj.g_01707	Prae.g_01616
OG0000086	Syaj.g_01848	Prae.g_00088
OG0000087	Syaj.g_01945	Prae.g_00139
OG0000088	Syaj.g_01986	Prae.g_00169
OG0000089	Syaj.g_02829, Syaj.g_01915	Prae.g_00355
OG0000090	Syaj.g_00144	Prae.g_00508
OG0000091	Syaj.g_01275	Prae.g_00616
OG0000092	Syaj.g_00339	Prae.g_00913
OG0000094	Syaj.g_00804	Prae.g_01021
OG0000097	Syaj.g_00589	Prae.g_01204
OG0000098	Syaj.g_02671	Prae.g_01350
OG0000099	Syaj.g_02503	Prae.g_01390
