Orthogroup	Syaj	Syab
OG0000001	Syaj.g_02674	Syab.g_01549
OG0000001	Syaj.g_01950	Syab.g_02553, Syab.g_02555
OG0000001	Syaj.g_02660	Syab.g_01509, Syab.g_01510
OG0000002	Syaj.g_02667	Syab.g_02285
OG0000004	Syaj.g_00441	Syab.g_00549, Syab.g_01193
OG0000004	Syaj.g_01314	Syab.g_01911
OG0000004	Syaj.g_02853	Syab.g_02377
OG0000005	Syaj.g_01736	Syab.g_02289
OG0000005	Syaj.g_01698	Syab.g_02232
OG0000005	Syaj.g_01155	Syab.g_00981
OG0000006	Syaj.g_02635	Syab.g_00365, Syab.g_01847, Syab.g_02361
OG0000007	Syaj.g_00091	Syab.g_02117
OG0000007	Syaj.g_01721	Syab.g_02256
OG0000008	Syaj.g_00496	Syab.g_01755
OG0000008	Syaj.g_00497	Syab.g_01168
OG0000009	Syaj.g_01069	Syab.g_00995
OG0000009	Syaj.g_01885	Syab.g_02498
OG0000010	Syaj.g_01445	Syab.g_00696
OG0000012	Syaj.g_00172	Syab.g_01774, Syab.g_00953
OG0000013	Syaj.g_02782	Syab.g_00497
OG0000013	Syaj.g_02769	Syab.g_00482
OG0000013	Syaj.g_02774	Syab.g_00487
OG0000014	Syaj.g_02522	Syab.g_00249
OG0000014	Syaj.g_02344	Syab.g_00178
OG0000015	Syaj.g_02242	Syab.g_02889
OG0000016	Syaj.g_02276	Syab.g_00014
OG0000016	Syaj.g_00590	Syab.g_01049
OG0000017	Syaj.g_00255	Syab.g_01945
OG0000017	Syaj.g_00248	Syab.g_01953
OG0000018	Syaj.g_01413	Syab.g_00742
OG0000019	Syaj.g_02613	Syab.g_00344
OG0000022	Syaj.g_01220	Syab.g_01825
OG0000023	Syaj.g_01791	Syab.g_02058, Syab.g_01294
OG0000024	Syaj.g_00500	Syab.g_01834
OG0000025	Syaj.g_00383	Syab.g_01705
OG0000026	Syaj.g_02298	Syab.g_00036
OG0000027	Syaj.g_00396	Syab.g_01782
OG0000028	Syaj.g_02506	Syab.g_00234
OG0000030	Syaj.g_02396	Syab.g_00096
OG0000030	Syaj.g_02395	Syab.g_00095
OG0000031	Syaj.g_02501	Syab.g_00160
OG0000032	Syaj.g_01432	Syab.g_00724
OG0000033	Syaj.g_01990	Syab.g_02590
OG0000034	Syaj.g_01959	Syab.g_00900, Syab.g_02560
OG0000035	Syaj.g_01378	Syab.g_00776
OG0000037	Syaj.g_01891, Syaj.g_02902	Syab.g_02504
OG0000038	Syaj.g_02115	Syab.g_02759
