Orthogroup	Syaj	Prak
OG0000001	Syaj.g_02674	Prak.g_01302, Prak.g_00755
OG0000002	Syaj.g_02667	Prak.g_00908, Prak.g_00913, Prak.g_01202, Prak.g_01323, Prak.g_01200, Prak.g_01207, Prak.g_01494, Prak.g_00805
OG0000004	Syaj.g_00441	Prak.g_00826
OG0000004	Syaj.g_01314, Syaj.g_02853	Prak.g_00248
OG0000005	Syaj.g_01698	Prak.g_01474
OG0000006	Syaj.g_02635	Prak.g_00258
OG0000007	Syaj.g_00091	Prak.g_00458
OG0000007	Syaj.g_01721	Prak.g_01645
OG0000008	Syaj.g_00496	Prak.g_01544
OG0000008	Syaj.g_00497	Prak.g_01545, Prak.g_01546
OG0000009	Syaj.g_01069	Prak.g_01486
OG0000010	Syaj.g_01445	Prak.g_00739, Prak.g_01034, Prak.g_00435
OG0000011	Syaj.g_01780	Prak.g_00660
OG0000012	Syaj.g_00003, Syaj.g_01793, Syaj.g_00831	Prak.g_01506
OG0000012	Syaj.g_01306	Prak.g_00584
OG0000013	Syaj.g_02782, Syaj.g_02769, Syaj.g_02774	Prak.g_00343
OG0000014	Syaj.g_02522	Prak.g_00325
OG0000015	Syaj.g_00725, Syaj.g_02659	Prak.g_01584, Prak.g_01630
OG0000016	Syaj.g_02276	Prak.g_00013
OG0000016	Syaj.g_00590, Syaj.g_01191	Prak.g_01230
OG0000017	Syaj.g_00255	Prak.g_00566
OG0000017	Syaj.g_00248	Prak.g_00559
OG0000018	Syaj.g_01413	Prak.g_01194, Prak.g_00873
OG0000019	Syaj.g_02613	Prak.g_00266, Prak.g_01196
OG0000021	Syaj.g_00982	Prak.g_01499
OG0000021	Syaj.g_00042	Prak.g_00831
OG0000022	Syaj.g_01220	Prak.g_01482
OG0000023	Syaj.g_00829, Syaj.g_01791	Prak.g_00721
OG0000024	Syaj.g_00500	Prak.g_01038, Prak.g_00802
OG0000025	Syaj.g_00383	Prak.g_00881
OG0000026	Syaj.g_02298	Prak.g_00032
OG0000027	Syaj.g_00396	Prak.g_01564, Prak.g_01521
OG0000028	Syaj.g_02506	Prak.g_01543
OG0000029	Syaj.g_01229	Prak.g_01735, Prak.g_01534, Prak.g_01576
OG0000030	Syaj.g_02396, Syaj.g_02395	Prak.g_01853
OG0000032	Syaj.g_01432	Prak.g_01430
OG0000033	Syaj.g_01990	Prak.g_00181
OG0000034	Syaj.g_01959	Prak.g_01288
OG0000035	Syaj.g_01378	Prak.g_01391
OG0000037	Syaj.g_01891, Syaj.g_02902	Prak.g_00115
OG0000038	Syaj.g_02115	Prak.g_01893
OG0000039	Syaj.g_00392, Syaj.g_00275	Prak.g_00814
OG0000041	Syaj.g_01602	Prak.g_01692
OG0000042	Syaj.g_02399	Prak.g_01850
OG0000043	Syaj.g_01247	Prak.g_01193
OG0000046	Syaj.g_02768, Syaj.g_02775, Syaj.g_02781	Prak.g_00344
OG0000047	Syaj.g_02799	Prak.g_00385
OG0000048	Syaj.g_02578	Prak.g_01264, Prak.g_00289
OG0000050	Syaj.g_01242	Prak.g_00741
OG0000052	Syaj.g_02476	Prak.g_01369
OG0000053	Syaj.g_01409	Prak.g_01590, Prak.g_01412
OG0000054	Syaj.g_01341	Prak.g_00568
OG0000055	Syaj.g_00394	Prak.g_01221
OG0000057	Syaj.g_00438	Prak.g_00829
OG0000058	Syaj.g_02495	Prak.g_01351
OG0000059	Syaj.g_02686	Prak.g_01732
OG0000061	Syaj.g_00302	Prak.g_01172
OG0000062	Syaj.g_01700	Prak.g_01476
OG0000063	Syaj.g_02302	Prak.g_01530
OG0000064	Syaj.g_00041, Syaj.g_01253	Prak.g_00072
OG0000065	Syaj.g_00007, Syaj.g_01887	Prak.g_00113
OG0000066	Syaj.g_00157	Prak.g_00498, Prak.g_01557
OG0000067	Syaj.g_01023	Prak.g_00845
OG0000068	Syaj.g_00059	Prak.g_01329
OG0000070	Syaj.g_01529	Prak.g_00412
OG0000071	Syaj.g_01511	Prak.g_01277
OG0000072	Syaj.g_01992	Prak.g_00183
OG0000073	Syaj.g_00093	Prak.g_00461
OG0000075	Syaj.g_02457	Prak.g_01816
OG0000076	Syaj.g_02417	Prak.g_01842
OG0000077	Syaj.g_01831	Prak.g_00083
OG0000078	Syaj.g_02880	Prak.g_00256
OG0000079	Syaj.g_02609	Prak.g_00269
OG0000081	Syaj.g_02888	Prak.g_00490
OG0000082	Syaj.g_00229	Prak.g_00546, Prak.g_01634
OG0000084	Syaj.g_01375	Prak.g_01388
OG0000085	Syaj.g_01707	Prak.g_01637, Prak.g_01516
OG0000086	Syaj.g_01848	Prak.g_00092
OG0000087	Syaj.g_01945	Prak.g_00147
OG0000088	Syaj.g_01986	Prak.g_00178
OG0000089	Syaj.g_02829, Syaj.g_01915	Prak.g_00379
OG0000090	Syaj.g_00144	Prak.g_00492
OG0000091	Syaj.g_01275	Prak.g_01100
OG0000092	Syaj.g_00339	Prak.g_00775
OG0000097	Syaj.g_00589	Prak.g_01126
OG0000098	Syaj.g_02671	Prak.g_01305
OG0000099	Syaj.g_02503	Prak.g_01352
OG0000100	Syaj.g_00987	Prak.g_01470
OG0000101	Syaj.g_02738	Prak.g_01780
OG0000102	Syaj.g_02411	Prak.g_01847
OG0000103	Syaj.g_02243	Prak.g_01932
OG0000104	Syaj.g_02258	Prak.g_01941
OG0000105	Syaj.g_02573	Prak.g_00292
OG0000106	Syaj.g_01130	Prak.g_00687
OG0000107	Syaj.g_02637	Prak.g_01709
OG0000108	Syaj.g_00072	Prak.g_00441
OG0000109	Syaj.g_00087	Prak.g_00455
OG0000110	Syaj.g_00215	Prak.g_00535
OG0000111	Syaj.g_00437	Prak.g_00830
