Orthogroup	Syaj	Prao
OG0000001	Syaj.g_02674	Prao.g_01254, Prao.g_01852, Prao.g_01529
OG0000002	Syaj.g_02667	Prao.g_01246, Prao.g_00116
OG0000004	Syaj.g_00441	Prao.g_00133
OG0000004	Syaj.g_01314, Syaj.g_02853	Prao.g_00370
OG0000005	Syaj.g_01736	Prao.g_01565
OG0000005	Syaj.g_01698	Prao.g_01472
OG0000006	Syaj.g_02635	Prao.g_00379
OG0000007	Syaj.g_00091	Prao.g_00603
OG0000007	Syaj.g_01721	Prao.g_01552
OG0000009	Syaj.g_01069	Prao.g_01342, Prao.g_01507
OG0000010	Syaj.g_01445	Prao.g_00985, Prao.g_00580
OG0000011	Syaj.g_01133	Prao.g_01307
OG0000011	Syaj.g_01780	Prao.g_00529
OG0000012	Syaj.g_00003, Syaj.g_01793, Syaj.g_00831, Syaj.g_00172, Syaj.g_01306	Prao.g_00062
OG0000013	Syaj.g_02782, Syaj.g_02769, Syaj.g_02774	Prao.g_00463
OG0000014	Syaj.g_02522, Syaj.g_02344	Prao.g_01213
OG0000015	Syaj.g_00725, Syaj.g_02659	Prao.g_00703
OG0000016	Syaj.g_02276	Prao.g_00160
OG0000017	Syaj.g_00248	Prao.g_00036
OG0000018	Syaj.g_01413	Prao.g_01108, Prao.g_00768
OG0000019	Syaj.g_02613	Prao.g_00387, Prao.g_00720
OG0000021	Syaj.g_00982	Prao.g_01346, Prao.g_00500
OG0000022	Syaj.g_01220	Prao.g_00699, Prao.g_01126
OG0000023	Syaj.g_00829, Syaj.g_01791	Prao.g_00494
OG0000024	Syaj.g_00500	Prao.g_00683, Prao.g_00114
OG0000025	Syaj.g_00383	Prao.g_00776, Prao.g_00467
OG0000026	Syaj.g_02298	Prao.g_00177, Prao.g_00992
OG0000027	Syaj.g_00396	Prao.g_00576, Prao.g_01293
OG0000028	Syaj.g_02506	Prao.g_00456, Prao.g_01348
OG0000029	Syaj.g_01229	Prao.g_00510, Prao.g_00690
OG0000030	Syaj.g_02396, Syaj.g_02395	Prao.g_01753
OG0000033	Syaj.g_01990	Prao.g_00307
OG0000034	Syaj.g_01959	Prao.g_01266
OG0000035	Syaj.g_01378	Prao.g_01397
OG0000037	Syaj.g_01891, Syaj.g_02902	Prao.g_00247
OG0000038	Syaj.g_02115	Prao.g_01794
OG0000039	Syaj.g_00392, Syaj.g_00275	Prao.g_00124
OG0000041	Syaj.g_01602	Prao.g_01598
OG0000042	Syaj.g_02399	Prao.g_01750
OG0000043	Syaj.g_01247	Prao.g_00812, Prao.g_01331
OG0000047	Syaj.g_02799	Prao.g_00466
OG0000048	Syaj.g_02578	Prao.g_00509
OG0000051	Syaj.g_02898	Prao.g_01304
OG0000052	Syaj.g_02476	Prao.g_01358
OG0000053	Syaj.g_01409	Prao.g_01417
OG0000054	Syaj.g_01341	Prao.g_00044
OG0000055	Syaj.g_00394	Prao.g_00721
OG0000057	Syaj.g_00438	Prao.g_00136
OG0000058	Syaj.g_02495	Prao.g_01191
OG0000059	Syaj.g_02686	Prao.g_01639
OG0000061	Syaj.g_00302	Prao.g_01089
OG0000063	Syaj.g_02302	Prao.g_00179
OG0000065	Syaj.g_00007, Syaj.g_01887	Prao.g_00245
OG0000067	Syaj.g_01023	Prao.g_00741
OG0000068	Syaj.g_00059	Prao.g_01239
OG0000070	Syaj.g_01529	Prao.g_00554
OG0000071	Syaj.g_01511	Prao.g_01276
OG0000072	Syaj.g_01992	Prao.g_00309
OG0000073	Syaj.g_00093	Prao.g_00605
OG0000075	Syaj.g_02457	Prao.g_01719
OG0000076	Syaj.g_02417	Prao.g_01743
OG0000077	Syaj.g_01831	Prao.g_00217
OG0000078	Syaj.g_02880	Prao.g_00377
OG0000079	Syaj.g_02609	Prao.g_00390
OG0000081	Syaj.g_02888	Prao.g_01860
OG0000082	Syaj.g_00229	Prao.g_00024
OG0000084	Syaj.g_01375	Prao.g_01393
OG0000085	Syaj.g_01707	Prao.g_01545
OG0000086	Syaj.g_01848	Prao.g_00227
OG0000087	Syaj.g_01945	Prao.g_00277
OG0000088	Syaj.g_01986	Prao.g_00304
OG0000089	Syaj.g_02829, Syaj.g_01915	Prao.g_00490
OG0000090	Syaj.g_00144	Prao.g_01858
OG0000091	Syaj.g_01275	Prao.g_00081
OG0000092	Syaj.g_00339	Prao.g_00850
OG0000094	Syaj.g_00804	Prao.g_00955
OG0000097	Syaj.g_00589	Prao.g_01048
OG0000098	Syaj.g_02671	Prao.g_01257
OG0000099	Syaj.g_02503	Prao.g_01214
OG0000100	Syaj.g_00987	Prao.g_01470
OG0000101	Syaj.g_02738	Prao.g_01687
OG0000102	Syaj.g_02411	Prao.g_01748
OG0000103	Syaj.g_02243	Prao.g_01828
OG0000104	Syaj.g_02258	Prao.g_01837
OG0000105	Syaj.g_02573	Prao.g_01378
OG0000106	Syaj.g_01130	Prao.g_00505
OG0000107	Syaj.g_02637	Prao.g_00518
OG0000108	Syaj.g_00072	Prao.g_00586
OG0000109	Syaj.g_00087	Prao.g_00600
OG0000110	Syaj.g_00215	Prao.g_01867
OG0000111	Syaj.g_00437	Prao.g_00137
OG0000112	Syaj.g_00907	Prao.g_00704
OG0000113	Syaj.g_00992	Prao.g_00763
OG0000114	Syaj.g_00741	Prao.g_00845
OG0000115	Syaj.g_01402	Prao.g_01150
OG0000116	Syaj.g_00289	Prao.g_01099
OG0000117	Syaj.g_00637	Prao.g_01332
OG0000118	Syaj.g_00267	Prao.g_01264
OG0000119	Syaj.g_00317	Prao.g_01243
OG0000120	Syaj.g_02502	Prao.g_01215
OG0000121	Syaj.g_01383	Prao.g_01399
OG0000122	Syaj.g_01250	Prao.g_01436
OG0000123	Syaj.g_02745	Prao.g_01694
OG0000124	Syaj.g_02388	Prao.g_01759
OG0000125	Syaj.g_02117	Prao.g_01796
OG0000126	Syaj.g_02256	Prao.g_01836
OG0000128	Syaj.g_02274	Prao.g_00158
OG0000129	Syaj.g_02106	Prao.g_00190
OG0000130	Syaj.g_01818	Prao.g_00208
OG0000131	Syaj.g_01964	Prao.g_00283
OG0000132	Syaj.g_01984	Prao.g_00302
OG0000133	Syaj.g_00902	Prao.g_00458
OG0000134	Syaj.g_02832	Prao.g_00491
OG0000135	Syaj.g_02167	Prao.g_00516
OG0000136	Syaj.g_01550	Prao.g_00545
OG0000137	Syaj.g_01444	Prao.g_00581
OG0000138	Syaj.g_00088	Prao.g_00601
OG0000139	Syaj.g_00150	Prao.g_01854
OG0000140	Syaj.g_00153	Prao.g_01853
OG0000141	Syaj.g_01340	Prao.g_00045
OG0000142	Syaj.g_01283	Prao.g_00074
OG0000143	Syaj.g_01279	Prao.g_00078
OG0000144	Syaj.g_01151	Prao.g_00091
OG0000145	Syaj.g_00094	Prao.g_00701
OG0000146	Syaj.g_00908	Prao.g_00705
OG0000147	Syaj.g_00909	Prao.g_00706
OG0000148	Syaj.g_01003	Prao.g_00757
OG0000149	Syaj.g_00369	Prao.g_00788
OG0000150	Syaj.g_01339, Syaj.g_00154	Prao.g_00796
OG0000151	Syaj.g_01074	Prao.g_00855
OG0000152	Syaj.g_00898	Prao.g_00902
OG0000153	Syaj.g_00842	Prao.g_00921
OG0000154	Syaj.g_00814	Prao.g_00948
OG0000155	Syaj.g_00338	Prao.g_01069
OG0000156	Syaj.g_00282	Prao.g_01287
OG0000157	Syaj.g_00281	Prao.g_01286
OG0000158	Syaj.g_02445	Prao.g_01220
OG0000160	Syaj.g_01382	Prao.g_01398
OG0000161	Syaj.g_01389	Prao.g_01404
OG0000162	Syaj.g_01395	Prao.g_01410
OG0000163	Syaj.g_01639	Prao.g_01443
OG0000164	Syaj.g_01758	Prao.g_01576
OG0000165	Syaj.g_01582	Prao.g_01583
OG0000166	Syaj.g_02698	Prao.g_01651
OG0000167	Syaj.g_02460	Prao.g_01717
OG0000168	Syaj.g_02444	Prao.g_01727
OG0000169	Syaj.g_02431, Syaj.g_02429	Prao.g_01737
OG0000170	Syaj.g_02422	Prao.g_01739
OG0000171	Syaj.g_02389	Prao.g_01758
OG0000172	Syaj.g_02365	Prao.g_01767
OG0000173	Syaj.g_02321	Prao.g_01782
OG0000174	Syaj.g_02169	Prao.g_01810
OG0000175	Syaj.g_02229	Prao.g_01820
OG0000176	Syaj.g_02266	Prao.g_01845
OG0000177	Syaj.g_02267	Prao.g_01846
OG0000178	Syaj.g_02268	Prao.g_01847
OG0000179	Syaj.g_02283	Prao.g_00163
OG0000180	Syaj.g_02284	Prao.g_00164
OG0000181	Syaj.g_02285	Prao.g_00165
OG0000182	Syaj.g_02286	Prao.g_00166
OG0000183	Syaj.g_02290	Prao.g_00170
OG0000184	Syaj.g_02098	Prao.g_00192
OG0000185	Syaj.g_02087	Prao.g_00195
OG0000186	Syaj.g_01812	Prao.g_00203
OG0000187	Syaj.g_01814	Prao.g_00204
OG0000188	Syaj.g_01837	Prao.g_00221
OG0000189	Syaj.g_01874	Prao.g_00235
OG0000190	Syaj.g_01876	Prao.g_00236
OG0000191	Syaj.g_01910	Prao.g_00256
OG0000192	Syaj.g_01919	Prao.g_00260
OG0000193	Syaj.g_01965	Prao.g_00284
OG0000194	Syaj.g_01968	Prao.g_00287
OG0000195	Syaj.g_01971	Prao.g_00289
OG0000196	Syaj.g_01981	Prao.g_00299
OG0000197	Syaj.g_01982	Prao.g_00300
OG0000198	Syaj.g_01983	Prao.g_00301
OG0000199	Syaj.g_01991	Prao.g_00308
OG0000200	Syaj.g_02008	Prao.g_00322
OG0000201	Syaj.g_02024	Prao.g_00330
OG0000202	Syaj.g_02025	Prao.g_00331
OG0000203	Syaj.g_02026	Prao.g_00332
OG0000204	Syaj.g_02027	Prao.g_00333
OG0000205	Syaj.g_02035	Prao.g_00340
OG0000206	Syaj.g_02043	Prao.g_00345
OG0000207	Syaj.g_02045	Prao.g_00347
OG0000208	Syaj.g_02046	Prao.g_00348
OG0000209	Syaj.g_02070	Prao.g_00357
OG0000210	Syaj.g_02071	Prao.g_00358
OG0000212	Syaj.g_02881	Prao.g_00378
OG0000213	Syaj.g_02601	Prao.g_00395
OG0000214	Syaj.g_02582	Prao.g_00405
OG0000215	Syaj.g_02551	Prao.g_00429
OG0000216	Syaj.g_02547	Prao.g_00431
OG0000217	Syaj.g_02543	Prao.g_00434
OG0000218	Syaj.g_02541	Prao.g_00436
OG0000219	Syaj.g_02540	Prao.g_00437
OG0000220	Syaj.g_02539	Prao.g_00438
OG0000221	Syaj.g_02530	Prao.g_00439
OG0000222	Syaj.g_02516	Prao.g_00446
OG0000223	Syaj.g_02494	Prao.g_00459
OG0000224	Syaj.g_02487	Prao.g_00461
OG0000225	Syaj.g_02821	Prao.g_00480
OG0000226	Syaj.g_02825	Prao.g_00484
OG0000227	Syaj.g_02827	Prao.g_00486
