Orthogroup	Syaj	Prbc
OG0000001	Syaj.g_02674	Prbc.g_00588, Prbc.g_00892, Prbc.g_01530, Prbc.g_00925
OG0000002	Syaj.g_02667	Prbc.g_01920, Prbc.g_01475, Prbc.g_01474, Prbc.g_01479, Prbc.g_01473, Prbc.g_01478, Prbc.g_01759
OG0000004	Syaj.g_00441	Prbc.g_01381
OG0000004	Syaj.g_01314, Syaj.g_02853	Prbc.g_00339
OG0000005	Syaj.g_01736	Prbc.g_00098
OG0000005	Syaj.g_01698	Prbc.g_00788
OG0000006	Syaj.g_02635	Prbc.g_02202
OG0000007	Syaj.g_00091	Prbc.g_01556
OG0000007	Syaj.g_01721	Prbc.g_00832
OG0000008	Syaj.g_00496	Prbc.g_00893
OG0000008	Syaj.g_00497	Prbc.g_00894
OG0000009	Syaj.g_01069	Prbc.g_01344
OG0000010	Syaj.g_01445	Prbc.g_02115, Prbc.g_01533
OG0000011	Syaj.g_01133	Prbc.g_00164
OG0000011	Syaj.g_01780	Prbc.g_00066
OG0000012	Syaj.g_00003, Syaj.g_01793, Syaj.g_00831	Prbc.g_02155
OG0000013	Syaj.g_02782, Syaj.g_02769, Syaj.g_02774	Prbc.g_01219
OG0000014	Syaj.g_02522	Prbc.g_01198
OG0000014	Syaj.g_02344	Prbc.g_00680
OG0000015	Syaj.g_00725, Syaj.g_02659	Prbc.g_00599
OG0000016	Syaj.g_02276	Prbc.g_01083
OG0000016	Syaj.g_00590, Syaj.g_01191	Prbc.g_00929
OG0000017	Syaj.g_00248	Prbc.g_01681
OG0000018	Syaj.g_01413	Prbc.g_01468, Prbc.g_01887
OG0000019	Syaj.g_02613	Prbc.g_01836
OG0000021	Syaj.g_00982	Prbc.g_00924
OG0000021	Syaj.g_00042	Prbc.g_02189
OG0000022	Syaj.g_01220	Prbc.g_00166, Prbc.g_01288
OG0000023	Syaj.g_00829, Syaj.g_01791	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071
OG0000024	Syaj.g_00500	Prbc.g_00598, Prbc.g_01755
OG0000025	Syaj.g_00383	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894
OG0000026	Syaj.g_02298	Prbc.g_01101
OG0000027	Syaj.g_00396	Prbc.g_00072
OG0000028	Syaj.g_02506	Prbc.g_00653
OG0000030	Syaj.g_02396, Syaj.g_02395	Prbc.g_00199
OG0000032	Syaj.g_01432	Prbc.g_00746
OG0000033	Syaj.g_01990	Prbc.g_00402
OG0000034	Syaj.g_01959	Prbc.g_00575
OG0000035	Syaj.g_01378	Prbc.g_00709
OG0000037	Syaj.g_01891, Syaj.g_02902	Prbc.g_00464
OG0000038	Syaj.g_02115	Prbc.g_00995
OG0000039	Syaj.g_00392, Syaj.g_00275	Prbc.g_01768
OG0000041	Syaj.g_01602	Prbc.g_00877
OG0000042	Syaj.g_02399	Prbc.g_00203
OG0000043	Syaj.g_01247	Prbc.g_01953, Prbc.g_00135
OG0000044	Syaj.g_01344	Prbc.g_00533
OG0000046	Syaj.g_02768, Syaj.g_02775, Syaj.g_02781	Prbc.g_01220
OG0000047	Syaj.g_02799	Prbc.g_01273, Prbc.g_01227
OG0000048	Syaj.g_02578	Prbc.g_01165
OG0000053	Syaj.g_01409	Prbc.g_00728
OG0000054	Syaj.g_01341	Prbc.g_01683
OG0000055	Syaj.g_00394	Prbc.g_01822
OG0000056	Syaj.g_00985, Syaj.g_02864, Syaj.g_01794	Prbc.g_01108, Prbc.g_00011, Prbc.g_00532
OG0000057	Syaj.g_00438	Prbc.g_01780, Prbc.g_00055
OG0000058	Syaj.g_02495	Prbc.g_01928
OG0000059	Syaj.g_02686	Prbc.g_00958
OG0000061	Syaj.g_00302	Prbc.g_01446
OG0000063	Syaj.g_02302	Prbc.g_00932
OG0000065	Syaj.g_00007, Syaj.g_01887	Prbc.g_00466
OG0000066	Syaj.g_00157	Prbc.g_01618
OG0000067	Syaj.g_01023	Prbc.g_01858
OG0000068	Syaj.g_00059	Prbc.g_00657
OG0000070	Syaj.g_01529	Prbc.g_01511
OG0000071	Syaj.g_01511	Prbc.g_00566
OG0000072	Syaj.g_01992	Prbc.g_00400
OG0000073	Syaj.g_00093	Prbc.g_01579
OG0000075	Syaj.g_02457	Prbc.g_00236
OG0000076	Syaj.g_02417	Prbc.g_00211
OG0000077	Syaj.g_01831	Prbc.g_00495
OG0000078	Syaj.g_02880	Prbc.g_00330
OG0000079	Syaj.g_02609	Prbc.g_01148
OG0000080	Syaj.g_02022, Syaj.g_02368	Prbc.g_00679
OG0000081	Syaj.g_02888	Prbc.g_01610
OG0000082	Syaj.g_00229	Prbc.g_00891
OG0000084	Syaj.g_01375	Prbc.g_00705
OG0000085	Syaj.g_01707	Prbc.g_00826
OG0000086	Syaj.g_01848	Prbc.g_00485
OG0000087	Syaj.g_01945	Prbc.g_00432
OG0000088	Syaj.g_01986	Prbc.g_00405
OG0000089	Syaj.g_02829, Syaj.g_01915	Prbc.g_01268
OG0000090	Syaj.g_00144	Prbc.g_01612
OG0000091	Syaj.g_01275	Prbc.g_01719
OG0000092	Syaj.g_00339	Prbc.g_01982, Prbc.g_01110, Prbc.g_00263
OG0000097	Syaj.g_00589	Prbc.g_01400
OG0000098	Syaj.g_02671	Prbc.g_00585
OG0000099	Syaj.g_02503	Prbc.g_01229
OG0000100	Syaj.g_00987	Prbc.g_00785
OG0000101	Syaj.g_02738	Prbc.g_00284
OG0000102	Syaj.g_02411	Prbc.g_00206
OG0000103	Syaj.g_02243	Prbc.g_01053
OG0000104	Syaj.g_02258	Prbc.g_01065
OG0000105	Syaj.g_02573	Prbc.g_01167
OG0000106	Syaj.g_01130	Prbc.g_00134, Prbc.g_00641
OG0000107	Syaj.g_02637	Prbc.g_00934
OG0000108	Syaj.g_00072	Prbc.g_01540
OG0000109	Syaj.g_00087	Prbc.g_01553
OG0000110	Syaj.g_00215	Prbc.g_01654
OG0000111	Syaj.g_00437	Prbc.g_01781
OG0000112	Syaj.g_00907	Prbc.g_02028
OG0000113	Syaj.g_00992	Prbc.g_01882, Prbc.g_00153
OG0000114	Syaj.g_00741	Prbc.g_01977
OG0000115	Syaj.g_01402	Prbc.g_00801
OG0000116	Syaj.g_00289	Prbc.g_01457
OG0000117	Syaj.g_00637	Prbc.g_00102
OG0000118	Syaj.g_00267	Prbc.g_00577
OG0000119	Syaj.g_00317	Prbc.g_00650
OG0000120	Syaj.g_02502	Prbc.g_01753
OG0000121	Syaj.g_01383	Prbc.g_00711
OG0000122	Syaj.g_01250	Prbc.g_00750
OG0000123	Syaj.g_02745	Prbc.g_00277
OG0000124	Syaj.g_02388	Prbc.g_00193
OG0000125	Syaj.g_02117	Prbc.g_00997
OG0000126	Syaj.g_02256	Prbc.g_01063
OG0000127	Syaj.g_00538	Prbc.g_01352, Prbc.g_00621
OG0000127	Syaj.g_00036	Prbc.g_01367
OG0000128	Syaj.g_02274	Prbc.g_01081
OG0000129	Syaj.g_02106	Prbc.g_01122
OG0000130	Syaj.g_01818	Prbc.g_00504
OG0000131	Syaj.g_01964	Prbc.g_00426
OG0000132	Syaj.g_01984, Syaj.g_00688	Prbc.g_00407
OG0000133	Syaj.g_00902	Prbc.g_01214
OG0000134	Syaj.g_02832	Prbc.g_01270
OG0000135	Syaj.g_02167	Prbc.g_02198, Prbc.g_02183
OG0000136	Syaj.g_01550	Prbc.g_01502
OG0000137	Syaj.g_01444	Prbc.g_01534
OG0000138	Syaj.g_00088	Prbc.g_01554
OG0000139	Syaj.g_00150	Prbc.g_01616
OG0000140	Syaj.g_00153	Prbc.g_01617
OG0000141	Syaj.g_01340	Prbc.g_01684
OG0000142	Syaj.g_01283	Prbc.g_01712
OG0000143	Syaj.g_01279	Prbc.g_01716
OG0000144	Syaj.g_01151	Prbc.g_01729
OG0000145	Syaj.g_00094	Prbc.g_02142
OG0000146	Syaj.g_00908	Prbc.g_02027
OG0000147	Syaj.g_00909	Prbc.g_02026
OG0000148	Syaj.g_01003	Prbc.g_01876
OG0000149	Syaj.g_00369	Prbc.g_01908
OG0000150	Syaj.g_01339, Syaj.g_00154	Prbc.g_01916
OG0000151	Syaj.g_01074	Prbc.g_01988
OG0000152	Syaj.g_00898	Prbc.g_02036
OG0000153	Syaj.g_00842	Prbc.g_02054
OG0000154	Syaj.g_00814	Prbc.g_02083
OG0000155	Syaj.g_00338	Prbc.g_01424
OG0000156	Syaj.g_00282	Prbc.g_00555
