Orthogroup	Syaj	Prag
OG0000001	Syaj.g_02674	Prag.g_01374, Prag.g_01654, Prag.g_00764, Prag.g_01216, Prag.g_01215, Prag.g_01651
OG0000002	Syaj.g_02667	Prag.g_01382, Prag.g_00656
OG0000004	Syaj.g_00441	Prag.g_00673
OG0000004	Syaj.g_01314, Syaj.g_02853	Prag.g_00225
OG0000005	Syaj.g_01736	Prag.g_01682
OG0000005	Syaj.g_01698	Prag.g_01566
OG0000006	Syaj.g_02635	Prag.g_00234, Prag.g_01231
OG0000007	Syaj.g_00091	Prag.g_00476
OG0000007	Syaj.g_01721	Prag.g_01669
OG0000008	Syaj.g_00496	Prag.g_01655
OG0000008	Syaj.g_00497	Prag.g_01656
OG0000009	Syaj.g_01069	Prag.g_01600
OG0000009	Syaj.g_01885	Prag.g_00098
OG0000010	Syaj.g_01445	Prag.g_01043, Prag.g_00453
OG0000011	Syaj.g_01133	Prag.g_01326
OG0000012	Syaj.g_00003, Syaj.g_01793, Syaj.g_00831, Syaj.g_00172, Syaj.g_01306	Prag.g_00601
OG0000013	Syaj.g_02782, Syaj.g_02769, Syaj.g_02774	Prag.g_00318
OG0000014	Syaj.g_02522	Prag.g_00297
OG0000015	Syaj.g_00725, Syaj.g_02659	Prag.g_00765
OG0000016	Syaj.g_02276	Prag.g_00013
OG0000016	Syaj.g_01191	Prag.g_01638
OG0000017	Syaj.g_00248	Prag.g_00576
OG0000018	Syaj.g_01413	Prag.g_01134, Prag.g_00833
OG0000019	Syaj.g_02613	Prag.g_00242, Prag.g_00786
OG0000021	Syaj.g_00982	Prag.g_01633, Prag.g_00359
OG0000022	Syaj.g_01220	Prag.g_00757, Prag.g_01116
OG0000023	Syaj.g_00829, Syaj.g_01791	Prag.g_00354
OG0000024	Syaj.g_00500	Prag.g_00740, Prag.g_00653
OG0000025	Syaj.g_00383	Prag.g_00839, Prag.g_00322
OG0000026	Syaj.g_02298	Prag.g_00031, Prag.g_01050
OG0000027	Syaj.g_00396	Prag.g_00449, Prag.g_01646, Prag.g_01336
OG0000028	Syaj.g_02506	Prag.g_00311, Prag.g_01270
OG0000029	Syaj.g_01229	Prag.g_00748
OG0000030	Syaj.g_02396, Syaj.g_02395	Prag.g_01871
OG0000033	Syaj.g_01990	Prag.g_00162
OG0000034	Syaj.g_01959	Prag.g_01365
OG0000035	Syaj.g_01378	Prag.g_01490, Prag.g_01488
OG0000037	Syaj.g_01891, Syaj.g_02902	Prag.g_00102
OG0000038	Syaj.g_02115	Prag.g_01911
OG0000039	Syaj.g_00392, Syaj.g_00275	Prag.g_00664
OG0000041	Syaj.g_01602	Prag.g_01716
OG0000042	Syaj.g_02399	Prag.g_01868
OG0000043	Syaj.g_01247	Prag.g_00876
OG0000047	Syaj.g_02799	Prag.g_00321
OG0000048	Syaj.g_02578	Prag.g_01658, Prag.g_00368
OG0000051	Syaj.g_02898	Prag.g_01329
OG0000052	Syaj.g_02476	Prag.g_01444
OG0000053	Syaj.g_01409	Prag.g_01510
OG0000054	Syaj.g_01341	Prag.g_00584
OG0000055	Syaj.g_00394	Prag.g_00787
OG0000057	Syaj.g_00438	Prag.g_00676
OG0000058	Syaj.g_02495	Prag.g_01428
OG0000059	Syaj.g_02686	Prag.g_01755
OG0000060	Syaj.g_00635	Prag.g_00760
OG0000061	Syaj.g_00302	Prag.g_01153
OG0000063	Syaj.g_02302	Prag.g_00033
OG0000065	Syaj.g_00007, Syaj.g_01887	Prag.g_00100
OG0000066	Syaj.g_00157	Prag.g_00518
OG0000067	Syaj.g_01023	Prag.g_00806
OG0000068	Syaj.g_00059	Prag.g_01389
OG0000070	Syaj.g_01529	Prag.g_00429
OG0000071	Syaj.g_01511	Prag.g_01355
OG0000072	Syaj.g_01992	Prag.g_00164
OG0000073	Syaj.g_00093	Prag.g_00478
OG0000075	Syaj.g_02457	Prag.g_01836
