Orthogroup	Syaj	Prbn
OG0000001	Syaj.g_02674	Prbn.g_01213, Prbn.g_01923
OG0000002	Syaj.g_02667	Prbn.g_01483, Prbn.g_01478, Prbn.g_01159, Prbn.g_01234, Prbn.g_01161, Prbn.g_01154, Prbn.g_00879, Prbn.g_01586
OG0000004	Syaj.g_00441	Prbn.g_01565
OG0000004	Syaj.g_01314, Syaj.g_02853	Prbn.g_00318
OG0000005	Syaj.g_01698	Prbn.g_00899
OG0000006	Syaj.g_02635	Prbn.g_00308
OG0000007	Syaj.g_00091	Prbn.g_00617
OG0000007	Syaj.g_01721	Prbn.g_01745
OG0000008	Syaj.g_00496	Prbn.g_01645
OG0000008	Syaj.g_00497	Prbn.g_01646
OG0000009	Syaj.g_01069	Prbn.g_00887
OG0000010	Syaj.g_01445	Prbn.g_01939, Prbn.g_01357, Prbn.g_00640
OG0000011	Syaj.g_01780	Prbn.g_00802
OG0000012	Syaj.g_00003, Syaj.g_01793, Syaj.g_00831	Prbn.g_00867
OG0000012	Syaj.g_01306	Prbn.g_00492
OG0000013	Syaj.g_02782, Syaj.g_02769, Syaj.g_02774	Prbn.g_00092
OG0000014	Syaj.g_02522	Prbn.g_00074
OG0000015	Syaj.g_00725, Syaj.g_02659	Prbn.g_01684, Prbn.g_01730
OG0000016	Syaj.g_00590, Syaj.g_01191	Prbn.g_01131
OG0000017	Syaj.g_00255	Prbn.g_00510
OG0000017	Syaj.g_00248	Prbn.g_00517
OG0000018	Syaj.g_01413	Prbn.g_01167, Prbn.g_01518
OG0000019	Syaj.g_02613	Prbn.g_00015, Prbn.g_01165
OG0000021	Syaj.g_00982	Prbn.g_00874
OG0000021	Syaj.g_00042	Prbn.g_01560
OG0000022	Syaj.g_01220	Prbn.g_00891
OG0000023	Syaj.g_00829, Syaj.g_01791	Prbn.g_01030
OG0000024	Syaj.g_00500	Prbn.g_01353, Prbn.g_01589
OG0000025	Syaj.g_00383	Prbn.g_01510
OG0000026	Syaj.g_02298	Prbn.g_00750
OG0000027	Syaj.g_00396	Prbn.g_01664, Prbn.g_00139
OG0000028	Syaj.g_02506	Prbn.g_01644
