Orthogroup	Syaj	Syaa
OG0000001	Syaj.g_01948, Syaj.g_01947	Syaa.g_02435
OG0000001	Syaj.g_01949	Syaa.g_02437
OG0000001	Syaj.g_02660	Syaa.g_02329
OG0000004	Syaj.g_00441	Syaa.g_00892
OG0000004	Syaj.g_01314	Syaa.g_01667
OG0000004	Syaj.g_02853	Syaa.g_02116
OG0000005	Syaj.g_01736	Syaa.g_00534
OG0000005	Syaj.g_01698	Syaa.g_00573
OG0000005	Syaj.g_01155	Syaa.g_01449
OG0000006	Syaj.g_02635	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099
OG0000007	Syaj.g_00091	Syaa.g_02032
OG0000007	Syaj.g_01721	Syaa.g_00551
OG0000008	Syaj.g_00496	Syaa.g_00918
OG0000008	Syaj.g_00497	Syaa.g_00919
OG0000009	Syaj.g_01885	Syaa.g_02378
OG0000010	Syaj.g_01445	Syaa.g_01843
OG0000012	Syaj.g_00172	Syaa.g_02304
OG0000012	Syaj.g_01306	Syaa.g_01660
OG0000013	Syaj.g_02782	Syaa.g_02204
OG0000013	Syaj.g_02769	Syaa.g_02217
OG0000013	Syaj.g_02774	Syaa.g_02212
OG0000014	Syaj.g_02522	Syaa.g_00222
OG0000014	Syaj.g_02344	Syaa.g_00481
OG0000015	Syaj.g_02242	Syaa.g_02739
OG0000015	Syaj.g_00725	Syaa.g_01079
OG0000015	Syaj.g_02659	Syaa.g_01989
OG0000016	Syaj.g_02276	Syaa.g_00014
OG0000016	Syaj.g_00590	Syaa.g_00981
OG0000016	Syaj.g_01191	Syaa.g_01481
OG0000017	Syaj.g_00255	Syaa.g_01883
OG0000017	Syaj.g_00248	Syaa.g_01890
OG0000018	Syaj.g_01413	Syaa.g_01801
OG0000019	Syaj.g_02613	Syaa.g_00307
OG0000021	Syaj.g_00042	Syaa.g_02627
OG0000022	Syaj.g_01220	Syaa.g_01571
OG0000023	Syaj.g_00829	Syaa.g_01529
OG0000024	Syaj.g_00500	Syaa.g_00922
OG0000025	Syaj.g_00383	Syaa.g_00839
OG0000026	Syaj.g_02298	Syaa.g_00038
OG0000027	Syaj.g_00396	Syaa.g_00854
OG0000028	Syaj.g_02506	Syaa.g_00205
OG0000029	Syaj.g_01229	Syaa.g_01578
OG0000030	Syaj.g_02396	Syaa.g_00099
OG0000030	Syaj.g_02395	Syaa.g_00098
OG0000031	Syaj.g_02501	Syaa.g_00200
OG0000032	Syaj.g_01432	Syaa.g_01818
OG0000033	Syaj.g_01990	Syaa.g_02478
OG0000034	Syaj.g_01959	Syaa.g_00722, Syaa.g_02444
OG0000035	Syaj.g_01378	Syaa.g_01773
OG0000037	Syaj.g_01891, Syaj.g_02902	Syaa.g_02384
OG0000038	Syaj.g_02115	Syaa.g_02596
OG0000039	Syaj.g_00392	Syaa.g_00846
OG0000040	Syaj.g_02208	Syaa.g_02690
OG0000041	Syaj.g_01602	Syaa.g_00660
OG0000041	Syaj.g_00418	Syaa.g_00869
OG0000042	Syaj.g_02399	Syaa.g_00103
OG0000043	Syaj.g_01247	Syaa.g_01437
OG0000045	Syaj.g_00132	Syaa.g_01518
OG0000046	Syaj.g_02775	Syaa.g_02211
OG0000046	Syaj.g_02781	Syaa.g_02205
OG0000047	Syaj.g_02799	Syaa.g_02189
OG0000048	Syaj.g_02578	Syaa.g_00275
OG0000050	Syaj.g_01584	Syaa.g_01213, Syaa.g_01712
OG0000050	Syaj.g_01242	Syaa.g_01591
OG0000051	Syaj.g_02898	Syaa.g_01531
OG0000052	Syaj.g_02476	Syaa.g_00174
OG0000053	Syaj.g_01409	Syaa.g_01797
OG0000054	Syaj.g_01341	Syaa.g_01691
OG0000055	Syaj.g_00394	Syaa.g_00852
OG0000057	Syaj.g_00438	Syaa.g_00889
OG0000058	Syaj.g_02495	Syaa.g_00193
OG0000059	Syaj.g_02686	Syaa.g_02315
OG0000060	Syaj.g_00067	Syaa.g_02053
OG0000060	Syaj.g_00635	Syaa.g_01007
OG0000061	Syaj.g_00302	Syaa.g_00770
OG0000062	Syaj.g_01700	Syaa.g_00571
OG0000063	Syaj.g_02302	Syaa.g_00042
OG0000064	Syaj.g_01253	Syaa.g_02666
OG0000065	Syaj.g_01887	Syaa.g_02380
OG0000066	Syaj.g_00157	Syaa.g_01968
OG0000067	Syaj.g_01023	Syaa.g_01154
OG0000068	Syaj.g_00059	Syaa.g_02059
OG0000070	Syaj.g_01529	Syaa.g_00718
OG0000071	Syaj.g_01511	Syaa.g_00735
OG0000072	Syaj.g_01992	Syaa.g_02480
OG0000073	Syaj.g_00093	Syaa.g_02030
OG0000075	Syaj.g_02457	Syaa.g_00157
OG0000076	Syaj.g_02417	Syaa.g_00123
OG0000077	Syaj.g_01831	Syaa.g_00341
OG0000078	Syaj.g_02880	Syaa.g_02103
OG0000079	Syaj.g_02609	Syaa.g_00303
OG0000081	Syaj.g_02888	Syaa.g_02089
OG0000082	Syaj.g_00229	Syaa.g_01905
OG0000084	Syaj.g_01375	Syaa.g_01770
OG0000085	Syaj.g_01707	Syaa.g_00564
OG0000086	Syaj.g_01848	Syaa.g_00324
OG0000087	Syaj.g_01945	Syaa.g_02433
OG0000088	Syaj.g_01986	Syaa.g_02474
OG0000089	Syaj.g_02829	Syaa.g_02149
OG0000090	Syaj.g_00144	Syaa.g_01980
OG0000091	Syaj.g_01275	Syaa.g_01625
OG0000093	Syaj.g_01042	Syaa.g_01139
OG0000094	Syaj.g_00804	Syaa.g_01288
OG0000095	Syaj.g_00427	Syaa.g_00879
OG0000097	Syaj.g_00589	Syaa.g_00979
OG0000099	Syaj.g_02503	Syaa.g_00202
OG0000100	Syaj.g_00987	Syaa.g_01201
OG0000101	Syaj.g_02738	Syaa.g_02249
OG0000102	Syaj.g_02411	Syaa.g_00118
OG0000103	Syaj.g_02243	Syaa.g_02740
OG0000104	Syaj.g_02258	Syaa.g_02754
OG0000105	Syaj.g_02573	Syaa.g_00270
OG0000106	Syaj.g_01130	Syaa.g_01439
OG0000107	Syaj.g_02637	Syaa.g_02351
OG0000108	Syaj.g_00072	Syaa.g_02051
OG0000109	Syaj.g_00087	Syaa.g_02036
OG0000110	Syaj.g_00215	Syaa.g_01918
OG0000111	Syaj.g_00437	Syaa.g_00888
OG0000112	Syaj.g_00907	Syaa.g_01366
OG0000113	Syaj.g_00992	Syaa.g_01196
