Orthogroup	Syaj	Syap
OG0000001	Syaj.g_01950	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615
OG0000004	Syaj.g_02853	Syap.g_01987
OG0000005	Syaj.g_01736	Syap.g_01773
OG0000005	Syaj.g_01698	Syap.g_01218
OG0000007	Syaj.g_00091	Syap.g_00275
OG0000007	Syaj.g_01721	Syap.g_00621
OG0000009	Syaj.g_01885	Syap.g_02081
OG0000010	Syaj.g_01445	Syap.g_02757
OG0000013	Syaj.g_02769	Syap.g_00972
OG0000014	Syaj.g_02522	Syap.g_01675
OG0000014	Syaj.g_02344	Syap.g_00813
OG0000015	Syaj.g_02242	Syap.g_02606
OG0000016	Syaj.g_02276	Syap.g_00071
OG0000017	Syaj.g_00248	Syap.g_00449
OG0000018	Syaj.g_01413	Syap.g_02708, Syap.g_02010
OG0000019	Syaj.g_02613	Syap.g_01586
OG0000025	Syaj.g_00383	Syap.g_01846
OG0000028	Syaj.g_02506	Syap.g_01658
OG0000030	Syaj.g_02396	Syap.g_00787
OG0000030	Syaj.g_02395	Syap.g_00788
OG0000031	Syaj.g_02501	Syap.g_02479, Syap.g_01083, Syap.g_02076
OG0000033	Syaj.g_01990	Syap.g_01198
OG0000034	Syaj.g_01959	Syap.g_02193, Syap.g_02614, Syap.g_02280
OG0000035	Syaj.g_01378	Syap.g_02465
OG0000037	Syaj.g_02902	Syap.g_02492
OG0000040	Syaj.g_02208	Syap.g_01819
OG0000042	Syaj.g_02399	Syap.g_01891, Syap.g_01120
OG0000043	Syaj.g_01085, Syaj.g_01247	Syap.g_01998
OG0000044	Syaj.g_01344	Syap.g_00378
OG0000045	Syaj.g_00132	Syap.g_02525
OG0000048	Syaj.g_02578	Syap.g_02340
OG0000051	Syaj.g_02898	Syap.g_01574
OG0000053	Syaj.g_01409	Syap.g_02006
OG0000054	Syaj.g_01341	Syap.g_00678
OG0000059	Syaj.g_02686	Syap.g_01082, Syap.g_02478
OG0000060	Syaj.g_00635	Syap.g_00795
OG0000061	Syaj.g_00302	Syap.g_00228
OG0000062	Syaj.g_01700	Syap.g_01220
OG0000063	Syaj.g_02302	Syap.g_01796
OG0000066	Syaj.g_00157	Syap.g_01972
OG0000067	Syaj.g_01023	Syap.g_00194
OG0000068	Syaj.g_00059	Syap.g_00108, Syap.g_00144
OG0000070	Syaj.g_01529	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953
OG0000073	Syaj.g_00093	Syap.g_00273
OG0000075	Syaj.g_02457	Syap.g_01064, Syap.g_00664
OG0000076	Syaj.g_02417	Syap.g_01111
OG0000077	Syaj.g_01831	Syap.g_00416
OG0000079	Syaj.g_02609	Syap.g_01589
OG0000085	Syaj.g_01707	Syap.g_00611
OG0000087	Syaj.g_01945	Syap.g_02617, Syap.g_02202, Syap.g_02203
OG0000088	Syaj.g_01986	Syap.g_01202
OG0000089	Syaj.g_02829, Syaj.g_01915	Syap.g_00115, Syap.g_02042
OG0000090	Syaj.g_00144	Syap.g_01451
OG0000091	Syaj.g_01275	Syap.g_01861
OG0000094	Syaj.g_00804	Syap.g_02781
OG0000095	Syaj.g_00427	Syap.g_01556
OG0000098	Syaj.g_02671	Syap.g_01975
OG0000099	Syaj.g_02503	Syap.g_01385
OG0000102	Syaj.g_02411	Syap.g_01116
OG0000104	Syaj.g_02258	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318
OG0000105	Syaj.g_02573	Syap.g_01369, Syap.g_01368
OG0000107	Syaj.g_02637	Syap.g_02496
OG0000108	Syaj.g_00072	Syap.g_00733, Syap.g_02255, Syap.g_02256
OG0000110	Syaj.g_00215	Syap.g_01313
OG0000111	Syaj.g_00437	Syap.g_01566, Syap.g_01568
OG0000112	Syaj.g_00907	Syap.g_02023
OG0000113	Syaj.g_00992	Syap.g_02714
OG0000114	Syaj.g_00741	Syap.g_01255
OG0000115	Syaj.g_01402	Syap.g_02004
OG0000116	Syaj.g_00289	Syap.g_00241
OG0000117	Syaj.g_00637	Syap.g_01889
OG0000118	Syaj.g_00267	Syap.g_02286
OG0000120	Syaj.g_02502	Syap.g_02075
OG0000121	Syaj.g_01383	Syap.g_02471
OG0000123	Syaj.g_02745	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464
OG0000124	Syaj.g_02388	Syap.g_02456, Syap.g_02457, Syap.g_01130
OG0000125	Syaj.g_02117	Syap.g_01046, Syap.g_01047
OG0000126	Syaj.g_02256	Syap.g_02317, Syap.g_02576, Syap.g_02316
OG0000127	Syaj.g_00036	Syap.g_00736, Syap.g_00737, Syap.g_00735
OG0000128	Syaj.g_02274	Syap.g_00069
OG0000129	Syaj.g_02106	Syap.g_00130, Syap.g_00129
OG0000130	Syaj.g_01818	Syap.g_01688, Syap.g_01689
OG0000131	Syaj.g_01964	Syap.g_02189
OG0000132	Syaj.g_01984, Syaj.g_00688	Syap.g_01205
OG0000133	Syaj.g_00902	Syap.g_02017
OG0000134	Syaj.g_02832	Syap.g_02047
OG0000135	Syaj.g_02167	Syap.g_02090
OG0000136	Syaj.g_01550	Syap.g_00089
OG0000137	Syaj.g_01444	Syap.g_02756
OG0000138	Syaj.g_02631, Syaj.g_00088	Syap.g_00278
OG0000139	Syaj.g_00150	Syap.g_00410
OG0000140	Syaj.g_00153	Syap.g_01976
OG0000141	Syaj.g_01340	Syap.g_01541, Syap.g_01542, Syap.g_01544
OG0000142	Syaj.g_01283	Syap.g_00895, Syap.g_00894
OG0000143	Syaj.g_01279	Syap.g_00900, Syap.g_00899, Syap.g_00901
OG0000144	Syaj.g_01151	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772
OG0000145	Syaj.g_00094	Syap.g_01860, Syap.g_01859
OG0000146	Syaj.g_00908	Syap.g_02024
OG0000147	Syaj.g_00909	Syap.g_02025
OG0000148	Syaj.g_01003, Syaj.g_01002	Syap.g_02720
OG0000149	Syaj.g_00369	Syap.g_00824
OG0000150	Syaj.g_01339, Syaj.g_00154	Syap.g_01540
OG0000151	Syaj.g_01074	Syap.g_00142
OG0000152	Syaj.g_00898	Syap.g_02012
OG0000153	Syaj.g_00842	Syap.g_02682
OG0000154	Syaj.g_00814	Syap.g_02761, Syap.g_02760, Syap.g_01876
OG0000155	Syaj.g_00338	Syap.g_02777, Syap.g_01878, Syap.g_01879
OG0000156	Syaj.g_00282	Syap.g_00248, Syap.g_00284, Syap.g_00283
OG0000157	Syaj.g_00281	Syap.g_00249, Syap.g_00286
OG0000158	Syaj.g_02445	Syap.g_01075
OG0000160	Syaj.g_01382	Syap.g_02470, Syap.g_02469
OG0000161	Syaj.g_01389	Syap.g_02476
OG0000162	Syaj.g_01395	Syap.g_02531
OG0000165	Syaj.g_01582	Syap.g_01381, Syap.g_01382
OG0000166	Syaj.g_02698	Syap.g_00512, Syap.g_01238
OG0000167	Syaj.g_02460	Syap.g_02080
OG0000168	Syaj.g_02444	Syap.g_01076
OG0000169	Syaj.g_02431, Syaj.g_02429	Syap.g_01049, Syap.g_01093
OG0000170	Syaj.g_02422	Syap.g_01467, Syap.g_01106, Syap.g_01468
OG0000171	Syaj.g_02389	Syap.g_01128, Syap.g_02454, Syap.g_02453
OG0000172	Syaj.g_02365	Syap.g_01143, Syap.g_00635
OG0000173	Syaj.g_02321	Syap.g_00982, Syap.g_00983, Syap.g_01213
OG0000174	Syaj.g_02169	Syap.g_02092
OG0000175	Syaj.g_02229	Syap.g_02654
OG0000176	Syaj.g_02266	Syap.g_00059
OG0000177	Syaj.g_02267	Syap.g_00061, Syap.g_00060
OG0000178	Syaj.g_02268	Syap.g_00062
OG0000179	Syaj.g_02283	Syap.g_00077, Syap.g_02638
OG0000180	Syaj.g_02284	Syap.g_00078, Syap.g_02640
OG0000181	Syaj.g_02285	Syap.g_00079, Syap.g_02641
OG0000182	Syaj.g_02286	Syap.g_00080, Syap.g_02642
OG0000183	Syaj.g_02290	Syap.g_00084
OG0000184	Syaj.g_02098	Syap.g_01337
OG0000185	Syaj.g_02087	Syap.g_01322
OG0000186	Syaj.g_01812	Syap.g_01684
OG0000187	Syaj.g_01814	Syap.g_01686
OG0000188	Syaj.g_01837	Syap.g_02547
OG0000191	Syaj.g_01910	Syap.g_02233
OG0000192	Syaj.g_01919	Syap.g_02224
OG0000193	Syaj.g_01965	Syap.g_02187, Syap.g_02188
OG0000194	Syaj.g_01968	Syap.g_02183
OG0000196	Syaj.g_01981	Syap.g_01208, Syap.g_02167
OG0000197	Syaj.g_01982	Syap.g_01207, Syap.g_02166
OG0000198	Syaj.g_01983	Syap.g_01206
OG0000199	Syaj.g_01991	Syap.g_01197
OG0000200	Syaj.g_02008	Syap.g_01181
OG0000201	Syaj.g_02024	Syap.g_02265
OG0000202	Syaj.g_02025	Syap.g_02264
OG0000203	Syaj.g_02026	Syap.g_01601
OG0000204	Syaj.g_02027	Syap.g_01602
OG0000205	Syaj.g_02035	Syap.g_01616
OG0000206	Syaj.g_02043	Syap.g_01628
OG0000207	Syaj.g_02045	Syap.g_01426, Syap.g_00424
OG0000208	Syaj.g_02046	Syap.g_00426, Syap.g_01425
OG0000209	Syaj.g_02070	Syap.g_01906
OG0000210	Syaj.g_02071	Syap.g_01905
OG0000211	Syaj.g_02856	Syap.g_01160
OG0000212	Syaj.g_02881	Syap.g_02664
OG0000213	Syaj.g_02601	Syap.g_00107, Syap.g_01599
OG0000214	Syaj.g_02582	Syap.g_02344, Syap.g_02345
OG0000215	Syaj.g_02551	Syap.g_01347, Syap.g_01629
OG0000216	Syaj.g_02547	Syap.g_01634
OG0000217	Syaj.g_02543	Syap.g_01638
OG0000218	Syaj.g_02541	Syap.g_01641, Syap.g_01640
OG0000219	Syaj.g_02540	Syap.g_01642, Syap.g_01643
OG0000220	Syaj.g_02539	Syap.g_01645
OG0000221	Syaj.g_02530	Syap.g_01646
OG0000222	Syaj.g_02516	Syap.g_01669
OG0000223	Syaj.g_02494	Syap.g_02072, Syap.g_02073
OG0000224	Syaj.g_02487	Syap.g_02064
OG0000225	Syaj.g_02821	Syap.g_00553, Syap.g_00552
OG0000226	Syaj.g_02825	Syap.g_02029, Syap.g_02144
OG0000227	Syaj.g_02827	Syap.g_02147, Syap.g_02034, Syap.g_02033
OG0000228	Syaj.g_02828	Syap.g_00116, Syap.g_02041
OG0000229	Syaj.g_01555	Syap.g_02059
OG0000230	Syaj.g_01553	Syap.g_02061
OG0000232	Syaj.g_01497	Syap.g_02510, Syap.g_02511
OG0000233	Syaj.g_01481	Syap.g_02133
OG0000234	Syaj.g_01442	Syap.g_02755
OG0000235	Syaj.g_00071	Syap.g_00732, Syap.g_02258
OG0000236	Syaj.g_00086	Syap.g_02238
OG0000237	Syaj.g_00103	Syap.g_00262, Syap.g_00263
OG0000238	Syaj.g_00108	Syap.g_00257, Syap.g_00258
OG0000239	Syaj.g_00125	Syap.g_02744
OG0000240	Syaj.g_00126	Syap.g_02742
OG0000241	Syaj.g_01291	Syap.g_00888
OG0000242	Syaj.g_00142	Syap.g_01455
OG0000243	Syaj.g_00164	Syap.g_01938
OG0000244	Syaj.g_00180	Syap.g_01146, Syap.g_01145
OG0000245	Syaj.g_00182	Syap.g_01148
OG0000246	Syaj.g_00186	Syap.g_00308
OG0000247	Syaj.g_00197	Syap.g_00288, Syap.g_00293
OG0000248	Syaj.g_00200	Syap.g_00290
OG0000249	Syaj.g_00202	Syap.g_01296, Syap.g_01295
OG0000250	Syaj.g_00211	Syap.g_01306
OG0000251	Syaj.g_00237	Syap.g_00442
OG0000252	Syaj.g_00243	Syap.g_01857
OG0000253	Syaj.g_00245	Syap.g_00443
OG0000254	Syaj.g_01335	Syap.g_01527, Syap.g_01528
OG0000256	Syaj.g_01297	Syap.g_01287
OG0000257	Syaj.g_01292	Syap.g_00886
OG0000258	Syaj.g_01274	Syap.g_00907
OG0000260	Syaj.g_00712	Syap.g_01970
OG0000261	Syaj.g_00715	Syap.g_01962, Syap.g_01961
OG0000262	Syaj.g_00720	Syap.g_01954
OG0000263	Syaj.g_00605	Syap.g_00432, Syap.g_00433
OG0000266	Syaj.g_00946	Syap.g_00519
OG0000267	Syaj.g_00770	Syap.g_02333, Syap.g_02332
OG0000268	Syaj.g_00771	Syap.g_00646
OG0000269	Syaj.g_01031	Syap.g_00188
OG0000270	Syaj.g_01025	Syap.g_00192
OG0000271	Syaj.g_01017	Syap.g_00200, Syap.g_00201
OG0000272	Syaj.g_01016	Syap.g_00202
OG0000273	Syaj.g_00389	Syap.g_02703
OG0000274	Syaj.g_00388	Syap.g_02702
OG0000275	Syaj.g_00384	Syap.g_01847
OG0000276	Syaj.g_00377	Syap.g_01838, Syap.g_01839
OG0000278	Syaj.g_00373	Syap.g_01834
OG0000279	Syaj.g_00357	Syap.g_00829, Syap.g_00830
OG0000280	Syaj.g_00348	Syap.g_00365
OG0000281	Syaj.g_02670	Syap.g_01977
OG0000282	Syaj.g_00743	Syap.g_01252
OG0000283	Syaj.g_00790	Syap.g_01728
OG0000284	Syaj.g_00930	Syap.g_01736
OG0000285	Syaj.g_00917	Syap.g_01746, Syap.g_01744
OG0000286	Syaj.g_00899	Syap.g_02014, Syap.g_02013
OG0000288	Syaj.g_00815	Syap.g_02764, Syap.g_02763
OG0000289	Syaj.g_00800	Syap.g_02784
OG0000290	Syaj.g_00424	Syap.g_01552
OG0000292	Syaj.g_02255	Syap.g_02314
OG0000293	Syaj.g_00290	Syap.g_00240
OG0000295	Syaj.g_00330	Syap.g_00206
OG0000296	Syaj.g_00332	Syap.g_00204
OG0000299	Syaj.g_00592	Syap.g_02620
OG0000302	Syaj.g_00582	Syap.g_02444, Syap.g_02445
OG0000303	Syaj.g_00572	Syap.g_02435
OG0000304	Syaj.g_00566	Syap.g_02430
OG0000305	Syaj.g_00429	Syap.g_01557
OG0000306	Syaj.g_01126	Syap.g_01966
OG0000307	Syaj.g_00051	Syap.g_02517
OG0000308	Syaj.g_00049	Syap.g_02514, Syap.g_02515
OG0000309	Syaj.g_00044	Syap.g_02198, Syap.g_02446
OG0000310	Syaj.g_01358	Syap.g_02660, Syap.g_02661
OG0000311	Syaj.g_01362	Syap.g_02657
OG0000312	Syaj.g_01368	Syap.g_02114
OG0000313	Syaj.g_01386	Syap.g_02473
