Orthogroup	Syaj	Pras
OG0000001	Syaj.g_02674	Pras.g_00235, Pras.g_00118, Pras.g_00120, Pras.g_00541
OG0000002	Syaj.g_02667	Pras.g_00243, Pras.g_01554
OG0000004	Syaj.g_00441	Pras.g_01571
OG0000004	Syaj.g_01314, Syaj.g_02853	Pras.g_01084
OG0000005	Syaj.g_01736	Pras.g_00563
OG0000005	Syaj.g_01698	Pras.g_00429
OG0000006	Syaj.g_02635	Pras.g_00148, Pras.g_01093
OG0000007	Syaj.g_00091	Pras.g_01375
OG0000007	Syaj.g_01721	Pras.g_00550
OG0000009	Syaj.g_01069	Pras.g_00157, Pras.g_00463
OG0000009	Syaj.g_01885	Pras.g_00956
OG0000010	Syaj.g_01445	Pras.g_00523, Pras.g_01942, Pras.g_01352
OG0000011	Syaj.g_01133	Pras.g_00176, Pras.g_01289
OG0000012	Syaj.g_00003, Syaj.g_01793, Syaj.g_00831, Syaj.g_00172, Syaj.g_01306	Pras.g_01499
OG0000013	Syaj.g_02782, Syaj.g_02769, Syaj.g_02774	Pras.g_01179
OG0000014	Syaj.g_02522	Pras.g_01158
OG0000015	Syaj.g_00725, Syaj.g_02659	Pras.g_00127
OG0000016	Syaj.g_02276	Pras.g_00855
OG0000017	Syaj.g_00248	Pras.g_01474
OG0000018	Syaj.g_01413	Pras.g_00037, Pras.g_01728
OG0000019	Syaj.g_02613	Pras.g_01101, Pras.g_01681
OG0000021	Syaj.g_00982	Pras.g_00507, Pras.g_01218
OG0000022	Syaj.g_01220	Pras.g_01662, Pras.g_00019
OG0000023	Syaj.g_00829, Syaj.g_01791	Pras.g_01213
OG0000024	Syaj.g_00500	Pras.g_01645, Pras.g_01551
OG0000025	Syaj.g_00383	Pras.g_01735, Pras.g_01183
OG0000026	Syaj.g_02298	Pras.g_00873, Pras.g_01949
OG0000027	Syaj.g_00396	Pras.g_01348, Pras.g_00185
OG0000028	Syaj.g_02506	Pras.g_01172, Pras.g_00169
OG0000029	Syaj.g_01229	Pras.g_01228, Pras.g_01653
OG0000030	Syaj.g_02396, Syaj.g_02395	Pras.g_00753
OG0000033	Syaj.g_01990	Pras.g_01020
OG0000034	Syaj.g_01959	Pras.g_00219
OG0000035	Syaj.g_01378	Pras.g_00350
OG0000037	Syaj.g_01891, Syaj.g_02902	Pras.g_00960
OG0000038	Syaj.g_02115	Pras.g_00795
OG0000039	Syaj.g_00392, Syaj.g_00275	Pras.g_01562
OG0000041	Syaj.g_01602	Pras.g_00597
OG0000042	Syaj.g_02399	Pras.g_00750
OG0000043	Syaj.g_01247	Pras.g_01772, Pras.g_00153
OG0000045	Syaj.g_00132	Pras.g_00509
OG0000047	Syaj.g_02799	Pras.g_01263, Pras.g_01182
