Orthogroup	Syaj	Syat
OG0000001	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952	Syat.g_02910, Syat.g_02911
OG0000001	Syaj.g_01950	Syat.g_02908, Syat.g_02909
OG0000001	Syaj.g_02660	Syat.g_01540
OG0000005	Syaj.g_01736	Syat.g_03065
OG0000005	Syaj.g_01698	Syat.g_03105
OG0000005	Syaj.g_01155	Syat.g_01038
OG0000006	Syaj.g_02635	Syat.g_01439, Syat.g_01865
OG0000007	Syaj.g_00091	Syat.g_03191
OG0000007	Syaj.g_01721	Syat.g_03124
OG0000008	Syaj.g_00496	Syat.g_02626
OG0000008	Syaj.g_00497	Syat.g_02627
OG0000009	Syaj.g_01885	Syat.g_01567
OG0000010	Syaj.g_01445	Syat.g_01372
OG0000013	Syaj.g_02769	Syat.g_01027
OG0000014	Syaj.g_02522	Syat.g_02104
OG0000014	Syaj.g_02344	Syat.g_02250
OG0000016	Syaj.g_02276	Syat.g_02329
OG0000016	Syaj.g_00590	Syat.g_00909
OG0000017	Syaj.g_00248	Syat.g_00015
OG0000018	Syaj.g_01413	Syat.g_01334
OG0000019	Syaj.g_02613	Syat.g_01876
OG0000021	Syaj.g_00982	Syat.g_00964
OG0000022	Syaj.g_01220	Syat.g_00210
OG0000024	Syaj.g_00500	Syat.g_03394
OG0000025	Syaj.g_00383	Syat.g_00719
OG0000026	Syaj.g_02298	Syat.g_02306
OG0000027	Syaj.g_00396	Syat.g_00850
OG0000028	Syaj.g_02506	Syat.g_02126
OG0000030	Syaj.g_02396	Syat.g_00307
OG0000030	Syaj.g_02395	Syat.g_00308
OG0000031	Syaj.g_02501	Syat.g_02131
OG0000032	Syaj.g_01432	Syat.g_01354
OG0000033	Syaj.g_01990	Syat.g_02858
OG0000034	Syaj.g_01959	Syat.g_01165, Syat.g_02902
OG0000035	Syaj.g_01378	Syat.g_01227, Syat.g_01226
OG0000037	Syaj.g_02902	Syat.g_00849, Syat.g_00187
OG0000038	Syaj.g_02115	Syat.g_02688
OG0000039	Syaj.g_00392, Syaj.g_00275	Syat.g_01278
OG0000040	Syaj.g_02208	Syat.g_02551
OG0000042	Syaj.g_02399	Syat.g_00223, Syat.g_02222
OG0000044	Syaj.g_01344	Syat.g_00933, Syat.g_01910, Syat.g_00146, Syat.g_03333
OG0000045	Syaj.g_00132	Syat.g_00935
OG0000048	Syaj.g_02578	Syat.g_02046
OG0000053	Syaj.g_01409	Syat.g_01330
OG0000057	Syaj.g_00438	Syat.g_00817
OG0000058	Syaj.g_02495	Syat.g_01189
OG0000060	Syaj.g_00067	Syat.g_01384
OG0000060	Syaj.g_00635	Syat.g_01047
OG0000061	Syaj.g_00302	Syat.g_03260
OG0000062	Syaj.g_01700	Syat.g_03107
OG0000063	Syaj.g_02302	Syat.g_02303
OG0000064	Syaj.g_01253	Syat.g_01568
OG0000065	Syaj.g_00007, Syaj.g_01887	Syat.g_01571
OG0000066	Syaj.g_00157	Syat.g_03283
OG0000067	Syaj.g_01023	Syat.g_00479
OG0000068	Syaj.g_00059	Syat.g_00085, Syat.g_01295
OG0000070	Syaj.g_01529	Syat.g_01032, Syat.g_01040
OG0000072	Syaj.g_01992	Syat.g_02856
OG0000073	Syaj.g_00093	Syat.g_03201
OG0000075	Syaj.g_02457	Syat.g_02497, Syat.g_01713, Syat.g_02154
OG0000076	Syaj.g_02417	Syat.g_02206
OG0000077	Syaj.g_01831	Syat.g_01481
OG0000078	Syaj.g_02880	Syat.g_00184
