Orthogroup	Syaj	Pram
OG0000001	Syaj.g_02674	Pram.g_01954, Pram.g_01953, Pram.g_00719
OG0000002	Syaj.g_02667	Pram.g_00873, Pram.g_00879, Pram.g_01170, Pram.g_01471, Pram.g_01168, Pram.g_01174, Pram.g_01278, Pram.g_00768
OG0000004	Syaj.g_00441	Pram.g_00789
OG0000004	Syaj.g_01314, Syaj.g_02853	Pram.g_00219
OG0000005	Syaj.g_01698	Pram.g_01295
OG0000006	Syaj.g_02635	Pram.g_00229
OG0000007	Syaj.g_00091	Pram.g_00433
OG0000007	Syaj.g_01721	Pram.g_01632
OG0000008	Syaj.g_00496	Pram.g_01263
OG0000008	Syaj.g_00497	Pram.g_01262
OG0000009	Syaj.g_01069	Pram.g_00390, Pram.g_01284, Pram.g_01573
OG0000010	Syaj.g_01445	Pram.g_00704, Pram.g_01000, Pram.g_00410
OG0000012	Syaj.g_01306	Pram.g_00561
OG0000013	Syaj.g_02782, Syaj.g_02769, Syaj.g_02774	Pram.g_00315
OG0000014	Syaj.g_02522	Pram.g_00295
OG0000015	Syaj.g_00725, Syaj.g_02659	Pram.g_00696, Pram.g_01545
OG0000016	Syaj.g_00590, Syaj.g_01191	Pram.g_01193
OG0000017	Syaj.g_00255	Pram.g_00542
OG0000017	Syaj.g_00248	Pram.g_00535
OG0000018	Syaj.g_01413	Pram.g_01162, Pram.g_00837
OG0000019	Syaj.g_02613	Pram.g_00237, Pram.g_01164
OG0000021	Syaj.g_00982	Pram.g_01274
OG0000021	Syaj.g_00042	Pram.g_00794
OG0000022	Syaj.g_01220	Pram.g_01287
OG0000023	Syaj.g_00829, Syaj.g_01791	Pram.g_00689
OG0000024	Syaj.g_00500	Pram.g_01004, Pram.g_00765
OG0000025	Syaj.g_00383	Pram.g_00844
OG0000026	Syaj.g_02298	Pram.g_00018
OG0000028	Syaj.g_02506	Pram.g_00308, Pram.g_00363
OG0000029	Syaj.g_01229	Pram.g_01723, Pram.g_01529
OG0000030	Syaj.g_02396, Syaj.g_02395	Pram.g_01844
OG0000031	Syaj.g_02501	Pram.g_01413
OG0000032	Syaj.g_01432	Pram.g_01339
OG0000033	Syaj.g_01990	Pram.g_00154
OG0000034	Syaj.g_01959	Pram.g_01240
OG0000035	Syaj.g_01378	Pram.g_01378, Pram.g_01381
OG0000037	Syaj.g_01891, Syaj.g_02902	Pram.g_00093
OG0000038	Syaj.g_02115	Pram.g_01884
OG0000039	Syaj.g_00392, Syaj.g_00275	Pram.g_00777
OG0000041	Syaj.g_01602	Pram.g_01680
OG0000042	Syaj.g_02399	Pram.g_01841
OG0000043	Syaj.g_01247	Pram.g_01161
OG0000044	Syaj.g_01344	Pram.g_01620
OG0000046	Syaj.g_02768, Syaj.g_02775, Syaj.g_02781	Pram.g_00316
OG0000047	Syaj.g_02799	Pram.g_00359
OG0000048	Syaj.g_02578	Pram.g_00259
OG0000050	Syaj.g_01242	Pram.g_00706
OG0000052	Syaj.g_02476	Pram.g_01436
OG0000053	Syaj.g_01409	Pram.g_01580, Pram.g_01357
OG0000054	Syaj.g_01341	Pram.g_00544
OG0000055	Syaj.g_00394	Pram.g_01189
OG0000056	Syaj.g_00985, Syaj.g_02864, Syaj.g_01794	Pram.g_01611
OG0000056	Syaj.g_01081, Syaj.g_00880, Syaj.g_01082, Syaj.g_00533, Syaj.g_01676, Syaj.g_00546, Syaj.g_00879, Syaj.g_00462, Syaj.g_01088, Syaj.g_00360, Syaj.g_01093, Syaj.g_00962	Pram.g_00603
OG0000057	Syaj.g_00438	Pram.g_00792
OG0000058	Syaj.g_02495	Pram.g_01447
OG0000059	Syaj.g_02686	Pram.g_01719
OG0000061	Syaj.g_00302	Pram.g_01140
OG0000062	Syaj.g_01700	Pram.g_01293
OG0000063	Syaj.g_02302	Pram.g_01258
OG0000064	Syaj.g_00041, Syaj.g_01253	Pram.g_00052
OG0000065	Syaj.g_00007, Syaj.g_01887	Pram.g_00091
OG0000066	Syaj.g_00157	Pram.g_01558
OG0000067	Syaj.g_01023	Pram.g_00809
OG0000068	Syaj.g_00059	Pram.g_01468
OG0000070	Syaj.g_01529	Pram.g_00385
OG0000071	Syaj.g_01511	Pram.g_01230
OG0000072	Syaj.g_01992	Pram.g_00156
OG0000073	Syaj.g_00093	Pram.g_00437
OG0000075	Syaj.g_02457	Pram.g_01807
OG0000076	Syaj.g_02417	Pram.g_01833
OG0000077	Syaj.g_01831	Pram.g_00063
OG0000078	Syaj.g_02880	Pram.g_00227
OG0000079	Syaj.g_02609	Pram.g_00240
OG0000081	Syaj.g_02888	Pram.g_00469
OG0000082	Syaj.g_00229	Pram.g_01559
OG0000084	Syaj.g_01375	Pram.g_01384
OG0000085	Syaj.g_01707	Pram.g_01265
OG0000086	Syaj.g_01848	Pram.g_00072
OG0000087	Syaj.g_01945	Pram.g_00125
OG0000088	Syaj.g_01986	Pram.g_00151
OG0000089	Syaj.g_02829, Syaj.g_01915	Pram.g_00352
OG0000090	Syaj.g_00144	Pram.g_00471
OG0000091	Syaj.g_01275	Pram.g_01068
OG0000092	Syaj.g_00339	Pram.g_00739
OG0000097	Syaj.g_00589	Pram.g_01093
OG0000098	Syaj.g_02671	Pram.g_01478
OG0000099	Syaj.g_02503	Pram.g_01445
OG0000100	Syaj.g_00987	Pram.g_01298
OG0000101	Syaj.g_02738	Pram.g_01770
OG0000102	Syaj.g_02411	Pram.g_01838
OG0000103	Syaj.g_02243	Pram.g_01925
OG0000104	Syaj.g_02258	Pram.g_01934
OG0000105	Syaj.g_02573	Pram.g_00262
OG0000106	Syaj.g_01130	Pram.g_00677
OG0000107	Syaj.g_02637	Pram.g_01696
OG0000108	Syaj.g_00072	Pram.g_00416
OG0000109	Syaj.g_00087	Pram.g_00430
OG0000110	Syaj.g_00215	Pram.g_00513
OG0000111	Syaj.g_00437	Pram.g_00793
OG0000112	Syaj.g_00907	Pram.g_00935
OG0000113	Syaj.g_00992	Pram.g_00832
OG0000114	Syaj.g_00741	Pram.g_00734
OG0000115	Syaj.g_01402	Pram.g_01201
OG0000116	Syaj.g_00289	Pram.g_01151
OG0000117	Syaj.g_00637	Pram.g_01112
OG0000118	Syaj.g_00267	Pram.g_01242
OG0000119	Syaj.g_00317	Pram.g_01283
OG0000120	Syaj.g_02502	Pram.g_01446
OG0000121	Syaj.g_01383	Pram.g_01376
OG0000122	Syaj.g_01250	Pram.g_01204, Pram.g_01334
OG0000123	Syaj.g_02745	Pram.g_01777
OG0000124	Syaj.g_02388	Pram.g_01850
OG0000125	Syaj.g_02117	Pram.g_01886
OG0000126	Syaj.g_02256	Pram.g_01933
OG0000127	Syaj.g_00036	Pram.g_00611
OG0000128	Syaj.g_02274	Pram.g_01949
OG0000129	Syaj.g_02106	Pram.g_00029
OG0000130	Syaj.g_01818	Pram.g_00054
OG0000131	Syaj.g_01964	Pram.g_00130
OG0000132	Syaj.g_01984, Syaj.g_00688	Pram.g_00149
OG0000133	Syaj.g_00902	Pram.g_00310
OG0000134	Syaj.g_02832	Pram.g_00354
OG0000135	Syaj.g_02167	Pram.g_01589
OG0000136	Syaj.g_01550	Pram.g_00376
OG0000137	Syaj.g_01444	Pram.g_00411
OG0000138	Syaj.g_00088	Pram.g_00431
OG0000139	Syaj.g_00150	Pram.g_00475
OG0000140	Syaj.g_00153	Pram.g_00476
OG0000141	Syaj.g_01340	Pram.g_00545
OG0000142	Syaj.g_01283	Pram.g_01075
OG0000143	Syaj.g_01279	Pram.g_01072
OG0000144	Syaj.g_01151	Pram.g_01058
OG0000145	Syaj.g_00094	Pram.g_01534
OG0000146	Syaj.g_00908	Pram.g_00934
OG0000147	Syaj.g_00909	Pram.g_00933
OG0000148	Syaj.g_01003	Pram.g_00826
OG0000149	Syaj.g_00369	Pram.g_00858
OG0000150	Syaj.g_01339, Syaj.g_00154	Pram.g_00868
OG0000151	Syaj.g_01074	Pram.g_00744
OG0000152	Syaj.g_00898	Pram.g_00943
OG0000153	Syaj.g_00842	Pram.g_00961
OG0000154	Syaj.g_00814	Pram.g_00978
OG0000155	Syaj.g_00338	Pram.g_01118
OG0000156	Syaj.g_00282	Pram.g_01219
OG0000157	Syaj.g_00281	Pram.g_01220
OG0000158	Syaj.g_02445	Pram.g_01815
OG0000160	Syaj.g_01382	Pram.g_01377
OG0000161	Syaj.g_01389	Pram.g_01145, Pram.g_01371
OG0000162	Syaj.g_01395	Pram.g_01365
OG0000163	Syaj.g_01639	Pram.g_01326
OG0000164	Syaj.g_01758	Pram.g_01656
OG0000165	Syaj.g_01582	Pram.g_01664
OG0000166	Syaj.g_02698	Pram.g_01733
OG0000167	Syaj.g_02460	Pram.g_01805
OG0000168	Syaj.g_02444	Pram.g_01816
OG0000169	Syaj.g_02431, Syaj.g_02429	Pram.g_01826
OG0000170	Syaj.g_02422	Pram.g_01829
OG0000171	Syaj.g_02389	Pram.g_01849
OG0000172	Syaj.g_02365	Pram.g_01856
OG0000173	Syaj.g_02321	Pram.g_01871
OG0000174	Syaj.g_02169	Pram.g_01902
OG0000175	Syaj.g_02229	Pram.g_01914
OG0000176	Syaj.g_02266	Pram.g_01942
OG0000177	Syaj.g_02267	Pram.g_01943
OG0000178	Syaj.g_02268	Pram.g_01944
OG0000179	Syaj.g_02283	Pram.g_00003
OG0000180	Syaj.g_02284	Pram.g_00004
OG0000181	Syaj.g_02285	Pram.g_00005
OG0000182	Syaj.g_02286	Pram.g_00006
OG0000183	Syaj.g_02290	Pram.g_00010
OG0000184	Syaj.g_02098	Pram.g_00033
OG0000185	Syaj.g_02087	Pram.g_00036
OG0000186	Syaj.g_01812	Pram.g_00048
OG0000187	Syaj.g_01814	Pram.g_00049
OG0000188	Syaj.g_01837	Pram.g_00066
OG0000189	Syaj.g_01874	Pram.g_00080
OG0000190	Syaj.g_01876	Pram.g_00081
OG0000191	Syaj.g_01910	Pram.g_00103
OG0000192	Syaj.g_01919	Pram.g_00108
OG0000193	Syaj.g_01965	Pram.g_00131
OG0000194	Syaj.g_01968	Pram.g_00134
OG0000195	Syaj.g_01971	Pram.g_00136
OG0000196	Syaj.g_01981	Pram.g_00146
OG0000197	Syaj.g_01982	Pram.g_00147
OG0000198	Syaj.g_01983	Pram.g_00148
OG0000199	Syaj.g_01991	Pram.g_00155
OG0000200	Syaj.g_02008	Pram.g_00168
OG0000201	Syaj.g_02024	Pram.g_00177
OG0000202	Syaj.g_02025	Pram.g_00178
OG0000203	Syaj.g_02026	Pram.g_00179
OG0000204	Syaj.g_02027	Pram.g_00180
OG0000205	Syaj.g_02035	Pram.g_00187
OG0000206	Syaj.g_02043	Pram.g_00192
OG0000207	Syaj.g_02045	Pram.g_00194
OG0000208	Syaj.g_02046	Pram.g_00195
OG0000209	Syaj.g_02070	Pram.g_00204
OG0000210	Syaj.g_02071	Pram.g_00205
OG0000211	Syaj.g_02856	Pram.g_00220
OG0000212	Syaj.g_02881	Pram.g_00228
OG0000213	Syaj.g_02601	Pram.g_00246
OG0000214	Syaj.g_02582	Pram.g_00255
OG0000215	Syaj.g_02551	Pram.g_00282
OG0000216	Syaj.g_02547	Pram.g_00283
OG0000217	Syaj.g_02543	Pram.g_00286
OG0000218	Syaj.g_02541	Pram.g_00288
OG0000219	Syaj.g_02540	Pram.g_00289
OG0000220	Syaj.g_02539	Pram.g_00290
OG0000221	Syaj.g_02530	Pram.g_00291
OG0000222	Syaj.g_02516	Pram.g_00298
OG0000223	Syaj.g_02494	Pram.g_00311
OG0000224	Syaj.g_02487	Pram.g_00313
OG0000225	Syaj.g_02821	Pram.g_00341
OG0000226	Syaj.g_02825	Pram.g_00345
OG0000227	Syaj.g_02827	Pram.g_00347
OG0000228	Syaj.g_02828	Pram.g_00351
OG0000229	Syaj.g_01555	Pram.g_00371
OG0000230	Syaj.g_01553	Pram.g_00373
OG0000231	Syaj.g_01541	Pram.g_00384
OG0000232	Syaj.g_01497	Pram.g_00397
OG0000233	Syaj.g_01481	Pram.g_00402
OG0000234	Syaj.g_01442	Pram.g_00412
OG0000235	Syaj.g_00071	Pram.g_00415
OG0000236	Syaj.g_00086	Pram.g_00429
OG0000237	Syaj.g_00103	Pram.g_00443
OG0000238	Syaj.g_00108	Pram.g_00449
OG0000239	Syaj.g_00125	Pram.g_00462
OG0000240	Syaj.g_00126	Pram.g_00463
OG0000241	Syaj.g_01291	Pram.g_00468
OG0000242	Syaj.g_00142	Pram.g_00470
OG0000243	Syaj.g_00164	Pram.g_00480
OG0000244	Syaj.g_00180	Pram.g_00483
OG0000245	Syaj.g_00182	Pram.g_00485
OG0000246	Syaj.g_00186	Pram.g_00489
OG0000247	Syaj.g_00197	Pram.g_00500
OG0000248	Syaj.g_00200	Pram.g_00503
OG0000249	Syaj.g_00202	Pram.g_00505
OG0000250	Syaj.g_00211	Pram.g_00510
OG0000251	Syaj.g_00237	Pram.g_00528
OG0000252	Syaj.g_00243	Pram.g_00531
OG0000253	Syaj.g_00245	Pram.g_00532
OG0000254	Syaj.g_01335	Pram.g_00549
OG0000255	Syaj.g_01315	Pram.g_00555
OG0000256	Syaj.g_01297	Pram.g_00566
OG0000257	Syaj.g_01292	Pram.g_01080
OG0000258	Syaj.g_01274	Pram.g_01067
OG0000259	Syaj.g_00707	Pram.g_01050
OG0000260	Syaj.g_00712	Pram.g_01047
OG0000261	Syaj.g_00715	Pram.g_01044
OG0000262	Syaj.g_00720	Pram.g_01039
