Orthogroup	Syaj	Praa
OG0000001	Syaj.g_02674	Praa.g_01351, Praa.g_01220, Praa.g_01222
OG0000002	Syaj.g_02667	Praa.g_01359, Praa.g_00678
OG0000004	Syaj.g_00441	Praa.g_00695
OG0000004	Syaj.g_01314, Syaj.g_02853	Praa.g_00232
OG0000005	Syaj.g_01736	Praa.g_01648
OG0000005	Syaj.g_01698	Praa.g_01553
OG0000006	Syaj.g_02635	Praa.g_00241, Praa.g_01245
OG0000007	Syaj.g_00091	Praa.g_00497
OG0000007	Syaj.g_01721	Praa.g_01635
OG0000008	Syaj.g_00496	Praa.g_01241
OG0000009	Syaj.g_01069	Praa.g_01264, Praa.g_01589
OG0000009	Syaj.g_01885	Praa.g_00105
OG0000010	Syaj.g_01445	Praa.g_01047, Praa.g_00474
OG0000011	Syaj.g_01133	Praa.g_01288
OG0000011	Syaj.g_01780	Praa.g_00396
OG0000012	Syaj.g_00003, Syaj.g_01793, Syaj.g_00831, Syaj.g_00172, Syaj.g_01306	Praa.g_00623
OG0000013	Syaj.g_02782, Syaj.g_02769, Syaj.g_02774	Praa.g_00327
OG0000014	Syaj.g_02522	Praa.g_00306
OG0000014	Syaj.g_02344	Praa.g_01409
OG0000015	Syaj.g_00725, Syaj.g_02659	Praa.g_00765
OG0000016	Syaj.g_02276	Praa.g_00013
OG0000017	Syaj.g_00248	Praa.g_00598
OG0000018	Syaj.g_01413	Praa.g_01141, Praa.g_00831
OG0000019	Syaj.g_02613	Praa.g_00249, Praa.g_00782
OG0000021	Syaj.g_00982	Praa.g_01623, Praa.g_00364
OG0000022	Syaj.g_01220	Praa.g_00763, Praa.g_01124
OG0000023	Syaj.g_00829, Syaj.g_01791	Praa.g_00359
OG0000024	Syaj.g_00500	Praa.g_00747, Praa.g_00675
OG0000025	Syaj.g_00383	Praa.g_00839, Praa.g_00331
OG0000026	Syaj.g_02298	Praa.g_00031, Praa.g_01054
OG0000027	Syaj.g_00396	Praa.g_00470, Praa.g_01301
OG0000028	Syaj.g_02506	Praa.g_00320, Praa.g_01248
OG0000029	Syaj.g_01229	Praa.g_00374, Praa.g_00754
OG0000030	Syaj.g_02396, Syaj.g_02395	Praa.g_01842
OG0000033	Syaj.g_01990	Praa.g_00169
OG0000034	Syaj.g_01959	Praa.g_01328
OG0000035	Syaj.g_01378	Praa.g_01476
OG0000037	Syaj.g_01891, Syaj.g_02902	Praa.g_00109
OG0000038	Syaj.g_02115	Praa.g_01883
OG0000039	Syaj.g_00392, Syaj.g_00275	Praa.g_00686
OG0000041	Syaj.g_01602	Praa.g_01683
OG0000042	Syaj.g_02399	Praa.g_01839
OG0000043	Syaj.g_01247	Praa.g_00876, Praa.g_01259
OG0000047	Syaj.g_02799	Praa.g_00330
OG0000048	Syaj.g_02578	Praa.g_00373
OG0000051	Syaj.g_02898	Praa.g_01291
OG0000052	Syaj.g_02476	Praa.g_01447, Praa.g_01407
OG0000053	Syaj.g_01409	Praa.g_01496
OG0000054	Syaj.g_01341	Praa.g_00606
OG0000055	Syaj.g_00394	Praa.g_00783
OG0000057	Syaj.g_00438	Praa.g_00698
OG0000058	Syaj.g_02495	Praa.g_01425
OG0000059	Syaj.g_02686	Praa.g_01723
OG0000061	Syaj.g_00302	Praa.g_01415, Praa.g_01159
OG0000063	Syaj.g_02302	Praa.g_00033
OG0000065	Syaj.g_00007, Syaj.g_01887	Praa.g_00107
OG0000066	Syaj.g_00157	Praa.g_00539
OG0000067	Syaj.g_01023	Praa.g_00803
OG0000068	Syaj.g_00059	Praa.g_01366
OG0000070	Syaj.g_01529	Praa.g_00449
OG0000071	Syaj.g_01511	Praa.g_01318
OG0000072	Syaj.g_01992	Praa.g_00171
OG0000073	Syaj.g_00093	Praa.g_00499
OG0000075	Syaj.g_02457	Praa.g_01808
OG0000076	Syaj.g_02417	Praa.g_01832
OG0000077	Syaj.g_01831	Praa.g_00078
OG0000078	Syaj.g_02880	Praa.g_00239
OG0000079	Syaj.g_02609	Praa.g_00252
OG0000081	Syaj.g_02888	Praa.g_00531
OG0000082	Syaj.g_00229	Praa.g_00585
OG0000084	Syaj.g_01375	Praa.g_01472
OG0000085	Syaj.g_01707	Praa.g_01628
OG0000086	Syaj.g_01848	Praa.g_00088
OG0000087	Syaj.g_01945	Praa.g_00139
OG0000088	Syaj.g_01986	Praa.g_00166
OG0000089	Syaj.g_02829, Syaj.g_01915	Praa.g_00355
OG0000090	Syaj.g_00144	Praa.g_00533
OG0000091	Syaj.g_01275	Praa.g_00642
OG0000092	Syaj.g_00339	Praa.g_00912
OG0000094	Syaj.g_00804	Praa.g_01020
OG0000097	Syaj.g_00589	Praa.g_01200
OG0000098	Syaj.g_02671	Praa.g_01348
OG0000099	Syaj.g_02503	Praa.g_01394
OG0000100	Syaj.g_00987	Praa.g_01551
OG0000101	Syaj.g_02738	Praa.g_01775
OG0000102	Syaj.g_02411	Praa.g_01837
OG0000103	Syaj.g_02243	Praa.g_01916
OG0000104	Syaj.g_02258	Praa.g_01924
OG0000105	Syaj.g_02573	Praa.g_00274
OG0000106	Syaj.g_01130	Praa.g_00369
OG0000107	Syaj.g_02637	Praa.g_00383
OG0000108	Syaj.g_00072	Praa.g_00480
OG0000109	Syaj.g_00087	Praa.g_00494
OG0000110	Syaj.g_00215	Praa.g_00575
OG0000111	Syaj.g_00437	Praa.g_00699
OG0000112	Syaj.g_00907	Praa.g_00766
OG0000113	Syaj.g_00992	Praa.g_00826
OG0000114	Syaj.g_00741	Praa.g_00907
OG0000115	Syaj.g_01402	Praa.g_01101
OG0000116	Syaj.g_00289	Praa.g_01150
OG0000117	Syaj.g_00637	Praa.g_01255
OG0000118	Syaj.g_00267	Praa.g_01330
OG0000119	Syaj.g_00317	Praa.g_01362
OG0000120	Syaj.g_02502	Praa.g_01387
OG0000121	Syaj.g_01383	Praa.g_01478
OG0000122	Syaj.g_01250	Praa.g_01516
OG0000123	Syaj.g_02745	Praa.g_01782
OG0000124	Syaj.g_02388	Praa.g_01848
OG0000125	Syaj.g_02117	Praa.g_01885
OG0000126	Syaj.g_02256	Praa.g_01923
OG0000128	Syaj.g_02274	Praa.g_00011
OG0000129	Syaj.g_02106	Praa.g_00044
OG0000130	Syaj.g_01818	Praa.g_00069
OG0000131	Syaj.g_01964	Praa.g_00145
OG0000132	Syaj.g_01984	Praa.g_00164
OG0000133	Syaj.g_00902	Praa.g_00322
OG0000134	Syaj.g_02832	Praa.g_00356
OG0000135	Syaj.g_02167	Praa.g_00381
OG0000136	Syaj.g_01550	Praa.g_00440
OG0000137	Syaj.g_01444	Praa.g_01414, Praa.g_00475
OG0000138	Syaj.g_00088	Praa.g_00495
OG0000139	Syaj.g_00150	Praa.g_00537
OG0000140	Syaj.g_00153	Praa.g_00538
OG0000141	Syaj.g_01340	Praa.g_00607
OG0000142	Syaj.g_01283	Praa.g_00635
OG0000143	Syaj.g_01279	Praa.g_00639
OG0000144	Syaj.g_01151	Praa.g_00652
OG0000145	Syaj.g_00094	Praa.g_00764
OG0000146	Syaj.g_00908	Praa.g_00767
OG0000147	Syaj.g_00909	Praa.g_00768
OG0000148	Syaj.g_01003	Praa.g_00820
OG0000149	Syaj.g_00369	Praa.g_00851
OG0000150	Syaj.g_01339, Syaj.g_00154	Praa.g_00859
OG0000151	Syaj.g_01074	Praa.g_00917
OG0000152	Syaj.g_00898	Praa.g_00964
OG0000153	Syaj.g_00842	Praa.g_00983
OG0000154	Syaj.g_00814	Praa.g_01013
OG0000155	Syaj.g_00338	Praa.g_01179
OG0000156	Syaj.g_00282	Praa.g_01307
OG0000157	Syaj.g_00281	Praa.g_01308
