Orthogroup	Prbc	Other
OG0000016	Prbc.g_00599	Prax.g_00410
OG0000022	Prbc.g_02202	Prau.g_00243
OG0000060	Prbc.g_01800	Praf.g_01049
OG0000071	Prbc.g_00102	Pral.g_01881
OG0000078	Prbc.g_01214	Prax.g_01783
OG0000132	Prbc.g_01893	Prbi.g_01503
OG0000137	Prbc.g_00899	Prac.g_01959
OG0000148	Prbc.g_00790	Prbi.g_01482
OG0000153	Prbc.g_01572	Pram.g_01728
OG0000153	Prbc.g_01572	Prbh.g_01686
OG0000153	Prbc.g_01572	Prbf.g_00600
OG0000153	Prbc.g_01572	Prbe.g_01088
OG0000153	Prbc.g_01572	Prbg.g_01743
OG0000153	Prbc.g_01572	Prbn.g_01839
OG0000153	Prbc.g_01572	Prap.g_01685
OG0000153	Prbc.g_01572	Prak.g_01738
OG0001325	Prbc.g_01277	Praf.g_02648
OG0001553	Prbc.g_01291	Prao.g_00012
