Orthogroup	Prbm	Other
OG0000003	Prbm.g_00528	Praa.g_01221
OG0000016	Prbm.g_01149, Prbm.g_01427	Prax.g_00410
OG0000022	Prbm.g_01588, Prbm.g_01236, Prbm.g_00302	Prau.g_00243
OG0000038	Prbm.g_00391	Prbn.g_00171
OG0000038	Prbm.g_00391	Prap.g_00080
OG0000038	Prbm.g_00391	Prbe.g_00352
OG0000038	Prbm.g_00391	Prbf.g_00116
OG0000038	Prbm.g_00391	Prbg.g_00550
OG0000038	Prbm.g_00391	Prak.g_01350
OG0000038	Prbm.g_00391	Prab.g_01446
OG0000038	Prbm.g_00391	Pran.g_00753
OG0000038	Prbm.g_00391	Prbi.g_01467
OG0000038	Prbm.g_00391	Prag.g_01446
OG0000038	Prbm.g_00391	Praw.g_01073
OG0000038	Prbm.g_00391	Prau.g_01431, Prau.g_01469
OG0000038	Prbm.g_00391	Pral.g_01193
OG0000038	Prbm.g_00391	Praf.g_00101, Praf.g_00113
OG0000038	Prbm.g_00391	Prae.g_01402
OG0000038	Prbm.g_00391	Prat.g_01266
OG0000038	Prbm.g_00391	Prah.g_00091
OG0000038	Prbm.g_00391	Prao.g_01355, Prao.g_01364
OG0000060	Prbm.g_00755	Praf.g_01049
OG0000078	Prbm.g_00377	Prax.g_01783
OG0000132	Prbm.g_00848	Prbi.g_01503
OG0000137	Prbm.g_01913	Prac.g_01959
OG0000148	Prbm.g_01792	Prbi.g_01482
OG0001325	Prbm.g_01314	Praf.g_02648
OG0001422	Prbm.g_01281	Prat.g_00619
OG0001422	Prbm.g_01281	Prbi.g_01760
OG0001422	Prbm.g_01281	Praf.g_00356, Praf.g_01078
OG0001422	Prbm.g_01281	Prbk.g_01351, Prbk.g_02675, Prbk.g_01462, Prbk.g_01732
OG0001422	Prbm.g_01281	Prbl.g_01006, Prbl.g_02631, Prbl.g_01937, Prbl.g_02612
OG0001422	Prbm.g_01281	Prbj.g_00194, Prbj.g_02695, Prbj.g_01330, Prbj.g_00726
OG0001422	Prbm.g_01281	Prah.g_00994, Prah.g_00343
OG0001422	Prbm.g_01281	Prad.g_01213
OG0001553	Prbm.g_01327	Prao.g_00012
