Orthogroup	Praf	Other
OG0000016	Praf.g_01033	Prax.g_00410
OG0000038	Praf.g_00101, Praf.g_00113	Prbm.g_00391
OG0000047	Praf.g_01859	Praa.g_01415
OG0000047	Praf.g_01859	Prbb.g_00874
OG0000047	Praf.g_01859	Prbb.g_00874
OG0000047	Praf.g_01859	Pral.g_00639
OG0000047	Praf.g_01859	Pral.g_00639
OG0000047	Praf.g_01859	Prah.g_00104
OG0000047	Praf.g_01859	Prah.g_00104
OG0000047	Praf.g_01859	Prae.g_01422
OG0000060	Praf.g_01049	Pral.g_01716
OG0000060	Praf.g_01049	Prbb.g_00726
OG0000060	Praf.g_01049	Praj.g_00711
OG0000060	Praf.g_01049	Prbc.g_01800
OG0000060	Praf.g_01049	Prbm.g_00755
OG0000060	Praf.g_01049	Prax.g_00452
OG0000060	Praf.g_01049	Prae.g_01247
OG0000060	Praf.g_01049	Prav.g_01336
OG0000098	Praf.g_00003	Prae.g_01306
OG0000113	Praf.g_02300	Prar.g_01154
OG0000114	Praf.g_02358	Prav.g_00955
OG0000132	Praf.g_01590	Prbi.g_01503
OG0000137	Praf.g_02692	Prac.g_01959
OG0001269	Praf.g_00261	Prbi.g_01522
OG0001325	Praf.g_02648	Prbm.g_01314
OG0001325	Praf.g_02648	Prbb.g_01247
OG0001325	Praf.g_02648	Praj.g_01205
OG0001325	Praf.g_02648	Prbc.g_01277
OG0001422	Praf.g_00356, Praf.g_01078	Prbm.g_01281
OG0001702	Praf.g_02600	Prax.g_01756
OG0001702	Praf.g_02600	Prab.g_01384
OG0001702	Praf.g_02600	Pran.g_00817
OG0001702	Praf.g_02600	Prai.g_00778
