Orthogroup	Prak	Other
OG0000000	Prak.g_01563	Prbb.g_01403
OG0000016	Prak.g_01630	Prax.g_00410
OG0000038	Prak.g_01350	Prbm.g_00391
OG0000098	Prak.g_00003	Prae.g_01306
OG0000102	Prak.g_00121	Prad.g_00011
OG0000113	Prak.g_00316	Prar.g_01154
OG0000132	Prak.g_00880	Prbi.g_01503
OG0000134	Prak.g_01071	Prax.g_01769
OG0000137	Prak.g_01553	Prac.g_01959
OG0000141	Prak.g_01487	Prau.g_01496
OG0000153	Prak.g_01738	Prbc.g_01572
OG0001269	Prak.g_00096	Prbi.g_01522
OG0001477	Prak.g_01569	Prbb.g_00881
OG0001734	Prak.g_01312	Pras.g_00287
