Orthogroup	Prbe	Other
OG0000000	Prbe.g_01120	Prbb.g_01403
OG0000016	Prbe.g_01000	Prax.g_00410
OG0000038	Prbe.g_00352	Prbm.g_00391
OG0000098	Prbe.g_01068	Prae.g_01306
OG0000102	Prbe.g_01657	Prad.g_00011
OG0000113	Prbe.g_01852	Prar.g_01154
OG0000132	Prbe.g_01257	Prbi.g_01503
OG0000134	Prbe.g_01448	Prax.g_01769
OG0000137	Prbe.g_00044	Prac.g_01959
OG0000141	Prbe.g_00215	Prau.g_01496
OG0000153	Prbe.g_01088	Prbc.g_01572
OG0001269	Prbe.g_01632	Prbi.g_01522
OG0001477	Prbe.g_01126	Prbb.g_00881
OG0001734	Prbe.g_00390	Pras.g_00287
