Orthogroup	Prah	Other
OG0000038	Prah.g_00091	Prbm.g_00391
OG0000047	Prah.g_00104	Praa.g_01415
OG0000047	Prah.g_00104	Prbb.g_00874
OG0000047	Prah.g_00104	Prbb.g_00874
OG0000047	Prah.g_00104	Pral.g_00639
OG0000047	Prah.g_00104	Pral.g_00639
OG0000047	Prah.g_00104	Praf.g_01859
OG0000047	Prah.g_00104	Prae.g_01422
OG0000047	Prah.g_00104	Praf.g_01859
OG0000066	Prah.g_00105	Prai.g_00505
OG0000066	Prah.g_00105	Prab.g_00479
OG0000066	Prah.g_00105	Pran.g_01703
OG0000066	Prah.g_00105	Prbb.g_00873
OG0000066	Prah.g_00105	Prbb.g_00873
OG0000066	Prah.g_00105	Praa.g_01414
OG0000098	Prah.g_00004	Prae.g_01306
OG0000113	Prah.g_02155	Prar.g_01154
OG0000114	Prah.g_02207	Prav.g_00955
OG0000132	Prah.g_00605	Prbi.g_01503
OG0000137	Prah.g_02526	Prac.g_01959
OG0000157	Prah.g_00116	Prar.g_00669
OG0000157	Prah.g_00116	Prac.g_00057
OG0000157	Prah.g_00116	Praq.g_00683
OG0000157	Prah.g_00116	Prad.g_01615
OG0000157	Prah.g_00116	Prbi.g_02011
OG0000157	Prah.g_00116	Prax.g_01411
OG0000157	Prah.g_00116	Prbd.g_01317
OG0000157	Prah.g_00116	Praa.g_01849
OG0000157	Prah.g_00116	Prae.g_01832
OG0000157	Prah.g_00116	Prau.g_01942
OG0000157	Prah.g_00116	Pras.g_00761
OG0001269	Prah.g_01880	Prbi.g_01522
OG0001422	Prah.g_00994, Prah.g_00343	Prbm.g_01281
