Orthogroup	Pral	Other
OG0000000	Pral.g_01333	Prbb.g_01403
OG0000022	Pral.g_00797	Prau.g_00243
OG0000038	Pral.g_01193	Prbm.g_00391
OG0000047	Pral.g_00639	Praa.g_01415
OG0000047	Pral.g_00639	Prbb.g_00874
OG0000047	Pral.g_00639	Prbb.g_00874
OG0000047	Pral.g_00639	Prae.g_01422
OG0000047	Pral.g_00639	Praf.g_01859
OG0000047	Pral.g_00639	Prah.g_00104
OG0000047	Pral.g_00639	Praf.g_01859
OG0000047	Pral.g_00639	Prah.g_00104
OG0000060	Pral.g_01716	Praf.g_01049
OG0000071	Pral.g_01881	Prad.g_01214
OG0000071	Pral.g_01881	Prbi.g_01330
OG0000071	Pral.g_01881	Prax.g_01959
OG0000071	Pral.g_01881	Praa.g_01255
OG0000071	Pral.g_01881	Prbd.g_01895
OG0000071	Pral.g_01881	Prae.g_01263
OG0000071	Pral.g_01881	Pras.g_00150
OG0000071	Pral.g_01881	Prau.g_01318
OG0000071	Pral.g_01881	Praq.g_00084
OG0000071	Pral.g_01881	Prac.g_01955
OG0000071	Pral.g_01881	Prar.g_01003
OG0000071	Pral.g_01881	Prai.g_01273
OG0000071	Pral.g_01881	Pray.g_01927
OG0000071	Pral.g_01881	Prba.g_01135
OG0000071	Pral.g_01881	Praz.g_01237
OG0000071	Pral.g_01881	Pran.g_01466
OG0000071	Pral.g_01881	Prab.g_00717
OG0000071	Pral.g_01881	Prbc.g_00102
OG0000071	Pral.g_01881	Praj.g_01355
OG0000071	Pral.g_01881	Prbb.g_01399
OG0000098	Pral.g_00413	Prae.g_01306
OG0000102	Pral.g_00932	Prad.g_00011
OG0000113	Pral.g_00741	Prar.g_01154
OG0000137	Pral.g_00075	Prac.g_01959
OG0000141	Pral.g_01064	Prau.g_01496
OG0001269	Pral.g_00955	Prbi.g_01522
