Orthogroup	Prae	Other
OG0000037	Prae.g_01602	Prau.g_01275
OG0000038	Prae.g_01402	Prbm.g_00391
OG0000047	Prae.g_01422	Prbb.g_00874
OG0000047	Prae.g_01422	Pral.g_00639
OG0000047	Prae.g_01422	Prah.g_00104
OG0000047	Prae.g_01422	Praf.g_01859
OG0000060	Prae.g_01247	Praf.g_01049
OG0000071	Prae.g_01263	Pral.g_01881
OG0000098	Prae.g_01306	Prbl.g_02118
OG0000098	Prae.g_01306	Prbk.g_02281
OG0000098	Prae.g_01306	Prbj.g_02076
OG0000098	Prae.g_01306	Prah.g_00004
OG0000098	Prae.g_01306	Praf.g_00003
OG0000098	Prae.g_01306	Prat.g_00003
OG0000098	Prae.g_01306	Pral.g_00413
OG0000098	Prae.g_01306	Pram.g_01941
OG0000098	Prae.g_01306	Prbh.g_01473
OG0000098	Prae.g_01306	Prap.g_00051
OG0000098	Prae.g_01306	Prbf.g_00390
OG0000098	Prae.g_01306	Prbg.g_00770
OG0000098	Prae.g_01306	Prak.g_00003
OG0000098	Prae.g_01306	Prbe.g_01068
OG0000098	Prae.g_01306	Prbn.g_00011
OG0000141	Prae.g_01434	Prau.g_01496
OG0000157	Prae.g_01832	Prah.g_00116
