Orthogroup	Prad	Other
OG0000003	Prad.g_01995	Praa.g_01221
OG0000071	Prad.g_01214	Pral.g_01881
OG0000102	Prad.g_00011	Pral.g_00932
OG0000102	Prad.g_00011	Prat.g_00112
OG0000102	Prad.g_00011	Prbf.g_01443
OG0000102	Prad.g_00011	Prak.g_00121
OG0000102	Prad.g_00011	Prbn.g_01304
OG0000102	Prad.g_00011	Prbe.g_01657
OG0000102	Prad.g_00011	Prbg.g_00887
OG0000102	Prad.g_00011	Prap.g_01061
OG0000102	Prad.g_00011	Pram.g_00099
OG0000102	Prad.g_00011	Prbh.g_00668
OG0000157	Prad.g_01615	Prah.g_00116
OG0001422	Prad.g_01213	Prbm.g_01281
