Orthogroup	Prad	Prap
OG0000000	Prad.g_00601	Prap.g_00720, Prap.g_00715
OG0000000	Prad.g_01252	Prap.g_00823, Prap.g_00486, Prap.g_01946, Prap.g_00484, Prap.g_00491, Prap.g_00224
OG0000002	Prad.g_00609	Prap.g_01925
OG0000002	Prad.g_01434, Prad.g_01994	Prap.g_00653
OG0000003	Prad.g_00350	Prap.g_00494
OG0000004	Prad.g_01075, Prad.g_01082, Prad.g_00345	Prap.g_00535
OG0000005	Prad.g_01982	Prap.g_01862
OG0000006	Prad.g_00132	Prap.g_01270
OG0000006	Prad.g_00941	Prap.g_01779
OG0000009	Prad.g_01125	Prap.g_00480
OG0000009	Prad.g_01742	Prap.g_01462
OG0000010	Prad.g_00650, Prad.g_00330	Prap.g_00010
OG0000011	Prad.g_00683	Prap.g_01343
OG0000012	Prad.g_01387	Prap.g_01170, Prap.g_01163
OG0000013	Prad.g_01108	Prap.g_01840, Prap.g_01794
OG0000014	Prad.g_00353, Prad.g_01298	Prap.g_01912, Prap.g_01860
OG0000015	Prad.g_00728, Prad.g_00951	Prap.g_01851, Prap.g_01818
OG0000016	Prad.g_00598	Prap.g_00510, Prap.g_00218
OG0000018	Prad.g_01750	Prap.g_01470
OG0000019	Prad.g_01981	Prap.g_00797
OG0000020	Prad.g_00735	Prap.g_00548, Prap.g_01439
OG0000021	Prad.g_01127	Prap.g_01797
OG0000023	Prad.g_00317	Prap.g_00216
OG0000024	Prad.g_01685	Prap.g_01403
OG0000025	Prad.g_00985	Prap.g_00667
OG0000026	Prad.g_00081	Prap.g_01903
OG0000028	Prad.g_00515	Prap.g_00121
OG0000029	Prad.g_00400, Prad.g_00952	Prap.g_01312
OG0000033	Prad.g_01973	Prap.g_00514
OG0000034	Prad.g_00571	Prap.g_00897
OG0000035	Prad.g_00258	Prap.g_00017
OG0000036	Prad.g_01374	Prap.g_01790, Prap.g_01183
OG0000037	Prad.g_01412	Prap.g_00236, Prap.g_01145
OG0000038	Prad.g_01105	Prap.g_00212
OG0000039	Prad.g_01825	Prap.g_01004
OG0000040	Prad.g_00751	Prap.g_00029
OG0000042	Prad.g_01049	Prap.g_00791
OG0000043	Prad.g_01130	Prap.g_00691
OG0000044	Prad.g_01496	Prap.g_00456
OG0000045	Prad.g_00565	Prap.g_00081
OG0000046	Prad.g_00948	Prap.g_01787, Prap.g_01917
OG0000047	Prad.g_01631	Prap.g_01580
OG0000048	Prad.g_01624	Prap.g_01572
OG0000050	Prad.g_01955	Prap.g_00923
OG0000051	Prad.g_01834	Prap.g_01013
OG0000052	Prad.g_00739	Prap.g_00591
OG0000053	Prad.g_00090	Prap.g_01230, Prap.g_01867
OG0000054	Prad.g_01099	Prap.g_01128
OG0000055	Prad.g_01168	Prap.g_00760
OG0000056	Prad.g_00657	Prap.g_00512
OG0000057	Prad.g_01754, Prad.g_00965	Prap.g_01475
OG0000058	Prad.g_00032	Prap.g_01292
OG0000059	Prad.g_01272	Prap.g_00799
OG0000062	Prad.g_01989	Prap.g_01883
OG0000063	Prad.g_01214	Prap.g_00429
OG0000065	Prad.g_00628	Prap.g_00561
OG0000066	Prad.g_00564	Prap.g_00079
OG0000067	Prad.g_01218	Prap.g_00619
OG0000068	Prad.g_00807	Prap.g_01642
OG0000069	Prad.g_00561	Prap.g_00160
OG0000071	Prad.g_01975	Prap.g_00043
OG0000072	Prad.g_01669	Prap.g_01389
OG0000073	Prad.g_01243	Prap.g_00356
OG0000074	Prad.g_01265	Prap.g_00809
OG0000075	Prad.g_01153	Prap.g_00776
OG0000076	Prad.g_01018	Prap.g_00708
OG0000077	Prad.g_01983	Prap.g_01863
OG0000078	Prad.g_00566	Prap.g_00082
OG0000079	Prad.g_00436	Prap.g_00206
OG0000080	Prad.g_00383	Prap.g_00618
OG0000081	Prad.g_00777	Prap.g_01608
OG0000082	Prad.g_01570	Prap.g_00623
OG0000083	Prad.g_01533	Prap.g_00051
OG0000084	Prad.g_01530	Prap.g_00048
OG0000085	Prad.g_01963	Prap.g_00932
OG0000087	Prad.g_01937	Prap.g_00903
OG0000088	Prad.g_00011	Prap.g_01061
OG0000089	Prad.g_01872	Prap.g_01052
OG0000090	Prad.g_01854	Prap.g_01035
OG0000091	Prad.g_01822	Prap.g_01001
OG0000092	Prad.g_01821	Prap.g_01000
OG0000093	Prad.g_01807	Prap.g_00986
OG0000094	Prad.g_01789	Prap.g_00967
OG0000095	Prad.g_01784	Prap.g_00962
OG0000096	Prad.g_01740	Prap.g_01460
OG0000097	Prad.g_01717	Prap.g_01436
OG0000099	Prad.g_01697	Prap.g_01415
OG0000100	Prad.g_01694	Prap.g_01412
OG0000101	Prad.g_00754	Prap.g_01347
OG0000102	Prad.g_00727	Prap.g_00543
OG0000103	Prad.g_00031	Prap.g_01291
OG0000104	Prad.g_00027	Prap.g_01287
OG0000105	Prad.g_00130	Prap.g_01267
OG0000106	Prad.g_00097	Prap.g_01237
OG0000107	Prad.g_00096	Prap.g_01236
OG0000108	Prad.g_01333	Prap.g_01226
OG0000109	Prad.g_01342	Prap.g_01217
OG0000110	Prad.g_01358	Prap.g_01200
OG0000111	Prad.g_01225	Prap.g_00375
OG0000112	Prad.g_01226	Prap.g_00374
OG0000113	Prad.g_01071	Prap.g_00324
OG0000114	Prad.g_01144	Prap.g_00785
OG0000115	Prad.g_00186	Prap.g_00257
OG0000116	Prad.g_00182	Prap.g_00261
OG0000117	Prad.g_01021	Prap.g_00705
OG0000118	Prad.g_00972	Prap.g_00501
OG0000119	Prad.g_01526	Prap.g_01880
OG0000120	Prad.g_01490	Prap.g_00450
OG0000121	Prad.g_01471, Prad.g_01470	Prap.g_00427
OG0000122	Prad.g_01451	Prap.g_00407
OG0000123	Prad.g_01438	Prap.g_01135
OG0000124	Prad.g_00076	Prap.g_00217
OG0000125	Prad.g_00616	Prap.g_00574
OG0000126	Prad.g_00594	Prap.g_00059
OG0000127	Prad.g_00528	Prap.g_00109
OG0000128	Prad.g_00514	Prap.g_00122
OG0000129	Prad.g_00477	Prap.g_00158
OG0000130	Prad.g_00943	Prap.g_01782
OG0000131	Prad.g_00905	Prap.g_01742
OG0000132	Prad.g_00902	Prap.g_01739
OG0000133	Prad.g_00848	Prap.g_01685
OG0000134	Prad.g_00812	Prap.g_01648, Prap.g_01649
OG0000135	Prad.g_00810	Prap.g_01646
OG0000136	Prad.g_00766	Prap.g_01596
OG0000136	Prad.g_01294	Prap.g_01596
OG0000137	Prad.g_01615	Prap.g_01562
OG0000138	Prad.g_01580	Prap.g_01528
OG0000139	Prad.g_01553	Prap.g_01497
OG0000140	Prad.g_01535	Prap.g_00053
OG0000141	Prad.g_01534	Prap.g_00052
OG0000142	Prad.g_01532	Prap.g_00050
OG0000143	Prad.g_01531	Prap.g_00049
OG0000144	Prad.g_01529	Prap.g_00047
OG0000145	Prad.g_01528	Prap.g_00046
OG0000146	Prad.g_01527	Prap.g_00045
OG0000147	Prad.g_01976	Prap.g_00044
OG0000148	Prad.g_01974	Prap.g_00042
OG0000149	Prad.g_01972	Prap.g_00941
OG0000150	Prad.g_01971	Prap.g_00940
OG0000151	Prad.g_01970	Prap.g_00939
OG0000152	Prad.g_01969	Prap.g_00938
OG0000153	Prad.g_01968	Prap.g_00937
OG0000154	Prad.g_01967	Prap.g_00936
OG0000155	Prad.g_01966	Prap.g_00935
OG0000156	Prad.g_01965	Prap.g_00934
OG0000157	Prad.g_01964	Prap.g_00933
OG0000158	Prad.g_01962	Prap.g_00931
OG0000159	Prad.g_01961	Prap.g_00930
OG0000160	Prad.g_01960	Prap.g_00929
OG0000161	Prad.g_01959	Prap.g_00928
OG0000162	Prad.g_01958	Prap.g_00927
OG0000163	Prad.g_01957	Prap.g_00925
OG0000164	Prad.g_01954	Prap.g_00922
OG0000165	Prad.g_01951	Prap.g_00919
OG0000166	Prad.g_01950	Prap.g_00918
OG0000167	Prad.g_01949	Prap.g_00917
OG0000168	Prad.g_01947	Prap.g_00915
OG0000169	Prad.g_01945	Prap.g_00913
OG0000170	Prad.g_01944	Prap.g_00911
OG0000171	Prad.g_01943	Prap.g_00910
OG0000172	Prad.g_01941	Prap.g_00909
OG0000173	Prad.g_01940	Prap.g_00906
OG0000174	Prad.g_01939	Prap.g_00905
OG0000175	Prad.g_01938	Prap.g_00904
OG0000176	Prad.g_01936	Prap.g_00902
OG0000177	Prad.g_01935	Prap.g_00901
OG0000178	Prad.g_01934	Prap.g_00899
OG0000179	Prad.g_01929	Prap.g_00887
OG0000180	Prad.g_01928	Prap.g_00886
OG0000181	Prad.g_01927	Prap.g_00885
OG0000182	Prad.g_01924	Prap.g_00881
OG0000183	Prad.g_01923	Prap.g_00880
OG0000184	Prad.g_01920	Prap.g_00877
OG0000185	Prad.g_01916	Prap.g_01100
OG0000186	Prad.g_01915	Prap.g_01099
OG0000187	Prad.g_01914	Prap.g_00025
OG0000188	Prad.g_01913	Prap.g_01098
OG0000189	Prad.g_01912	Prap.g_01097
OG0000190	Prad.g_01911	Prap.g_01096
OG0000191	Prad.g_01910	Prap.g_01095
OG0000192	Prad.g_01909	Prap.g_01094
OG0000193	Prad.g_01908	Prap.g_01093
OG0000194	Prad.g_01907	Prap.g_01092
OG0000195	Prad.g_01905	Prap.g_01090
OG0000196	Prad.g_01904	Prap.g_01089
OG0000197	Prad.g_01903	Prap.g_01088
OG0000198	Prad.g_01902	Prap.g_01087
OG0000199	Prad.g_01899	Prap.g_01084
OG0000200	Prad.g_01898	Prap.g_01083
OG0000201	Prad.g_01897	Prap.g_01082
OG0000202	Prad.g_01896	Prap.g_01080
OG0000203	Prad.g_01895	Prap.g_01079
OG0000204	Prad.g_01894	Prap.g_01078
OG0000205	Prad.g_01893	Prap.g_01076
OG0000206	Prad.g_01892	Prap.g_01075
OG0000207	Prad.g_01891	Prap.g_01074
OG0000208	Prad.g_01890	Prap.g_01073
OG0000209	Prad.g_01889	Prap.g_01072
OG0000210	Prad.g_01887	Prap.g_01071
OG0000211	Prad.g_01886	Prap.g_01069
OG0000212	Prad.g_01885	Prap.g_01068
OG0000213	Prad.g_01884	Prap.g_01067
OG0000214	Prad.g_01882	Prap.g_01063
OG0000215	Prad.g_01881	Prap.g_01062
OG0000216	Prad.g_01879	Prap.g_01060
OG0000217	Prad.g_01878	Prap.g_01059
OG0000218	Prad.g_01877	Prap.g_01058
OG0000219	Prad.g_01876	Prap.g_01057
OG0000220	Prad.g_01873	Prap.g_01054
OG0000221	Prad.g_01871	Prap.g_01051
OG0000222	Prad.g_01870	Prap.g_01050
OG0000223	Prad.g_01869	Prap.g_01049
OG0000224	Prad.g_01866	Prap.g_01047
OG0000225	Prad.g_01864	Prap.g_01045
OG0000226	Prad.g_01863	Prap.g_01043
OG0000227	Prad.g_01862	Prap.g_01042
OG0000228	Prad.g_01861	Prap.g_01041
OG0000229	Prad.g_01860	Prap.g_01040
OG0000230	Prad.g_01859	Prap.g_01039
OG0000231	Prad.g_01857	Prap.g_00319
OG0000232	Prad.g_01856	Prap.g_01037
OG0000233	Prad.g_01853	Prap.g_01034
OG0000234	Prad.g_01851	Prap.g_01032
OG0000235	Prad.g_01846	Prap.g_01026
