Orthogroup	Prad	Prax
OG0000000	Prad.g_00601	Prax.g_01870
OG0000000	Prad.g_01252	Prax.g_00964
OG0000001	Prad.g_00393	Prax.g_00259
OG0000001	Prad.g_00393	Prax.g_01609
OG0000001	Prad.g_01435	Prax.g_00259
OG0000001	Prad.g_01435	Prax.g_01609
OG0000001	Prad.g_00372, Prad.g_00349	Prax.g_01920
OG0000002	Prad.g_00609	Prax.g_01878
OG0000003	Prad.g_00389	Prax.g_01606
OG0000003	Prad.g_00350	Prax.g_01919
OG0000004	Prad.g_01075	Prax.g_00444
OG0000004	Prad.g_01082	Prax.g_00437
OG0000004	Prad.g_00345	Prax.g_01924
OG0000005	Prad.g_01982	Prax.g_00496
OG0000005	Prad.g_00392	Prax.g_01608
OG0000006	Prad.g_00132	Prax.g_00704
OG0000006	Prad.g_00941	Prax.g_01559
OG0000007	Prad.g_01246	Prax.g_00970
OG0000008	Prad.g_00726	Prax.g_00791
OG0000008	Prad.g_01215	Prax.g_01958
OG0000008	Prad.g_00377	Prax.g_01960
OG0000009	Prad.g_01125	Prax.g_00393
OG0000009	Prad.g_01742	Prax.g_00926
OG0000010	Prad.g_00650	Prax.g_00141
OG0000010	Prad.g_00330	Prax.g_01936
OG0000011	Prad.g_01661	Prax.g_00843
OG0000012	Prad.g_01387	Prax.g_00057
OG0000013	Prad.g_01108	Prax.g_00523, Prax.g_00410
OG0000014	Prad.g_00353	Prax.g_01916
OG0000015	Prad.g_00728	Prax.g_00793
OG0000016	Prad.g_00598	Prax.g_01867
OG0000017	Prad.g_00494	Prax.g_01708
OG0000018	Prad.g_01750	Prax.g_01972
OG0000019	Prad.g_01981	Prax.g_01587
OG0000020	Prad.g_00735	Prax.g_00799, Prax.g_00173, Prax.g_00512
OG0000021	Prad.g_01127	Prax.g_00391
OG0000022	Prad.g_00352	Prax.g_01917
OG0000023	Prad.g_00401	Prax.g_01617
OG0000023	Prad.g_00317	Prax.g_01950
OG0000024	Prad.g_01685	Prax.g_00869
OG0000025	Prad.g_00985	Prax.g_01240, Prax.g_00448
OG0000026	Prad.g_01953	Prax.g_00280
OG0000027	Prad.g_01078	Prax.g_00441
OG0000027	Prad.g_00427	Prax.g_01641
OG0000028	Prad.g_00515	Prax.g_01733, Prax.g_01728
OG0000029	Prad.g_00400	Prax.g_01616
OG0000030	Prad.g_01995	Prax.g_01976
OG0000031	Prad.g_00342	Prax.g_01927
OG0000036	Prad.g_01374	Prax.g_00045
OG0000037	Prad.g_01412	Prax.g_00082
OG0000038	Prad.g_01105	Prax.g_00415
OG0000039	Prad.g_01825	Prax.g_01052
OG0000040	Prad.g_00751	Prax.g_00813
OG0000041	Prad.g_00697	Prax.g_00772
OG0000042	Prad.g_01049	Prax.g_00485
OG0000043	Prad.g_01130	Prax.g_00388
OG0000044	Prad.g_01496	Prax.g_00200
OG0000045	Prad.g_00565	Prax.g_01823
OG0000046	Prad.g_00948	Prax.g_01566
OG0000047	Prad.g_01631	Prax.g_01394
OG0000048	Prad.g_01624	Prax.g_01401
OG0000050	Prad.g_01955	Prax.g_00458, Prax.g_00282
OG0000051	Prad.g_01834	Prax.g_01061
OG0000052	Prad.g_00739	Prax.g_00803
OG0000053	Prad.g_00090	Prax.g_00662
OG0000054	Prad.g_01099	Prax.g_00421, Prax.g_00457
OG0000055	Prad.g_01168	Prax.g_00351
OG0000056	Prad.g_00657	Prax.g_00148
OG0000057	Prad.g_00965	Prax.g_01581
OG0000058	Prad.g_00032	Prax.g_00727
OG0000059	Prad.g_01272	Prax.g_00944
OG0000060	Prad.g_01080	Prax.g_00439
OG0000061	Prad.g_00166	Prax.g_01149
OG0000062	Prad.g_01989	Prax.g_00161
OG0000063	Prad.g_01214	Prax.g_01959
OG0000064	Prad.g_00320	Prax.g_01948
OG0000064	Prad.g_00964	Prax.g_01580
OG0000065	Prad.g_00628	Prax.g_01899
OG0000066	Prad.g_00564	Prax.g_01832
OG0000067	Prad.g_01212	Prax.g_00454
OG0000068	Prad.g_00807	Prax.g_01338
OG0000069	Prad.g_00561, Prad.g_00572	Prax.g_01838
OG0000071	Prad.g_01975	Prax.g_01974
OG0000072	Prad.g_01669	Prax.g_00852, Prax.g_01783, Prax.g_00853
OG0000073	Prad.g_01243	Prax.g_00973
OG0000074	Prad.g_01265	Prax.g_00951
OG0000075	Prad.g_01153	Prax.g_00366
OG0000076	Prad.g_01018	Prax.g_01204
OG0000078	Prad.g_00566	Prax.g_01825
OG0000079	Prad.g_00436	Prax.g_01650
OG0000080	Prad.g_00383	Prax.g_01600
OG0000081	Prad.g_00777	Prax.g_01368
