Orthogroup	Prad	Prba
OG0000000	Prad.g_00601	Prba.g_00203
OG0000000	Prad.g_01252	Prba.g_01639
OG0000001	Prad.g_00393	Prba.g_00003
OG0000001	Prad.g_00393	Prba.g_00270
OG0000001	Prad.g_01435	Prba.g_00003
OG0000001	Prad.g_01435	Prba.g_00270
OG0000002	Prad.g_00609	Prba.g_00211
OG0000003	Prad.g_00389	Prba.g_00268
OG0000003	Prad.g_00350	Prba.g_01172
OG0000004	Prad.g_01075	Prba.g_01570
OG0000004	Prad.g_01082	Prba.g_01563
OG0000004	Prad.g_00345	Prba.g_01171
OG0000005	Prad.g_01982	Prba.g_00243
OG0000005	Prad.g_00392	Prba.g_00269
OG0000006	Prad.g_00132	Prba.g_00964
OG0000006	Prad.g_00941	Prba.g_00226
OG0000007	Prad.g_01246	Prba.g_01645
OG0000008	Prad.g_00726	Prba.g_00878
OG0000008	Prad.g_01215	Prba.g_00901
OG0000008	Prad.g_00377	Prba.g_01115
OG0000009	Prad.g_01125	Prba.g_01519
OG0000009	Prad.g_01742	Prba.g_00468
OG0000010	Prad.g_00650	Prba.g_00734
OG0000010	Prad.g_00330	Prba.g_01157
OG0000011	Prad.g_00683	Prba.g_00913
OG0000011	Prad.g_01661	Prba.g_00546
OG0000012	Prad.g_01387	Prba.g_01719
OG0000013	Prad.g_01108	Prba.g_01538
OG0000014	Prad.g_00353	Prba.g_01175
OG0000015	Prad.g_00728	Prba.g_00876
OG0000016	Prad.g_00598	Prba.g_00200
OG0000017	Prad.g_00494	Prba.g_00693
OG0000018	Prad.g_01750	Prba.g_00460
OG0000019	Prad.g_01981	Prba.g_00245
OG0000020	Prad.g_00735	Prba.g_00868
OG0000021	Prad.g_01127	Prba.g_01517
OG0000022	Prad.g_00352	Prba.g_01174
OG0000023	Prad.g_00401	Prba.g_00276
OG0000023	Prad.g_00317	Prba.g_01142
OG0000024	Prad.g_01685	Prba.g_00522
OG0000025	Prad.g_00985	Prba.g_01229, Prba.g_00899
OG0000026	Prad.g_01953	Prba.g_01826
OG0000027	Prad.g_01078	Prba.g_01567
OG0000027	Prad.g_00427	Prba.g_00301
OG0000028	Prad.g_00515	Prba.g_00713
OG0000029	Prad.g_00400	Prba.g_00275
OG0000030	Prad.g_01995, Prad.g_00073	Prba.g_01832
OG0000031	Prad.g_00342	Prba.g_01168
OG0000033	Prad.g_01973	Prba.g_01806
OG0000035	Prad.g_00258	Prba.g_01409
OG0000036	Prad.g_01374	Prba.g_01731
OG0000037	Prad.g_01412	Prba.g_01694
OG0000038	Prad.g_01105	Prba.g_01543
OG0000039	Prad.g_01825	Prba.g_00622
OG0000040	Prad.g_00751	Prba.g_00854
OG0000041	Prad.g_00697	Prba.g_01041
OG0000042	Prad.g_01049	Prba.g_01594
OG0000043	Prad.g_01130	Prba.g_01514
OG0000044	Prad.g_01496	Prba.g_00064
OG0000045	Prad.g_00565	Prba.g_00153
OG0000046	Prad.g_00948	Prba.g_00233
OG0000047	Prad.g_01631	Prba.g_00768
OG0000048	Prad.g_01624	Prba.g_00775
OG0000050	Prad.g_01955	Prba.g_01824
OG0000051	Prad.g_01834	Prba.g_01945
OG0000052	Prad.g_00739	Prba.g_00864
OG0000053	Prad.g_00090	Prba.g_00922
OG0000054	Prad.g_01099	Prba.g_01548
OG0000055	Prad.g_01168	Prba.g_01477
OG0000056	Prad.g_00657	Prba.g_00727
OG0000057	Prad.g_01754	Prba.g_00456
OG0000058	Prad.g_00032	Prba.g_00986
OG0000059	Prad.g_01272	Prba.g_01619
OG0000060	Prad.g_01080	Prba.g_01565
OG0000061	Prad.g_00166	Prba.g_01317
OG0000062	Prad.g_01989	Prba.g_00097
OG0000063	Prad.g_01214	Prba.g_01135
OG0000064	Prad.g_00320	Prba.g_01145
OG0000065	Prad.g_00628	Prba.g_01192
OG0000066	Prad.g_00564	Prba.g_00175
OG0000067	Prad.g_01212	Prba.g_01132
OG0000067	Prad.g_01218	Prba.g_00900
OG0000068	Prad.g_00807	Prba.g_00429
OG0000069	Prad.g_00561	Prba.g_00149
OG0000071	Prad.g_01975	Prba.g_01804
OG0000072	Prad.g_01669	Prba.g_00538
OG0000073	Prad.g_01243	Prba.g_01648
OG0000074	Prad.g_01265	Prba.g_01626
OG0000075	Prad.g_01153	Prba.g_01492
OG0000076	Prad.g_01018	Prba.g_01264
OG0000077	Prad.g_01983	Prba.g_00242
OG0000078	Prad.g_00566	Prba.g_00155
