Orthogroup	Praw	Prbn
OG0000000	Praw.g_01780, Praw.g_00494, Praw.g_00455, Praw.g_00893, Praw.g_00974	Prbn.g_01662
OG0000002	Praw.g_01009	Prbn.g_01483, Prbn.g_01478
OG0000002	Praw.g_01844	Prbn.g_01159, Prbn.g_01234, Prbn.g_01161, Prbn.g_01154, Prbn.g_00879, Prbn.g_01586
OG0000004	Praw.g_01827	Prbn.g_01565
OG0000004	Praw.g_01203	Prbn.g_00318
OG0000005	Praw.g_00413	Prbn.g_00899
OG0000006	Praw.g_01950	Prbn.g_00308
OG0000007	Praw.g_00651	Prbn.g_00617
OG0000007	Praw.g_00515	Prbn.g_01745
OG0000008	Praw.g_00501	Prbn.g_01645
OG0000008	Praw.g_00502	Prbn.g_01646
OG0000010	Praw.g_00673	Prbn.g_01939, Prbn.g_01357, Prbn.g_00640
OG0000012	Praw.g_00159	Prbn.g_00867, Prbn.g_00492
OG0000013	Praw.g_00807	Prbn.g_00092
OG0000014	Praw.g_00828	Prbn.g_00074
OG0000015	Praw.g_01738	Prbn.g_01684, Prbn.g_01730
OG0000016	Praw.g_01415, Praw.g_00484	Prbn.g_01131
OG0000017	Praw.g_01944	Prbn.g_00517
OG0000018	Praw.g_00215	Prbn.g_01167
OG0000018	Praw.g_01670	Prbn.g_01518
OG0000019	Praw.g_00884	Prbn.g_00015
OG0000019	Praw.g_01717	Prbn.g_01165
OG0000020	Praw.g_00181	Prbn.g_00875
OG0000020	Praw.g_00483	Prbn.g_00133
OG0000021	Praw.g_00479, Praw.g_00767	Prbn.g_00874
OG0000022	Praw.g_01746	Prbn.g_00891
OG0000023	Praw.g_00772	Prbn.g_01030
OG0000024	Praw.g_01763	Prbn.g_01353
OG0000024	Praw.g_01847	Prbn.g_01589
OG0000025	Praw.g_01664, Praw.g_00803	Prbn.g_01510
OG0000026	Praw.g_01397, Praw.g_01453	Prbn.g_00750
OG0000027	Praw.g_00677, Praw.g_00492, Praw.g_00962	Prbn.g_00139
OG0000028	Praw.g_00334	Prbn.g_01644
OG0000029	Praw.g_01755	Prbn.g_00126, Prbn.g_01676
OG0000030	Praw.g_00029	Prbn.g_00985
OG0000031	Praw.g_01073	Prbn.g_00171
OG0000033	Praw.g_01266	Prbn.g_01244
OG0000034	Praw.g_00991	Prbn.g_01073
OG0000037	Praw.g_01326	Prbn.g_01310
OG0000038	Praw.g_01182	Prbn.g_00946
OG0000039	Praw.g_01836	Prbn.g_01577
OG0000041	Praw.g_00562	Prbn.g_01793
OG0000042	Praw.g_00032	Prbn.g_00988
OG0000043	Praw.g_01627	Prbn.g_01168
OG0000045	Praw.g_00761	Prbn.g_01145
OG0000048	Praw.g_00504, Praw.g_00758	Prbn.g_00038
OG0000052	Praw.g_01071	Prbn.g_00190
OG0000053	Praw.g_00357	Prbn.g_01690, Prbn.g_00233
OG0000054	Praw.g_00142	Prbn.g_00508
OG0000055	Praw.g_01716	Prbn.g_01140
OG0000057	Praw.g_01824	Prbn.g_01562
OG0000058	Praw.g_01055	Prbn.g_00172
OG0000059	Praw.g_01894	Prbn.g_01833
OG0000061	Praw.g_00234	Prbn.g_01189
OG0000062	Praw.g_00415	Prbn.g_00897
OG0000063	Praw.g_01395	Prbn.g_00130
OG0000065	Praw.g_01328	Prbn.g_01312
OG0000066	Praw.g_00609	Prbn.g_00577, Prbn.g_01657
OG0000067	Praw.g_01697	Prbn.g_01546
OG0000068	Praw.g_01016	Prbn.g_01240
OG0000069	Praw.g_00448	Prbn.g_00659
OG0000070	Praw.g_00697	Prbn.g_00663
OG0000071	Praw.g_00981	Prbn.g_01084
OG0000072	Praw.g_01264	Prbn.g_00383
OG0000073	Praw.g_00649	Prbn.g_00614
OG0000074	Praw.g_01840	Prbn.g_01582
OG0000075	Praw.g_00064	Prbn.g_01917
OG0000076	Praw.g_00039	Prbn.g_00996
OG0000077	Praw.g_01356	Prbn.g_01342
OG0000078	Praw.g_01196	Prbn.g_00310
OG0000081	Praw.g_00617	Prbn.g_00585
OG0000082	Praw.g_01932	Prbn.g_00530, Prbn.g_01734
OG0000084	Praw.g_01087	Prbn.g_00209
OG0000085	Praw.g_00508	Prbn.g_01737, Prbn.g_00144
OG0000086	Praw.g_01346	Prbn.g_01333
OG0000087	Praw.g_01296	Prbn.g_01278
OG0000088	Praw.g_01269	Prbn.g_01247
OG0000089	Praw.g_00776	Prbn.g_00696
OG0000090	Praw.g_00615	Prbn.g_00583
OG0000091	Praw.g_01880	Prbn.g_00434
OG0000092	Praw.g_01592	Prbn.g_01616
OG0000093	Praw.g_01571	Prbn.g_00846
OG0000094	Praw.g_01486	Prbn.g_01369
OG0000095	Praw.g_01467	Prbn.g_01471
OG0000096	Praw.g_00482, Praw.g_00184, Praw.g_00945	Prbn.g_01049
OG0000097	Praw.g_00275	Prbn.g_00408
OG0000098	Praw.g_00997	Prbn.g_01216
OG0000099	Praw.g_01051	Prbn.g_00173
OG0000100	Praw.g_00411	Prbn.g_00903
OG0000101	Praw.g_00096	Prbn.g_01881
OG0000102	Praw.g_00034	Prbn.g_00991
OG0000103	Praw.g_01148	Prbn.g_00907
OG0000104	Praw.g_01140	Prbn.g_00296
OG0000105	Praw.g_00860	Prbn.g_00041
OG0000106	Praw.g_00762	Prbn.g_00829
OG0000107	Praw.g_00748	Prbn.g_01810
OG0000108	Praw.g_00667	Prbn.g_00634
OG0000109	Praw.g_00654	Prbn.g_00620
OG0000110	Praw.g_01922	Prbn.g_00541
OG0000111	Praw.g_01823	Prbn.g_01561
OG0000112	Praw.g_01732	Prbn.g_00468
OG0000113	Praw.g_01675	Prbn.g_01523
OG0000114	Praw.g_01597	Prbn.g_01621
OG0000115	Praw.g_00178	Prbn.g_01120
OG0000116	Praw.g_00224	Prbn.g_01178
OG0000117	Praw.g_00926	Prbn.g_00389
OG0000118	Praw.g_00993	Prbn.g_01071
OG0000119	Praw.g_01012	Prbn.g_01135, Prbn.g_00885
OG0000120	Praw.g_01050	Prbn.g_00170
OG0000121	Praw.g_01078	Prbn.g_00214
OG0000122	Praw.g_00377	Prbn.g_01113, Prbn.g_00255
OG0000123	Praw.g_00089	Prbn.g_01888
OG0000124	Praw.g_00023	Prbn.g_00979
OG0000125	Praw.g_01180	Prbn.g_00944
OG0000126	Praw.g_01141	Prbn.g_00295
OG0000128	Praw.g_01125	Prbn.g_00002, Prbn.g_00003
OG0000129	Praw.g_01384	Prbn.g_00737
OG0000130	Praw.g_01365	Prbn.g_00708
OG0000131	Praw.g_01290	Prbn.g_01269
OG0000132	Praw.g_01271	Prbn.g_01249
OG0000133	Praw.g_00812	Prbn.g_00088
OG0000134	Praw.g_00775	Prbn.g_00694
OG0000135	Praw.g_00751	Prbn.g_01102
OG0000136	Praw.g_00706	Prbn.g_00672
OG0000137	Praw.g_00672	Prbn.g_00639
OG0000138	Praw.g_00653	Prbn.g_00619
OG0000139	Praw.g_00611	Prbn.g_00579
OG0000140	Praw.g_00610	Prbn.g_00578
OG0000141	Praw.g_00143	Prbn.g_00507
OG0000142	Praw.g_01887	Prbn.g_00426
OG0000143	Praw.g_01883	Prbn.g_00430
OG0000144	Praw.g_01870	Prbn.g_00444
OG0000145	Praw.g_01745	Prbn.g_01100
OG0000146	Praw.g_01731	Prbn.g_00469
OG0000147	Praw.g_01730	Prbn.g_00470
OG0000148	Praw.g_01681	Prbn.g_01529
OG0000149	Praw.g_01652	Prbn.g_01497
OG0000150	Praw.g_01644	Prbn.g_01487
OG0000151	Praw.g_01587	Prbn.g_01611
OG0000152	Praw.g_01539	Prbn.g_01418
OG0000153	Praw.g_01520	Prbn.g_01399
OG0000154	Praw.g_01493	Prbn.g_01379
OG0000155	Praw.g_00254	Prbn.g_01210
OG0000156	Praw.g_00968	Prbn.g_01095
OG0000157	Praw.g_00969	Prbn.g_01094
OG0000158	Praw.g_01052	Prbn.g_01014
OG0000159	Praw.g_01054	Prbn.g_00717
OG0000160	Praw.g_01079, Praw.g_01080	Prbn.g_00213
OG0000161	Praw.g_00344	Prbn.g_00219
OG0000162	Praw.g_00350	Prbn.g_00225
OG0000163	Praw.g_00384	Prbn.g_00264
OG0000164	Praw.g_00539	Prbn.g_01770
OG0000165	Praw.g_00546	Prbn.g_01777
OG0000166	Praw.g_00132	Prbn.g_01844
OG0000167	Praw.g_00066	Prbn.g_01915
OG0000168	Praw.g_00056	Prbn.g_01013
OG0000169	Praw.g_00046	Prbn.g_01003
OG0000170	Praw.g_00044	Prbn.g_01000
OG0000171	Praw.g_00024	Prbn.g_00980
