Orthogroup	Praw	Prah
OG0000000	Praw.g_01780, Praw.g_00494, Praw.g_00455, Praw.g_00893, Praw.g_00974	Prah.g_01348
OG0000000	Praw.g_00472	Prah.g_01154, Prah.g_01152
OG0000000	Praw.g_00959, Praw.g_00495, Praw.g_00457	Prah.g_01346, Prah.g_01347
OG0000001	Praw.g_01000, Praw.g_00500, Praw.g_01739, Praw.g_01951, Praw.g_00497	Prah.g_00324, Prah.g_01343
OG0000002	Praw.g_01009	Prah.g_00562
OG0000002	Praw.g_01844	Prah.g_01226
OG0000004	Praw.g_01827	Prah.g_01022
OG0000004	Praw.g_01203	Prah.g_01413
OG0000005	Praw.g_00413	Prah.g_01652
OG0000006	Praw.g_01950	Prah.g_00475, Prah.g_01767
OG0000007	Praw.g_00651	Prah.g_01546
OG0000007	Praw.g_00515	Prah.g_01676
OG0000008	Praw.g_00501	Prah.g_00970
OG0000008	Praw.g_00502	Prah.g_00969
OG0000009	Praw.g_01330	Prah.g_00432, Prah.g_01895
OG0000010	Praw.g_00673	Prah.g_00311
OG0000011	Praw.g_00952	Prah.g_01084
OG0000012	Praw.g_00159	Prah.g_00524
OG0000013	Praw.g_00807	Prah.g_01956
OG0000014	Praw.g_00828	Prah.g_02171
OG0000015	Praw.g_01738	Prah.g_01155, Prah.g_00576
OG0000016	Praw.g_01415	Prah.g_01270
OG0000017	Praw.g_01944	Prah.g_01405
OG0000018	Praw.g_00215, Praw.g_01670	Prah.g_00378
OG0000020	Praw.g_00483	Prah.g_01100
OG0000021	Praw.g_00479, Praw.g_00767	Prah.g_01108, Prah.g_01112, Prah.g_01117
OG0000022	Praw.g_01746	Prah.g_00170
OG0000022	Praw.g_00197	Prah.g_01209
OG0000023	Praw.g_00772	Prah.g_00688
OG0000024	Praw.g_01763, Praw.g_01847	Prah.g_01043
OG0000025	Praw.g_01664, Praw.g_00803	Prah.g_00604
OG0000026	Praw.g_01397, Praw.g_01453	Prah.g_00038
OG0000028	Praw.g_00814	Prah.g_02184
OG0000029	Praw.g_01755	Prah.g_01972
OG0000030	Praw.g_00029	Prah.g_00132, Prah.g_00131
OG0000031	Praw.g_01073	Prah.g_00091
OG0000032	Praw.g_01043	Prah.g_02196
OG0000033	Praw.g_01266	Prah.g_02307
OG0000034	Praw.g_00991	Prah.g_01376
OG0000035	Praw.g_01081, Praw.g_01083	Prah.g_00408
OG0000037	Praw.g_01326	Prah.g_01901
OG0000038	Praw.g_01182	Prah.g_02494, Prah.g_02496
OG0000039	Praw.g_01836	Prah.g_01758, Prah.g_02382
OG0000041	Praw.g_00562	Prah.g_01737
OG0000042	Praw.g_00032	Prah.g_00135, Prah.g_01256
OG0000045	Praw.g_00761	Prah.g_01837
OG0000047	Praw.g_00804	Prah.g_00353
OG0000048	Praw.g_00504, Praw.g_00758	Prah.g_02122
OG0000051	Praw.g_00955, Praw.g_00491	Prah.g_01166
OG0000052	Praw.g_01071	Prah.g_02219
OG0000053	Praw.g_00357	Prah.g_00381
OG0000054	Praw.g_00142	Prah.g_01394
OG0000055	Praw.g_01716	Prah.g_00942
OG0000057	Praw.g_01824	Prah.g_01027
OG0000060	Praw.g_01743	Prah.g_01156
OG0000061	Praw.g_00234	Prah.g_00104
OG0000062	Praw.g_00415	Prah.g_01654
OG0000063	Praw.g_01395	Prah.g_00042
OG0000065	Praw.g_01328	Prah.g_01897
OG0000066	Praw.g_00609	Prah.g_01485
OG0000067	Praw.g_01697	Prah.g_00667
OG0000068	Praw.g_01016	Prah.g_01576
OG0000070	Praw.g_00697	Prah.g_00252
OG0000071	Praw.g_00981	Prah.g_01364
OG0000072	Praw.g_01264	Prah.g_02309
OG0000073	Praw.g_00649	Prah.g_01544
OG0000075	Praw.g_00064	Prah.g_02232
OG0000076	Praw.g_00039	Prah.g_00150
OG0000077	Praw.g_01356	Prah.g_01850
OG0000078	Praw.g_01196	Prah.g_01773
OG0000081	Praw.g_00617	Prah.g_01035
OG0000082	Praw.g_01932	Prah.g_01427
OG0000084	Praw.g_01087	Prah.g_00412
OG0000085	Praw.g_00508	Prah.g_01666
