Orthogroup	Praw	Syae
OG0000001	Praw.g_01000, Praw.g_00500, Praw.g_01739, Praw.g_01951, Praw.g_00497	Syae.g_02061
OG0000004	Praw.g_01827	Syae.g_00779
OG0000004	Praw.g_01203	Syae.g_00042, Syae.g_02231
OG0000005	Praw.g_00528	Syae.g_01179
OG0000005	Praw.g_00413	Syae.g_01143
OG0000006	Praw.g_01950	Syae.g_02030, Syae.g_02248
OG0000007	Praw.g_00651	Syae.g_02328
OG0000007	Praw.g_00515	Syae.g_01163
OG0000008	Praw.g_00501	Syae.g_00753
OG0000008	Praw.g_00502	Syae.g_00752
OG0000009	Praw.g_00447	Syae.g_00561, Syae.g_00171
OG0000009	Praw.g_01330	Syae.g_00100, Syae.g_01361
OG0000010	Praw.g_01460, Praw.g_00673	Syae.g_02529
OG0000011	Praw.g_00952	Syae.g_00268
OG0000012	Praw.g_00159	Syae.g_02397, Syae.g_02562, Syae.g_00049
OG0000013	Praw.g_00807	Syae.g_02169, Syae.g_02155, Syae.g_02160
OG0000014	Praw.g_00828	Syae.g_01930
OG0000015	Praw.g_01738	Syae.g_00590
OG0000016	Praw.g_01415	Syae.g_00681
OG0000016	Praw.g_00484	Syae.g_00233
OG0000017	Praw.g_01944	Syae.g_02462
OG0000018	Praw.g_00215, Praw.g_01670	Syae.g_02625
OG0000019	Praw.g_00884, Praw.g_01717	Syae.g_02015
OG0000021	Praw.g_00479, Praw.g_00767	Syae.g_01261
OG0000022	Praw.g_01746, Praw.g_00197	Syae.g_00144
OG0000023	Praw.g_00772	Syae.g_00439, Syae.g_00930
OG0000025	Praw.g_01664, Praw.g_00803	Syae.g_00833
OG0000026	Praw.g_01397, Praw.g_01453	Syae.g_01748
OG0000027	Praw.g_00677, Praw.g_00492, Praw.g_00962	Syae.g_00103, Syae.g_00814
OG0000028	Praw.g_00814, Praw.g_00334	Syae.g_01916
OG0000029	Praw.g_01755	Syae.g_00136
OG0000030	Praw.g_00029	Syae.g_01817, Syae.g_01816
OG0000033	Praw.g_01266	Syae.g_01453
OG0000034	Praw.g_00991	Syae.g_00975, Syae.g_01424
OG0000035	Praw.g_01081, Praw.g_01083	Syae.g_02653
OG0000037	Praw.g_01326	Syae.g_01367
OG0000038	Praw.g_01182	Syae.g_01571
OG0000039	Praw.g_01836	Syae.g_00822, Syae.g_02495
OG0000041	Praw.g_00562	Syae.g_01042
OG0000042	Praw.g_00032	Syae.g_01821
OG0000043	Praw.g_01627	Syae.g_00117
OG0000047	Praw.g_00804	Syae.g_02184
OG0000048	Praw.g_00504, Praw.g_00758	Syae.g_01982
OG0000051	Praw.g_00955	Syae.g_00438
OG0000052	Praw.g_01071	Syae.g_01886
OG0000053	Praw.g_00357	Syae.g_02629
OG0000054	Praw.g_00142	Syae.g_00014
OG0000055	Praw.g_01716	Syae.g_00817
OG0000057	Praw.g_01824	Syae.g_00782
OG0000058	Praw.g_01055	Syae.g_01905
