Orthogroup	Praw	Prba
OG0000000	Praw.g_00493, Praw.g_01782, Praw.g_00961	Prba.g_01174
OG0000000	Praw.g_00455	Prba.g_00269
OG0000000	Praw.g_00294	Prba.g_00003
OG0000000	Praw.g_00294	Prba.g_00270
OG0000000	Praw.g_00454	Prba.g_00003
OG0000000	Praw.g_00454	Prba.g_00270
OG0000000	Praw.g_00496	Prba.g_00003
OG0000000	Praw.g_00496	Prba.g_00270
OG0000000	Praw.g_00959	Prba.g_01172
OG0000000	Praw.g_00495, Praw.g_00457	Prba.g_00268
OG0000001	Praw.g_01000	Prba.g_00211
OG0000001	Praw.g_01951	Prba.g_01080
OG0000002	Praw.g_01009	Prba.g_00203
OG0000002	Praw.g_01844	Prba.g_01639
OG0000004	Praw.g_01827	Prba.g_01622
OG0000004	Praw.g_01203	Prba.g_00451
OG0000005	Praw.g_00528	Prba.g_00607
OG0000005	Praw.g_00413	Prba.g_00312
OG0000006	Praw.g_01950	Prba.g_00460
OG0000007	Praw.g_00651	Prba.g_00964
OG0000007	Praw.g_00515	Prba.g_00226
OG0000008	Praw.g_00501	Prba.g_01131
OG0000008	Praw.g_01850	Prba.g_01645
OG0000009	Praw.g_00447	Prba.g_00276
OG0000009	Praw.g_01330	Prba.g_01893
OG0000010	Praw.g_01460	Prba.g_01256
OG0000010	Praw.g_00673	Prba.g_00987
OG0000011	Praw.g_00952	Prba.g_01165
OG0000012	Praw.g_00159	Prba.g_01694
OG0000013	Praw.g_00807	Prba.g_00543
OG0000014	Praw.g_00828	Prba.g_00522
OG0000015	Praw.g_01738	Prba.g_01538
OG0000017	Praw.g_01944	Prba.g_01719
OG0000018	Praw.g_00215	Prba.g_00083
OG0000018	Praw.g_01670	Prba.g_01472
OG0000019	Praw.g_00884	Prba.g_00468
OG0000019	Praw.g_01717	Prba.g_01519
OG0000020	Praw.g_00181	Prba.g_00737
OG0000021	Praw.g_00479	Prba.g_00245
OG0000021	Praw.g_00767	Prba.g_00858
OG0000022	Praw.g_01746	Prba.g_01543
OG0000022	Praw.g_00197	Prba.g_00101
OG0000023	Praw.g_00772	Prba.g_00854
OG0000024	Praw.g_01763	Prba.g_01558
OG0000024	Praw.g_01847	Prba.g_01642
OG0000025	Praw.g_01664	Prba.g_01464
OG0000025	Praw.g_00803	Prba.g_00547
OG0000026	Praw.g_01397	Prba.g_01824
OG0000026	Praw.g_01453	Prba.g_01249
OG0000027	Praw.g_00677	Prba.g_00991
OG0000027	Praw.g_00962	Prba.g_01175
OG0000028	Praw.g_00814	Prba.g_00536
OG0000028	Praw.g_00334	Prba.g_01126
OG0000029	Praw.g_01755	Prba.g_01551
OG0000030	Praw.g_00029	Prba.g_00778
OG0000031	Praw.g_01073	Prba.g_00173
OG0000032	Praw.g_01043	Prba.g_00149
OG0000033	Praw.g_01266	Prba.g_00625
OG0000034	Praw.g_00991	Prba.g_01202
OG0000035	Praw.g_01081, Praw.g_01083	Prba.g_00713
OG0000037	Praw.g_01326	Prba.g_01897
OG0000038	Praw.g_01182	Prba.g_00819
OG0000039	Praw.g_01836	Prba.g_01631
OG0000040	Praw.g_00476	Prba.g_00251
OG0000040	Praw.g_00214	Prba.g_00084
OG0000042	Praw.g_00032	Prba.g_00775
OG0000043	Praw.g_01627	Prba.g_01427
OG0000045	Praw.g_00761	Prba.g_00865
OG0000047	Praw.g_00804	Prba.g_00546
OG0000048	Praw.g_00758	Prba.g_00868
OG0000049	Praw.g_00750	Prba.g_00878
OG0000049	Praw.g_00328	Prba.g_01104
OG0000049	Praw.g_00928	Prba.g_00901
OG0000050	Praw.g_01432	Prba.g_01229
OG0000051	Praw.g_00955	Prba.g_01168
OG0000052	Praw.g_01071	Prba.g_00160
OG0000053	Praw.g_00357	Prba.g_00693
OG0000054	Praw.g_00142	Prba.g_01711
OG0000055	Praw.g_01716	Prba.g_01518
