Orthogroup	Praw	Syag
OG0000001	Praw.g_01000, Praw.g_00500, Praw.g_01739, Praw.g_01951, Praw.g_00497	Syag.g_00575
OG0000004	Praw.g_01827	Syag.g_00988
OG0000004	Praw.g_01203	Syag.g_00370, Syag.g_01790
OG0000005	Praw.g_00528	Syag.g_01708
OG0000005	Praw.g_00413	Syag.g_01667
OG0000006	Praw.g_01950	Syag.g_01772, Syag.g_02678, Syag.g_02687
OG0000007	Praw.g_00651	Syag.g_01507
OG0000007	Praw.g_00515	Syag.g_01687
OG0000008	Praw.g_00501	Syag.g_00496
OG0000008	Praw.g_00502	Syag.g_01017
OG0000009	Praw.g_00447	Syag.g_00220, Syag.g_00231
OG0000009	Praw.g_01330	Syag.g_01883
OG0000010	Praw.g_01460, Praw.g_00673	Syag.g_01355
OG0000011	Praw.g_00952	Syag.g_01299
OG0000012	Praw.g_00159	Syag.g_00995, Syag.g_00686, Syag.g_01105, Syag.g_00377
OG0000013	Praw.g_00807	Syag.g_02820, Syag.g_02806, Syag.g_02811
OG0000014	Praw.g_00828	Syag.g_02559
OG0000015	Praw.g_01738	Syag.g_00596
OG0000016	Praw.g_01415	Syag.g_01066
OG0000017	Praw.g_01944	Syag.g_00336
OG0000018	Praw.g_00215, Praw.g_01670	Syag.g_01387
OG0000019	Praw.g_00884, Praw.g_01717	Syag.g_02663
OG0000020	Praw.g_00181, Praw.g_00483	Syag.g_00085
OG0000022	Praw.g_01746, Praw.g_00197	Syag.g_00458
OG0000023	Praw.g_00772	Syag.g_00261, Syag.g_00234
OG0000024	Praw.g_01763, Praw.g_01847	Syag.g_00455
OG0000025	Praw.g_01664, Praw.g_00803	Syag.g_00718
OG0000026	Praw.g_01397, Praw.g_01453	Syag.g_02309
OG0000027	Praw.g_00677, Praw.g_00492, Praw.g_00962	Syag.g_00950, Syag.g_00165
OG0000028	Praw.g_00814, Praw.g_00334	Syag.g_02540
OG0000029	Praw.g_01755	Syag.g_00195
OG0000030	Praw.g_00029	Syag.g_02375, Syag.g_02374
OG0000032	Praw.g_01043	Syag.g_02480
OG0000033	Praw.g_01266	Syag.g_01978
OG0000034	Praw.g_00991	Syag.g_01225, Syag.g_01947
OG0000035	Praw.g_01081, Praw.g_01083	Syag.g_01420
OG0000037	Praw.g_01326	Syag.g_00173
OG0000038	Praw.g_01182	Syag.g_02130, Syag.g_02132
OG0000039	Praw.g_01836	Syag.g_01325, Syag.g_02155
OG0000041	Praw.g_00562	Syag.g_01750
OG0000042	Praw.g_00032	Syag.g_01094, Syag.g_02378
OG0000043	Praw.g_01627	Syag.g_00564
OG0000045	Praw.g_00761	Syag.g_00223
OG0000047	Praw.g_00804	Syag.g_00768
OG0000048	Praw.g_00504, Praw.g_00758	Syag.g_02611
OG0000051	Praw.g_00955	Syag.g_01026
OG0000052	Praw.g_01071	Syag.g_02451
OG0000053	Praw.g_00357	Syag.g_01391
OG0000054	Praw.g_00142	Syag.g_00350
OG0000055	Praw.g_01716	Syag.g_00946
OG0000057	Praw.g_01824	Syag.g_00985
OG0000058	Praw.g_01055	Syag.g_02477
OG0000059	Praw.g_01894	Syag.g_02721
OG0000060	Praw.g_01743	Syag.g_01095
OG0000061	Praw.g_00234	Syag.g_01141
OG0000063	Praw.g_01395	Syag.g_02313
