Orthogroup	Praw	Syam
OG0000001	Praw.g_01000, Praw.g_00500, Praw.g_01739, Praw.g_01951, Praw.g_00497	Syam.g_00946
OG0000002	Praw.g_01009, Praw.g_01844	Syam.g_00931
OG0000004	Praw.g_01827	Syam.g_00787
OG0000004	Praw.g_01203	Syam.g_01499, Syam.g_00501
OG0000005	Praw.g_00528	Syam.g_02004
OG0000005	Praw.g_00413	Syam.g_01970
OG0000006	Praw.g_01950	Syam.g_00286, Syam.g_00518
OG0000007	Praw.g_00651	Syam.g_00602
OG0000007	Praw.g_00515	Syam.g_01990
OG0000008	Praw.g_00501	Syam.g_00810
OG0000008	Praw.g_00502	Syam.g_00811
OG0000009	Praw.g_01330	Syam.g_02119
OG0000010	Praw.g_01460, Praw.g_00673	Syam.g_01669
OG0000012	Praw.g_00159	Syam.g_00794, Syam.g_00994, Syam.g_01492
OG0000013	Praw.g_00807	Syam.g_00421, Syam.g_00404, Syam.g_00409
OG0000014	Praw.g_00828	Syam.g_00191
OG0000015	Praw.g_01738	Syam.g_01218, Syam.g_01362
OG0000016	Praw.g_01415	Syam.g_00876
OG0000016	Praw.g_00484	Syam.g_01011
OG0000017	Praw.g_01944	Syam.g_01715
OG0000018	Praw.g_00215, Praw.g_01670	Syam.g_01640
OG0000019	Praw.g_00884, Praw.g_01717	Syam.g_00274
OG0000022	Praw.g_01746, Praw.g_00197	Syam.g_01418
OG0000023	Praw.g_00772	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075, Syam.g_01943
OG0000024	Praw.g_01763, Praw.g_01847	Syam.g_00815
OG0000025	Praw.g_01664, Praw.g_00803	Syam.g_00740
OG0000026	Praw.g_01397, Praw.g_01453	Syam.g_00035
OG0000027	Praw.g_00677, Praw.g_00492, Praw.g_00962	Syam.g_01442, Syam.g_00989
OG0000028	Praw.g_00814, Praw.g_00334	Syam.g_00176
OG0000029	Praw.g_01755	Syam.g_01390, Syam.g_01055
OG0000030	Praw.g_00029	Syam.g_00104, Syam.g_00103
OG0000031	Praw.g_01073	Syam.g_00086
OG0000032	Praw.g_01043	Syam.g_00079
OG0000033	Praw.g_01266	Syam.g_02217
OG0000034	Praw.g_00991	Syam.g_02185, Syam.g_01843, Syam.g_02187
OG0000035	Praw.g_01081, Praw.g_01083	Syam.g_01612
OG0000037	Praw.g_01326	Syam.g_02125
OG0000038	Praw.g_01182	Syam.g_02317
OG0000039	Praw.g_01836	Syam.g_00749
OG0000041	Praw.g_00562	Syam.g_01899
OG0000042	Praw.g_00032	Syam.g_00107
OG0000045	Praw.g_00761	Syam.g_02028
OG0000047	Praw.g_00804	Syam.g_00434
OG0000048	Praw.g_00504, Praw.g_00758	Syam.g_00243
OG0000052	Praw.g_01071	Syam.g_00161
OG0000053	Praw.g_00357	Syam.g_01636
OG0000054	Praw.g_00142	Syam.g_01515
OG0000055	Praw.g_01716	Syam.g_00754
OG0000057	Praw.g_01824	Syam.g_00784
OG0000058	Praw.g_01055	Syam.g_00169
OG0000059	Praw.g_01894	Syam.g_00320
OG0000060	Praw.g_01743	Syam.g_00902
OG0000061	Praw.g_00234	Syam.g_01795
OG0000063	Praw.g_01395	Syam.g_00039
OG0000065	Praw.g_01328	Syam.g_02121
OG0000066	Praw.g_00609	Syam.g_00552, Syam.g_00662
OG0000067	Praw.g_01697	Syam.g_01290
OG0000068	Praw.g_01016	Syam.g_00575
OG0000070	Praw.g_00697	Syam.g_01847
OG0000071	Praw.g_00981	Syam.g_01830
OG0000072	Praw.g_01264	Syam.g_02219
OG0000073	Praw.g_00649	Syam.g_00604
OG0000075	Praw.g_00064	Syam.g_00148
OG0000076	Praw.g_00039	Syam.g_00115
OG0000077	Praw.g_01356	Syam.g_02074
OG0000078	Praw.g_01196	Syam.g_00514
OG0000081	Praw.g_00617	Syam.g_00520
OG0000082	Praw.g_01932	Syam.g_01730
OG0000085	Praw.g_00508	Syam.g_01979
