Orthogroup	Praw	Prax
OG0000000	Praw.g_00493, Praw.g_01782, Praw.g_00961	Prax.g_01917
OG0000000	Praw.g_00455	Prax.g_01608
OG0000000	Praw.g_00893, Praw.g_00974	Prax.g_00496
OG0000000	Praw.g_00294	Prax.g_00259
OG0000000	Praw.g_00294	Prax.g_01609
OG0000000	Praw.g_00454	Prax.g_00259
OG0000000	Praw.g_00454	Prax.g_01609
OG0000000	Praw.g_00496	Prax.g_00259
OG0000000	Praw.g_00496	Prax.g_01609
OG0000000	Praw.g_00472	Prax.g_01920
OG0000000	Praw.g_00959	Prax.g_01919
OG0000000	Praw.g_00495, Praw.g_00457	Prax.g_01606
OG0000001	Praw.g_01000	Prax.g_01878
OG0000001	Praw.g_01739	Prax.g_00522
OG0000002	Praw.g_01009	Prax.g_01870
OG0000002	Praw.g_01844	Prax.g_00964
OG0000004	Praw.g_01827	Prax.g_00947
OG0000004	Praw.g_01203	Prax.g_00986
OG0000005	Praw.g_00528	Prax.g_01546
OG0000005	Praw.g_00413	Prax.g_01652
OG0000006	Praw.g_01950	Prax.g_01972
OG0000007	Praw.g_00651	Prax.g_00704
OG0000007	Praw.g_00515	Prax.g_01559
OG0000008	Praw.g_01850	Prax.g_00970
OG0000009	Praw.g_00447	Prax.g_01617
OG0000010	Praw.g_01460	Prax.g_01212
OG0000010	Praw.g_00673	Prax.g_00728
OG0000011	Praw.g_00952	Prax.g_01930
OG0000012	Praw.g_00159	Prax.g_00082
OG0000013	Praw.g_00807	Prax.g_00846
OG0000014	Praw.g_00828	Prax.g_00869
OG0000015	Praw.g_01738	Prax.g_00523
OG0000017	Praw.g_01944	Prax.g_00057
OG0000018	Praw.g_00215	Prax.g_00181
OG0000018	Praw.g_01670	Prax.g_00346
OG0000019	Praw.g_00884	Prax.g_00926
OG0000019	Praw.g_01717	Prax.g_00393
OG0000020	Praw.g_00181	Prax.g_00138
OG0000021	Praw.g_00479	Prax.g_01587
OG0000021	Praw.g_00767	Prax.g_00808
OG0000022	Praw.g_01746	Prax.g_00415
OG0000022	Praw.g_00197	Prax.g_00157
OG0000023	Praw.g_00772	Prax.g_00813
OG0000024	Praw.g_01763	Prax.g_00432
OG0000024	Praw.g_01847	Prax.g_00967
OG0000025	Praw.g_01664	Prax.g_00338
OG0000025	Praw.g_00803	Prax.g_00842
OG0000026	Praw.g_01397	Prax.g_00282
OG0000026	Praw.g_01453	Prax.g_01220
OG0000027	Praw.g_00962	Prax.g_01916
OG0000028	Praw.g_00814	Prax.g_00855
OG0000029	Praw.g_01755	Prax.g_00425
OG0000030	Praw.g_00029	Prax.g_01404
OG0000031	Praw.g_01073	Prax.g_01831
OG0000032	Praw.g_01043	Prax.g_01838
OG0000033	Praw.g_01266	Prax.g_01049
OG0000034	Praw.g_00991	Prax.g_01889
OG0000035	Praw.g_01081	Prax.g_01728
OG0000035	Praw.g_01083	Prax.g_01733
OG0000037	Praw.g_01326	Prax.g_01110
OG0000038	Praw.g_01182	Prax.g_01445
OG0000039	Praw.g_01836	Prax.g_00956
OG0000040	Praw.g_00476	Prax.g_01591
OG0000040	Praw.g_00214	Prax.g_00180
OG0000041	Praw.g_00562	Prax.g_01512
OG0000042	Praw.g_00032	Prax.g_01401
OG0000043	Praw.g_01627	Prax.g_00301, Prax.g_00501, Prax.g_00530
OG0000045	Praw.g_00761	Prax.g_00802
OG0000047	Praw.g_00804	Prax.g_00843
OG0000048	Praw.g_00504	Prax.g_00512
OG0000048	Praw.g_00758	Prax.g_00799
OG0000049	Praw.g_00750	Prax.g_00791
OG0000049	Praw.g_00928	Prax.g_01958
OG0000050	Praw.g_01432	Prax.g_01240
OG0000051	Praw.g_00955	Prax.g_01927
OG0000053	Praw.g_00357	Prax.g_01708
OG0000054	Praw.g_00142	Prax.g_00065
OG0000055	Praw.g_01716	Prax.g_00392
OG0000057	Praw.g_01824	Prax.g_00944
OG0000058	Praw.g_01055	Prax.g_01823
OG0000059	Praw.g_01894	Prax.g_01286
OG0000060	Praw.g_01743	Prax.g_00517
OG0000061	Praw.g_00234	Prax.g_00200
OG0000062	Praw.g_00415	Prax.g_01650
OG0000063	Praw.g_01395	Prax.g_00280
OG0000065	Praw.g_01328	Prax.g_01112
OG0000066	Praw.g_00609	Prax.g_00662
OG0000067	Praw.g_01697	Prax.g_00373
OG0000068	Praw.g_01016	Prax.g_01863
OG0000069	Praw.g_00448	Prax.g_01616
OG0000070	Praw.g_00697	Prax.g_00750
OG0000071	Praw.g_00981	Prax.g_01899
OG0000072	Praw.g_01264	Prax.g_01047
OG0000073	Praw.g_00649	Prax.g_00702
OG0000074	Praw.g_01840	Prax.g_00960
OG0000075	Praw.g_00064	Prax.g_01370
OG0000076	Praw.g_00039	Prax.g_01394
OG0000077	Praw.g_01356	Prax.g_00649
OG0000078	Praw.g_01196	Prax.g_00979
OG0000081	Praw.g_00617	Prax.g_00670
OG0000082	Praw.g_01932	Prax.g_00045
OG0000083	Praw.g_01769	Prax.g_00437
OG0000083	Praw.g_00958	Prax.g_01924
OG0000083	Praw.g_01775	Prax.g_00444
OG0000084	Praw.g_01087	Prax.g_01737
OG0000085	Praw.g_00508	Prax.g_01566
OG0000086	Praw.g_01346	Prax.g_00659
OG0000087	Praw.g_01296	Prax.g_01079
OG0000088	Praw.g_01269	Prax.g_01052
OG0000089	Praw.g_00776	Prax.g_00817
OG0000090	Praw.g_00615	Prax.g_00668
OG0000091	Praw.g_01880	Prax.g_00101
OG0000092	Praw.g_01592	Prax.g_00566
OG0000093	Praw.g_01571	Prax.g_00588
OG0000094	Praw.g_01486	Prax.g_01185
OG0000095	Praw.g_01467	Prax.g_01204
OG0000096	Praw.g_00482	Prax.g_00500
OG0000096	Praw.g_00184	Prax.g_00141
OG0000096	Praw.g_00945	Prax.g_01936
OG0000097	Praw.g_00275	Prax.g_00241
OG0000098	Praw.g_00997	Prax.g_01881
OG0000099	Praw.g_01051	Prax.g_01825
OG0000100	Praw.g_00411	Prax.g_01654
OG0000101	Praw.g_00096	Prax.g_01338
OG0000102	Praw.g_00034	Prax.g_01399
OG0000103	Praw.g_01148	Prax.g_01478
OG0000104	Praw.g_01140	Prax.g_01486
OG0000105	Praw.g_00860	Prax.g_00901
OG0000106	Praw.g_00762	Prax.g_00803
OG0000107	Praw.g_00748	Prax.g_00790
OG0000108	Praw.g_00667	Prax.g_00722
OG0000109	Praw.g_00654	Prax.g_00707
OG0000110	Praw.g_01922	Prax.g_00035
OG0000111	Praw.g_01823	Prax.g_00943
OG0000112	Praw.g_01732	Prax.g_00409
OG0000113	Praw.g_01675	Prax.g_00351
OG0000114	Praw.g_01597	Prax.g_00561
OG0000115	Praw.g_00178	Prax.g_00132
OG0000116	Praw.g_00224	Prax.g_00190
OG0000117	Praw.g_00926	Prax.g_01959
OG0000118	Praw.g_00993	Prax.g_01887
OG0000119	Praw.g_01012	Prax.g_01867
OG0000120	Praw.g_01050	Prax.g_01832
OG0000121	Praw.g_01078	Prax.g_01726
OG0000122	Praw.g_00377	Prax.g_01688
OG0000123	Praw.g_00089	Prax.g_01345
OG0000124	Praw.g_00023	Prax.g_01410
OG0000125	Praw.g_01180	Prax.g_01447
OG0000126	Praw.g_01141	Prax.g_01485
OG0000128	Praw.g_01125	Prax.g_01974
OG0000129	Praw.g_01384	Prax.g_00269
OG0000130	Praw.g_01365	Prax.g_00640
OG0000131	Praw.g_01290	Prax.g_01073
OG0000132	Praw.g_01271	Prax.g_01054
OG0000133	Praw.g_00812	Prax.g_00853
OG0000134	Praw.g_00775	Prax.g_00816
OG0000135	Praw.g_00751	Prax.g_00792
OG0000136	Praw.g_00706	Prax.g_00759
OG0000137	Praw.g_00672	Prax.g_00727
OG0000138	Praw.g_00653	Prax.g_00706
OG0000139	Praw.g_00611	Prax.g_00664
OG0000140	Praw.g_00610	Prax.g_00663
OG0000141	Praw.g_00143	Prax.g_00066
OG0000142	Praw.g_01887	Prax.g_00094
OG0000143	Praw.g_01883	Prax.g_00098
OG0000144	Praw.g_01870	Prax.g_00111
OG0000145	Praw.g_01745	Prax.g_00413
OG0000146	Praw.g_01731	Prax.g_00408
OG0000147	Praw.g_01730	Prax.g_00407
OG0000148	Praw.g_01681	Prax.g_00357
OG0000149	Praw.g_01652	Prax.g_00326
OG0000150	Praw.g_01644	Prax.g_00318
OG0000151	Praw.g_01587	Prax.g_00571
OG0000152	Praw.g_01539	Prax.g_01129
OG0000153	Praw.g_01520	Prax.g_01148
OG0000154	Praw.g_01493	Prax.g_01178
OG0000155	Praw.g_00254	Prax.g_00220
OG0000156	Praw.g_00968	Prax.g_01910
OG0000157	Praw.g_00969	Prax.g_01909
OG0000158	Praw.g_01052	Prax.g_01780
OG0000160	Praw.g_01079, Praw.g_01080	Prax.g_01727
OG0000161	Praw.g_00344	Prax.g_01721
OG0000162	Praw.g_00350	Prax.g_01715
OG0000163	Praw.g_00384	Prax.g_01681
OG0000164	Praw.g_00539	Prax.g_01535
OG0000165	Praw.g_00546	Prax.g_01528
OG0000166	Praw.g_00132	Prax.g_01302
OG0000167	Praw.g_00066	Prax.g_01368
OG0000168	Praw.g_00056	Prax.g_01378
OG0000169	Praw.g_00046	Prax.g_01388
OG0000170	Praw.g_00044	Prax.g_01390
OG0000171	Praw.g_00024	Prax.g_01409
OG0000172	Praw.g_00016	Prax.g_01418
OG0000173	Praw.g_00001	Prax.g_01433
OG0000174	Praw.g_01166	Prax.g_01460
OG0000175	Praw.g_01156	Prax.g_01470
OG0000176	Praw.g_01132	Prax.g_01494
OG0000177	Praw.g_01131	Prax.g_01495
OG0000178	Praw.g_01130	Prax.g_01496
OG0000179	Praw.g_01412	Prax.g_00297
OG0000180	Praw.g_01411	Prax.g_00296
OG0000181	Praw.g_01410	Prax.g_00295
OG0000182	Praw.g_01409	Prax.g_00294
OG0000183	Praw.g_01405	Prax.g_00290
OG0000184	Praw.g_01382	Prax.g_00621
OG0000185	Praw.g_01379	Prax.g_00624
OG0000186	Praw.g_01370	Prax.g_00635
OG0000187	Praw.g_01369	Prax.g_00636
OG0000188	Praw.g_01352	Prax.g_00653
OG0000189	Praw.g_01339	Prax.g_01122
OG0000190	Praw.g_01338	Prax.g_01121
OG0000191	Praw.g_01318	Prax.g_01101
OG0000192	Praw.g_01314	Prax.g_01097
OG0000193	Praw.g_01289	Prax.g_01072
OG0000194	Praw.g_01286	Prax.g_01069
OG0000195	Praw.g_01284	Prax.g_01067
OG0000196	Praw.g_01274	Prax.g_01057
OG0000197	Praw.g_01273	Prax.g_01056
OG0000198	Praw.g_01272	Prax.g_01055
OG0000199	Praw.g_01265	Prax.g_01048
OG0000200	Praw.g_01251	Prax.g_01034
OG0000201	Praw.g_01243	Prax.g_01026
OG0000202	Praw.g_01242	Prax.g_01025
OG0000203	Praw.g_01241	Prax.g_01024
OG0000204	Praw.g_01240	Prax.g_01023
OG0000205	Praw.g_01233	Prax.g_01016
OG0000206	Praw.g_01228	Prax.g_01011
OG0000207	Praw.g_01226	Prax.g_01009
OG0000208	Praw.g_01225	Prax.g_01008
OG0000209	Praw.g_01216	Prax.g_00999
OG0000210	Praw.g_01215	Prax.g_00998
OG0000211	Praw.g_01202	Prax.g_00985
OG0000212	Praw.g_01195	Prax.g_00978
OG0000213	Praw.g_00876	Prax.g_00918
OG0000214	Praw.g_00867	Prax.g_00908
OG0000215	Praw.g_00842	Prax.g_00883
OG0000216	Praw.g_00840	Prax.g_00881
OG0000217	Praw.g_00837	Prax.g_00878
OG0000218	Praw.g_00835	Prax.g_00876
OG0000219	Praw.g_00834	Prax.g_00875
OG0000220	Praw.g_00833	Prax.g_00874
OG0000221	Praw.g_00832	Prax.g_00873
OG0000222	Praw.g_00824	Prax.g_00865
OG0000223	Praw.g_00811	Prax.g_00850
OG0000224	Praw.g_00809	Prax.g_00848
OG0000225	Praw.g_00786	Prax.g_00827
OG0000226	Praw.g_00782	Prax.g_00823
OG0000227	Praw.g_00780	Prax.g_00821
OG0000228	Praw.g_00777	Prax.g_00818
OG0000229	Praw.g_00711	Prax.g_00764
OG0000230	Praw.g_00709	Prax.g_00762
OG0000231	Praw.g_00698	Prax.g_00751
OG0000232	Praw.g_00689	Prax.g_00743
OG0000233	Praw.g_00684	Prax.g_00738
OG0000234	Praw.g_00671	Prax.g_00726
OG0000235	Praw.g_00668	Prax.g_00723
OG0000236	Praw.g_00655	Prax.g_00708
OG0000237	Praw.g_00642	Prax.g_00695
OG0000238	Praw.g_00636	Prax.g_00689
OG0000239	Praw.g_00623	Prax.g_00676
OG0000240	Praw.g_00622	Prax.g_00675
OG0000241	Praw.g_00618	Prax.g_00671
OG0000242	Praw.g_00616	Prax.g_00669
OG0000243	Praw.g_00605	Prax.g_00004
OG0000244	Praw.g_00602	Prax.g_00007
OG0000245	Praw.g_00600	Prax.g_00009
OG0000246	Praw.g_00596	Prax.g_00013
OG0000247	Praw.g_00586	Prax.g_00023
OG0000248	Praw.g_00584	Prax.g_00025
OG0000249	Praw.g_00582	Prax.g_00027
OG0000250	Praw.g_00577	Prax.g_00032
OG0000251	Praw.g_01937	Prax.g_00050
OG0000252	Praw.g_01940	Prax.g_00053
OG0000253	Praw.g_01941	Prax.g_00054
OG0000254	Praw.g_00147	Prax.g_00070
OG0000255	Praw.g_00153	Prax.g_00076
OG0000256	Praw.g_00163	Prax.g_00086
OG0000257	Praw.g_00166	Prax.g_00089
OG0000258	Praw.g_01879	Prax.g_00102
OG0000259	Praw.g_01862	Prax.g_00119
OG0000260	Praw.g_01859	Prax.g_00122
OG0000261	Praw.g_01857	Prax.g_00977
OG0000262	Praw.g_01853	Prax.g_00973
OG0000263	Praw.g_01841	Prax.g_00961
OG0000264	Praw.g_01831	Prax.g_00951
OG0000265	Praw.g_01809	Prax.g_00485
OG0000266	Praw.g_01799	Prax.g_00475
OG0000267	Praw.g_01788	Prax.g_00464
OG0000268	Praw.g_01787	Prax.g_00463
OG0000269	Praw.g_01702	Prax.g_00378
OG0000270	Praw.g_01699	Prax.g_00375
OG0000271	Praw.g_01691	Prax.g_00367
OG0000272	Praw.g_01690	Prax.g_00366
OG0000273	Praw.g_01668	Prax.g_00343
OG0000274	Praw.g_01667	Prax.g_00342
OG0000275	Praw.g_01665	Prax.g_00339
OG0000276	Praw.g_01660	Prax.g_00334
OG0000277	Praw.g_01659	Prax.g_00333
OG0000278	Praw.g_01656	Prax.g_00330
OG0000279	Praw.g_01649	Prax.g_00323
OG0000280	Praw.g_01648	Prax.g_00322
OG0000281	Praw.g_01643	Prax.g_00317
OG0000282	Praw.g_01595	Prax.g_00563
OG0000283	Praw.g_01562	Prax.g_00597
OG0000284	Praw.g_01557	Prax.g_00602
OG0000285	Praw.g_01552	Prax.g_00607
OG0000286	Praw.g_01540	Prax.g_00619
OG0000287	Praw.g_01523	Prax.g_01145
OG0000288	Praw.g_01494	Prax.g_01177
OG0000289	Praw.g_01483	Prax.g_01188
OG0000290	Praw.g_01470	Prax.g_01201
OG0000291	Praw.g_01468	Prax.g_01203
OG0000292	Praw.g_01418	Prax.g_01759, Prax.g_01254
OG0000293	Praw.g_00225	Prax.g_00191
OG0000294	Praw.g_00226	Prax.g_00192
OG0000295	Praw.g_00246	Prax.g_00212
OG0000296	Praw.g_00248	Prax.g_00214
OG0000297	Praw.g_00256	Prax.g_00222
OG0000298	Praw.g_00257	Prax.g_00223
OG0000299	Praw.g_00274	Prax.g_00240
OG0000300	Praw.g_00277	Prax.g_00243
OG0000301	Praw.g_00278	Prax.g_00244
OG0000302	Praw.g_00280	Prax.g_00246
OG0000303	Praw.g_00287	Prax.g_00253
OG0000304	Praw.g_00291	Prax.g_00257
OG0000305	Praw.g_01008	Prax.g_01871
OG0000306	Praw.g_01011	Prax.g_01868
OG0000307	Praw.g_01025	Prax.g_01854
OG0000308	Praw.g_01026	Prax.g_01853
OG0000309	Praw.g_01030	Prax.g_01849
OG0000310	Praw.g_01098	Prax.g_01748
OG0000311	Praw.g_01096	Prax.g_01746
OG0000312	Praw.g_01093	Prax.g_01743
OG0000313	Praw.g_01076	Prax.g_01724
OG0000314	Praw.g_00363	Prax.g_01701
OG0000315	Praw.g_00374	Prax.g_01691
OG0000316	Praw.g_00394	Prax.g_01671
OG0000317	Praw.g_00513	Prax.g_01561
OG0000318	Praw.g_00516	Prax.g_01558
OG0000319	Praw.g_00529	Prax.g_01545
OG0000320	Praw.g_00531	Prax.g_01543
OG0000321	Praw.g_00532	Prax.g_01542
OG0000322	Praw.g_00533	Prax.g_01541
OG0000323	Praw.g_00542	Prax.g_01532
OG0000324	Praw.g_00569	Prax.g_01505
OG0000325	Praw.g_01916	Prax.g_01263
OG0000326	Praw.g_01910	Prax.g_01269
OG0000327	Praw.g_00137	Prax.g_01297
OG0000328	Praw.g_00136	Prax.g_01298
OG0000329	Praw.g_00119	Prax.g_01315
OG0000330	Praw.g_00118	Prax.g_01316
OG0000331	Praw.g_00117	Prax.g_01317
OG0000332	Praw.g_00103	Prax.g_01331
OG0000333	Praw.g_00101	Prax.g_01333
OG0000334	Praw.g_00093	Prax.g_01341
OG0000335	Praw.g_00088	Prax.g_01346
OG0000336	Praw.g_00084	Prax.g_01350
OG0000337	Praw.g_00068	Prax.g_01366
OG0000338	Praw.g_00067	Prax.g_01367
OG0000339	Praw.g_00063	Prax.g_01371
OG0000340	Praw.g_00055	Prax.g_01379
OG0000341	Praw.g_00053	Prax.g_01381
OG0000342	Praw.g_00052	Prax.g_01382
OG0000343	Praw.g_00051	Prax.g_01383
OG0000344	Praw.g_00048	Prax.g_01386
OG0000345	Praw.g_00043	Prax.g_01391
OG0000346	Praw.g_00038	Prax.g_01395
OG0000347	Praw.g_00022	Prax.g_01411
OG0000348	Praw.g_00013	Prax.g_01421
OG0000349	Praw.g_01189	Prax.g_01438
OG0000350	Praw.g_01170	Prax.g_01456
OG0000351	Praw.g_01153	Prax.g_01473
OG0000352	Praw.g_01152	Prax.g_01474
OG0000353	Praw.g_01137	Prax.g_01489
OG0000355	Praw.g_01135	Prax.g_01491
OG0000356	Praw.g_01134	Prax.g_01492
OG0000357	Praw.g_01133	Prax.g_01493
OG0000358	Praw.g_01129	Prax.g_01497
OG0000359	Praw.g_01128	Prax.g_01498
OG0000360	Praw.g_01127	Prax.g_01499
