Orthogroup	Praw	Prbd
OG0000000	Praw.g_00493, Praw.g_01782, Praw.g_00961	Prbd.g_01833
OG0000000	Praw.g_00455	Prbd.g_01568
OG0000000	Praw.g_00294	Prbd.g_00528
OG0000000	Praw.g_00454	Prbd.g_00528
OG0000000	Praw.g_00496	Prbd.g_00528
OG0000000	Praw.g_00472	Prbd.g_01836
OG0000000	Praw.g_00959	Prbd.g_01835
OG0000000	Praw.g_00495, Praw.g_00457	Prbd.g_01567
OG0000001	Praw.g_01000	Prbd.g_01779
OG0000001	Praw.g_01739, Praw.g_01951	Prbd.g_01930
OG0000002	Praw.g_01009	Prbd.g_01771
OG0000002	Praw.g_01844	Prbd.g_00566
OG0000004	Praw.g_01827	Prbd.g_00549
OG0000004	Praw.g_01203	Prbd.g_01007
OG0000005	Praw.g_00528	Prbd.g_01512
OG0000005	Praw.g_00413	Prbd.g_01612
OG0000006	Praw.g_01950	Prbd.g_00998
OG0000007	Praw.g_00651	Prbd.g_00745
OG0000007	Praw.g_00515	Prbd.g_01525
OG0000008	Praw.g_01850	Prbd.g_00572
OG0000009	Praw.g_00447	Prbd.g_01576
OG0000009	Praw.g_01330	Prbd.g_01139
OG0000010	Praw.g_01460	Prbd.g_00348
OG0000010	Praw.g_00673	Prbd.g_00768
OG0000011	Praw.g_00952	Prbd.g_01859
OG0000012	Praw.g_00159	Prbd.g_00621
OG0000013	Praw.g_00807	Prbd.g_00912
OG0000014	Praw.g_00828	Prbd.g_00933
OG0000015	Praw.g_01738	Prbd.g_00826
OG0000017	Praw.g_01944	Prbd.g_00646
OG0000018	Praw.g_00215	Prbd.g_00449
OG0000018	Praw.g_01670	Prbd.g_00129
OG0000019	Praw.g_00884	Prbd.g_00990
OG0000019	Praw.g_01717	Prbd.g_00082
OG0000020	Praw.g_00181	Prbd.g_00406
OG0000021	Praw.g_00479	Prbd.g_01546
OG0000021	Praw.g_00767	Prbd.g_00874
OG0000022	Praw.g_01746	Prbd.g_00061
OG0000022	Praw.g_00197	Prbd.g_00423
OG0000023	Praw.g_00772	Prbd.g_00879
OG0000024	Praw.g_01763	Prbd.g_00045
OG0000024	Praw.g_01847	Prbd.g_00569
OG0000025	Praw.g_01664	Prbd.g_00137
