Orthogroup	Praw	Praj
OG0000000	Praw.g_00493, Praw.g_01782, Praw.g_00961	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308
OG0000000	Praw.g_01780, Praw.g_00494, Praw.g_00455, Praw.g_00893, Praw.g_00974	Praj.g_01272, Praj.g_01309, Praj.g_01078, Praj.g_00417, Praj.g_01202
OG0000000	Praw.g_01779, Praw.g_00294, Praw.g_00454, Praw.g_00496	Praj.g_00087
OG0000000	Praw.g_00472	Praj.g_01267
OG0000001	Praw.g_00500	Praj.g_01828
OG0000001	Praw.g_01739, Praw.g_01951	Praj.g_01112
OG0000002	Praw.g_01009	Praj.g_00832
OG0000002	Praw.g_01844	Praj.g_01489, Praj.g_01488, Praj.g_01493, Praj.g_01487, Praj.g_01492, Praj.g_00670
OG0000004	Praw.g_01827	Praj.g_01396
OG0000004	Praw.g_01203	Praj.g_00271
OG0000005	Praw.g_00528	Praj.g_01349
OG0000005	Praw.g_00413	Praj.g_01712
OG0000006	Praw.g_01950	Praj.g_00282, Praj.g_01281, Praj.g_01505
OG0000007	Praw.g_00651	Praj.g_00489
OG0000007	Praw.g_00515	Praj.g_01768
OG0000008	Praw.g_00501	Praj.g_01829
OG0000008	Praw.g_00502	Praj.g_01830
OG0000010	Praw.g_00673	Praj.g_01026, Praj.g_00466
OG0000011	Praw.g_00952	Praj.g_01187
OG0000012	Praw.g_00159	Praj.g_01066
OG0000013	Praw.g_00807	Praj.g_00362
OG0000014	Praw.g_00828	Praj.g_00341
OG0000015	Praw.g_01738	Praj.g_01113
OG0000016	Praw.g_01415, Praw.g_00484	Praj.g_01865
OG0000017	Praw.g_01944	Praj.g_00592
OG0000018	Praw.g_00215	Praj.g_01482
OG0000018	Praw.g_01670	Praj.g_00798
OG0000019	Praw.g_01717	Praj.g_00747
OG0000020	Praw.g_00181	Praj.g_01025
OG0000020	Praw.g_00483	Praj.g_01139
OG0000021	Praw.g_00479, Praw.g_00767	Praj.g_01859
OG0000022	Praw.g_01746	Praj.g_01189
OG0000022	Praw.g_00197	Praj.g_01216
OG0000023	Praw.g_00772	Praj.g_01365, Praj.g_01329
OG0000024	Praw.g_01763	Praj.g_01134
OG0000024	Praw.g_01847	Praj.g_00666
OG0000025	Praw.g_01664, Praw.g_00803	Praj.g_00805
OG0000026	Praw.g_01397, Praw.g_01453	Praj.g_00031
OG0000027	Praw.g_00677, Praw.g_00492, Praw.g_00962	Praj.g_01331
OG0000028	Praw.g_00334	Praj.g_01571
OG0000029	Praw.g_01755	Praj.g_01745
OG0000030	Praw.g_00029	Praj.g_02024
OG0000031	Praw.g_01073	Praj.g_00371
OG0000033	Praw.g_01266	Praj.g_00209
OG0000034	Praw.g_00991	Praj.g_01538
OG0000035	Praw.g_01081, Praw.g_01083	Praj.g_01632
OG0000037	Praw.g_01326	Praj.g_00147
OG0000038	Praw.g_01182	Praj.g_02089
OG0000039	Praw.g_01836	Praj.g_00679
OG0000040	Praw.g_00476	Praj.g_01735
OG0000041	Praw.g_00562	Praj.g_01813
OG0000042	Praw.g_00032	Praj.g_02020
OG0000043	Praw.g_01627	Praj.g_00864
OG0000045	Praw.g_00761	Praj.g_01049
OG0000047	Praw.g_00804	Praj.g_00370
OG0000048	Praw.g_00504, Praw.g_00758	Praj.g_00308
OG0000050	Praw.g_01432	Praj.g_00099
OG0000051	Praw.g_00491	Praj.g_01347
OG0000053	Praw.g_00357	Praj.g_01651
OG0000054	Praw.g_00142	Praj.g_00594
OG0000055	Praw.g_01716	Praj.g_00733
OG0000057	Praw.g_01824	Praj.g_00691, Praj.g_01313
OG0000058	Praw.g_01055	Praj.g_00839
OG0000059	Praw.g_01894	Praj.g_01892
OG0000060	Praw.g_01743	Praj.g_01108
OG0000061	Praw.g_00234	Praj.g_01461
OG0000062	Praw.g_00415	Praj.g_01714
OG0000063	Praw.g_01395	Praj.g_01867
OG0000065	Praw.g_01328	Praj.g_00145
OG0000066	Praw.g_00609	Praj.g_00530
OG0000067	Praw.g_01697	Praj.g_00769
OG0000068	Praw.g_01016	Praj.g_01575
OG0000069	Praw.g_00448	Praj.g_01276, Praj.g_01675
OG0000070	Praw.g_00697	Praj.g_00444
OG0000071	Praw.g_00981	Praj.g_01528
OG0000072	Praw.g_01264	Praj.g_00211
OG0000073	Praw.g_00649	Praj.g_00491
OG0000074	Praw.g_01840	Praj.g_00674
OG0000075	Praw.g_00064	Praj.g_01987
OG0000076	Praw.g_00039	Praj.g_02012
OG0000077	Praw.g_01356	Praj.g_00116
OG0000078	Praw.g_01196	Praj.g_00280
OG0000081	Praw.g_00617	Praj.g_00522
OG0000082	Praw.g_01932	Praj.g_01827
OG0000083	Praw.g_01769, Praw.g_00958, Praw.g_01775	Praj.g_01121, Praj.g_00411
OG0000084	Praw.g_01087	Praj.g_01628
OG0000085	Praw.g_00508	Praj.g_01762
OG0000086	Praw.g_01346	Praj.g_00126
OG0000087	Praw.g_01296	Praj.g_00179
OG0000088	Praw.g_01269	Praj.g_00206
OG0000089	Praw.g_00776	Praj.g_00403
OG0000090	Praw.g_00615	Praj.g_00524
OG0000091	Praw.g_01880	Praj.g_00630
OG0000092	Praw.g_01592	Praj.g_00892
OG0000093	Praw.g_01571	Praj.g_00754
OG0000094	Praw.g_01486	Praj.g_00846
OG0000095	Praw.g_01467	Praj.g_01024
OG0000096	Praw.g_00482, Praw.g_00184, Praw.g_00945	Praj.g_01249
OG0000097	Praw.g_00275	Praj.g_01416
OG0000098	Praw.g_00997	Praj.g_01546
OG0000099	Praw.g_01051	Praj.g_00372
OG0000100	Praw.g_00411	Praj.g_01709
OG0000101	Praw.g_00096	Praj.g_01952
OG0000102	Praw.g_00034	Praj.g_02017
OG0000103	Praw.g_01148	Praj.g_02135
OG0000104	Praw.g_01140	Praj.g_02145
OG0000105	Praw.g_00860	Praj.g_00310
OG0000106	Praw.g_00762	Praj.g_01156, Praj.g_01282
OG0000107	Praw.g_00748	Praj.g_01869
OG0000108	Praw.g_00667	Praj.g_00473
OG0000109	Praw.g_00654	Praj.g_00486
OG0000110	Praw.g_01922	Praj.g_00565
OG0000111	Praw.g_01823	Praj.g_00692
OG0000112	Praw.g_01732	Praj.g_00938
OG0000113	Praw.g_01675	Praj.g_00793, Praj.g_01176
OG0000114	Praw.g_01597	Praj.g_00887
OG0000115	Praw.g_00178	Praj.g_01725
OG0000116	Praw.g_00224	Praj.g_01471
OG0000117	Praw.g_00926	Praj.g_01355
OG0000118	Praw.g_00993	Praj.g_01540
OG0000119	Praw.g_01012	Praj.g_01568
OG0000120	Praw.g_01050	Praj.g_00664
OG0000121	Praw.g_01078	Praj.g_01634
OG0000122	Praw.g_00377	Praj.g_01673
OG0000123	Praw.g_00089	Praj.g_01959
OG0000124	Praw.g_00023	Praj.g_02031
OG0000125	Praw.g_01180	Praj.g_02091
OG0000126	Praw.g_01141	Praj.g_02144
OG0000128	Praw.g_01125	Praj.g_00011
OG0000129	Praw.g_01384	Praj.g_00048
OG0000130	Praw.g_01365	Praj.g_00107
OG0000131	Praw.g_01290	Praj.g_00185
OG0000132	Praw.g_01271	Praj.g_00204
OG0000133	Praw.g_00812	Praj.g_00357
OG0000134	Praw.g_00775	Praj.g_00405
OG0000135	Praw.g_00751	Praj.g_01279
OG0000136	Praw.g_00706	Praj.g_00435
OG0000137	Praw.g_00672	Praj.g_00467
OG0000138	Praw.g_00653	Praj.g_00487
OG0000139	Praw.g_00611	Praj.g_00528
OG0000140	Praw.g_00610	Praj.g_00529
OG0000141	Praw.g_00143	Praj.g_00595
OG0000142	Praw.g_01887	Praj.g_00623
OG0000143	Praw.g_01883	Praj.g_00627
OG0000144	Praw.g_01870	Praj.g_00640
OG0000145	Praw.g_01745	Praj.g_01054
OG0000146	Praw.g_01731	Praj.g_00937
OG0000147	Praw.g_01730	Praj.g_00936
OG0000148	Praw.g_01681	Praj.g_00787
OG0000149	Praw.g_01652	Praj.g_00819
OG0000150	Praw.g_01644	Praj.g_00828
OG0000151	Praw.g_01587	Praj.g_00898
OG0000152	Praw.g_01539	Praj.g_01601, Praj.g_00946
OG0000153	Praw.g_01520	Praj.g_00965
OG0000154	Praw.g_01493	Praj.g_00995
OG0000155	Praw.g_00254	Praj.g_01440
OG0000156	Praw.g_00968	Praj.g_01517
OG0000157	Praw.g_00969	Praj.g_01518
OG0000158	Praw.g_01052	Praj.g_01995
OG0000159	Praw.g_01054	Praj.g_02043, Praj.g_02035
OG0000160	Praw.g_01079, Praw.g_01080	Praj.g_01633
OG0000161	Praw.g_00344	Praj.g_01639
OG0000162	Praw.g_00350	Praj.g_01645
OG0000163	Praw.g_00384	Praj.g_01681
OG0000164	Praw.g_00539	Praj.g_01790
OG0000165	Praw.g_00546	Praj.g_01798
OG0000166	Praw.g_00132	Praj.g_01915
OG0000167	Praw.g_00066	Praj.g_01985
OG0000168	Praw.g_00056	Praj.g_01996
OG0000169	Praw.g_00046	Praj.g_02006
OG0000170	Praw.g_00044	Praj.g_02008
OG0000171	Praw.g_00024	Praj.g_02030
OG0000172	Praw.g_00016	Praj.g_02061
OG0000173	Praw.g_00001	Praj.g_02076
OG0000174	Praw.g_01166	Praj.g_02107
OG0000175	Praw.g_01156	Praj.g_02125
OG0000176	Praw.g_01132	Praj.g_00004
OG0000177	Praw.g_01131	Praj.g_00005
OG0000178	Praw.g_01130	Praj.g_00006
OG0000179	Praw.g_01412	Praj.g_00016
OG0000180	Praw.g_01411	Praj.g_00017
OG0000181	Praw.g_01410	Praj.g_00018
OG0000182	Praw.g_01409	Praj.g_00019
OG0000183	Praw.g_01405	Praj.g_00023
OG0000184	Praw.g_01382	Praj.g_00050
OG0000185	Praw.g_01379	Praj.g_00053
OG0000186	Praw.g_01370	Praj.g_00102
OG0000187	Praw.g_01369	Praj.g_00103
OG0000188	Praw.g_01352	Praj.g_00120
OG0000189	Praw.g_01339	Praj.g_00134
OG0000190	Praw.g_01338	Praj.g_00135
OG0000191	Praw.g_01318	Praj.g_00158
OG0000192	Praw.g_01314	Praj.g_00162
OG0000193	Praw.g_01289	Praj.g_00186
OG0000194	Praw.g_01286	Praj.g_00189
OG0000195	Praw.g_01284	Praj.g_00191
OG0000196	Praw.g_01274	Praj.g_00201
OG0000197	Praw.g_01273	Praj.g_00202
OG0000198	Praw.g_01272	Praj.g_00203
OG0000199	Praw.g_01265	Praj.g_00210
OG0000200	Praw.g_01251	Praj.g_00223
OG0000201	Praw.g_01243	Praj.g_00232
OG0000202	Praw.g_01242	Praj.g_00233
OG0000203	Praw.g_01241	Praj.g_00234
OG0000204	Praw.g_01240	Praj.g_00235
OG0000205	Praw.g_01233	Praj.g_00242
OG0000206	Praw.g_01228	Praj.g_00246
OG0000207	Praw.g_01226	Praj.g_00248
OG0000208	Praw.g_01225	Praj.g_00249
OG0000209	Praw.g_01216	Praj.g_00258
OG0000210	Praw.g_01215	Praj.g_00259
OG0000211	Praw.g_01202	Praj.g_00273
OG0000212	Praw.g_01195	Praj.g_00281
OG0000213	Praw.g_00876	Praj.g_00296
OG0000214	Praw.g_00867	Praj.g_00304
OG0000215	Praw.g_00842	Praj.g_00328
OG0000216	Praw.g_00840	Praj.g_00329
OG0000217	Praw.g_00837	Praj.g_00332
