Orthogroup	Praw	Prae
OG0000000	Praw.g_00493, Praw.g_01782, Praw.g_00961	Prae.g_01310
OG0000000	Praw.g_00455	Prae.g_01580
OG0000000	Praw.g_00294	Prae.g_01222
OG0000000	Praw.g_00454	Prae.g_01222
OG0000000	Praw.g_00496	Prae.g_01222
OG0000000	Praw.g_00294	Prae.g_01579
OG0000000	Praw.g_00454	Prae.g_01579
OG0000000	Praw.g_00496	Prae.g_01579
OG0000000	Praw.g_00472	Prae.g_01300
OG0000000	Praw.g_00959	Prae.g_01308
OG0000000	Praw.g_00495, Praw.g_00457	Prae.g_01581
OG0000001	Praw.g_01000	Prae.g_01353
OG0000001	Praw.g_01739	Prae.g_01236
OG0000001	Praw.g_01951	Prae.g_01223, Prae.g_01224
OG0000002	Praw.g_01009	Prae.g_01361
OG0000002	Praw.g_01844	Prae.g_00652
OG0000004	Praw.g_01827	Prae.g_00669
OG0000004	Praw.g_01203	Prae.g_00235
OG0000005	Praw.g_00528	Prae.g_01636
OG0000005	Praw.g_00413	Prae.g_01535
OG0000006	Praw.g_01950	Prae.g_00244
OG0000007	Praw.g_00651	Prae.g_00471
OG0000007	Praw.g_00515	Prae.g_01623
OG0000008	Praw.g_01850	Prae.g_00646
OG0000009	Praw.g_00447	Prae.g_01572
OG0000010	Praw.g_01460	Prae.g_01048
OG0000010	Praw.g_00673	Prae.g_00448
OG0000011	Praw.g_00952	Prae.g_01291
OG0000012	Praw.g_00159	Prae.g_00597
OG0000013	Praw.g_00807	Prae.g_00328
OG0000014	Praw.g_00828	Prae.g_00307
OG0000015	Praw.g_01738	Prae.g_01235
OG0000017	Praw.g_01944	Prae.g_00572
OG0000018	Praw.g_00215	Prae.g_01144
OG0000018	Praw.g_01670	Prae.g_00833
OG0000019	Praw.g_00884	Prae.g_00252
OG0000019	Praw.g_01717	Prae.g_00786
OG0000020	Praw.g_00181	Prae.g_01107
OG0000021	Praw.g_00479	Prae.g_01600
OG0000021	Praw.g_00767	Prae.g_00364
OG0000022	Praw.g_01746	Prae.g_00764
OG0000022	Praw.g_00197	Prae.g_01125
OG0000023	Praw.g_00772	Prae.g_00359
OG0000024	Praw.g_01763	Prae.g_00748
OG0000024	Praw.g_01847	Prae.g_00649
OG0000025	Praw.g_01664	Prae.g_00840
OG0000025	Praw.g_00803	Prae.g_00332
OG0000026	Praw.g_01397	Prae.g_00031
OG0000026	Praw.g_01453	Prae.g_01056
OG0000027	Praw.g_00677	Prae.g_00444
OG0000027	Praw.g_00962	Prae.g_01311
OG0000028	Praw.g_00814	Prae.g_00321
OG0000029	Praw.g_01755	Prae.g_00755
OG0000030	Praw.g_00029	Prae.g_01825
OG0000033	Praw.g_01266	Prae.g_00172
OG0000034	Praw.g_00991	Prae.g_01339
OG0000035	Praw.g_01081, Praw.g_01083	Prae.g_01459
OG0000037	Praw.g_01326	Prae.g_00108
OG0000038	Praw.g_01182	Prae.g_01865
OG0000039	Praw.g_01836	Prae.g_00660
OG0000040	Praw.g_00476	Prae.g_01597
OG0000040	Praw.g_00214	Prae.g_01143
OG0000041	Praw.g_00562	Prae.g_01669
OG0000042	Praw.g_00032	Prae.g_01822
OG0000043	Praw.g_01627	Prae.g_00876
OG0000045	Praw.g_00761	Prae.g_00371
OG0000047	Praw.g_00804	Prae.g_00331
OG0000048	Praw.g_00758	Prae.g_00374
OG0000049	Praw.g_00750	Prae.g_00383
OG0000049	Praw.g_00928	Prae.g_01264
OG0000050	Praw.g_01432	Prae.g_01077
OG0000051	Praw.g_00955	Prae.g_01294
OG0000052	Praw.g_01071	Prae.g_01416
OG0000053	Praw.g_00357	Prae.g_01479
OG0000054	Praw.g_00142	Prae.g_00580
OG0000055	Praw.g_01716	Prae.g_00787
OG0000057	Praw.g_01824	Prae.g_00672
OG0000058	Praw.g_01055	Prae.g_01417
OG0000059	Praw.g_01894	Prae.g_01710
OG0000060	Praw.g_01743	Prae.g_01238
OG0000061	Praw.g_00234	Prae.g_01163
OG0000062	Praw.g_00415	Prae.g_01537
OG0000063	Praw.g_01395	Prae.g_00033
OG0000065	Praw.g_01328	Prae.g_00106
OG0000066	Praw.g_00609	Prae.g_00514
OG0000067	Praw.g_01697	Prae.g_00806
OG0000068	Praw.g_01016	Prae.g_01368
OG0000069	Praw.g_00448	Prae.g_01573
OG0000070	Praw.g_00697	Prae.g_00424
OG0000071	Praw.g_00981	Prae.g_01329
OG0000072	Praw.g_01264	Prae.g_00174
OG0000073	Praw.g_00649	Prae.g_00473
OG0000074	Praw.g_01840	Prae.g_00656
OG0000075	Praw.g_00064	Prae.g_01791
OG0000076	Praw.g_00039	Prae.g_01815
OG0000077	Praw.g_01356	Prae.g_00078
OG0000078	Praw.g_01196	Prae.g_00242
OG0000081	Praw.g_00617	Prae.g_00505
OG0000082	Praw.g_01932	Prae.g_00559
OG0000083	Praw.g_01769	Prae.g_00742
OG0000083	Praw.g_00958	Prae.g_01297
OG0000083	Praw.g_01775	Prae.g_00735
OG0000084	Praw.g_01087	Prae.g_01455
OG0000085	Praw.g_00508	Prae.g_01616
OG0000086	Praw.g_01346	Prae.g_00088
OG0000087	Praw.g_01296	Prae.g_00139
OG0000088	Praw.g_01269	Prae.g_00169
OG0000089	Praw.g_00776	Prae.g_00355
OG0000090	Praw.g_00615	Prae.g_00508
OG0000091	Praw.g_01880	Prae.g_00616
OG0000092	Praw.g_01592	Prae.g_00913
OG0000093	Praw.g_01571	Prae.g_00933
OG0000094	Praw.g_01486	Prae.g_01021
OG0000095	Praw.g_01467	Prae.g_01040
OG0000096	Praw.g_00184	Prae.g_01110
OG0000096	Praw.g_00945	Prae.g_01283
OG0000097	Praw.g_00275	Prae.g_01204
OG0000098	Praw.g_00997	Prae.g_01350
OG0000099	Praw.g_01051	Prae.g_01390
OG0000100	Praw.g_00411	Prae.g_01533
OG0000101	Praw.g_00096	Prae.g_01758
OG0000102	Praw.g_00034	Prae.g_01820
OG0000103	Praw.g_01148	Prae.g_01899
OG0000104	Praw.g_01140	Prae.g_01907
OG0000105	Praw.g_00860	Prae.g_01440
OG0000106	Praw.g_00762	Prae.g_00370
OG0000107	Praw.g_00748	Prae.g_00385
OG0000108	Praw.g_00667	Prae.g_00454
OG0000109	Praw.g_00654	Prae.g_00468
OG0000110	Praw.g_01922	Prae.g_00549
OG0000111	Praw.g_01823	Prae.g_00673
OG0000112	Praw.g_01732	Prae.g_00770
OG0000113	Praw.g_01675	Prae.g_00828
OG0000114	Praw.g_01597	Prae.g_00908
OG0000115	Praw.g_00178	Prae.g_01102
OG0000116	Praw.g_00224	Prae.g_01153
OG0000117	Praw.g_00926	Prae.g_01263
OG0000118	Praw.g_00993	Prae.g_01341
OG0000119	Praw.g_01012	Prae.g_01364
OG0000120	Praw.g_01050	Prae.g_01389
OG0000121	Praw.g_01078	Prae.g_01461
OG0000122	Praw.g_00377	Prae.g_01499
OG0000123	Praw.g_00089	Prae.g_01766
OG0000124	Praw.g_00023	Prae.g_01831
OG0000125	Praw.g_01180	Prae.g_01867
OG0000126	Praw.g_01141	Prae.g_01906
OG0000128	Praw.g_01125	Prae.g_00011
OG0000129	Praw.g_01384	Prae.g_00046
OG0000130	Praw.g_01365	Prae.g_00069
OG0000131	Praw.g_01290	Prae.g_00148
OG0000132	Praw.g_01271	Prae.g_00167
OG0000133	Praw.g_00812	Prae.g_00323
OG0000134	Praw.g_00775	Prae.g_00356
OG0000135	Praw.g_00751	Prae.g_00382
OG0000136	Praw.g_00706	Prae.g_00415
OG0000137	Praw.g_00672	Prae.g_00449
OG0000138	Praw.g_00653	Prae.g_00469
OG0000139	Praw.g_00611	Prae.g_00512
OG0000140	Praw.g_00610	Prae.g_00513
OG0000141	Praw.g_00143	Prae.g_00581
OG0000142	Praw.g_01887	Prae.g_00609
OG0000143	Praw.g_01883	Prae.g_00613
OG0000144	Praw.g_01870	Prae.g_00626
OG0000145	Praw.g_01745	Prae.g_00766
OG0000146	Praw.g_01731	Prae.g_00771
OG0000147	Praw.g_01730	Prae.g_00772
OG0000148	Praw.g_01681	Prae.g_00822
OG0000149	Praw.g_01652	Prae.g_00852
OG0000150	Praw.g_01644	Prae.g_00860
OG0000151	Praw.g_01587	Prae.g_00918
OG0000152	Praw.g_01539	Prae.g_00964
OG0000153	Praw.g_01520	Prae.g_00983
OG0000154	Praw.g_01493	Prae.g_01014
OG0000155	Praw.g_00254	Prae.g_01183
OG0000156	Praw.g_00968	Prae.g_01317
OG0000157	Praw.g_00969	Prae.g_01318
OG0000158	Praw.g_01052	Prae.g_01426
OG0000159	Praw.g_01054	Prae.g_01438
OG0000160	Praw.g_01079, Praw.g_01080	Prae.g_01460
OG0000161	Praw.g_00344	Prae.g_01466
OG0000162	Praw.g_00350	Prae.g_01472
OG0000163	Praw.g_00384	Prae.g_01506
OG0000164	Praw.g_00539	Prae.g_01647
OG0000165	Praw.g_00546	Prae.g_01654
OG0000166	Praw.g_00132	Prae.g_01722
OG0000167	Praw.g_00066	Prae.g_01789
OG0000168	Praw.g_00056	Prae.g_01799
OG0000169	Praw.g_00046	Prae.g_01809
OG0000170	Praw.g_00044	Prae.g_01811
OG0000171	Praw.g_00024	Prae.g_01830
OG0000172	Praw.g_00016	Prae.g_01838
OG0000173	Praw.g_00001	Prae.g_01853
OG0000174	Praw.g_01166	Prae.g_01881
OG0000175	Praw.g_01156	Prae.g_01891
OG0000176	Praw.g_01132	Prae.g_00004
OG0000177	Praw.g_01131	Prae.g_00005
OG0000178	Praw.g_01130	Prae.g_00006
OG0000179	Praw.g_01412	Prae.g_00016
OG0000180	Praw.g_01411	Prae.g_00017
OG0000181	Praw.g_01410	Prae.g_00018
OG0000182	Praw.g_01409	Prae.g_00019
OG0000183	Praw.g_01405	Prae.g_00023
OG0000184	Praw.g_01382	Prae.g_00048
OG0000185	Praw.g_01379	Prae.g_00051
OG0000186	Praw.g_01370	Prae.g_00064
OG0000187	Praw.g_01369	Prae.g_00065
OG0000188	Praw.g_01352	Prae.g_00082
OG0000189	Praw.g_01339	Prae.g_00096
OG0000190	Praw.g_01338	Prae.g_00097
OG0000191	Praw.g_01318	Prae.g_00117
OG0000192	Praw.g_01314	Prae.g_00121
OG0000193	Praw.g_01289	Prae.g_00149
OG0000194	Praw.g_01286	Prae.g_00152
OG0000195	Praw.g_01284	Prae.g_00154
OG0000196	Praw.g_01274	Prae.g_00164
OG0000197	Praw.g_01273	Prae.g_00165
OG0000198	Praw.g_01272	Prae.g_00166
OG0000199	Praw.g_01265	Prae.g_00173
OG0000200	Praw.g_01251	Prae.g_00187
OG0000201	Praw.g_01243	Prae.g_00195
OG0000202	Praw.g_01242	Prae.g_00196
OG0000203	Praw.g_01241	Prae.g_00197
OG0000204	Praw.g_01240	Prae.g_00198
OG0000205	Praw.g_01233	Prae.g_00205
OG0000206	Praw.g_01228	Prae.g_00210
OG0000207	Praw.g_01226	Prae.g_00212
OG0000208	Praw.g_01225	Prae.g_00213
OG0000209	Praw.g_01216	Prae.g_00222
OG0000210	Praw.g_01215	Prae.g_00223
OG0000211	Praw.g_01202	Prae.g_00236
OG0000212	Praw.g_01195	Prae.g_00243
OG0000213	Praw.g_00876	Prae.g_00260
OG0000214	Praw.g_00867	Prae.g_00270
OG0000215	Praw.g_00842	Prae.g_00293
OG0000216	Praw.g_00840	Prae.g_00295
OG0000217	Praw.g_00837	Prae.g_00298
OG0000218	Praw.g_00835	Prae.g_00300
OG0000219	Praw.g_00834	Prae.g_00301
OG0000220	Praw.g_00833	Prae.g_00302
OG0000221	Praw.g_00832	Prae.g_00303
OG0000222	Praw.g_00824	Prae.g_00311
OG0000223	Praw.g_00811	Prae.g_00324
OG0000224	Praw.g_00809	Prae.g_00326
OG0000225	Praw.g_00786	Prae.g_00345
OG0000226	Praw.g_00782	Prae.g_00349
OG0000227	Praw.g_00780	Prae.g_00351
OG0000228	Praw.g_00777	Prae.g_00354
OG0000229	Praw.g_00711	Prae.g_00410
OG0000230	Praw.g_00709	Prae.g_00412
OG0000231	Praw.g_00698	Prae.g_00423
OG0000232	Praw.g_00689	Prae.g_00432
OG0000233	Praw.g_00684	Prae.g_00437
OG0000234	Praw.g_00671	Prae.g_00450
OG0000235	Praw.g_00668	Prae.g_00453
OG0000236	Praw.g_00655	Prae.g_00467
OG0000237	Praw.g_00642	Prae.g_00480
OG0000238	Praw.g_00636	Prae.g_00486
OG0000239	Praw.g_00623	Prae.g_00499
OG0000240	Praw.g_00622	Prae.g_00500
OG0000241	Praw.g_00618	Prae.g_00504
OG0000242	Praw.g_00616	Prae.g_00506
OG0000243	Praw.g_00605	Prae.g_00518
OG0000244	Praw.g_00602	Prae.g_00521
OG0000245	Praw.g_00600	Prae.g_00523
OG0000246	Praw.g_00596	Prae.g_00527
OG0000247	Praw.g_00586	Prae.g_00537
OG0000248	Praw.g_00584	Prae.g_00539
OG0000249	Praw.g_00582	Prae.g_00541
OG0000250	Praw.g_00577	Prae.g_00546
OG0000251	Praw.g_01937	Prae.g_00565
OG0000252	Praw.g_01940	Prae.g_00568
OG0000253	Praw.g_01941	Prae.g_00569
OG0000254	Praw.g_00147	Prae.g_00585
OG0000255	Praw.g_00153	Prae.g_00591
OG0000256	Praw.g_00163	Prae.g_00601
OG0000257	Praw.g_00166	Prae.g_00604
OG0000258	Praw.g_01879	Prae.g_00617
OG0000259	Praw.g_01862	Prae.g_00634
OG0000260	Praw.g_01859	Prae.g_00637
OG0000261	Praw.g_01857	Prae.g_00639
OG0000262	Praw.g_01853	Prae.g_00643
OG0000263	Praw.g_01841	Prae.g_00655
OG0000264	Praw.g_01831	Prae.g_00665
OG0000265	Praw.g_01809	Prae.g_00711
OG0000266	Praw.g_01799	Prae.g_00721
OG0000267	Praw.g_01788	Prae.g_00732
OG0000268	Praw.g_01787	Prae.g_00733
OG0000269	Praw.g_01702	Prae.g_00801
