Orthogroup	Praw	Prat
OG0000000	Praw.g_00493, Praw.g_01782, Praw.g_00961	Prat.g_01191
OG0000000	Praw.g_01780, Praw.g_00494, Praw.g_00455, Praw.g_00893, Praw.g_00974	Prat.g_01549
OG0000002	Praw.g_01009	Prat.g_00977
OG0000002	Praw.g_01844	Prat.g_01184, Prat.g_01487, Prat.g_01182, Prat.g_01187, Prat.g_01462, Prat.g_00751
OG0000004	Praw.g_01827	Prat.g_00772
OG0000004	Praw.g_01203	Prat.g_00236
OG0000005	Praw.g_00413	Prat.g_01440
OG0000006	Praw.g_01950	Prat.g_00248
OG0000007	Praw.g_00651	Prat.g_00458
OG0000007	Praw.g_00515	Prat.g_01592
OG0000008	Praw.g_00501	Prat.g_00376
OG0000008	Praw.g_00502	Prat.g_00377
OG0000010	Praw.g_00673	Prat.g_00682, Prat.g_00662, Prat.g_00433
OG0000012	Praw.g_00159	Prat.g_00586
OG0000013	Praw.g_00807	Prat.g_00334
OG0000014	Praw.g_00828	Prat.g_00314
OG0000015	Praw.g_01738	Prat.g_00701
OG0000016	Praw.g_01415, Praw.g_00484	Prat.g_01219
OG0000017	Praw.g_01944	Prat.g_00560
OG0000018	Praw.g_00215	Prat.g_01177
OG0000018	Praw.g_01670	Prat.g_01009
OG0000019	Praw.g_00884	Prat.g_00255
OG0000019	Praw.g_01717	Prat.g_01180
OG0000020	Praw.g_00181	Prat.g_01470
OG0000020	Praw.g_00483	Prat.g_00648
OG0000021	Praw.g_00479, Praw.g_00767	Prat.g_00854
OG0000022	Praw.g_01746	Prat.g_01192
OG0000022	Praw.g_00197	Prat.g_01448
OG0000023	Praw.g_00772	Prat.g_00834
OG0000024	Praw.g_01763	Prat.g_00622
OG0000024	Praw.g_01847	Prat.g_00749
OG0000025	Praw.g_01664, Praw.g_00803	Prat.g_01003
OG0000026	Praw.g_01397, Praw.g_01453	Prat.g_00033
OG0000027	Praw.g_00677, Praw.g_00492, Praw.g_00962	Prat.g_01474
OG0000028	Praw.g_00814	Prat.g_00327
OG0000028	Praw.g_00334	Prat.g_00380
