Orthogroup	Pran	Prbg
OG0000000	Pran.g_00601, Pran.g_00931, Pran.g_01423	Prbg.g_01567
OG0000000	Pran.g_00579, Pran.g_00001, Pran.g_00602	Prbg.g_01583, Prbg.g_01568, Prbg.g_01523
OG0000001	Pran.g_01500	Prbg.g_01119, Prbg.g_00694, Prbg.g_01516, Prbg.g_00523, Prbg.g_01514, Prbg.g_01521
OG0000002	Pran.g_01395	Prbg.g_01069
OG0000004	Pran.g_00894, Pran.g_00580	Prbg.g_01524
OG0000005	Pran.g_01436	Prbg.g_00451
OG0000006	Pran.g_00603, Pran.g_00114	Prbg.g_00032
OG0000008	Pran.g_01681	Prbg.g_00216
OG0000008	Pran.g_00970	Prbg.g_01650
OG0000010	Pran.g_01363	Prbg.g_01510
OG0000010	Pran.g_01943	Prbg.g_01032
OG0000011	Pran.g_01410	Prbg.g_01581, Prbg.g_00734
OG0000012	Pran.g_00132	Prbg.g_00050
OG0000012	Pran.g_01772	Prbg.g_00464
OG0000013	Pran.g_00615, Pran.g_00328	Prbg.g_00686
OG0000014	Pran.g_00754, Pran.g_00755	Prbg.g_00086
OG0000016	Pran.g_01394	Prbg.g_01589, Prbg.g_01635
OG0000017	Pran.g_00583	Prbg.g_01569, Prbg.g_00721
OG0000018	Pran.g_01580	Prbg.g_00317, Prbg.g_00324
OG0000019	Pran.g_01813	Prbg.g_01611, Prbg.g_01578
OG0000020	Pran.g_00845	Prbg.g_01540, Prbg.g_00688
OG0000021	Pran.g_00713	Prbg.g_00612, Prbg.g_01595
OG0000022	Pran.g_01951	Prbg.g_01024
OG0000023	Pran.g_01829	Prbg.g_01145
OG0000025	Pran.g_01420	Prbg.g_01352, Prbg.g_01116
OG0000028	Pran.g_00642	Prbg.g_00744
OG0000029	Pran.g_01362	Prbg.g_01535, Prbg.g_01624
OG0000030	Pran.g_01361	Prbg.g_01632
OG0000031	Pran.g_01167	Prbg.g_01855
OG0000034	Pran.g_00733	Prbg.g_00591
OG0000035	Pran.g_00614	Prbg.g_00174
OG0000036	Pran.g_00117	Prbg.g_00698
OG0000038	Pran.g_00753	Prbg.g_00550
OG0000039	Pran.g_00620	Prbg.g_01544
