Orthogroup	Pran	Prbb
OG0000000	Pran.g_00601, Pran.g_00931, Pran.g_01423	Prbb.g_01121, Prbb.g_01319, Prbb.g_00431, Prbb.g_01244
OG0000000	Pran.g_00579, Pran.g_00001, Pran.g_00602	Prbb.g_01145, Prbb.g_01352, Prbb.g_01123, Prbb.g_01403, Prbb.g_01787
OG0000001	Pran.g_01500	Prbb.g_00683, Prbb.g_01549, Prbb.g_01546, Prbb.g_01545, Prbb.g_01550, Prbb.g_01544
OG0000002	Pran.g_01395	Prbb.g_01915, Prbb.g_00474, Prbb.g_01157
OG0000003	Pran.g_01952	Prbb.g_01570, Prbb.g_00045, Prbb.g_01562
OG0000004	Pran.g_00894, Pran.g_00580	Prbb.g_01144, Prbb.g_00429, Prbb.g_01321, Prbb.g_01356, Prbb.g_01246, Prbb.g_01792
OG0000005	Pran.g_01436	Prbb.g_00425, Prbb.g_00748
OG0000006	Pran.g_00603, Pran.g_00114	Prbb.g_01294
OG0000008	Pran.g_01681	Prbb.g_00501
OG0000008	Pran.g_00970	Prbb.g_01823
OG0000010	Pran.g_01363	Prbb.g_00757, Prbb.g_00761
OG0000011	Pran.g_01410	Prbb.g_01800
OG0000012	Pran.g_01772	Prbb.g_00325
OG0000014	Pran.g_00754, Pran.g_00755	Prbb.g_00357
OG0000015	Pran.g_01864	Prbb.g_00386
OG0000016	Pran.g_01394	Prbb.g_01158
OG0000017	Pran.g_00583	Prbb.g_01375
OG0000018	Pran.g_01580	Prbb.g_00598
OG0000019	Pran.g_01813	Prbb.g_01189
OG0000020	Pran.g_00845	Prbb.g_01632
OG0000021	Pran.g_00713	Prbb.g_01705
OG0000022	Pran.g_01951	Prbb.g_01328, Prbb.g_01560, Prbb.g_00299
OG0000023	Pran.g_01829	Prbb.g_00099
OG0000025	Pran.g_01420	Prbb.g_01175, Prbb.g_00680
OG0000026	Pran.g_00582	Prbb.g_01119, Prbb.g_00433, Prbb.g_01318, Prbb.g_01353, Prbb.g_01243, Prbb.g_01400
OG0000028	Pran.g_00642	Prbb.g_01884
OG0000029	Pran.g_01362	Prbb.g_00747, Prbb.g_01897
OG0000030	Pran.g_01361	Prbb.g_01020, Prbb.g_01379, Prbb.g_01019, Prbb.g_01096, Prbb.g_01362
OG0000031	Pran.g_01167	Prbb.g_02069
OG0000032	Pran.g_00391	Prbb.g_01921
OG0000033	Pran.g_01464	Prbb.g_01114, Prbb.g_01127
OG0000034	Pran.g_00733	Prbb.g_01686
OG0000035	Pran.g_00614	Prbb.g_01324, Prbb.g_01729
OG0000036	Pran.g_00117	Prbb.g_01071
OG0000037	Pran.g_00944	Prbb.g_01391
OG0000038	Pran.g_00753	Prbb.g_00387
OG0000039	Pran.g_00620	Prbb.g_01919, Prbb.g_00014
OG0000040	Pran.g_00925	Prbb.g_01229
OG0000041	Pran.g_01555	Prbb.g_01111
OG0000043	Pran.g_00415	Prbb.g_01449
OG0000045	Pran.g_01593	Prbb.g_01882
OG0000046	Pran.g_01401	Prbb.g_01231
OG0000047	Pran.g_00060	Prbb.g_01517, Prbb.g_00874
OG0000048	Pran.g_00777	Prbb.g_00112
OG0000049	Pran.g_00807	Prbb.g_00851
OG0000050	Pran.g_00266	Prbb.g_00223
OG0000051	Pran.g_01834	Prbb.g_01373, Prbb.g_01411
OG0000052	Pran.g_01778	Prbb.g_01286
OG0000053	Pran.g_01460	Prbb.g_00713
OG0000054	Pran.g_00963	Prbb.g_01816
OG0000055	Pran.g_01160	Prbb.g_02061
OG0000056	Pran.g_00393, Pran.g_00930	Prbb.g_00032
OG0000057	Pran.g_00275	Prbb.g_00214
OG0000058	Pran.g_01824	Prbb.g_01197, Prbb.g_01329
OG0000059	Pran.g_01639	Prbb.g_00542
OG0000060	Pran.g_01447	Prbb.g_00726
OG0000061	Pran.g_01379	Prbb.g_00053
OG0000062	Pran.g_01321	Prbb.g_00807, Prbb.g_01218
OG0000063	Pran.g_00108, Pran.g_00935	Prbb.g_00054
OG0000065	Pran.g_00195	Prbb.g_00294
OG0000066	Pran.g_01703	Prbb.g_00478
OG0000067	Pran.g_01480	Prbb.g_01359, Prbb.g_00706
OG0000069	Pran.g_00095, Pran.g_00507	Prbb.g_01627
