Orthogroup	Pran	Prap
OG0000000	Pran.g_00601, Pran.g_00931, Pran.g_01423	Prap.g_01862
OG0000000	Pran.g_00579, Pran.g_00001, Pran.g_00602	Prap.g_01846, Prap.g_01861, Prap.g_00493
OG0000001	Pran.g_01500	Prap.g_00823, Prap.g_00224, Prap.g_00486, Prap.g_01946, Prap.g_00484, Prap.g_00491
OG0000002	Pran.g_01395	Prap.g_00653
OG0000004	Pran.g_00894, Pran.g_00580	Prap.g_00494
OG0000005	Pran.g_01436	Prap.g_00535
OG0000006	Pran.g_00603, Pran.g_00114	Prap.g_00010
OG0000008	Pran.g_01681	Prap.g_01270
OG0000008	Pran.g_00970	Prap.g_01779
OG0000010	Pran.g_01363	Prap.g_00480
OG0000010	Pran.g_01943	Prap.g_01462
OG0000011	Pran.g_01410	Prap.g_01848, Prap.g_01899
OG0000012	Pran.g_00132	Prap.g_01439
OG0000012	Pran.g_01772	Prap.g_00548
OG0000013	Pran.g_00615, Pran.g_00328	Prap.g_00216
OG0000014	Pran.g_00754, Pran.g_00755	Prap.g_01403
OG0000016	Pran.g_01394	Prap.g_01840, Prap.g_01794
OG0000017	Pran.g_00583	Prap.g_01860, Prap.g_01912
OG0000018	Pran.g_01580	Prap.g_01170, Prap.g_01163
OG0000019	Pran.g_01813	Prap.g_01818, Prap.g_01851
OG0000020	Pran.g_00845	Prap.g_00510, Prap.g_00218
OG0000021	Pran.g_00713	Prap.g_00142, Prap.g_01834
OG0000022	Pran.g_01951	Prap.g_01470
OG0000023	Pran.g_01829	Prap.g_00797
OG0000025	Pran.g_01420	Prap.g_00322, Prap.g_00826
OG0000028	Pran.g_00642	Prap.g_01888
OG0000029	Pran.g_01362	Prap.g_00505, Prap.g_01805
OG0000030	Pran.g_01361	Prap.g_01797
OG0000031	Pran.g_01167	Prap.g_01572
OG0000034	Pran.g_00733	Prap.g_00121
OG0000035	Pran.g_00614	Prap.g_01312
OG0000036	Pran.g_00117	Prap.g_00228
OG0000038	Pran.g_00753	Prap.g_00080
OG0000039	Pran.g_00620	Prap.g_00514
OG0000041	Pran.g_01555	Prap.g_01145, Prap.g_00236
OG0000043	Pran.g_00415	Prap.g_00017
OG0000045	Pran.g_01593	Prap.g_01790, Prap.g_01183
OG0000046	Pran.g_01401	Prap.g_00212
OG0000047	Pran.g_00060	Prap.g_00456
OG0000048	Pran.g_00777	Prap.g_00897
OG0000049	Pran.g_00807	Prap.g_00081
OG0000050	Pran.g_00266	Prap.g_01004
OG0000051	Pran.g_01834	Prap.g_00029
OG0000052	Pran.g_01778	Prap.g_01821, Prap.g_01815
OG0000053	Pran.g_01460	Prap.g_00791
OG0000054	Pran.g_00963	Prap.g_01917, Prap.g_01787
OG0000055	Pran.g_01160	Prap.g_01580
OG0000056	Pran.g_00393, Pran.g_00930	Prap.g_00923
OG0000057	Pran.g_00275	Prap.g_01013
OG0000058	Pran.g_01824	Prap.g_00591
OG0000059	Pran.g_01639	Prap.g_01230, Prap.g_01867
OG0000060	Pran.g_01447	Prap.g_00334
OG0000061	Pran.g_01379	Prap.g_01128
OG0000062	Pran.g_01321	Prap.g_00760
OG0000063	Pran.g_00935	Prap.g_00512
OG0000065	Pran.g_00195	Prap.g_01475
OG0000066	Pran.g_01703	Prap.g_01292
OG0000067	Pran.g_01480	Prap.g_00799
OG0000070	Pran.g_00903, Pran.g_00568	Prap.g_00708
OG0000071	Pran.g_01466	Prap.g_00429
OG0000072	Pran.g_00938, Pran.g_00876	Prap.g_00561
OG0000074	Pran.g_00752	Prap.g_00079
OG0000075	Pran.g_01105	Prap.g_01642
OG0000077	Pran.g_01268	Prap.g_00043
OG0000078	Pran.g_01872	Prap.g_01389
OG0000079	Pran.g_01812	Prap.g_00543
OG0000080	Pran.g_01509	Prap.g_00356
OG0000081	Pran.g_01487	Prap.g_00809
OG0000082	Pran.g_01336	Prap.g_00776
OG0000083	Pran.g_00179	Prap.g_00477
OG0000084	Pran.g_00487	Prap.g_00257
OG0000085	Pran.g_00135	Prap.g_00501
OG0000086	Pran.g_00093	Prap.g_01883
OG0000090	Pran.g_00806	Prap.g_00082
OG0000091	Pran.g_00725, Pran.g_00787	Prap.g_00129
OG0000092	Pran.g_00575, Pran.g_00912	Prap.g_00618
OG0000094	Pran.g_01102	Prap.g_01646
OG0000095	Pran.g_01135	Prap.g_01608
OG0000096	Pran.g_01204	Prap.g_01536
OG0000097	Pran.g_01222	Prap.g_00623
OG0000098	Pran.g_01260	Prap.g_00051
OG0000099	Pran.g_00401	Prap.g_00932
OG0000101	Pran.g_00376	Prap.g_00903
OG0000102	Pran.g_00320	Prap.g_01061
OG0000103	Pran.g_00312	Prap.g_01052
