Orthogroup	Pran	Prau
OG0000000	Pran.g_00601	Prau.g_01648
OG0000000	Pran.g_00602	Prau.g_01266
OG0000001	Pran.g_01500	Prau.g_00718
OG0000003	Pran.g_01952	Prau.g_01268
OG0000004	Pran.g_00894	Prau.g_01350
OG0000004	Pran.g_00580	Prau.g_01300
OG0000005	Pran.g_00576	Prau.g_00785
OG0000005	Pran.g_01436	Prau.g_00792
OG0000006	Pran.g_00114	Prau.g_00805, Prau.g_01156
OG0000007	Pran.g_00526	Prau.g_01303, Prau.g_01319
OG0000007	Pran.g_01811	Prau.g_00387
OG0000008	Pran.g_01681	Prau.g_00538
OG0000008	Pran.g_00970	Prau.g_01732
OG0000010	Pran.g_01363	Prau.g_00834
OG0000010	Pran.g_01943	Prau.g_00251
OG0000011	Pran.g_01410	Prau.g_00804
OG0000012	Pran.g_00132	Prau.g_01139
OG0000012	Pran.g_01820	Prau.g_00377
OG0000013	Pran.g_00615	Prau.g_01641
OG0000013	Pran.g_00328	Prau.g_00106
OG0000014	Pran.g_00754, Pran.g_00755	Prau.g_01438, Prau.g_01470
OG0000014	Pran.g_01888	Prau.g_00308
OG0000015	Pran.g_01864	Prau.g_00332
OG0000016	Pran.g_01394	Prau.g_00817
OG0000017	Pran.g_00583	Prau.g_01353
OG0000018	Pran.g_01580	Prau.g_00636
OG0000019	Pran.g_01813	Prau.g_00385, Prau.g_01284
OG0000020	Pran.g_00845	Prau.g_01405
OG0000021	Pran.g_00713	Prau.g_00040, Prau.g_01551
OG0000022	Pran.g_01951	Prau.g_01316, Prau.g_00243
OG0000023	Pran.g_01829	Prau.g_01680, Prau.g_00367
OG0000025	Pran.g_01420	Prau.g_00796
OG0000026	Pran.g_00582	Prau.g_01352
OG0000027	Pran.g_01506	Prau.g_00712
OG0000028	Pran.g_00642	Prau.g_00781
OG0000029	Pran.g_01362	Prau.g_00835
OG0000030	Pran.g_01361	Prau.g_00836
OG0000031	Pran.g_01167	Prau.g_01932
OG0000032	Pran.g_00391	Prau.g_00032
OG0000033	Pran.g_01464	Prau.g_01618, Prau.g_00788
OG0000034	Pran.g_00733	Prau.g_01528, Prau.g_01531
OG0000035	Pran.g_00614	Prau.g_01642
OG0000036	Pran.g_00117	Prau.g_01153
OG0000037	Pran.g_00898	Prau.g_01347
OG0000037	Pran.g_00944	Prau.g_01681
OG0000038	Pran.g_00753	Prau.g_01431, Prau.g_01469
OG0000040	Pran.g_00925	Prau.g_00441
