Orthogroup	Pran	Prar
OG0000000	Pran.g_00601	Prar.g_00729
OG0000000	Pran.g_00602	Prar.g_00730
OG0000001	Pran.g_01500	Prar.g_01508
OG0000003	Pran.g_01952	Prar.g_00593
OG0000004	Pran.g_00894	Prar.g_00973
OG0000005	Pran.g_00576	Prar.g_01623
OG0000005	Pran.g_01436	Prar.g_01630
OG0000006	Pran.g_00603	Prar.g_01006
OG0000006	Pran.g_00114	Prar.g_01643, Prar.g_01313
OG0000007	Pran.g_00526	Prar.g_01002
OG0000007	Pran.g_01811	Prar.g_00445
OG0000007	Pran.g_00586	Prar.g_01173
OG0000008	Pran.g_01681	Prar.g_01328
OG0000008	Pran.g_00970	Prar.g_01143
OG0000010	Pran.g_01363	Prar.g_01663
OG0000010	Pran.g_01943	Prar.g_00078
OG0000012	Pran.g_01820	Prar.g_00435
OG0000013	Pran.g_00615	Prar.g_00737
OG0000013	Pran.g_00328	Prar.g_00223
OG0000014	Pran.g_00754, Pran.g_00755, Pran.g_01888	Prar.g_00281
OG0000015	Pran.g_01864	Prar.g_00257
OG0000016	Pran.g_01394	Prar.g_01179
OG0000017	Pran.g_00583	Prar.g_00520
OG0000018	Pran.g_01580	Prar.g_01428
OG0000019	Pran.g_01813	Prar.g_00443
OG0000020	Pran.g_00845	Prar.g_00915
OG0000021	Pran.g_00713	Prar.g_00589, Prar.g_00827
OG0000022	Pran.g_01951	Prar.g_00086
OG0000023	Pran.g_01829	Prar.g_00425
OG0000025	Pran.g_01420	Prar.g_01634
OG0000026	Pran.g_00582	Prar.g_00971
OG0000027	Pran.g_01506	Prar.g_01502
OG0000028	Pran.g_00642	Prar.g_01185
OG0000028	Pran.g_00954	Prar.g_00996
OG0000029	Pran.g_01362	Prar.g_01664
OG0000030	Pran.g_01361	Prar.g_01665
OG0000031	Pran.g_01167	Prar.g_00660
OG0000032	Pran.g_00391	Prar.g_00004, Prar.g_00005
OG0000033	Pran.g_01464	Prar.g_00761, Prar.g_01626
OG0000034	Pran.g_00733	Prar.g_00339
OG0000035	Pran.g_00614	Prar.g_00736
OG0000036	Pran.g_00117	Prar.g_01315
OG0000040	Pran.g_00925	Prar.g_00978
OG0000041	Pran.g_01555	Prar.g_01453
OG0000042	Pran.g_01212	Prar.g_00704
OG0000043	Pran.g_00145	Prar.g_01943
OG0000043	Pran.g_00415	Prar.g_01761
OG0000045	Pran.g_01593	Prar.g_01414
OG0000046	Pran.g_01401	Prar.g_01649
OG0000047	Pran.g_00060	Prar.g_01263
OG0000049	Pran.g_00807	Prar.g_00870, Prar.g_00362
OG0000050	Pran.g_00266	Prar.g_00161
OG0000051	Pran.g_01834	Prar.g_00420
OG0000052	Pran.g_01758	Prar.g_00476
OG0000053	Pran.g_01460	Prar.g_01599
OG0000054	Pran.g_00963	Prar.g_01150
OG0000055	Pran.g_01160	Prar.g_00592, Prar.g_00653
OG0000056	Pran.g_00393	Prar.g_00007
OG0000057	Pran.g_00275	Prar.g_00170
OG0000058	Pran.g_01824	Prar.g_00431
OG0000059	Pran.g_01639	Prar.g_01369
OG0000060	Pran.g_01447	Prar.g_01612
OG0000061	Pran.g_01408	Prar.g_01644
OG0000062	Pran.g_01321	Prar.g_01706
OG0000063	Pran.g_00108	Prar.g_01307
OG0000065	Pran.g_00195	Prar.g_00090
OG0000066	Pran.g_01703	Prar.g_00525
OG0000067	Pran.g_01480	Prar.g_01528
OG0000068	Pran.g_00905	Prar.g_01628
OG0000069	Pran.g_00095	Prar.g_01298
OG0000070	Pran.g_00903, Pran.g_00568	Prar.g_01904
OG0000071	Pran.g_01466	Prar.g_01003
OG0000072	Pran.g_00938, Pran.g_00876	Prar.g_00955
OG0000074	Pran.g_00752	Prar.g_00880
OG0000075	Pran.g_01105	Prar.g_01027
OG0000077	Pran.g_01268	Prar.g_00027
OG0000078	Pran.g_01872	Prar.g_00265
OG0000079	Pran.g_01812	Prar.g_00444
OG0000080	Pran.g_01509	Prar.g_01499
OG0000081	Pran.g_01487	Prar.g_01521
OG0000082	Pran.g_01336	Prar.g_01691
OG0000083	Pran.g_00179	Prar.g_01755
OG0000084	Pran.g_00487	Prar.g_01833
OG0000085	Pran.g_00135	Prar.g_01953
OG0000086	Pran.g_00093	Prar.g_01296
OG0000088	Pran.g_01784	Prar.g_00998
OG0000089	Pran.g_01783, Pran.g_00519	Prar.g_00997
OG0000090	Pran.g_00806	Prar.g_00872
OG0000091	Pran.g_00725, Pran.g_00787	Prar.g_00839
OG0000092	Pran.g_00575, Pran.g_00912	Prar.g_01166
OG0000093	Pran.g_01056	Prar.g_01090
OG0000094	Pran.g_01102	Prar.g_01030
OG0000095	Pran.g_01135	Prar.g_00627
OG0000096	Pran.g_01204	Prar.g_00696
OG0000097	Pran.g_01222	Prar.g_00072
OG0000098	Pran.g_01260	Prar.g_00035
OG0000099	Pran.g_00401	Prar.g_00015
OG0000100	Pran.g_00386	Prar.g_00581
OG0000101	Pran.g_00376	Prar.g_00570
OG0000102	Pran.g_00320	Prar.g_00215
OG0000103	Pran.g_00312	Prar.g_00207
OG0000104	Pran.g_00295	Prar.g_00189
OG0000105	Pran.g_00262	Prar.g_00157
OG0000106	Pran.g_00248	Prar.g_00143
OG0000107	Pran.g_00240	Prar.g_00135
OG0000108	Pran.g_00230	Prar.g_00125
OG0000109	Pran.g_00194	Prar.g_00088
OG0000110	Pran.g_01941	Prar.g_00076
OG0000111	Pran.g_01920	Prar.g_00313
OG0000112	Pran.g_01910	Prar.g_00303
OG0000113	Pran.g_01897	Prar.g_00290, Prar.g_01154
OG0000114	Pran.g_01869	Prar.g_00262
OG0000115	Pran.g_01704	Prar.g_00524
OG0000116	Pran.g_01702	Prar.g_00526
OG0000117	Pran.g_01698	Prar.g_00530
OG0000118	Pran.g_01679	Prar.g_01330
OG0000119	Pran.g_01646	Prar.g_01362
OG0000120	Pran.g_01645	Prar.g_01363
OG0000121	Pran.g_01635	Prar.g_01373
OG0000122	Pran.g_01626	Prar.g_01382
OG0000123	Pran.g_01594	Prar.g_01413
OG0000124	Pran.g_01527	Prar.g_01481
OG0000125	Pran.g_01526	Prar.g_01482
OG0000126	Pran.g_01525	Prar.g_01483
OG0000127	Pran.g_01492	Prar.g_01516
OG0000128	Pran.g_01458	Prar.g_01601
OG0000129	Pran.g_01438	Prar.g_01621
OG0000130	Pran.g_01358	Prar.g_01668
OG0000131	Pran.g_01345	Prar.g_01682
OG0000132	Pran.g_01310	Prar.g_01717
OG0000133	Pran.g_00445	Prar.g_01792
OG0000134	Pran.g_00455	Prar.g_01801
OG0000135	Pran.g_00491	Prar.g_01837
OG0000136	Pran.g_00565	Prar.g_01901
OG0000137	Pran.g_00090	Prar.g_01293
OG0000138	Pran.g_00065	Prar.g_01268
OG0000139	Pran.g_00054	Prar.g_01257
OG0000140	Pran.g_00003	Prar.g_01206
OG0000141	Pran.g_00918	Prar.g_00376
OG0000142	Pran.g_00864	Prar.g_00943
OG0000143	Pran.g_00841	Prar.g_00911
OG0000144	Pran.g_00746	Prar.g_00352
OG0000145	Pran.g_00732	Prar.g_00338
OG0000146	Pran.g_00696	Prar.g_00810
