Orthogroup	Pran	Pram
OG0000000	Pran.g_00601, Pran.g_00931, Pran.g_01423	Pram.g_01511
OG0000000	Pran.g_00579, Pran.g_00001, Pran.g_00602	Pram.g_01556, Pram.g_01512
OG0000001	Pran.g_01500	Pram.g_00768, Pram.g_01278, Pram.g_01170, Pram.g_01471, Pram.g_01168, Pram.g_01174
OG0000002	Pran.g_01395	Pram.g_00719
OG0000004	Pran.g_00894, Pran.g_00580	Pram.g_01513, Pram.g_01176
OG0000005	Pran.g_01436	Pram.g_01207
OG0000006	Pran.g_00603, Pran.g_00114	Pram.g_01505, Pram.g_00621
OG0000008	Pran.g_01681	Pram.g_00433
OG0000008	Pran.g_00970	Pram.g_01632
OG0000010	Pran.g_01363	Pram.g_01164
OG0000010	Pran.g_01943	Pram.g_00237
OG0000011	Pran.g_01410	Pram.g_01529
OG0000012	Pran.g_00132	Pram.g_00259
OG0000013	Pran.g_00615, Pran.g_00328	Pram.g_00390, Pram.g_01284
OG0000014	Pran.g_00754, Pran.g_00755	Pram.g_00295
OG0000016	Pran.g_01394	Pram.g_01545, Pram.g_00696
OG0000018	Pran.g_01580	Pram.g_00535, Pram.g_00542
OG0000019	Pran.g_01813	Pram.g_00662, Pram.g_00618, Pram.g_01597
OG0000020	Pran.g_00845	Pram.g_01283
OG0000021	Pran.g_00713	Pram.g_01357, Pram.g_01580
OG0000022	Pran.g_01951	Pram.g_00229
OG0000023	Pran.g_01829	Pram.g_00794
OG0000025	Pran.g_01420	Pram.g_01004, Pram.g_00765
OG0000026	Pran.g_00582	Pram.g_01561
OG0000028	Pran.g_00642	Pram.g_01263
OG0000029	Pran.g_01362	Pram.g_01189, Pram.g_01617
OG0000030	Pran.g_01361	Pram.g_01544, Pram.g_00644
OG0000031	Pran.g_01167	Pram.g_01841
OG0000034	Pran.g_00733	Pram.g_01381, Pram.g_01378
OG0000035	Pran.g_00614	Pram.g_00391
OG0000036	Pran.g_00117	Pram.g_01275
OG0000038	Pran.g_00753	Pram.g_01413
OG0000039	Pran.g_00620	Pram.g_01193
OG0000041	Pran.g_01555	Pram.g_00561
OG0000042	Pran.g_01212	Pram.g_01605
OG0000043	Pran.g_00415	Pram.g_00681
OG0000045	Pran.g_01593	Pram.g_01559
OG0000046	Pran.g_01401	Pram.g_01287
OG0000047	Pran.g_00060	Pram.g_01140
OG0000048	Pran.g_00777	Pram.g_00040
OG0000049	Pran.g_00807	Pram.g_01447
OG0000050	Pran.g_00266	Pram.g_00151
OG0000051	Pran.g_01834	Pram.g_00689
OG0000052	Pran.g_01778	Pram.g_01587
OG0000053	Pran.g_01460	Pram.g_00801
OG0000054	Pran.g_00963	Pram.g_01265
OG0000055	Pran.g_01160	Pram.g_01833
OG0000056	Pran.g_00393, Pran.g_00930	Pram.g_00018
OG0000057	Pran.g_00275	Pram.g_00142
OG0000058	Pran.g_01824	Pram.g_00677
OG0000059	Pran.g_01639	Pram.g_01558
OG0000060	Pran.g_01447	Pram.g_01017
OG0000061	Pran.g_01379	Pram.g_01517
OG0000062	Pran.g_01321	Pram.g_00832
OG0000063	Pran.g_00935	Pram.g_01191
OG0000065	Pran.g_00195	Pram.g_00224
OG0000066	Pran.g_01703	Pram.g_00411
OG0000067	Pran.g_01480	Pram.g_00792
OG0000068	Pran.g_00905	Pram.g_00631
OG0000070	Pran.g_00903, Pran.g_00568	Pram.g_00888
OG0000071	Pran.g_01466	Pram.g_01112
OG0000072	Pran.g_00938, Pran.g_00876	Pram.g_01230
OG0000074	Pran.g_00752	Pram.g_01446
OG0000075	Pran.g_01105	Pram.g_01770
OG0000077	Pran.g_01268	Pram.g_01949
OG0000078	Pran.g_01872	Pram.g_00310
OG0000079	Pran.g_01812	Pram.g_01589
OG0000080	Pran.g_01509	Pram.g_01039
OG0000081	Pran.g_01487	Pram.g_00782
OG0000082	Pran.g_01336	Pram.g_00816
OG0000083	Pran.g_00179	Pram.g_01161
OG0000084	Pran.g_00487	Pram.g_00943
OG0000085	Pran.g_00135	Pram.g_01185
OG0000086	Pran.g_00093	Pram.g_01546
OG0000090	Pran.g_00806	Pram.g_01445
OG0000091	Pran.g_00725, Pran.g_00787	Pram.g_01370
OG0000092	Pran.g_00575, Pran.g_00912	Pram.g_01554
OG0000094	Pran.g_01102	Pram.g_01766
OG0000095	Pran.g_01135	Pram.g_01805
OG0000096	Pran.g_01204	Pram.g_01878
OG0000097	Pran.g_01222	Pram.g_01898
OG0000098	Pran.g_01260	Pram.g_01941
OG0000099	Pran.g_00401	Pram.g_00010
OG0000101	Pran.g_00376	Pram.g_00036
OG0000102	Pran.g_00320	Pram.g_00099
OG0000103	Pran.g_00312	Pram.g_00108
OG0000104	Pran.g_00295	Pram.g_00125
OG0000105	Pran.g_00262	Pram.g_00155
OG0000106	Pran.g_00248	Pram.g_00168
OG0000107	Pran.g_00240	Pram.g_00177
OG0000108	Pran.g_00230	Pram.g_00187
OG0000109	Pran.g_00194	Pram.g_00227
OG0000110	Pran.g_01941	Pram.g_00239
OG0000111	Pran.g_01920	Pram.g_00262
OG0000113	Pran.g_01897	Pram.g_00286
OG0000114	Pran.g_01869	Pram.g_00313
OG0000115	Pran.g_01704	Pram.g_00410
OG0000116	Pran.g_01702	Pram.g_00412
OG0000117	Pran.g_01698	Pram.g_00416
OG0000118	Pran.g_01679	Pram.g_00437
OG0000119	Pran.g_01646	Pram.g_00470
OG0000120	Pran.g_01645	Pram.g_00471
OG0000121	Pran.g_01635	Pram.g_00480
OG0000122	Pran.g_01626	Pram.g_00489
OG0000123	Pran.g_01594	Pram.g_00522
OG0000124	Pran.g_01527	Pram.g_01059
OG0000125	Pran.g_01526	Pram.g_01058
OG0000126	Pran.g_01525	Pram.g_01057
OG0000127	Pran.g_01492	Pram.g_00777
OG0000128	Pran.g_01458	Pram.g_00803
OG0000129	Pran.g_01438	Pram.g_01006
OG0000130	Pran.g_01358	Pram.g_00905
OG0000131	Pran.g_01345	Pram.g_00807
OG0000132	Pran.g_01310	Pram.g_00843
OG0000133	Pran.g_00445	Pram.g_00751
OG0000134	Pran.g_00455	Pram.g_01038
OG0000135	Pran.g_00491	Pram.g_00947
OG0000136	Pran.g_00565	Pram.g_00891
OG0000137	Pran.g_00090	Pram.g_01549
OG0000138	Pran.g_00065	Pram.g_01146
OG0000139	Pran.g_00054	Pram.g_01133
OG0000140	Pran.g_00003	Pram.g_00571
OG0000141	Pran.g_00918	Pram.g_01254
OG0000142	Pran.g_00864	Pram.g_01242
OG0000143	Pran.g_00841	Pram.g_01468
OG0000144	Pran.g_00746	Pram.g_01393
OG0000145	Pran.g_00732	Pram.g_01377
OG0000146	Pran.g_00696	Pram.g_01341
OG0000147	Pran.g_00656	Pram.g_01294
OG0000148	Pran.g_00655	Pram.g_01293
OG0000149	Pran.g_00968	Pram.g_01629
OG0000150	Pran.g_01006	Pram.g_01669
OG0000151	Pran.g_01009	Pram.g_01672
OG0000152	Pran.g_01043, Pran.g_01028	Pram.g_01691
OG0000153	Pran.g_01063	Pram.g_01728
OG0000154	Pran.g_01100	Pram.g_01764
OG0000155	Pran.g_01118	Pram.g_01783
OG0000156	Pran.g_01145	Pram.g_01817
OG0000157	Pran.g_01177	Pram.g_01851
OG0000158	Pran.g_01239	Pram.g_01917
OG0000160	Pran.g_01258	Pram.g_01939
OG0000161	Pran.g_01259	Pram.g_01940
OG0000162	Pran.g_01261	Pram.g_01942
OG0000163	Pran.g_01262	Pram.g_01943
OG0000164	Pran.g_01263	Pram.g_01944
OG0000165	Pran.g_01264	Pram.g_01945
OG0000166	Pran.g_01265	Pram.g_01946
OG0000167	Pran.g_01266	Pram.g_01947
OG0000168	Pran.g_01267	Pram.g_01948
OG0000169	Pran.g_01269	Pram.g_01950
OG0000170	Pran.g_00410	Pram.g_00001
OG0000171	Pran.g_00409	Pram.g_00002
OG0000172	Pran.g_00408	Pram.g_00003
OG0000173	Pran.g_00407	Pram.g_00004
OG0000174	Pran.g_00406	Pram.g_00005
OG0000175	Pran.g_00405	Pram.g_00006
OG0000176	Pran.g_00404	Pram.g_00007
OG0000177	Pran.g_00403	Pram.g_00008
OG0000178	Pran.g_00402	Pram.g_00009
OG0000179	Pran.g_00400	Pram.g_00011
OG0000180	Pran.g_00399	Pram.g_00012
OG0000181	Pran.g_00398	Pram.g_00013
OG0000182	Pran.g_00397	Pram.g_00014
OG0000183	Pran.g_00396	Pram.g_00015
OG0000184	Pran.g_00395	Pram.g_00016
OG0000185	Pran.g_00392	Pram.g_00019
