Orthogroup	Pran	Prat
OG0000000	Pran.g_00601, Pran.g_00931, Pran.g_01423	Prat.g_01549
OG0000000	Pran.g_00579, Pran.g_00001, Pran.g_00602	Prat.g_01510, Prat.g_01189, Prat.g_01547
OG0000001	Pran.g_01500	Prat.g_00751, Prat.g_01462, Prat.g_01184, Prat.g_01487, Prat.g_01182, Prat.g_01187
OG0000002	Pran.g_01395	Prat.g_00851
OG0000003	Pran.g_01952	Prat.g_01473
OG0000004	Pran.g_00894, Pran.g_00580	Prat.g_01190
OG0000005	Pran.g_01436	Prat.g_00824
OG0000006	Pran.g_00603, Pran.g_00114	Prat.g_00634
OG0000008	Pran.g_01681	Prat.g_00458
OG0000008	Pran.g_00970	Prat.g_01592
OG0000010	Pran.g_01363	Prat.g_01180
OG0000010	Pran.g_01943	Prat.g_00255
OG0000012	Pran.g_00132	Prat.g_00278
OG0000013	Pran.g_00615, Pran.g_00328	Prat.g_01451
OG0000014	Pran.g_00754, Pran.g_00755	Prat.g_00314, Prat.g_01267
OG0000016	Pran.g_01394	Prat.g_00701
OG0000017	Pran.g_00583	Prat.g_01548, Prat.g_01474
OG0000018	Pran.g_01580	Prat.g_00560, Prat.g_00567
OG0000019	Pran.g_01813	Prat.g_01580, Prat.g_00639, Prat.g_00615
OG0000020	Pran.g_00845	Prat.g_00647, Prat.g_01452
OG0000021	Pran.g_00713	Prat.g_01375
OG0000022	Pran.g_01951	Prat.g_00248
OG0000023	Pran.g_01829	Prat.g_00461
OG0000025	Pran.g_01420	Prat.g_00622
OG0000026	Pran.g_00582	Prat.g_01191
OG0000028	Pran.g_00642	Prat.g_00376
OG0000029	Pran.g_01362	Prat.g_00852
OG0000031	Pran.g_01167	Prat.g_01796
OG0000034	Pran.g_00733	Prat.g_01352, Prat.g_01353
OG0000035	Pran.g_00614	Prat.g_01400
OG0000036	Pran.g_00117	Prat.g_01470
OG0000038	Pran.g_00753	Prat.g_01266
OG0000039	Pran.g_00620	Prat.g_01219
OG0000041	Pran.g_01555	Prat.g_00586
OG0000042	Pran.g_01212	Prat.g_01572
OG0000043	Pran.g_00145, Pran.g_00415	Prat.g_00657
OG0000045	Pran.g_01593	Prat.g_01507
OG0000046	Pran.g_01401	Prat.g_01448, Prat.g_01192
OG0000047	Pran.g_00060	Prat.g_01156
OG0000048	Pran.g_00777	Prat.g_00058
OG0000049	Pran.g_00807	Prat.g_01311
OG0000050	Pran.g_00266	Prat.g_00166
OG0000051	Pran.g_01834	Prat.g_00834
OG0000052	Pran.g_01778	Prat.g_01552, Prat.g_00613
OG0000053	Pran.g_01460	Prat.g_00788
OG0000054	Pran.g_00963	Prat.g_01584
OG0000055	Pran.g_01160	Prat.g_01788
OG0000056	Pran.g_00393, Pran.g_00930	Prat.g_00033
OG0000057	Pran.g_00275	Prat.g_00157
OG0000058	Pran.g_01824	Prat.g_00637
OG0000059	Pran.g_01639	Prat.g_01499
OG0000060	Pran.g_01447	Prat.g_00804
OG0000061	Pran.g_01379	Prat.g_01503
OG0000062	Pran.g_01321	Prat.g_01014
OG0000063	Pran.g_00935	Prat.g_01463, Prat.g_00666
OG0000065	Pran.g_00195	Prat.g_00242
OG0000066	Pran.g_01703	Prat.g_00434
OG0000067	Pran.g_01480	Prat.g_00775
OG0000070	Pran.g_00903, Pran.g_00568	Prat.g_00965
OG0000071	Pran.g_01466	Prat.g_01129
OG0000072	Pran.g_00938, Pran.g_00876	Prat.g_01249
OG0000074	Pran.g_00752	Prat.g_00344
OG0000075	Pran.g_01105	Prat.g_01726
OG0000077	Pran.g_01268	Prat.g_00012, Prat.g_00011
OG0000078	Pran.g_01872	Prat.g_00329
OG0000079	Pran.g_01812	Prat.g_01477
OG0000080	Pran.g_01509	Prat.g_01054
OG0000081	Pran.g_01487	Prat.g_00765
OG0000082	Pran.g_01336	Prat.g_01030
OG0000083	Pran.g_00179	Prat.g_01176
OG0000084	Pran.g_00487	Prat.g_00896, Prat.g_01277
OG0000085	Pran.g_00135	Prat.g_01208
OG0000086	Pran.g_00093	Prat.g_01561, Prat.g_01495
OG0000090	Pran.g_00806	Prat.g_01312
OG0000091	Pran.g_00725, Pran.g_00787	Prat.g_01361
OG0000092	Pran.g_00575, Pran.g_00912	Prat.g_01539
OG0000094	Pran.g_01102	Prat.g_01722
OG0000095	Pran.g_01135	Prat.g_01759
OG0000096	Pran.g_01204	Prat.g_01833
OG0000097	Pran.g_01222	Prat.g_01853
OG0000098	Pran.g_01260	Prat.g_00003
OG0000099	Pran.g_00401	Prat.g_01314, Prat.g_00024
OG0000101	Pran.g_00376	Prat.g_00054
OG0000102	Pran.g_00320	Prat.g_00112
OG0000103	Pran.g_00312	Prat.g_00121
OG0000104	Pran.g_00295	Prat.g_00138
OG0000105	Pran.g_00262	Prat.g_00171
OG0000106	Pran.g_00248	Prat.g_00185
OG0000107	Pran.g_00240	Prat.g_00194
OG0000108	Pran.g_00230	Prat.g_00204
OG0000109	Pran.g_00194	Prat.g_00245
OG0000110	Pran.g_01941	Prat.g_00257
OG0000111	Pran.g_01920	Prat.g_00281
OG0000113	Pran.g_01897	Prat.g_00305
OG0000114	Pran.g_01869	Prat.g_00332
OG0000115	Pran.g_01704	Prat.g_00433
OG0000116	Pran.g_01702	Prat.g_00435
OG0000117	Pran.g_01698	Prat.g_00440
OG0000118	Pran.g_01679	Prat.g_00462
OG0000119	Pran.g_01646	Prat.g_00494
OG0000120	Pran.g_01645	Prat.g_00495
OG0000121	Pran.g_01635	Prat.g_00504
OG0000122	Pran.g_01626	Prat.g_00514, Prat.g_00513
OG0000123	Pran.g_01594	Prat.g_00548
OG0000124	Pran.g_01527	Prat.g_01073
OG0000125	Pran.g_01526	Prat.g_01072
OG0000126	Pran.g_01525	Prat.g_01071
OG0000127	Pran.g_01492	Prat.g_00760
OG0000128	Pran.g_01458	Prat.g_00790
OG0000129	Pran.g_01438	Prat.g_00815
OG0000130	Pran.g_01358	Prat.g_00856
OG0000131	Pran.g_01345	Prat.g_01039
OG0000132	Pran.g_01310	Prat.g_01004
OG0000133	Pran.g_00445	Prat.g_00734
OG0000134	Pran.g_00455	Prat.g_01053
OG0000135	Pran.g_00491	Prat.g_00900
OG0000136	Pran.g_00565	Prat.g_00962
OG0000137	Pran.g_00090	Prat.g_01557
OG0000138	Pran.g_00065	Prat.g_01161
OG0000139	Pran.g_00054	Prat.g_01150
OG0000140	Pran.g_00003	Prat.g_00595
OG0000141	Pran.g_00918	Prat.g_01509
OG0000142	Pran.g_00864	Prat.g_01261
OG0000143	Pran.g_00841	Prat.g_01291
