Orthogroup	Prag	Praq
OG0000000	Prag.g_01608	Praq.g_00026
OG0000000	Prag.g_01650, Prag.g_01607, Prag.g_01213	Praq.g_01392
OG0000001	Prag.g_01382	Praq.g_00168
OG0000001	Prag.g_00656	Praq.g_00807
OG0000002	Prag.g_01651	Praq.g_01393
OG0000002	Prag.g_01215, Prag.g_01216	Praq.g_01394
OG0000002	Prag.g_01374	Praq.g_00160
OG0000003	Prag.g_00038	Praq.g_01242
OG0000004	Prag.g_01333	Praq.g_00115
OG0000004	Prag.g_01610	Praq.g_00028
OG0000005	Prag.g_00726	Praq.g_00607
OG0000005	Prag.g_00734	Praq.g_00614
OG0000006	Prag.g_01319	Praq.g_00097
OG0000006	Prag.g_01636	Praq.g_00081
OG0000006	Prag.g_00749	Praq.g_00628
OG0000006	Prag.g_01103	Praq.g_01283
OG0000007	Prag.g_01300	Praq.g_00085
OG0000007	Prag.g_00376	Praq.g_01159
OG0000007	Prag.g_01264	Praq.g_00059
OG0000008	Prag.g_00476	Praq.g_01105
OG0000008	Prag.g_01669	Praq.g_00497
OG0000010	Prag.g_00786	Praq.g_00649
OG0000010	Prag.g_00242	Praq.g_01753
OG0000011	Prag.g_00748	Praq.g_00627
OG0000012	Prag.g_00368	Praq.g_01169
OG0000013	Prag.g_01600	Praq.g_00017
OG0000013	Prag.g_00098	Praq.g_01898
OG0000014	Prag.g_00297	Praq.g_01696
OG0000015	Prag.g_00321	Praq.g_01672
OG0000016	Prag.g_00765	Praq.g_00065
OG0000017	Prag.g_00449	Praq.g_00521
OG0000018	Prag.g_00576	Praq.g_01004
OG0000019	Prag.g_00374	Praq.g_01161
OG0000020	Prag.g_01385	Praq.g_00171
OG0000021	Prag.g_01510	Praq.g_00314
OG0000022	Prag.g_01231, Prag.g_00234	Praq.g_01761
OG0000023	Prag.g_00359	Praq.g_01179
OG0000024	Prag.g_01325	Praq.g_00109
OG0000025	Prag.g_00740	Praq.g_00618
OG0000026	Prag.g_01335, Prag.g_00719	Praq.g_00117
OG0000027	Prag.g_00650	Praq.g_00801
OG0000028	Prag.g_01655	Praq.g_00071
OG0000028	Prag.g_01312	Praq.g_00092
OG0000029	Prag.g_00787	Praq.g_00650
OG0000030	Prag.g_00788	Praq.g_00651
OG0000031	Prag.g_01868	Praq.g_00770
OG0000032	Prag.g_00033	Praq.g_01237, Praq.g_01236
OG0000033	Prag.g_00730	Praq.g_00610
OG0000034	Prag.g_01488, Prag.g_01490	Praq.g_00294
OG0000035	Prag.g_01601	Praq.g_00018
OG0000036	Prag.g_01100	Praq.g_01281
OG0000040	Prag.g_01326	Praq.g_00110
OG0000041	Prag.g_00601	Praq.g_00979
OG0000042	Prag.g_01913	Praq.g_00718
OG0000043	Prag.g_01075	Praq.g_01657
OG0000043	Prag.g_01259	Praq.g_01475
OG0000045	Prag.g_00563	Praq.g_01018
OG0000046	Prag.g_00757	Praq.g_00635
OG0000047	Prag.g_01153	Praq.g_01333
OG0000049	Prag.g_01428	Praq.g_00218, Praq.g_00271
OG0000050	Prag.g_00159	Praq.g_01836
OG0000051	Prag.g_00354	Praq.g_01184
OG0000052	Prag.g_00396	Praq.g_01129
OG0000053	Prag.g_00692	Praq.g_00583
OG0000055	Prag.g_01861	Praq.g_00763
OG0000056	Prag.g_00031	Praq.g_01234
OG0000057	Prag.g_00150	Praq.g_01845, Praq.g_00554
OG0000058	Prag.g_00364	Praq.g_01173
OG0000059	Prag.g_00518	Praq.g_01063
OG0000060	Prag.g_00705	Praq.g_00596
OG0000061	Prag.g_00751	Praq.g_00629
OG0000062	Prag.g_00828	Praq.g_01420
OG0000063	Prag.g_01108	Praq.g_01289
OG0000065	Prag.g_00230	Praq.g_01765
OG0000066	Prag.g_00454	Praq.g_00526
OG0000067	Prag.g_00676	Praq.g_00827
OG0000068	Prag.g_00732	Praq.g_00612
OG0000069	Prag.g_01118	Praq.g_01298
OG0000070	Prag.g_01036	Praq.g_01619
OG0000071	Prag.g_01298	Praq.g_00084
OG0000072	Prag.g_01355	Praq.g_00133
OG0000073	Prag.g_01628	Praq.g_00154
OG0000074	Prag.g_01423	Praq.g_00208
OG0000075	Prag.g_01804	Praq.g_00879
OG0000076	Prag.g_01416	Praq.g_00202
OG0000077	Prag.g_00011	Praq.g_00437
OG0000078	Prag.g_00313	Praq.g_01680
OG0000079	Prag.g_00375	Praq.g_01160
OG0000080	Prag.g_00647	Praq.g_00798
OG0000081	Prag.g_00669	Praq.g_00820
OG0000082	Prag.g_00813	Praq.g_00677
OG0000083	Prag.g_00876	Praq.g_01469
OG0000084	Prag.g_00964	Praq.g_01548
OG0000085	Prag.g_01085	Praq.g_01667
OG0000086	Prag.g_01120	Praq.g_01300
OG0000088	Prag.g_01307	Praq.g_00089
OG0000089	Prag.g_01308	Praq.g_00091
OG0000090	Prag.g_01424	Praq.g_00216
OG0000091	Prag.g_01498	Praq.g_00302
OG0000092	Prag.g_01617	Praq.g_00052
OG0000093	Prag.g_01755	Praq.g_00927
OG0000094	Prag.g_01801	Praq.g_00882
OG0000095	Prag.g_01834	Praq.g_00737
OG0000096	Prag.g_01905	Praq.g_00710
OG0000097	Prag.g_01923	Praq.g_00392
OG0000098	Prag.g_00003	Praq.g_00429
OG0000099	Prag.g_00023	Praq.g_01226
OG0000100	Prag.g_00039	Praq.g_01254
OG0000101	Prag.g_00049	Praq.g_01265
OG0000102	Prag.g_00106	Praq.g_01890
OG0000103	Prag.g_00114	Praq.g_01882
OG0000104	Prag.g_00132	Praq.g_01864
OG0000105	Prag.g_00163	Praq.g_01832
OG0000106	Prag.g_00177	Praq.g_01818
OG0000107	Prag.g_00185	Praq.g_01810
OG0000108	Prag.g_00195	Praq.g_01800
OG0000109	Prag.g_00232	Praq.g_01763
OG0000110	Prag.g_00244	Praq.g_01751
OG0000111	Prag.g_00265	Praq.g_01729
OG0000112	Prag.g_00275	Praq.g_01718
OG0000113	Prag.g_00288	Praq.g_01705
OG0000114	Prag.g_00316	Praq.g_01677
OG0000115	Prag.g_00453	Praq.g_00525
OG0000116	Prag.g_00455	Praq.g_00527
OG0000117	Prag.g_00459	Praq.g_00531
OG0000118	Prag.g_00478	Praq.g_01103
OG0000119	Prag.g_00511	Praq.g_01070
OG0000120	Prag.g_00512	Praq.g_01069
OG0000121	Prag.g_00522	Praq.g_01059
OG0000122	Prag.g_00531	Praq.g_01050
OG0000123	Prag.g_00562	Praq.g_01019
OG0000124	Prag.g_00629	Praq.g_00780
OG0000125	Prag.g_00630	Praq.g_00781
OG0000126	Prag.g_00631	Praq.g_00782
OG0000127	Prag.g_00664	Praq.g_00815
OG0000128	Prag.g_00694	Praq.g_00585
OG0000129	Prag.g_00714	Praq.g_00605
OG0000130	Prag.g_00791	Praq.g_00654
OG0000131	Prag.g_00804	Praq.g_00668
OG0000132	Prag.g_00838	Praq.g_01431
OG0000133	Prag.g_00922	Praq.g_01506
OG0000134	Prag.g_00932	Praq.g_01516
OG0000135	Prag.g_00968	Praq.g_01552
OG0000136	Prag.g_01033	Praq.g_01616
OG0000137	Prag.g_01123	Praq.g_01303
OG0000138	Prag.g_01148	Praq.g_01328
OG0000139	Prag.g_01159	Praq.g_01339
OG0000140	Prag.g_01210	Praq.g_01390
OG0000141	Prag.g_01219	Praq.g_00257
OG0000142	Prag.g_01367	Praq.g_00145
OG0000143	Prag.g_01389	Praq.g_00175
OG0000144	Prag.g_01475	Praq.g_00281
OG0000145	Prag.g_01491	Praq.g_00295
OG0000146	Prag.g_01527	Praq.g_00331
OG0000147	Prag.g_01567	Praq.g_00371
OG0000148	Prag.g_01568	Praq.g_00372
OG0000149	Prag.g_01667	Praq.g_01954, Praq.g_00499
OG0000150	Prag.g_01705	Praq.g_00461
OG0000151	Prag.g_01708	Praq.g_00458
OG0000152	Prag.g_01728	Praq.g_00956
OG0000153	Prag.g_01763	Praq.g_00920
OG0000154	Prag.g_01799	Praq.g_00884
OG0000155	Prag.g_01817	Praq.g_00867
OG0000156	Prag.g_01845	Praq.g_00748
OG0000157	Prag.g_01878	Praq.g_00683
OG0000158	Prag.g_01940	Praq.g_00409
OG0000160	Prag.g_00001	Praq.g_00427
OG0000161	Prag.g_00002	Praq.g_00428
OG0000162	Prag.g_00004	Praq.g_00430
OG0000163	Prag.g_00005	Praq.g_00431
OG0000164	Prag.g_00006	Praq.g_00432
OG0000165	Prag.g_00007	Praq.g_00433
OG0000166	Prag.g_00008	Praq.g_00434
OG0000167	Prag.g_00009	Praq.g_00435
OG0000168	Prag.g_00010	Praq.g_00436
OG0000169	Prag.g_00012	Praq.g_00438
OG0000170	Prag.g_00014	Praq.g_01217
OG0000171	Prag.g_00015	Praq.g_01218
OG0000172	Prag.g_00016	Praq.g_01219
OG0000173	Prag.g_00017	Praq.g_01220
OG0000174	Prag.g_00018	Praq.g_01221
OG0000175	Prag.g_00019	Praq.g_01222
OG0000176	Prag.g_00020	Praq.g_01223
OG0000177	Prag.g_00021	Praq.g_01224
OG0000178	Prag.g_00022	Praq.g_01225
OG0000179	Prag.g_00024	Praq.g_01227
OG0000180	Prag.g_00025	Praq.g_01228
OG0000181	Prag.g_00026	Praq.g_01229
OG0000182	Prag.g_00027	Praq.g_01230
OG0000183	Prag.g_00028	Praq.g_01231
OG0000184	Prag.g_00029	Praq.g_01232
OG0000185	Prag.g_00032	Praq.g_01235
OG0000186	Prag.g_00035	Praq.g_01239
OG0000187	Prag.g_00036	Praq.g_01240
OG0000188	Prag.g_00037	Praq.g_01241
OG0000189	Prag.g_00040	Praq.g_01255
OG0000190	Prag.g_00042	Praq.g_01257
OG0000191	Prag.g_00043	Praq.g_01258
OG0000192	Prag.g_00044	Praq.g_01259
OG0000193	Prag.g_00045	Praq.g_01261
OG0000194	Prag.g_00046	Praq.g_01262
OG0000195	Prag.g_00047	Praq.g_01263
OG0000196	Prag.g_00048	Praq.g_01264
OG0000197	Prag.g_00050	Praq.g_01266
OG0000198	Prag.g_00051	Praq.g_01267
OG0000199	Prag.g_00052	Praq.g_01268
OG0000200	Prag.g_00058	Praq.g_01939
OG0000201	Prag.g_00059	Praq.g_01938
OG0000202	Prag.g_00060	Praq.g_01937
OG0000203	Prag.g_00063	Praq.g_01934
OG0000204	Prag.g_00064	Praq.g_01933
OG0000205	Prag.g_00067	Praq.g_01930
OG0000206	Prag.g_00069	Praq.g_01928
OG0000207	Prag.g_00071	Praq.g_01926
OG0000208	Prag.g_00072	Praq.g_01925
OG0000209	Prag.g_00073	Praq.g_01924
OG0000210	Prag.g_00074	Praq.g_01923
OG0000211	Prag.g_00075	Praq.g_01922
OG0000212	Prag.g_00076	Praq.g_01921
OG0000213	Prag.g_00077	Praq.g_01920
OG0000214	Prag.g_00078	Praq.g_01919
OG0000215	Prag.g_00079	Praq.g_01918
OG0000216	Prag.g_00080	Praq.g_01917
OG0000217	Prag.g_00082	Praq.g_01915
OG0000218	Prag.g_00083	Praq.g_01914
OG0000219	Prag.g_00084	Praq.g_01913
OG0000220	Prag.g_00085	Praq.g_01912
OG0000221	Prag.g_00087	Praq.g_01909
OG0000222	Prag.g_00088	Praq.g_01908
OG0000223	Prag.g_00089	Praq.g_01907
OG0000224	Prag.g_00090	Praq.g_01906
OG0000225	Prag.g_00091	Praq.g_01905
OG0000226	Prag.g_00092	Praq.g_01904
OG0000227	Prag.g_00093	Praq.g_01903
OG0000228	Prag.g_00094	Praq.g_01902
OG0000229	Prag.g_00095	Praq.g_01901
OG0000230	Prag.g_00096	Praq.g_01900
OG0000231	Prag.g_00097	Praq.g_01899
OG0000232	Prag.g_00099	Praq.g_01897
OG0000233	Prag.g_00100	Praq.g_01896
OG0000234	Prag.g_00101	Praq.g_01895
OG0000235	Prag.g_00102	Praq.g_01894
OG0000236	Prag.g_00103	Praq.g_01893
OG0000237	Prag.g_00104	Praq.g_01892
OG0000238	Prag.g_00105	Praq.g_01891
OG0000239	Prag.g_00107	Praq.g_01889
OG0000240	Prag.g_00108	Praq.g_01888
OG0000241	Prag.g_00109	Praq.g_01887
OG0000242	Prag.g_00110	Praq.g_01886
OG0000243	Prag.g_00113	Praq.g_01883
OG0000244	Prag.g_00115	Praq.g_01881
OG0000245	Prag.g_00116	Praq.g_01880
OG0000246	Prag.g_00117	Praq.g_01879
OG0000247	Prag.g_00120	Praq.g_01876
OG0000248	Prag.g_00122	Praq.g_01874
OG0000249	Prag.g_00123	Praq.g_01873
OG0000250	Prag.g_00124	Praq.g_01872
OG0000251	Prag.g_00125	Praq.g_01871
OG0000252	Prag.g_00126	Praq.g_01870
OG0000253	Prag.g_00127	Praq.g_01869
OG0000254	Prag.g_00129	Praq.g_01867
OG0000255	Prag.g_00130	Praq.g_01866
OG0000256	Prag.g_00133	Praq.g_01863
OG0000257	Prag.g_00135	Praq.g_01861
OG0000258	Prag.g_00138	Praq.g_01857
OG0000259	Prag.g_00139	Praq.g_01856
OG0000260	Prag.g_00140	Praq.g_01855
OG0000261	Prag.g_00141	Praq.g_01854
OG0000262	Prag.g_00142	Praq.g_01853
OG0000263	Prag.g_00144	Praq.g_01851
OG0000264	Prag.g_00145	Praq.g_01850
OG0000265	Prag.g_00146	Praq.g_01849
OG0000266	Prag.g_00147	Praq.g_01848
OG0000267	Prag.g_00148	Praq.g_01847
OG0000268	Prag.g_00149	Praq.g_01846
OG0000269	Prag.g_00151	Praq.g_01844
OG0000270	Prag.g_00152	Praq.g_01843
OG0000271	Prag.g_00153	Praq.g_01842
OG0000272	Prag.g_00154	Praq.g_01841
OG0000273	Prag.g_00155	Praq.g_01840
OG0000274	Prag.g_00156	Praq.g_01839
OG0000275	Prag.g_00157	Praq.g_01838
OG0000276	Prag.g_00158	Praq.g_01837
OG0000277	Prag.g_00160	Praq.g_01835
OG0000278	Prag.g_00161	Praq.g_01834
OG0000279	Prag.g_00162	Praq.g_01833
OG0000280	Prag.g_00164	Praq.g_01831
OG0000281	Prag.g_00166	Praq.g_01829
OG0000282	Prag.g_00167	Praq.g_01828
OG0000283	Prag.g_00168	Praq.g_01827
OG0000284	Prag.g_00169	Praq.g_01826
OG0000285	Prag.g_00170	Praq.g_01825
OG0000286	Prag.g_00171	Praq.g_01824
