Orthogroup	Prag	Prao
OG0000000	Prag.g_01608	Prao.g_01515
OG0000000	Prag.g_01650, Prag.g_01607, Prag.g_01213	Prao.g_01029
OG0000000	Prag.g_01626	Prao.g_01528, Prao.g_01297
OG0000001	Prag.g_01382	Prao.g_01246
OG0000001	Prag.g_00656	Prao.g_00116
OG0000002	Prag.g_01651	Prao.g_01529
OG0000002	Prag.g_00764, Prag.g_01215, Prag.g_01216	Prao.g_01852
OG0000002	Prag.g_01374	Prao.g_01254
OG0000003	Prag.g_01296	Prao.g_01345
OG0000003	Prag.g_00038	Prao.g_00015
OG0000004	Prag.g_01333	Prao.g_01296
OG0000004	Prag.g_01610	Prao.g_01518
OG0000005	Prag.g_00726	Prao.g_00673
OG0000005	Prag.g_00734	Prao.g_00679
OG0000005	Prag.g_01332	Prao.g_01301
OG0000006	Prag.g_01319	Prao.g_01316
OG0000006	Prag.g_00749	Prao.g_00691
OG0000006	Prag.g_01103	Prao.g_01142
OG0000007	Prag.g_01300	Prao.g_01333
OG0000007	Prag.g_00376	Prao.g_00517
OG0000008	Prag.g_00476	Prao.g_00603
OG0000008	Prag.g_01669	Prao.g_01552
OG0000010	Prag.g_00786	Prao.g_00720
OG0000010	Prag.g_00242	Prao.g_00387
OG0000011	Prag.g_00748	Prao.g_00690
OG0000012	Prag.g_00368	Prao.g_00509
OG0000013	Prag.g_01600	Prao.g_01507
OG0000015	Prag.g_00321	Prao.g_00466
OG0000017	Prag.g_01336	Prao.g_01293
OG0000017	Prag.g_00449	Prao.g_00576
OG0000018	Prag.g_00576	Prao.g_00036
OG0000019	Prag.g_00374	Prao.g_00515
OG0000020	Prag.g_01385	Prao.g_01243
OG0000021	Prag.g_01510	Prao.g_01417
OG0000022	Prag.g_01231, Prag.g_00234	Prao.g_00379
OG0000023	Prag.g_01633	Prao.g_01346
OG0000023	Prag.g_00359	Prao.g_00500
OG0000024	Prag.g_01325	Prao.g_01308
OG0000025	Prag.g_00740	Prao.g_00683
OG0000026	Prag.g_01335, Prag.g_00719	Prao.g_01294
OG0000027	Prag.g_00650	Prao.g_00111
OG0000028	Prag.g_01312	Prao.g_01323
OG0000029	Prag.g_00787	Prao.g_00721
OG0000030	Prag.g_00788	Prao.g_00722
OG0000031	Prag.g_01868	Prao.g_01750
