Orthogroup	Prag	Pral
OG0000000	Prag.g_00721, Prag.g_01608, Prag.g_01230, Prag.g_01348	Pral.g_00037
OG0000000	Prag.g_00722, Prag.g_01650, Prag.g_01607, Prag.g_01213	Pral.g_01333, Pral.g_00038
OG0000001	Prag.g_01382	Pral.g_01549, Pral.g_01554
OG0000001	Prag.g_00656	Pral.g_01764, Pral.g_01052, Pral.g_01340, Pral.g_00430, Pral.g_01342, Pral.g_01337
OG0000002	Prag.g_01651, Prag.g_00764, Prag.g_01215, Prag.g_01216	Pral.g_01296, Pral.g_01671
OG0000002	Prag.g_01374	Pral.g_01236
OG0000003	Prag.g_00038	Pral.g_01006
OG0000004	Prag.g_01333, Prag.g_01610, Prag.g_01649	Pral.g_00040, Pral.g_01332
OG0000005	Prag.g_00734	Pral.g_01898
OG0000006	Prag.g_01319, Prag.g_01636, Prag.g_00749, Prag.g_01103	Pral.g_00444
OG0000008	Prag.g_00476	Pral.g_00593
OG0000008	Prag.g_01669	Pral.g_00107
OG0000010	Prag.g_00786	Pral.g_01344
OG0000010	Prag.g_00242	Pral.g_00790
OG0000011	Prag.g_00748	Pral.g_01890
OG0000013	Prag.g_01600, Prag.g_00098	Pral.g_01065, Pral.g_01163
OG0000016	Prag.g_00765	Pral.g_01813
OG0000017	Prag.g_01646, Prag.g_01336, Prag.g_00449	Pral.g_00039, Pral.g_01036
OG0000018	Prag.g_00576	Pral.g_00491, Pral.g_00484
OG0000019	Prag.g_00374	Pral.g_00062, Pral.g_01887
OG0000020	Prag.g_01385	Pral.g_01861, Pral.g_01063
OG0000022	Prag.g_01231, Prag.g_00234	Pral.g_00797
OG0000023	Prag.g_01633, Prag.g_00359	Pral.g_01738
OG0000024	Prag.g_01325	Pral.g_00046
OG0000025	Prag.g_00740	Pral.g_01895
OG0000026	Prag.g_01647, Prag.g_01335, Prag.g_00719	Pral.g_01331
OG0000027	Prag.g_01656	Pral.g_00021
OG0000028	Prag.g_01655	Pral.g_00020
OG0000029	Prag.g_00787	Pral.g_01670, Pral.g_00082
OG0000030	Prag.g_00788	Pral.g_00090
OG0000031	Prag.g_01868	Pral.g_00313
OG0000034	Prag.g_01488	Pral.g_01165
OG0000034	Prag.g_01490	Pral.g_01161
OG0000035	Prag.g_01601	Pral.g_01164, Pral.g_01114
OG0000036	Prag.g_01100	Pral.g_01038
OG0000037	Prag.g_01645	Pral.g_00095
OG0000038	Prag.g_01446	Pral.g_01193
OG0000041	Prag.g_00601	Pral.g_00015
OG0000043	Prag.g_01075, Prag.g_01259	Pral.g_01853
OG0000045	Prag.g_00563	Pral.g_00057
OG0000046	Prag.g_00757	Pral.g_00044
OG0000047	Prag.g_01153	Pral.g_01367
OG0000049	Prag.g_01428	Pral.g_01202
OG0000050	Prag.g_00159	Pral.g_00878
