Orthogroup	Prag	Prak
OG0000000	Prag.g_00721, Prag.g_01608, Prag.g_01230, Prag.g_01348	Prak.g_01562
OG0000000	Prag.g_00722, Prag.g_01650, Prag.g_01607, Prag.g_01213	Prak.g_01578, Prak.g_01563, Prak.g_01209
OG0000001	Prag.g_01382	Prak.g_00908, Prak.g_00913
OG0000001	Prag.g_00656	Prak.g_00805, Prak.g_01494, Prak.g_01202, Prak.g_01323, Prak.g_01200, Prak.g_01207
OG0000002	Prag.g_01651, Prag.g_00764, Prag.g_01215, Prag.g_01216	Prak.g_00755
OG0000002	Prag.g_01374	Prak.g_01302
OG0000004	Prag.g_01333, Prag.g_01610, Prag.g_01649	Prak.g_01210
OG0000005	Prag.g_00734	Prak.g_01251
OG0000006	Prag.g_01319, Prag.g_01636, Prag.g_00749, Prag.g_01103	Prak.g_00702
OG0000008	Prag.g_00476	Prak.g_00458
OG0000008	Prag.g_01669	Prak.g_01645
OG0000010	Prag.g_00786	Prak.g_01196
OG0000010	Prag.g_00242	Prak.g_00266
OG0000011	Prag.g_00748	Prak.g_01576, Prak.g_01534
OG0000012	Prag.g_01088	Prak.g_00289
OG0000013	Prag.g_01600, Prag.g_00098	Prak.g_01486
OG0000016	Prag.g_00765	Prak.g_01584, Prak.g_01630
OG0000017	Prag.g_01646, Prag.g_01336, Prag.g_00449	Prak.g_01564, Prak.g_01521
OG0000018	Prag.g_00576	Prak.g_00559, Prak.g_00566
OG0000019	Prag.g_00374	Prak.g_01606, Prak.g_01573
OG0000020	Prag.g_01385	Prak.g_01226, Prak.g_01488
OG0000022	Prag.g_01231, Prag.g_00234	Prak.g_00258
OG0000023	Prag.g_01633, Prag.g_00359	Prak.g_00831
OG0000024	Prag.g_01325	Prak.g_01522, Prak.g_01218
OG0000025	Prag.g_00740	Prak.g_01038, Prak.g_00802
OG0000027	Prag.g_01656	Prak.g_01546
OG0000028	Prag.g_01655	Prak.g_01544
OG0000029	Prag.g_00787	Prak.g_01221, Prak.g_01619
OG0000030	Prag.g_00788	Prak.g_01627
OG0000031	Prag.g_01868	Prak.g_01850
OG0000034	Prag.g_01488, Prag.g_01490	Prak.g_01391
OG0000035	Prag.g_01601	Prak.g_00416
OG0000036	Prag.g_01100	Prak.g_01498
OG0000038	Prag.g_01446	Prak.g_01350
OG0000039	Prag.g_01638	Prak.g_01230, Prak.g_00013
OG0000041	Prag.g_00601	Prak.g_00584, Prak.g_01506
OG0000043	Prag.g_01259	Prak.g_00709
OG0000045	Prag.g_00563	Prak.g_01634, Prak.g_00546
OG0000046	Prag.g_00757	Prak.g_01482
OG0000047	Prag.g_01153	Prak.g_01172
OG0000049	Prag.g_01428	Prak.g_01351
OG0000050	Prag.g_00159	Prak.g_00178
OG0000051	Prag.g_00354	Prak.g_00721
OG0000053	Prag.g_00692	Prak.g_00837
OG0000054	Prag.g_01662	Prak.g_01516, Prak.g_01637
OG0000055	Prag.g_01861	Prak.g_01842
OG0000056	Prag.g_00031	Prak.g_00032
OG0000057	Prag.g_00150	Prak.g_00169
OG0000058	Prag.g_00364	Prak.g_00687
OG0000059	Prag.g_00518	Prak.g_00498, Prak.g_01557
OG0000062	Prag.g_00828	Prak.g_00868
OG0000065	Prag.g_00230	Prak.g_00253
OG0000066	Prag.g_00454	Prak.g_00436
OG0000067	Prag.g_00676	Prak.g_00829
OG0000070	Prag.g_01036	Prak.g_00920
OG0000071	Prag.g_01298	Prak.g_01145
OG0000072	Prag.g_01355	Prak.g_01277
OG0000073	Prag.g_01628	Prak.g_01519
OG0000074	Prag.g_01423	Prak.g_01349
OG0000075	Prag.g_01804	Prak.g_01780
OG0000077	Prag.g_00011	Prak.g_00011
OG0000078	Prag.g_00313	Prak.g_00339
OG0000079	Prag.g_00375	Prak.g_01259
OG0000080	Prag.g_00647	Prak.g_01072
OG0000081	Prag.g_00669	Prak.g_00819
OG0000082	Prag.g_00813	Prak.g_00852
OG0000083	Prag.g_00876	Prak.g_01193
OG0000084	Prag.g_00964	Prak.g_00973
OG0000085	Prag.g_01085	Prak.g_01217
OG0000086	Prag.g_01120	Prak.g_01550
OG0000090	Prag.g_01424	Prak.g_01352
OG0000091	Prag.g_01498	Prak.g_01399
OG0000092	Prag.g_01617	Prak.g_00661
OG0000093	Prag.g_01755	Prak.g_01732
OG0000094	Prag.g_01801	Prak.g_01776
OG0000095	Prag.g_01834	Prak.g_01814
OG0000096	Prag.g_01905	Prak.g_01887
OG0000098	Prag.g_00003	Prak.g_00003
OG0000099	Prag.g_00023	Prak.g_00023
OG0000101	Prag.g_00049	Prak.g_00052
OG0000102	Prag.g_00106	Prak.g_00121
OG0000103	Prag.g_00114	Prak.g_00130
OG0000104	Prag.g_00132	Prak.g_00147
OG0000105	Prag.g_00163	Prak.g_00182
OG0000106	Prag.g_00177	Prak.g_00196
OG0000107	Prag.g_00185	Prak.g_00205
OG0000108	Prag.g_00195	Prak.g_00215
OG0000109	Prag.g_00232	Prak.g_00256
OG0000110	Prag.g_00244	Prak.g_00268
OG0000111	Prag.g_00265	Prak.g_00292
OG0000112	Prag.g_00275	Prak.g_00303
OG0000113	Prag.g_00288	Prak.g_00316
OG0000114	Prag.g_00316	Prak.g_00342
OG0000115	Prag.g_00453	Prak.g_00435
OG0000116	Prag.g_00455	Prak.g_00437
OG0000117	Prag.g_00459	Prak.g_00441
OG0000118	Prag.g_00478	Prak.g_00461
OG0000119	Prag.g_00511	Prak.g_00491
OG0000120	Prag.g_00512	Prak.g_00492
OG0000121	Prag.g_00522	Prak.g_00502
OG0000122	Prag.g_00531	Prak.g_00512
OG0000123	Prag.g_00562	Prak.g_00544
OG0000124	Prag.g_00629	Prak.g_01091
OG0000125	Prag.g_00630	Prak.g_01090
OG0000126	Prag.g_00631	Prak.g_01089
OG0000127	Prag.g_00664	Prak.g_00814
OG0000128	Prag.g_00694	Prak.g_00839
OG0000129	Prag.g_00714	Prak.g_01040
OG0000130	Prag.g_00791	Prak.g_00937
OG0000131	Prag.g_00804	Prak.g_00843
OG0000132	Prag.g_00838	Prak.g_00880
OG0000133	Prag.g_00922	Prak.g_00787
OG0000134	Prag.g_00932	Prak.g_01071
OG0000135	Prag.g_00968	Prak.g_00977
OG0000136	Prag.g_01033	Prak.g_00923
OG0000137	Prag.g_01123	Prak.g_01553
OG0000139	Prag.g_01159	Prak.g_01166
OG0000140	Prag.g_01210	Prak.g_00594
OG0000141	Prag.g_01219	Prak.g_01487
OG0000142	Prag.g_01367	Prak.g_01290
OG0000143	Prag.g_01389	Prak.g_01329
OG0000144	Prag.g_01475	Prak.g_01379
OG0000145	Prag.g_01491	Prak.g_01392
OG0000146	Prag.g_01527	Prak.g_01428
OG0000147	Prag.g_01567	Prak.g_01475
OG0000148	Prag.g_01568	Prak.g_01476
OG0000149	Prag.g_01667	Prak.g_01642
OG0000150	Prag.g_01705	Prak.g_01681
OG0000151	Prag.g_01708	Prak.g_01684
OG0000152	Prag.g_01728	Prak.g_01704
OG0000153	Prag.g_01763	Prak.g_01738
OG0000154	Prag.g_01799	Prak.g_01774
OG0000155	Prag.g_01817	Prak.g_01793
OG0000156	Prag.g_01845	Prak.g_01826
OG0000157	Prag.g_01878	Prak.g_01860
OG0000158	Prag.g_01940	Prak.g_01926
OG0000160	Prag.g_00001	Prak.g_00001
OG0000161	Prag.g_00002	Prak.g_00002
OG0000162	Prag.g_00004	Prak.g_00004
OG0000163	Prag.g_00005	Prak.g_00005
OG0000164	Prag.g_00006	Prak.g_00006
OG0000165	Prag.g_00007	Prak.g_00007
OG0000166	Prag.g_00008	Prak.g_00008
OG0000167	Prag.g_00009	Prak.g_00009
OG0000168	Prag.g_00010	Prak.g_00010
OG0000169	Prag.g_00012	Prak.g_00012
OG0000170	Prag.g_00014	Prak.g_00014
OG0000171	Prag.g_00015	Prak.g_00015
