Orthogroup	Prag	Prbl
OG0000000	Prag.g_00721, Prag.g_01608, Prag.g_01230, Prag.g_01348	Prbl.g_00116
OG0000000	Prag.g_00722, Prag.g_01650, Prag.g_01607, Prag.g_01213, Prag.g_01626	Prbl.g_00118
OG0000001	Prag.g_01382	Prbl.g_01582
OG0000001	Prag.g_00656	Prbl.g_01092
OG0000002	Prag.g_01651, Prag.g_00764, Prag.g_01215, Prag.g_01216	Prbl.g_02599
OG0000002	Prag.g_01374	Prbl.g_00121, Prbl.g_00725, Prbl.g_00808, Prbl.g_02598, Prbl.g_02578
OG0000004	Prag.g_01333, Prag.g_01610, Prag.g_01649	Prbl.g_00117
OG0000005	Prag.g_00734	Prbl.g_01685, Prbl.g_00679
OG0000008	Prag.g_00476	Prbl.g_00531
OG0000008	Prag.g_01669	Prbl.g_00394
OG0000010	Prag.g_00786, Prag.g_00242	Prbl.g_01509
OG0000011	Prag.g_00748	Prbl.g_01163
OG0000013	Prag.g_01600, Prag.g_00098	Prbl.g_00155, Prbl.g_00554
OG0000015	Prag.g_00321	Prbl.g_00719
OG0000016	Prag.g_00765	Prbl.g_01566
OG0000018	Prag.g_00576	Prbl.g_01763, Prbl.g_01755
OG0000020	Prag.g_01385	Prbl.g_00007, Prbl.g_00046
OG0000022	Prag.g_01231, Prag.g_00234	Prbl.g_02601
OG0000023	Prag.g_01633, Prag.g_00359	Prbl.g_01768
OG0000024	Prag.g_01325	Prbl.g_02617
OG0000025	Prag.g_00740	Prbl.g_00040
OG0000027	Prag.g_00650, Prag.g_01656	Prbl.g_01854
OG0000028	Prag.g_01655	Prbl.g_01855
OG0000031	Prag.g_01868	Prbl.g_01236, Prbl.g_01121, Prbl.g_02184
OG0000032	Prag.g_00033	Prbl.g_01981
OG0000034	Prag.g_01488, Prag.g_01490	Prbl.g_00242
OG0000037	Prag.g_01329, Prag.g_01645	Prbl.g_01677
OG0000040	Prag.g_01326	Prbl.g_01822
OG0000041	Prag.g_00601	Prbl.g_01618
OG0000045	Prag.g_00563	Prbl.g_01783
OG0000046	Prag.g_00757	Prbl.g_01072, Prbl.g_01310
OG0000047	Prag.g_01153	Prbl.g_02084
OG0000049	Prag.g_01428	Prbl.g_00890
OG0000050	Prag.g_00159	Prbl.g_01838, Prbl.g_00281
OG0000051	Prag.g_00354	Prbl.g_02355
OG0000053	Prag.g_00692	Prbl.g_01839, Prbl.g_02567
OG0000054	Prag.g_01662	Prbl.g_00405
OG0000055	Prag.g_01861	Prbl.g_01285
OG0000056	Prag.g_00031	Prbl.g_01977
