Orthogroup	Prbc	Syam
OG0000001	Prbc.g_00588, Prbc.g_00892, Prbc.g_01530, Prbc.g_00925	Syam.g_00946
OG0000002	Prbc.g_01920, Prbc.g_01475, Prbc.g_01474, Prbc.g_01479, Prbc.g_01473, Prbc.g_01478, Prbc.g_01759	Syam.g_00931
OG0000004	Prbc.g_01381	Syam.g_00787
OG0000004	Prbc.g_00339	Syam.g_01499, Syam.g_00501
OG0000005	Prbc.g_00098	Syam.g_02004
OG0000005	Prbc.g_00788	Syam.g_01970
OG0000006	Prbc.g_02202	Syam.g_00286, Syam.g_00518
OG0000007	Prbc.g_01556	Syam.g_00602
OG0000007	Prbc.g_00832	Syam.g_01990
OG0000008	Prbc.g_00893	Syam.g_00810
OG0000008	Prbc.g_00894	Syam.g_00811
OG0000010	Prbc.g_02115, Prbc.g_01533	Syam.g_01669
OG0000013	Prbc.g_01219	Syam.g_00421, Syam.g_00404, Syam.g_00409
OG0000014	Prbc.g_01198	Syam.g_00191
OG0000015	Prbc.g_00599	Syam.g_01218, Syam.g_01362
OG0000016	Prbc.g_01083	Syam.g_00014
OG0000016	Prbc.g_00929	Syam.g_00876, Syam.g_01011
OG0000017	Prbc.g_01681	Syam.g_01715
OG0000018	Prbc.g_01468, Prbc.g_01887	Syam.g_01640
OG0000019	Prbc.g_01836	Syam.g_00274
OG0000021	Prbc.g_02189	Syam.g_00523
OG0000022	Prbc.g_00166, Prbc.g_01288	Syam.g_01418
OG0000023	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075, Syam.g_01943
OG0000024	Prbc.g_00598, Prbc.g_01755	Syam.g_00815
OG0000025	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894	Syam.g_00740
OG0000026	Prbc.g_01101	Syam.g_00035
OG0000027	Prbc.g_00072	Syam.g_01442, Syam.g_00989
OG0000028	Prbc.g_00653	Syam.g_00176
OG0000030	Prbc.g_00199	Syam.g_00104, Syam.g_00103
OG0000031	Prbc.g_01228	Syam.g_00086
