Orthogroup	Prbc	Syar
OG0000001	Prbc.g_00588, Prbc.g_00892, Prbc.g_01530, Prbc.g_00925	Syar.g_00069
OG0000004	Prbc.g_01381	Syar.g_02051
OG0000004	Prbc.g_00339	Syar.g_02225, Syar.g_00842
OG0000005	Prbc.g_00098	Syar.g_02952
OG0000005	Prbc.g_00788	Syar.g_02909
OG0000006	Prbc.g_02202	Syar.g_00151, Syar.g_02056, Syar.g_03013
OG0000007	Prbc.g_01556	Syar.g_01491
OG0000007	Prbc.g_00832	Syar.g_02929
OG0000008	Prbc.g_00893	Syar.g_02097
OG0000008	Prbc.g_00894	Syar.g_02098
OG0000010	Prbc.g_02115, Prbc.g_01533	Syar.g_01272
OG0000013	Prbc.g_01219	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167
OG0000014	Prbc.g_01198	Syar.g_00825
OG0000014	Prbc.g_00680	Syar.g_02736
OG0000016	Prbc.g_01083, Prbc.g_00929	Syar.g_02859
OG0000017	Prbc.g_01681	Syar.g_02188
OG0000018	Prbc.g_01468, Prbc.g_01887	Syar.g_01409
OG0000019	Prbc.g_01836	Syar.g_00163
OG0000022	Prbc.g_00166, Prbc.g_01288	Syar.g_00835
OG0000025	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894	Syar.g_01811
OG0000026	Prbc.g_01101	Syar.g_00505
OG0000027	Prbc.g_00072	Syar.g_02055
OG0000028	Prbc.g_00653	Syar.g_00718
OG0000032	Prbc.g_00746	Syar.g_01390
OG0000033	Prbc.g_00402	Syar.g_00105
OG0000034	Prbc.g_00575	Syar.g_00074, Syar.g_02790
OG0000035	Prbc.g_00709	Syar.g_02809
OG0000037	Prbc.g_00464	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856
OG0000038	Prbc.g_00995	Syar.g_00334, Syar.g_00336
OG0000039	Prbc.g_01768	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044
OG0000042	Prbc.g_00203	Syar.g_00595, Syar.g_01970
OG0000044	Prbc.g_00533	Syar.g_02052, Syar.g_02167, Syar.g_01631
OG0000045	Prbc.g_02137	Syar.g_02592
OG0000046	Prbc.g_01220	Syar.g_01102, Syar.g_01105, Syar.g_03233
OG0000048	Prbc.g_01165	Syar.g_00213
OG0000051	Prbc.g_00088, Prbc.g_00095	Syar.g_01597
OG0000052	Prbc.g_00518, Prbc.g_00517	Syar.g_00281
OG0000053	Prbc.g_00728	Syar.g_01413
OG0000055	Prbc.g_01822, Prbc.g_00907	Syar.g_01386
OG0000056	Prbc.g_01108, Prbc.g_00011, Prbc.g_00532	Syar.g_01662
OG0000057	Prbc.g_01780, Prbc.g_00055	Syar.g_00006
OG0000061	Prbc.g_01446	Syar.g_01539
OG0000062	Prbc.g_00790	Syar.g_01439
OG0000063	Prbc.g_00932	Syar.g_00509
OG0000065	Prbc.g_00466	Syar.g_03119
OG0000066	Prbc.g_01618	Syar.g_02228
OG0000067	Prbc.g_01858	Syar.g_02639
OG0000068	Prbc.g_00657	Syar.g_02329, Syar.g_01461
OG0000069	Prbc.g_02181, Prbc.g_00752	Syar.g_01716
OG0000070	Prbc.g_01511	Syar.g_02223
OG0000071	Prbc.g_00566	Syar.g_02777
OG0000072	Prbc.g_00400	Syar.g_00107, Syar.g_01140
OG0000073	Prbc.g_01579	Syar.g_01493
OG0000075	Prbc.g_00236	Syar.g_03065, Syar.g_00659
OG0000076	Prbc.g_00211	Syar.g_00608
OG0000077	Prbc.g_00495	Syar.g_03051
OG0000078	Prbc.g_00330	Syar.g_01366
OG0000079	Prbc.g_01148	Syar.g_00166
OG0000081	Prbc.g_01610	Syar.g_01898
OG0000082	Prbc.g_00891	Syar.g_02202
OG0000085	Prbc.g_00826	Syar.g_02919
OG0000086	Prbc.g_00485	Syar.g_03085
OG0000087	Prbc.g_00432	Syar.g_03192, Syar.g_00068
OG0000088	Prbc.g_00405	Syar.g_00101
OG0000089	Prbc.g_01268	Syar.g_01162
OG0000090	Prbc.g_01612	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356
