Orthogroup	Prbc	Prah
OG0000000	Prbc.g_02165	Prah.g_01348
OG0000001	Prbc.g_00588, Prbc.g_00892, Prbc.g_01530, Prbc.g_00925	Prah.g_00324, Prah.g_01343
OG0000002	Prbc.g_01920	Prah.g_00562
OG0000002	Prbc.g_01475, Prbc.g_01474, Prbc.g_01479, Prbc.g_01473, Prbc.g_01478, Prbc.g_01759	Prah.g_01226
OG0000004	Prbc.g_01381	Prah.g_01022
OG0000004	Prbc.g_00339	Prah.g_01413
OG0000005	Prbc.g_00788	Prah.g_01652
OG0000006	Prbc.g_02202	Prah.g_00475, Prah.g_01767
OG0000007	Prbc.g_01556	Prah.g_01546
OG0000007	Prbc.g_00832	Prah.g_01676
OG0000008	Prbc.g_00893	Prah.g_00970
OG0000008	Prbc.g_00894	Prah.g_00969
OG0000010	Prbc.g_02115, Prbc.g_01533	Prah.g_00311
OG0000011	Prbc.g_00164	Prah.g_01084
OG0000013	Prbc.g_01219	Prah.g_01956
OG0000014	Prbc.g_01198	Prah.g_02171
OG0000014	Prbc.g_00680	Prah.g_00101
OG0000015	Prbc.g_00599	Prah.g_01155, Prah.g_00576
OG0000016	Prbc.g_01083	Prah.g_00015
OG0000016	Prbc.g_00929	Prah.g_01270
OG0000017	Prbc.g_01681	Prah.g_01405
OG0000018	Prbc.g_01468, Prbc.g_01887	Prah.g_00378
OG0000020	Prbc.g_00116	Prah.g_01100
OG0000021	Prbc.g_00924	Prah.g_01108, Prah.g_01112, Prah.g_01117
OG0000021	Prbc.g_02189	Prah.g_01410
OG0000022	Prbc.g_00166	Prah.g_00170
OG0000022	Prbc.g_01288	Prah.g_01209
OG0000023	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071	Prah.g_00688
OG0000024	Prbc.g_00598, Prbc.g_01755	Prah.g_01043
OG0000025	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894	Prah.g_00604
OG0000026	Prbc.g_01101	Prah.g_00038
OG0000030	Prbc.g_00199	Prah.g_00132, Prah.g_00131
OG0000031	Prbc.g_01228	Prah.g_02248, Prah.g_00091
OG0000032	Prbc.g_00746	Prah.g_00358
OG0000033	Prbc.g_00402	Prah.g_02307
OG0000034	Prbc.g_00575	Prah.g_01376
OG0000035	Prbc.g_00709	Prah.g_00408
OG0000037	Prbc.g_00464	Prah.g_01901
OG0000038	Prbc.g_00995	Prah.g_02494, Prah.g_02496
OG0000039	Prbc.g_01768	Prah.g_01758, Prah.g_02382
OG0000041	Prbc.g_00877	Prah.g_01737
OG0000042	Prbc.g_00203	Prah.g_00135, Prah.g_01256
OG0000043	Prbc.g_00135	Prah.g_01190
OG0000045	Prbc.g_02137	Prah.g_01837
OG0000046	Prbc.g_01220	Prah.g_01955
OG0000047	Prbc.g_01273	Prah.g_00321, Prah.g_00322
OG0000047	Prbc.g_01227	Prah.g_00353
OG0000048	Prbc.g_01165	Prah.g_02122
OG0000051	Prbc.g_00088, Prbc.g_00095	Prah.g_01166
OG0000053	Prbc.g_00728	Prah.g_00381
OG0000054	Prbc.g_01683	Prah.g_01394
OG0000055	Prbc.g_01822	Prah.g_00942
OG0000056	Prbc.g_01108, Prbc.g_00011, Prbc.g_00532	Prah.g_00543, Prah.g_01082, Prah.g_00342
OG0000057	Prbc.g_01780, Prbc.g_00055	Prah.g_01027
OG0000061	Prbc.g_01446	Prah.g_00104
OG0000062	Prbc.g_00790	Prah.g_01654
OG0000063	Prbc.g_00932	Prah.g_00042
OG0000065	Prbc.g_00466	Prah.g_01897
OG0000066	Prbc.g_01618	Prah.g_01485
OG0000067	Prbc.g_01858	Prah.g_00667
OG0000068	Prbc.g_00657	Prah.g_01576
OG0000070	Prbc.g_01511	Prah.g_00252
OG0000071	Prbc.g_00566	Prah.g_01364
OG0000072	Prbc.g_00400	Prah.g_02309
OG0000073	Prbc.g_01579	Prah.g_01544
OG0000075	Prbc.g_00236	Prah.g_02232
OG0000076	Prbc.g_00211	Prah.g_00150
OG0000077	Prbc.g_00495	Prah.g_01850
OG0000078	Prbc.g_00330	Prah.g_01773
OG0000079	Prbc.g_01148	Prah.g_02090, Prah.g_01868
OG0000081	Prbc.g_01610	Prah.g_01035
OG0000082	Prbc.g_00891	Prah.g_01427
OG0000084	Prbc.g_00705	Prah.g_00412
OG0000085	Prbc.g_00826	Prah.g_01666
OG0000086	Prbc.g_00485	Prah.g_01866
OG0000087	Prbc.g_00432	Prah.g_02268
OG0000088	Prbc.g_00405	Prah.g_02304
OG0000089	Prbc.g_01268	Prah.g_00205
OG0000090	Prbc.g_01612	Prah.g_01501
OG0000091	Prbc.g_01719	Prah.g_00493
OG0000093	Prbc.g_01843	Prah.g_00692
OG0000094	Prbc.g_01935	Prah.g_02518
OG0000097	Prbc.g_01400	Prah.g_01272
OG0000098	Prbc.g_00585	Prah.g_00327
OG0000099	Prbc.g_01229	Prah.g_02191
OG0000100	Prbc.g_00785	Prah.g_01791, Prah.g_00636
OG0000101	Prbc.g_00284	Prah.g_01995
OG0000102	Prbc.g_00206	Prah.g_00144
OG0000103	Prbc.g_01053	Prah.g_02586
OG0000104	Prbc.g_01065	Prah.g_02600
OG0000105	Prbc.g_01167	Prah.g_02126
OG0000106	Prbc.g_00134, Prbc.g_00641	Prah.g_01660
OG0000108	Prbc.g_01540	Prah.g_01566
OG0000109	Prbc.g_01553	Prah.g_01550
OG0000110	Prbc.g_01654	Prah.g_01439
OG0000111	Prbc.g_01781	Prah.g_01028
OG0000112	Prbc.g_02028	Prah.g_00788
OG0000113	Prbc.g_01882, Prbc.g_00153	Prah.g_00641
OG0000114	Prbc.g_01977	Prah.g_00733
OG0000115	Prbc.g_00801	Prah.g_00383
OG0000116	Prbc.g_01457	Prah.g_01337
OG0000117	Prbc.g_00102	Prah.g_01257
OG0000118	Prbc.g_00577	Prah.g_01378
OG0000119	Prbc.g_00650	Prah.g_01007, Prah.g_01048
OG0000120	Prbc.g_01753	Prah.g_02192
OG0000121	Prbc.g_00711	Prah.g_00406
OG0000122	Prbc.g_00750	Prah.g_01203
OG0000123	Prbc.g_00277	Prah.g_01987
OG0000124	Prbc.g_00193	Prah.g_00125
OG0000125	Prbc.g_00997	Prah.g_02498
OG0000126	Prbc.g_01063	Prah.g_02598
OG0000127	Prbc.g_01352, Prbc.g_00621	Prah.g_01085
OG0000127	Prbc.g_00002, Prbc.g_00016	Prah.g_01083
OG0000128	Prbc.g_01081	Prah.g_00013
OG0000129	Prbc.g_01122	Prah.g_02486
OG0000130	Prbc.g_00504	Prah.g_01838
OG0000131	Prbc.g_00426	Prah.g_02282
OG0000132	Prbc.g_00407	Prah.g_02302
OG0000133	Prbc.g_01214	Prah.g_02187
OG0000134	Prbc.g_01270	Prah.g_00208
OG0000135	Prbc.g_02198, Prbc.g_02183	Prah.g_02538
OG0000136	Prbc.g_01502	Prah.g_00235
OG0000137	Prbc.g_01534	Prah.g_00312
OG0000138	Prbc.g_01554	Prah.g_01549
OG0000139	Prbc.g_01616	Prah.g_01495
