Orthogroup	Prbc	Prbn
OG0000000	Prbc.g_00609, Prbc.g_00812	Prbn.g_01151
OG0000000	Prbc.g_00104, Prbc.g_02164, Prbc.g_00806, Prbc.g_02165	Prbn.g_01662
OG0000000	Prbc.g_00618	Prbn.g_01152
OG0000000	Prbc.g_00618	Prbn.g_01663
OG0000000	Prbc.g_02167	Prbn.g_01152
OG0000000	Prbc.g_02167	Prbn.g_01663
OG0000000	Prbc.g_00608	Prbn.g_01678
OG0000001	Prbc.g_00588	Prbn.g_01213
OG0000001	Prbc.g_01530, Prbc.g_00925	Prbn.g_01923
OG0000002	Prbc.g_01920	Prbn.g_01483
OG0000002	Prbc.g_01475	Prbn.g_01159
OG0000002	Prbc.g_01474	Prbn.g_01234, Prbn.g_01161
OG0000002	Prbc.g_01479, Prbc.g_01473	Prbn.g_01154
OG0000002	Prbc.g_01478	Prbn.g_00879
OG0000002	Prbc.g_01759	Prbn.g_01586
OG0000004	Prbc.g_01381	Prbn.g_01565
OG0000004	Prbc.g_00339	Prbn.g_00318
OG0000005	Prbc.g_00788	Prbn.g_00899
OG0000006	Prbc.g_02202	Prbn.g_00308
OG0000007	Prbc.g_01556	Prbn.g_00617
OG0000007	Prbc.g_00832	Prbn.g_01745
OG0000008	Prbc.g_00893	Prbn.g_01645
OG0000008	Prbc.g_00894	Prbn.g_01646
OG0000009	Prbc.g_01344	Prbn.g_00887
OG0000010	Prbc.g_02115	Prbn.g_01939, Prbn.g_01357
OG0000010	Prbc.g_01533	Prbn.g_00640
OG0000011	Prbc.g_00066	Prbn.g_00802
OG0000012	Prbc.g_02155	Prbn.g_00867
OG0000013	Prbc.g_01219	Prbn.g_00092
OG0000014	Prbc.g_01198	Prbn.g_00074
OG0000015	Prbc.g_00599	Prbn.g_01684, Prbn.g_01730
OG0000016	Prbc.g_00929	Prbn.g_01131
OG0000017	Prbc.g_01681	Prbn.g_00517
OG0000018	Prbc.g_01468	Prbn.g_01167
OG0000018	Prbc.g_01887	Prbn.g_01518
OG0000019	Prbc.g_01836	Prbn.g_01165
OG0000020	Prbc.g_02114	Prbn.g_00875
OG0000020	Prbc.g_00116	Prbn.g_00133
OG0000021	Prbc.g_00924	Prbn.g_00874
OG0000021	Prbc.g_02189	Prbn.g_01560
OG0000022	Prbc.g_00166	Prbn.g_00891
OG0000023	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071	Prbn.g_01030
OG0000024	Prbc.g_00598	Prbn.g_01353
OG0000024	Prbc.g_01755	Prbn.g_01589
OG0000025	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894	Prbn.g_01510
OG0000026	Prbc.g_01101	Prbn.g_00750
OG0000027	Prbc.g_00072	Prbn.g_00139
OG0000028	Prbc.g_00653	Prbn.g_01644
OG0000030	Prbc.g_00199	Prbn.g_00985
OG0000031	Prbc.g_01228	Prbn.g_00171
OG0000032	Prbc.g_00746	Prbn.g_00251
OG0000033	Prbc.g_00402	Prbn.g_01244
OG0000034	Prbc.g_00575	Prbn.g_01073
OG0000037	Prbc.g_00464	Prbn.g_01310
OG0000038	Prbc.g_00995	Prbn.g_00946
OG0000039	Prbc.g_01768	Prbn.g_01577
OG0000041	Prbc.g_00877	Prbn.g_01793
OG0000042	Prbc.g_00203	Prbn.g_00988
OG0000043	Prbc.g_01953	Prbn.g_01168
OG0000045	Prbc.g_02137	Prbn.g_01145
OG0000046	Prbc.g_01220	Prbn.g_00093
OG0000047	Prbc.g_01273	Prbn.g_00690
OG0000048	Prbc.g_01165	Prbn.g_01097, Prbn.g_00038
OG0000051	Prbc.g_00088	Prbn.g_00809
OG0000052	Prbc.g_00518, Prbc.g_00517	Prbn.g_00724
OG0000053	Prbc.g_00728	Prbn.g_01690, Prbn.g_00233
OG0000054	Prbc.g_01683	Prbn.g_00508
OG0000055	Prbc.g_01822	Prbn.g_01140
OG0000055	Prbc.g_00907	Prbn.g_01719
OG0000057	Prbc.g_01780, Prbc.g_00055	Prbn.g_01562
OG0000058	Prbc.g_01928	Prbn.g_00172
OG0000059	Prbc.g_00958	Prbn.g_01833
OG0000061	Prbc.g_01446	Prbn.g_01189
OG0000062	Prbc.g_00790	Prbn.g_00897
OG0000063	Prbc.g_00932	Prbn.g_00130
OG0000065	Prbc.g_00466	Prbn.g_01312
OG0000066	Prbc.g_01618	Prbn.g_00577, Prbn.g_01657
OG0000067	Prbc.g_01858	Prbn.g_01546
OG0000068	Prbc.g_00657	Prbn.g_01240
OG0000069	Prbc.g_02181, Prbc.g_00752	Prbn.g_00659
OG0000070	Prbc.g_01511	Prbn.g_00663
OG0000071	Prbc.g_00566	Prbn.g_01084
OG0000072	Prbc.g_00400	Prbn.g_00383
OG0000073	Prbc.g_01579	Prbn.g_00614
OG0000074	Prbc.g_01960	Prbn.g_01928
OG0000074	Prbc.g_01763	Prbn.g_01582
OG0000075	Prbc.g_00236	Prbn.g_01917
OG0000076	Prbc.g_00211	Prbn.g_00996
OG0000077	Prbc.g_00495	Prbn.g_01342
OG0000078	Prbc.g_00330	Prbn.g_00310
OG0000079	Prbc.g_01148	Prbn.g_00018
OG0000081	Prbc.g_01610	Prbn.g_00585
OG0000082	Prbc.g_00891	Prbn.g_01734
OG0000084	Prbc.g_00705	Prbn.g_00209
OG0000085	Prbc.g_00826	Prbn.g_01737, Prbn.g_00144
OG0000086	Prbc.g_00485	Prbn.g_01333
OG0000087	Prbc.g_00432	Prbn.g_01278
OG0000088	Prbc.g_00405	Prbn.g_01247
OG0000089	Prbc.g_01268	Prbn.g_00696
OG0000090	Prbc.g_01612	Prbn.g_00583
OG0000091	Prbc.g_01719	Prbn.g_00434
OG0000092	Prbc.g_01982	Prbn.g_01616
OG0000093	Prbc.g_01843	Prbn.g_00846
OG0000094	Prbc.g_01935	Prbn.g_01369
OG0000095	Prbc.g_02113	Prbn.g_01471
OG0000096	Prbc.g_01323	Prbn.g_01049
OG0000097	Prbc.g_01400	Prbn.g_00408
OG0000098	Prbc.g_00585	Prbn.g_01216
OG0000099	Prbc.g_01229	Prbn.g_00173
OG0000100	Prbc.g_00785	Prbn.g_00903
OG0000101	Prbc.g_00284	Prbn.g_01881
OG0000102	Prbc.g_00206	Prbn.g_00991
OG0000103	Prbc.g_01053	Prbn.g_00907
OG0000104	Prbc.g_01065	Prbn.g_00296
