Orthogroup	Prbc	Syag
OG0000001	Prbc.g_00588, Prbc.g_00892, Prbc.g_01530, Prbc.g_00925	Syag.g_00575
OG0000004	Prbc.g_01381	Syag.g_00988
OG0000004	Prbc.g_00339	Syag.g_00370, Syag.g_01790
OG0000005	Prbc.g_00098	Syag.g_01708
OG0000005	Prbc.g_00788	Syag.g_01667
OG0000006	Prbc.g_02202	Syag.g_01772, Syag.g_02678, Syag.g_02687
OG0000007	Prbc.g_01556	Syag.g_01507
OG0000007	Prbc.g_00832	Syag.g_01687
OG0000008	Prbc.g_00893	Syag.g_00496
OG0000008	Prbc.g_00894	Syag.g_01017
OG0000009	Prbc.g_01344	Syag.g_00220, Syag.g_00231
OG0000010	Prbc.g_02115, Prbc.g_01533	Syag.g_01355
OG0000011	Prbc.g_00164, Prbc.g_00066, Prbc.g_00136, Prbc.g_00616	Syag.g_01299
OG0000013	Prbc.g_01219	Syag.g_02820, Syag.g_02806, Syag.g_02811
OG0000014	Prbc.g_01198	Syag.g_02559
OG0000014	Prbc.g_00680	Syag.g_02487
OG0000015	Prbc.g_00599	Syag.g_00596
OG0000016	Prbc.g_01083	Syag.g_02286
OG0000016	Prbc.g_00929	Syag.g_01066
OG0000017	Prbc.g_01681	Syag.g_00336
OG0000018	Prbc.g_01468, Prbc.g_01887	Syag.g_01387
OG0000019	Prbc.g_01836	Syag.g_02663
OG0000020	Prbc.g_02114, Prbc.g_00054, Prbc.g_00116	Syag.g_00085
OG0000021	Prbc.g_02189	Syag.g_00229
OG0000022	Prbc.g_00166, Prbc.g_01288	Syag.g_00458
OG0000023	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071	Syag.g_00261, Syag.g_00234
OG0000024	Prbc.g_00598, Prbc.g_01755	Syag.g_00455
OG0000025	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894	Syag.g_00718
OG0000026	Prbc.g_01101	Syag.g_02309
OG0000027	Prbc.g_00072	Syag.g_00950, Syag.g_00165
OG0000028	Prbc.g_00653	Syag.g_02540
OG0000030	Prbc.g_00199	Syag.g_02375, Syag.g_02374
OG0000031	Prbc.g_01228	Syag.g_02486
OG0000032	Prbc.g_00746	Syag.g_01366
OG0000033	Prbc.g_00402	Syag.g_01978
OG0000034	Prbc.g_00575	Syag.g_01225, Syag.g_01947
OG0000035	Prbc.g_00709	Syag.g_01420
OG0000037	Prbc.g_00464	Syag.g_00173
OG0000038	Prbc.g_00995	Syag.g_02130, Syag.g_02132
