Orthogroup	Prbc	Praa
OG0000000	Prbc.g_02163, Prbc.g_00103	Praa.g_01300
OG0000000	Prbc.g_00104, Prbc.g_02164, Prbc.g_00806	Praa.g_01235
OG0000000	Prbc.g_02165	Praa.g_01598, Praa.g_01244
OG0000000	Prbc.g_00106, Prbc.g_00618, Prbc.g_02167, Prbc.g_00608, Prbc.g_00808, Prbc.g_00525	Praa.g_01597
OG0000002	Prbc.g_01920	Praa.g_01359
OG0000002	Prbc.g_01475, Prbc.g_01474, Prbc.g_01479, Prbc.g_01473, Prbc.g_01478, Prbc.g_01759	Praa.g_00678
OG0000004	Prbc.g_01381	Praa.g_00695
OG0000004	Prbc.g_00339	Praa.g_00232
OG0000005	Prbc.g_00098	Praa.g_01648
OG0000005	Prbc.g_00788	Praa.g_01553
OG0000006	Prbc.g_02202	Praa.g_00241, Praa.g_01245
OG0000007	Prbc.g_01556	Praa.g_00497
OG0000007	Prbc.g_00832	Praa.g_01635
OG0000008	Prbc.g_00893	Praa.g_01241
OG0000009	Prbc.g_01344	Praa.g_01264
OG0000010	Prbc.g_02115, Prbc.g_01533	Praa.g_00474
OG0000011	Prbc.g_00164	Praa.g_01288
OG0000011	Prbc.g_00066	Praa.g_00396
OG0000011	Prbc.g_00136	Praa.g_01626
OG0000012	Prbc.g_02155	Praa.g_00623
OG0000013	Prbc.g_01219	Praa.g_00327
OG0000014	Prbc.g_01198	Praa.g_00306
OG0000014	Prbc.g_00680	Praa.g_01409
OG0000015	Prbc.g_00599	Praa.g_00765
OG0000016	Prbc.g_01083	Praa.g_00013
OG0000017	Prbc.g_01681	Praa.g_00598
OG0000018	Prbc.g_01468	Praa.g_01141
OG0000018	Prbc.g_01887	Praa.g_00831
OG0000019	Prbc.g_01836	Praa.g_00782
OG0000020	Prbc.g_02114	Praa.g_01107
OG0000021	Prbc.g_00924	Praa.g_01623, Praa.g_00364
OG0000022	Prbc.g_00166	Praa.g_00763
OG0000022	Prbc.g_01288	Praa.g_01124
OG0000023	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071	Praa.g_00359
OG0000024	Prbc.g_00598	Praa.g_00747
OG0000024	Prbc.g_01755	Praa.g_00675
OG0000025	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894	Praa.g_00839, Praa.g_00331
OG0000026	Prbc.g_01101	Praa.g_00031, Praa.g_01054
OG0000027	Prbc.g_00072	Praa.g_00470, Praa.g_01301
OG0000028	Prbc.g_00653	Praa.g_01248
OG0000030	Prbc.g_00199	Praa.g_01842
OG0000033	Prbc.g_00402	Praa.g_00169
OG0000034	Prbc.g_00575	Praa.g_01328
OG0000035	Prbc.g_00709	Praa.g_01476
OG0000037	Prbc.g_00464	Praa.g_00109
OG0000038	Prbc.g_00995	Praa.g_01883
OG0000039	Prbc.g_01768	Praa.g_00686
OG0000040	Prbc.g_00811	Praa.g_01618
OG0000041	Prbc.g_00877	Praa.g_01683
OG0000042	Prbc.g_00203	Praa.g_01839
OG0000043	Prbc.g_01953	Praa.g_00876
OG0000043	Prbc.g_00135	Praa.g_01259
OG0000045	Prbc.g_02137	Praa.g_00370
OG0000047	Prbc.g_01227	Praa.g_00330
OG0000048	Prbc.g_01165	Praa.g_00373
OG0000050	Prbc.g_00513	Praa.g_01075
OG0000053	Prbc.g_00728	Praa.g_01496
OG0000054	Prbc.g_01683	Praa.g_00606
OG0000055	Prbc.g_01822	Praa.g_00783
OG0000057	Prbc.g_01780, Prbc.g_00055	Praa.g_00698
OG0000058	Prbc.g_01928	Praa.g_01425
OG0000059	Prbc.g_00958	Praa.g_01723
OG0000061	Prbc.g_01446	Praa.g_01415, Praa.g_01159
OG0000062	Prbc.g_00790	Praa.g_01555
OG0000063	Prbc.g_00932	Praa.g_00033
OG0000065	Prbc.g_00466	Praa.g_00107
OG0000066	Prbc.g_01618	Praa.g_00539
OG0000067	Prbc.g_01858	Praa.g_00803
OG0000068	Prbc.g_00657	Praa.g_01366
