Orthogroup	Prbc	Syan
OG0000004	Prbc.g_01381	Syan.g_00183
OG0000004	Prbc.g_00339	Syan.g_00989
OG0000005	Prbc.g_00098	Syan.g_01423
OG0000005	Prbc.g_00788	Syan.g_01378
OG0000006	Prbc.g_02202	Syan.g_00057, Syan.g_00936, Syan.g_01505, Syan.g_02101, Syan.g_02441
OG0000007	Prbc.g_01556	Syan.g_02743
OG0000007	Prbc.g_00832	Syan.g_01400
OG0000008	Prbc.g_00893	Syan.g_00640, Syan.g_02532
OG0000008	Prbc.g_00894	Syan.g_00641, Syan.g_02531
OG0000009	Prbc.g_01344	Syan.g_02972
OG0000010	Prbc.g_02115, Prbc.g_01533	Syan.g_02847
OG0000012	Prbc.g_02155	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485
OG0000013	Prbc.g_01219	Syan.g_02156, Syan.g_02159, Syan.g_00101
OG0000014	Prbc.g_01198	Syan.g_01987
OG0000016	Prbc.g_01083	Syan.g_01766
OG0000016	Prbc.g_00929	Syan.g_02598, Syan.g_00440
OG0000017	Prbc.g_01681	Syan.g_01006
OG0000018	Prbc.g_01468, Prbc.g_01887	Syan.g_02816
OG0000019	Prbc.g_01836	Syan.g_02088
OG0000021	Prbc.g_00924, Prbc.g_02189	Syan.g_01001
OG0000022	Prbc.g_00166, Prbc.g_01288	Syan.g_00089
OG0000023	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071	Syan.g_00404
OG0000025	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894	Syan.g_00374
OG0000026	Prbc.g_01101	Syan.g_01743
OG0000027	Prbc.g_00072	Syan.g_02678
OG0000028	Prbc.g_00653	Syan.g_01971
OG0000030	Prbc.g_00199	Syan.g_01884, Syan.g_01883
OG0000032	Prbc.g_00746	Syan.g_02835
OG0000033	Prbc.g_00402	Syan.g_03036
OG0000034	Prbc.g_00575	Syan.g_01227, Syan.g_03003
OG0000035	Prbc.g_00709	Syan.g_01276
OG0000037	Prbc.g_00464	Syan.g_00136, Syan.g_02978, Syan.g_00917
OG0000038	Prbc.g_00995	Syan.g_00064, Syan.g_01569, Syan.g_01571
