Orthogroup	Prbc	Syad
OG0000001	Prbc.g_00588, Prbc.g_00892, Prbc.g_01530, Prbc.g_00925	Syad.g_00628
OG0000002	Prbc.g_01920, Prbc.g_01475, Prbc.g_01474, Prbc.g_01479, Prbc.g_01473, Prbc.g_01478, Prbc.g_01759	Syad.g_00619
OG0000004	Prbc.g_01381	Syad.g_01304
OG0000004	Prbc.g_00339	Syad.g_02184, Syad.g_00810
OG0000005	Prbc.g_00098	Syad.g_02639
OG0000005	Prbc.g_00788	Syad.g_02596
OG0000006	Prbc.g_02202	Syad.g_00588, Syad.g_00829
OG0000007	Prbc.g_01556	Syad.g_00923
OG0000007	Prbc.g_00832	Syad.g_02623
OG0000008	Prbc.g_00894	Syad.g_01371
OG0000009	Prbc.g_01344	Syad.g_01952, Syad.g_00868
OG0000010	Prbc.g_02115, Prbc.g_01533	Syad.g_02354
OG0000011	Prbc.g_00164	Syad.g_02006
OG0000011	Prbc.g_00066	Syad.g_02680
OG0000012	Prbc.g_02155	Syad.g_01702
OG0000013	Prbc.g_01219	Syad.g_00737, Syad.g_00724, Syad.g_00729
OG0000014	Prbc.g_01198	Syad.g_00480
OG0000014	Prbc.g_00680	Syad.g_00297, Syad.g_00260
OG0000015	Prbc.g_00599	Syad.g_01600, Syad.g_01601
OG0000016	Prbc.g_01083	Syad.g_00176
OG0000016	Prbc.g_00929	Syad.g_01460, Syad.g_02065
OG0000017	Prbc.g_01681	Syad.g_01084
OG0000018	Prbc.g_01468, Prbc.g_01887	Syad.g_02306
OG0000019	Prbc.g_01836	Syad.g_00569
OG0000020	Prbc.g_02114, Prbc.g_00054, Prbc.g_00116	Syad.g_00845
OG0000021	Prbc.g_02189	Syad.g_00874
OG0000022	Prbc.g_00166, Prbc.g_01288	Syad.g_02090
OG0000023	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071	Syad.g_01701, Syad.g_02337, Syad.g_01583
OG0000024	Prbc.g_00598, Prbc.g_01755	Syad.g_01374
OG0000025	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894	Syad.g_01241
OG0000026	Prbc.g_01101	Syad.g_00198
OG0000027	Prbc.g_00072	Syad.g_01257
OG0000028	Prbc.g_00653	Syad.g_00463
OG0000030	Prbc.g_00199	Syad.g_00328, Syad.g_00327
OG0000031	Prbc.g_01228	Syad.g_00294
OG0000032	Prbc.g_00746	Syad.g_02326
OG0000033	Prbc.g_00402	Syad.g_02903
OG0000034	Prbc.g_00575	Syad.g_02420, Syad.g_02872
OG0000035	Prbc.g_00709	Syad.g_02275
OG0000037	Prbc.g_00464	Syad.g_02805
OG0000038	Prbc.g_00995	Syad.g_03038
OG0000039	Prbc.g_01768	Syad.g_01249, Syad.g_01111
OG0000041	Prbc.g_00877	Syad.g_02498
OG0000042	Prbc.g_00203	Syad.g_00333
OG0000043	Prbc.g_01953, Prbc.g_00135	Syad.g_02119
OG0000044	Prbc.g_00533	Syad.g_02214
OG0000046	Prbc.g_01220	Syad.g_00723, Syad.g_00730, Syad.g_00736
OG0000047	Prbc.g_01273, Prbc.g_01227	Syad.g_00754
OG0000048	Prbc.g_01165	Syad.g_00534
OG0000053	Prbc.g_00728	Syad.g_02302
OG0000054	Prbc.g_01683	Syad.g_02209
OG0000055	Prbc.g_01822	Syad.g_01255
OG0000057	Prbc.g_01780, Prbc.g_00055	Syad.g_01301
OG0000058	Prbc.g_01928	Syad.g_00452
OG0000059	Prbc.g_00958	Syad.g_00642
OG0000061	Prbc.g_01446	Syad.g_01152
OG0000063	Prbc.g_00932	Syad.g_00202
OG0000065	Prbc.g_00466	Syad.g_02574, Syad.g_02801
OG0000066	Prbc.g_01618	Syad.g_00992
OG0000067	Prbc.g_01858	Syad.g_01889
OG0000068	Prbc.g_00657	Syad.g_00891
OG0000070	Prbc.g_01511	Syad.g_02424
OG0000071	Prbc.g_00566	Syad.g_02405
OG0000072	Prbc.g_00400	Syad.g_02905
OG0000073	Prbc.g_01579	Syad.g_00926
OG0000075	Prbc.g_00236	Syad.g_00416
OG0000076	Prbc.g_00211	Syad.g_00348
OG0000077	Prbc.g_00495	Syad.g_02741
OG0000078	Prbc.g_00330	Syad.g_00824
OG0000079	Prbc.g_01148	Syad.g_00565
OG0000080	Prbc.g_00679	Syad.g_02935
OG0000081	Prbc.g_01610	Syad.g_00833
OG0000082	Prbc.g_00891	Syad.g_01063
OG0000084	Prbc.g_00705	Syad.g_02272
OG0000085	Prbc.g_00826	Syad.g_02612
OG0000086	Prbc.g_00485	Syad.g_02770
OG0000087	Prbc.g_00432	Syad.g_02860
OG0000088	Prbc.g_00405	Syad.g_02899
OG0000089	Prbc.g_01268	Syad.g_00785, Syad.g_02829
OG0000090	Prbc.g_01612	Syad.g_00977
OG0000091	Prbc.g_01719	Syad.g_02144
OG0000092	Prbc.g_01982, Prbc.g_01110, Prbc.g_00263	Syad.g_01190
OG0000097	Prbc.g_01400	Syad.g_01458
OG0000098	Prbc.g_00585	Syad.g_00625
OG0000099	Prbc.g_01229	Syad.g_00460
OG0000100	Prbc.g_00785	Syad.g_01846
OG0000101	Prbc.g_00284	Syad.g_00694
OG0000102	Prbc.g_00206	Syad.g_00343
OG0000103	Prbc.g_01053	Syad.g_00143
OG0000104	Prbc.g_01065	Syad.g_00158
OG0000105	Prbc.g_01167	Syad.g_00530
OG0000106	Prbc.g_00134, Prbc.g_00641	Syad.g_01993
OG0000107	Prbc.g_00934	Syad.g_00590
OG0000108	Prbc.g_01540	Syad.g_00904
OG0000109	Prbc.g_01553	Syad.g_00919
OG0000110	Prbc.g_01654	Syad.g_01048
OG0000111	Prbc.g_01781	Syad.g_01300
OG0000112	Prbc.g_02028	Syad.g_01766
OG0000113	Prbc.g_01882, Prbc.g_00153	Syad.g_01851
OG0000114	Prbc.g_01977	Syad.g_01617
OG0000115	Prbc.g_00801	Syad.g_02300
OG0000116	Prbc.g_01457	Syad.g_01123
OG0000117	Prbc.g_00102	Syad.g_01510
OG0000118	Prbc.g_00577	Syad.g_01104
OG0000119	Prbc.g_00650	Syad.g_01168
OG0000120	Prbc.g_01753	Syad.g_00459
OG0000121	Prbc.g_00711	Syad.g_02280
OG0000122	Prbc.g_00750	Syad.g_02122
OG0000123	Prbc.g_00277	Syad.g_00701
OG0000124	Prbc.g_00193	Syad.g_00320
OG0000125	Prbc.g_00997	Syad.g_03040
OG0000126	Prbc.g_01063	Syad.g_00156
OG0000127	Prbc.g_01367	Syad.g_02710, Syad.g_00058, Syad.g_00383
OG0000128	Prbc.g_01081	Syad.g_00174
OG0000129	Prbc.g_01122	Syad.g_03028
OG0000130	Prbc.g_00504	Syad.g_02728
OG0000131	Prbc.g_00426	Syad.g_02876
OG0000132	Prbc.g_00407	Syad.g_02897
OG0000133	Prbc.g_01214	Syad.g_01761
OG0000134	Prbc.g_01270	Syad.g_00788
OG0000135	Prbc.g_02198, Prbc.g_02183	Syad.g_00063
OG0000136	Prbc.g_01502	Syad.g_02445
OG0000137	Prbc.g_01534	Syad.g_02353
OG0000138	Prbc.g_01554	Syad.g_00920
OG0000139	Prbc.g_01616	Syad.g_00983
OG0000140	Prbc.g_01617	Syad.g_00987
OG0000141	Prbc.g_01684	Syad.g_02208
OG0000142	Prbc.g_01712	Syad.g_02152
OG0000143	Prbc.g_01716	Syad.g_02148
OG0000144	Prbc.g_01729	Syad.g_02024
OG0000145	Prbc.g_02142	Syad.g_00927
OG0000146	Prbc.g_02027	Syad.g_01767
OG0000147	Prbc.g_02026	Syad.g_01768
OG0000148	Prbc.g_01876	Syad.g_01861
OG0000149	Prbc.g_01908	Syad.g_01221
OG0000150	Prbc.g_01916	Syad.g_02207, Syad.g_00989
OG0000151	Prbc.g_01988	Syad.g_01956
OG0000152	Prbc.g_02036	Syad.g_01757
OG0000153	Prbc.g_02054	Syad.g_01713
OG0000154	Prbc.g_02083	Syad.g_01686
OG0000155	Prbc.g_01424	Syad.g_01189
OG0000156	Prbc.g_00555	Syad.g_01116
OG0000157	Prbc.g_00556	Syad.g_01115
OG0000158	Prbc.g_00228	Syad.g_00374
OG0000160	Prbc.g_00710	Syad.g_02279
OG0000161	Prbc.g_00716	Syad.g_02287
OG0000162	Prbc.g_00722	Syad.g_02293
OG0000163	Prbc.g_00758	Syad.g_02542
OG0000164	Prbc.g_00854	Syad.g_02659
OG0000165	Prbc.g_00862	Syad.g_02476
OG0000166	Prbc.g_00321	Syad.g_00654
OG0000167	Prbc.g_00238	Syad.g_00419
OG0000168	Prbc.g_00227	Syad.g_00371
OG0000169	Prbc.g_00217	Syad.g_00360
OG0000170	Prbc.g_00215	Syad.g_00353
OG0000171	Prbc.g_00194	Syad.g_00321
OG0000172	Prbc.g_00967	Syad.g_00244
OG0000173	Prbc.g_00982	Syad.g_00220
OG0000174	Prbc.g_01013	Syad.g_00065
OG0000175	Prbc.g_01044	Syad.g_00129
OG0000176	Prbc.g_01074	Syad.g_00166
OG0000177	Prbc.g_01075	Syad.g_00167
OG0000178	Prbc.g_01076	Syad.g_00168
OG0000179	Prbc.g_01086	Syad.g_00183
OG0000180	Prbc.g_01087	Syad.g_00184
OG0000181	Prbc.g_01088	Syad.g_00185
OG0000182	Prbc.g_01089	Syad.g_00186
OG0000183	Prbc.g_01093	Syad.g_00190
OG0000184	Prbc.g_01124	Syad.g_03018
OG0000185	Prbc.g_01127	Syad.g_03006
OG0000186	Prbc.g_00509	Syad.g_02722
OG0000187	Prbc.g_00508	Syad.g_02724
OG0000188	Prbc.g_00491	Syad.g_02759
OG0000189	Prbc.g_00477	Syad.g_02788
OG0000190	Prbc.g_00476	Syad.g_02790
OG0000191	Prbc.g_00453	Syad.g_02824
OG0000192	Prbc.g_00449	Syad.g_02834
OG0000193	Prbc.g_00425	Syad.g_02877
OG0000194	Prbc.g_00422	Syad.g_02880
OG0000195	Prbc.g_00420	Syad.g_02884
OG0000196	Prbc.g_00410	Syad.g_02894
OG0000197	Prbc.g_00409	Syad.g_02895
OG0000198	Prbc.g_00408	Syad.g_02896
OG0000199	Prbc.g_00401	Syad.g_02904
OG0000200	Prbc.g_00388	Syad.g_02921
OG0000201	Prbc.g_00379	Syad.g_02937
OG0000202	Prbc.g_00378	Syad.g_02938
OG0000203	Prbc.g_00377	Syad.g_02939
OG0000204	Prbc.g_00376	Syad.g_02940
OG0000205	Prbc.g_00369	Syad.g_02948
OG0000206	Prbc.g_00365	Syad.g_02955
OG0000207	Prbc.g_00363	Syad.g_02957
OG0000208	Prbc.g_00362	Syad.g_02958
OG0000209	Prbc.g_00352	Syad.g_02981
OG0000210	Prbc.g_00351	Syad.g_02982
OG0000212	Prbc.g_00329	Syad.g_00825
OG0000213	Prbc.g_01153	Syad.g_00556
OG0000214	Prbc.g_01161	Syad.g_00538
OG0000215	Prbc.g_01185	Syad.g_00508
OG0000216	Prbc.g_01186	Syad.g_00504, Syad.g_00285
OG0000217	Prbc.g_01189	Syad.g_00500
OG0000218	Prbc.g_01191	Syad.g_00498
OG0000219	Prbc.g_01192	Syad.g_00497
OG0000220	Prbc.g_01193	Syad.g_00496
OG0000221	Prbc.g_01194	Syad.g_00488
OG0000222	Prbc.g_01202	Syad.g_00473
OG0000223	Prbc.g_01215	Syad.g_00451
OG0000224	Prbc.g_01217	Syad.g_00444
OG0000225	Prbc.g_01257	Syad.g_00777
OG0000226	Prbc.g_01261	Syad.g_00781
OG0000227	Prbc.g_01263	Syad.g_00783
OG0000228	Prbc.g_01267	Syad.g_00784
OG0000229	Prbc.g_01497	Syad.g_02450
OG0000230	Prbc.g_01499	Syad.g_02448
OG0000231	Prbc.g_01510	Syad.g_02436
OG0000232	Prbc.g_01518	Syad.g_02392
OG0000233	Prbc.g_01526	Syad.g_02382
OG0000234	Prbc.g_01535	Syad.g_02351
OG0000235	Prbc.g_01539	Syad.g_00903
OG0000236	Prbc.g_01552	Syad.g_00918
OG0000237	Prbc.g_01586	Syad.g_00936
OG0000238	Prbc.g_01592	Syad.g_00941
OG0000239	Prbc.g_01604	Syad.g_00957
OG0000240	Prbc.g_01605	Syad.g_00958
OG0000241	Prbc.g_01609	Syad.g_02160
OG0000242	Prbc.g_01611	Syad.g_00975
OG0000243	Prbc.g_01622	Syad.g_01000
OG0000244	Prbc.g_01626	Syad.g_01012
OG0000245	Prbc.g_01628	Syad.g_01014
OG0000246	Prbc.g_01632	Syad.g_01017
OG0000247	Prbc.g_01642	Syad.g_01029
OG0000248	Prbc.g_01644	Syad.g_01032
OG0000249	Prbc.g_01646	Syad.g_01034
OG0000250	Prbc.g_01651	Syad.g_01044
OG0000251	Prbc.g_01667	Syad.g_01071
OG0000252	Prbc.g_01669	Syad.g_01078
OG0000253	Prbc.g_01671	Syad.g_01081
OG0000254	Prbc.g_01688	Syad.g_02203
OG0000255	Prbc.g_01694	Syad.g_02185
OG0000256	Prbc.g_01704	Syad.g_02167
OG0000257	Prbc.g_01707	Syad.g_02161
OG0000258	Prbc.g_01720	Syad.g_02143
OG0000259	Prbc.g_01737	Syad.g_01576
OG0000260	Prbc.g_01740	Syad.g_01587
OG0000261	Prbc.g_01743	Syad.g_01590
OG0000262	Prbc.g_01748	Syad.g_01595
OG0000263	Prbc.g_01762	Syad.g_01475
OG0000264	Prbc.g_01773	Syad.g_01360
OG0000265	Prbc.g_01787	Syad.g_01383
OG0000266	Prbc.g_01797	Syad.g_01804
OG0000267	Prbc.g_01810	Syad.g_01645
OG0000268	Prbc.g_01811	Syad.g_01646
OG0000269	Prbc.g_01853	Syad.g_01894
OG0000270	Prbc.g_01856	Syad.g_01891
OG0000271	Prbc.g_01864	Syad.g_01883
OG0000272	Prbc.g_01865	Syad.g_01882
OG0000273	Prbc.g_01890	Syad.g_01247
OG0000274	Prbc.g_01891	Syad.g_01246
OG0000275	Prbc.g_01893	Syad.g_01242
OG0000276	Prbc.g_01899	Syad.g_01229
OG0000277	Prbc.g_01900	Syad.g_01228
OG0000278	Prbc.g_01904	Syad.g_01225
OG0000279	Prbc.g_01911	Syad.g_01208
OG0000280	Prbc.g_00068	Syad.g_01198
OG0000281	Prbc.g_01917	Syad.g_00624
OG0000282	Prbc.g_01979	Syad.g_01619
OG0000283	Prbc.g_02010	Syad.g_01661
