Orthogroup	Prbc	Syae
OG0000001	Prbc.g_00588, Prbc.g_00892, Prbc.g_01530, Prbc.g_00925	Syae.g_02061
OG0000004	Prbc.g_01381	Syae.g_00779
OG0000004	Prbc.g_00339	Syae.g_00042, Syae.g_02231
OG0000005	Prbc.g_00098	Syae.g_01179
OG0000005	Prbc.g_00788	Syae.g_01143
OG0000006	Prbc.g_02202	Syae.g_02030, Syae.g_02248
OG0000007	Prbc.g_01556	Syae.g_02328
OG0000007	Prbc.g_00832	Syae.g_01163
OG0000008	Prbc.g_00893	Syae.g_00753
OG0000008	Prbc.g_00894	Syae.g_00752
OG0000009	Prbc.g_01344	Syae.g_00561, Syae.g_00171
OG0000010	Prbc.g_02115, Prbc.g_01533	Syae.g_02529
OG0000011	Prbc.g_00164	Syae.g_00268
OG0000011	Prbc.g_00616	Syae.g_00871
OG0000013	Prbc.g_01219	Syae.g_02169, Syae.g_02155, Syae.g_02160
OG0000014	Prbc.g_01198	Syae.g_01930
OG0000014	Prbc.g_00680	Syae.g_01850
OG0000015	Prbc.g_00599	Syae.g_00590
OG0000016	Prbc.g_01083	Syae.g_01726
OG0000016	Prbc.g_00929	Syae.g_00681, Syae.g_00233
OG0000017	Prbc.g_01681	Syae.g_02462
OG0000018	Prbc.g_01468, Prbc.g_01887	Syae.g_02625
OG0000019	Prbc.g_01836	Syae.g_02015
OG0000021	Prbc.g_00924	Syae.g_01261
OG0000022	Prbc.g_00166, Prbc.g_01288	Syae.g_00144
OG0000023	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071	Syae.g_00439, Syae.g_00930
OG0000025	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894	Syae.g_00833
OG0000026	Prbc.g_01101	Syae.g_01748
OG0000027	Prbc.g_00072	Syae.g_00103, Syae.g_00814
OG0000028	Prbc.g_00653	Syae.g_01916
OG0000030	Prbc.g_00199	Syae.g_01817, Syae.g_01816
OG0000032	Prbc.g_00746	Syae.g_02607
OG0000033	Prbc.g_00402	Syae.g_01453
OG0000034	Prbc.g_00575	Syae.g_00975, Syae.g_01424
OG0000035	Prbc.g_00709	Syae.g_02653
OG0000037	Prbc.g_00464	Syae.g_01367
OG0000038	Prbc.g_00995	Syae.g_01571
OG0000039	Prbc.g_01768	Syae.g_00822, Syae.g_02495
OG0000041	Prbc.g_00877	Syae.g_01042
OG0000042	Prbc.g_00203	Syae.g_01821
OG0000043	Prbc.g_01953, Prbc.g_00135	Syae.g_00117
OG0000044	Prbc.g_00533	Syae.g_01067
OG0000046	Prbc.g_01220	Syae.g_02154, Syae.g_02161, Syae.g_02168
OG0000047	Prbc.g_01273, Prbc.g_01227	Syae.g_02184
OG0000048	Prbc.g_01165	Syae.g_01982
OG0000050	Prbc.g_01383	Syae.g_00122
OG0000053	Prbc.g_00728	Syae.g_02629
OG0000054	Prbc.g_01683	Syae.g_00014
OG0000055	Prbc.g_01822	Syae.g_00817
OG0000057	Prbc.g_01780, Prbc.g_00055	Syae.g_00782
OG0000058	Prbc.g_01928	Syae.g_01905
OG0000059	Prbc.g_00958	Syae.g_02074
OG0000061	Prbc.g_01446	Syae.g_00921
OG0000063	Prbc.g_00932	Syae.g_01752
OG0000065	Prbc.g_00466	Syae.g_00722, Syae.g_01363
OG0000066	Prbc.g_01618	Syae.g_02386
OG0000067	Prbc.g_01858	Syae.g_00521
OG0000068	Prbc.g_00657	Syae.g_02299
OG0000069	Prbc.g_02181, Prbc.g_00752	Syae.g_00458
OG0000070	Prbc.g_01511	Syae.g_00979
OG0000071	Prbc.g_00566	Syae.g_00961
OG0000072	Prbc.g_00400	Syae.g_01455
OG0000073	Prbc.g_01579	Syae.g_02330
OG0000075	Prbc.g_00236	Syae.g_01871
OG0000076	Prbc.g_00211	Syae.g_01829
OG0000077	Prbc.g_00495	Syae.g_01297
OG0000078	Prbc.g_00330	Syae.g_02243
OG0000079	Prbc.g_01148	Syae.g_02011
OG0000081	Prbc.g_01610	Syae.g_02261
